segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,2000,deck period,as scored,1116,0.11101443323200422,0.11541625876254775,-0.004401825530543521,-3.813869534273884,-0.011427991868117677,0.0016830801280119975,False,False,False
bar1000,10:00,reclasticnet,500,common,coefficients,3056,0.11211721708941008,0.11932411798159624,-0.007206900892186165,-6.039768836420571,-0.012426590551300121,-0.002150452569674395,True,False,False
bar1000,10:00,reclasticnet,500,common,package,3056,0.11211721708941008,0.11887498054510157,-0.0067577634556914715,-5.684765141246482,-0.011687577773649503,-0.00191625690140729,True,False,False
bar1000,10:00,reclasticnet,500,common,calibration,3056,0.11932411798159624,0.11887498054510157,0.00044913743649469234,0.37782335226064506,-0.0012646364605046376,0.002023657118642281,False,False,False
bar1000,10:00,reclasticnet,500,common,as scored,3056,0.11036344282644023,0.1174749049265194,-0.007111462100079183,-6.053601068694122,-0.011874207951846781,-0.0025038228288415745,True,False,False
bar1000,10:00,reclasticnet,500,deck period,coefficients,1116,0.11455948597419024,0.11764183248200794,-0.0030823465078176917,-2.62011092719854,-0.010974542895370504,0.005383499240518039,False,False,False
bar1000,10:00,reclasticnet,500,deck period,package,1116,0.11455948597419024,0.1190559027223544,-0.004496416748164153,-3.7767272729434254,-0.01280731235350179,0.004309897289686249,False,False,False
bar1000,10:00,reclasticnet,500,deck period,calibration,1116,0.11764183248200794,0.1190559027223544,-0.0014140702403464616,-1.187736355789229,-0.005619781603049918,0.0019111255703269372,False,False,False
bar1000,10:00,reclasticnet,500,deck period,as scored,1116,0.1121354362215775,0.11612510876588152,-0.003989672544304016,-3.435667433773989,-0.011667888154617726,0.004120157725485747,False,False,False
bar1000,10:00,reclasticnet,2000,common,coefficients,1556,0.11175224828248491,0.12254534322756831,-0.010793094945083416,-8.807429691588114,-0.017582424986495544,-0.004437411208523852,True,False,False
bar1000,10:00,reclasticnet,2000,common,package,1556,0.11175224828248491,0.12480685321776618,-0.013054604935281261,-10.459846233366092,-0.020313234838361213,-0.006666587233157849,True,False,False
bar1000,10:00,reclasticnet,2000,common,calibration,1556,0.12254534322756831,0.12480685321776618,-0.002261509990197843,-1.8120078600586964,-0.0050634492963902026,0.0002933309342004374,False,False,False
bar1000,10:00,reclasticnet,2000,common,as scored,1556,0.1109707927539494,0.12233986406862372,-0.011369071314674316,-9.293022680078423,-0.017734257690429835,-0.005382882453616598,True,False,False
bar1000,10:00,reclasticnet,2000,deck period,coefficients,1116,0.10978086808694065,0.1152456908218768,-0.005464822734936134,-4.741888999027772,-0.012559728468902921,0.0012402071922596298,False,False,False
bar1000,10:00,reclasticnet,2000,deck period,package,1116,0.10978086808694065,0.11848874078708937,-0.008707872700148727,-7.349114052782258,-0.017307511893519846,-0.0017098348990860154,True,False,False
bar1000,10:00,reclasticnet,2000,deck period,calibration,1116,0.1152456908218768,0.11848874078708937,-0.003243049965212594,-2.737011081111902,-0.007132157273491565,-0.00010827626945275562,True,False,False
bar1000,10:00,reclasticnet,2000,deck period,as scored,1116,0.10870887840042688,0.11525151817051339,-0.006542639770086501,-5.676836083327541,-0.013666074805579128,-0.0003790605476431457,True,False,False
bar1000,10:00,ridge,500,common,coefficients,3056,0.11162474330447925,0.11878407237297778,-0.00715932906849853,-6.0271793393465165,-0.01264564366102219,-0.0017156588304506084,True,False,False
bar1000,10:00,ridge,500,common,package,3056,0.11162474330447925,0.1182533322035595,-0.006628588899080263,-5.605414050971444,-0.01178478831772574,-0.0013542861531624496,True,False,False
