book,sample,rule,leg,n_days,Sharpe_rule,Sharpe_R0,diff,ci_lo,ci_hi,excludes_zero,B,block,seed
exit_1530_crossed,whole,R7,gross,865,1.1821822562137594,2.2525467094164875,-1.070364453202728,-1.6743048859112006,-0.4128939123137365,True,2000,21,0
exit_1530_crossed,whole,R7,net 0.5 bp,865,0.34124900237979866,0.9020325604270627,-0.560783558047264,-1.124976028474162,0.03498374996991045,False,2000,21,0
exit_1530_crossed,daily_era,R7,gross,489,0.8451272765825637,2.5131321677178393,-1.6680048911352756,-2.268848753369988,-1.0856040843614798,True,2000,21,0
exit_1530_crossed,daily_era,R7,net 0.5 bp,489,0.07902970445909294,1.2022400283088015,-1.1232103238497086,-1.6979243336759544,-0.547303535711424,True,2000,21,0
hold_settlement_crossed,whole,R1,gross,865,3.5198818554910596,3.5823912734402135,-0.06250941794915388,-0.29136125167826143,0.1450407802931966,False,2000,21,0
hold_settlement_crossed,whole,R1,net 0.5 bp,865,2.2915719288080254,2.2858143511286637,0.005757577679361692,-0.20484705801994565,0.20190325386261543,False,2000,21,0
hold_settlement_crossed,daily_era,R1,gross,489,3.1613247598285046,3.323334896988719,-0.16201013716021428,-0.44816291902252453,0.10769890674977887,False,2000,21,0
hold_settlement_crossed,daily_era,R1,net 0.5 bp,489,1.9911273484801564,2.0752834573280015,-0.08415610884784508,-0.34821797617643585,0.17560807875413928,False,2000,21,0
hold_settlement_crossed,whole,R2,gross,865,3.0471074833554996,3.5823912734402135,-0.5352837900847138,-1.120234741563754,-0.007054869682291536,True,2000,21,0
hold_settlement_crossed,whole,R2,net 0.5 bp,865,1.9544335180277448,2.2858143511286637,-0.3313808331009189,-0.8617085537977169,0.14455672349556642,False,2000,21,0
hold_settlement_crossed,daily_era,R2,gross,489,2.8457825465351876,3.323334896988719,-0.4775523504535313,-1.3227840677388896,0.2459877681432479,False,2000,21,0
hold_settlement_crossed,daily_era,R2,net 0.5 bp,489,1.8112488561452538,2.0752834573280015,-0.2640346011827477,-1.0174175595754513,0.3981016274220477,False,2000,21,0
hold_settlement_crossed,whole,R3,gross,865,2.79965615227131,3.5823912734402135,-0.7827351211689035,-1.301408065361306,-0.28725544561548694,True,2000,21,0
hold_settlement_crossed,whole,R3,net 0.5 bp,865,1.8193042477245374,2.2858143511286637,-0.46651010340412635,-0.9176476749900612,-0.031130045462141258,True,2000,21,0
hold_settlement_crossed,daily_era,R3,gross,489,2.338201188058007,3.323334896988719,-0.9851337089307117,-1.6508358928239453,-0.2612992436255409,True,2000,21,0
hold_settlement_crossed,daily_era,R3,net 0.5 bp,489,1.4259245514603716,2.0752834573280015,-0.6493589058676299,-1.2117035035283799,-0.006243086045331711,True,2000,21,0
hold_settlement_crossed,whole,R4,gross,865,3.1176386603797583,3.5823912734402135,-0.4647526130604551,-0.7651024309490941,-0.17699294862045406,True,2000,21,0
hold_settlement_crossed,whole,R4,net 0.5 bp,865,1.9659463112741933,2.2858143511286637,-0.31986803985447043,-0.5989858686220761,-0.05307750802493425,True,2000,21,0
hold_settlement_crossed,daily_era,R4,gross,489,2.8013960486703957,3.323334896988719,-0.5219388483183232,-0.9124983550835158,-0.18297485006964487,True,2000,21,0
hold_settlement_crossed,daily_era,R4,net 0.5 bp,489,1.6964661321074792,2.0752834573280015,-0.37881732522052225,-0.7405067913567002,-0.05514852213958646,True,2000,21,0
hold_settlement_crossed,whole,R5,gross,865,3.118556091152994,3.5823912734402135,-0.46383518228721954,-0.9388082794497271,0.04096949409376551,False,2000,21,0
hold_settlement_crossed,whole,R5,net 0.5 bp,865,1.9867578385260278,2.2858143511286637,-0.2990565126026359,-0.7229135967725886,0.1401131243288706,False,2000,21,0
hold_settlement_crossed,daily_era,R5,gross,489,2.484388995352884,3.323334896988719,-0.8389459016358347,-1.3689857148983837,-0.22335226770504832,True,2000,21,0
hold_settlement_crossed,daily_era,R5,net 0.5 bp,489,1.44131327401711,2.0752834573280015,-0.6339701833108915,-1.107736337797693,-0.10294433550986323,True,2000,21,0
hold_settlement_crossed,whole,R6,gross,865,1.6160566067513542,3.5823912734402135,-1.9663346666888593,-2.813786169063572,-1.0906001850185068,True,2000,21,0
hold_settlement_crossed,whole,R6,net 0.5 bp,865,0.9139766222071234,2.2858143511286637,-1.3718377289215402,-2.1482940714270278,-0.5951755648627111,True,2000,21,0
hold_settlement_crossed,daily_era,R6,gross,489,0.7787447545387014,3.323334896988719,-2.5445901424500175,-3.4271553604731486,-1.6493380904973853,True,2000,21,0
hold_settlement_crossed,daily_era,R6,net 0.5 bp,489,0.1677714374743284,2.0752834573280015,-1.907512019853673,-2.719683164777947,-1.1129450728963186,True,2000,21,0
hold_settlement_crossed,whole,R7,gross,865,2.4431009043514913,3.5823912734402135,-1.1392903690887222,-1.6873822437412298,-0.5485841173013861,True,2000,21,0
hold_settlement_crossed,whole,R7,net 0.5 bp,865,1.5504307604922016,2.2858143511286637,-0.7353835906364621,-1.2617684145119403,-0.19458322982981568,True,2000,21,0
hold_settlement_crossed,daily_era,R7,gross,489,1.7072526058086948,3.323334896988719,-1.616082291180024,-2.197849497178639,-1.0472051055320424,True,2000,21,0
hold_settlement_crossed,daily_era,R7,net 0.5 bp,489,0.8943640067489308,2.0752834573280015,-1.1809194505790708,-1.7468472125040733,-0.6230220656851939,True,2000,21,0
