book,sample,rule,tercile,n,mean_gross,sd_gross,Sharpe_gross,t_gross,turnover,mean_net_0.5bp,Sharpe_net_0.5bp
exit_1530_crossed,whole,R2,3_trend,289,-0.07901380369311306,0.3974305999344071,-3.1560359179352018,-3.379796782141619,2.004393793398089,-0.10472818324001747,-4.144300773329793
exit_1530_crossed,daily_era,R2,1_choppy,156,0.15037066540596442,0.3539094177710254,6.744834104429815,5.306807094269783,1.7639935389684973,0.12773873991309595,5.671209949385862
exit_1530_crossed,daily_era,R2,2_mixed,164,0.08846145732525709,0.31350975522063346,4.479229359844423,3.6134741713498433,1.9502855666498553,0.06301191900190534,3.161562644418657
exit_1530_crossed,daily_era,R2,3_trend,169,-0.08369603712658194,0.42693674474864096,-3.11201463939025,-2.5485004418772945,2.055299809638988,-0.11023185687411398,-4.06650360550453
exit_1530_crossed,whole,R3,1_choppy,289,0.1571406566732804,0.3311226116506091,7.533555555310279,8.067679673487659,1.5898821021128677,0.13585996295851666,6.449458735178582
exit_1530_crossed,whole,R3,2_mixed,287,0.052654297219741186,0.3481510824626014,2.4008572643277017,2.562164556638905,1.820274905971195,0.02783694509363737,1.2544347327165604
exit_1530_crossed,whole,R3,3_trend,289,-0.0934662622548201,0.4647359296112838,-3.1926322474077073,-3.418987767227203,1.9736945863435675,-0.1188206185222938,-4.01591141362166
exit_1530_crossed,daily_era,R3,1_choppy,156,0.1691963370746646,0.3604152598376721,7.452260997676491,5.863407597355997,1.6331943610111537,0.1481058595685228,6.449425966776146
exit_1530_crossed,daily_era,R3,2_mixed,164,0.08201896930228648,0.32728278920361775,3.9782439417310886,3.2093203039894287,1.8987953185060609,0.057303593702799936,2.7520907987766043
exit_1530_crossed,daily_era,R3,3_trend,169,-0.11689191700383558,0.5346789872022829,-3.470496691302525,-2.8420696481849217,2.0343072109107876,-0.1431319683633176,-4.208461427331783
exit_1530_crossed,whole,R4,1_choppy,289,0.1375448461911044,0.32828205194663274,6.651160884045851,7.122723802240932,1.810977432247396,0.11324723448592397,5.417657420195974
exit_1530_crossed,whole,R4,2_mixed,287,0.04965015709442037,0.33903515102063814,2.324749534052813,2.4809433479090472,1.9965160182311972,0.02246954390715317,1.0402074750703127
exit_1530_crossed,whole,R4,3_trend,289,-0.06537856956970181,0.38137769979769115,-2.7213248637189453,-2.914265001006908,2.064082819625153,-0.0920012828718583,-3.783579289074902
exit_1530_crossed,daily_era,R4,1_choppy,156,0.15650150975802504,0.3455226500868562,7.19022167470289,5.657236160578826,1.8563663040311962,0.13268225036417083,6.042751827000415
exit_1530_crossed,daily_era,R4,2_mixed,164,0.07141900815402562,0.2997168618839205,3.782708785966706,3.051578608223708,2.0884351195348283,0.044166014194463,2.317990461887269
exit_1530_crossed,daily_era,R4,3_trend,169,-0.0811012657573768,0.42436606896255585,-3.0338021236873747,-2.4844504119365083,2.125583300079536,-0.10868097694511086,-4.023328787157248
exit_1530_crossed,whole,R5,1_choppy,289,0.1473733768933935,0.3216065061952012,7.274354796075887,7.790101751446073,1.7714401618231208,0.1236545883211942,6.037196187446634
exit_1530_crossed,whole,R5,2_mixed,287,0.056202406966630196,0.3067633683065273,2.908383606644279,3.103790260576058,1.9938752055401685,0.028951613755786084,1.4774892115342007
exit_1530_crossed,whole,R5,3_trend,289,-0.07684102225385092,0.43423250175687894,-2.8091250822882308,-3.0082901971415406,2.115032788573563,-0.10400923441061569,-3.756834808650537
exit_1530_crossed,daily_era,R5,1_choppy,156,0.1563857121264908,0.3575938274095301,6.942363170322539,5.462222132204597,1.8393992959165648,0.13284319391965857,5.835257772253369
exit_1530_crossed,daily_era,R5,2_mixed,164,0.07250411276230852,0.3031505695036018,3.7966846319153666,3.0628531722839867,2.081057537161344,0.04526681022809856,2.3403599857862902
exit_1530_crossed,daily_era,R5,3_trend,169,-0.09472035421677766,0.4995806783988184,-3.009802166369787,-2.464796294293638,2.1763225706204543,-0.12286191068035125,-3.86007750181123
exit_1530_crossed,whole,R6,1_choppy,289,0.20395955548526126,0.36488202495798355,8.87343674533849,9.502557555825627,1.2785051269271115,0.18685439376307636,8.02806199773648
exit_1530_crossed,whole,R6,2_mixed,287,0.061899330030802405,0.3829824695893519,2.565708562461605,2.7380917804144826,1.5649959489916512,0.04039424433331474,1.6508853501344478
exit_1530_crossed,whole,R6,3_trend,289,-0.21702503748104557,0.6734555198946776,-5.115654357149976,-5.478350875726385,1.8894623648590374,-0.24138137859863112,-5.651268793987098
exit_1530_crossed,daily_era,R6,1_choppy,156,0.2230850021727975,0.4036133400263668,8.774151571981765,6.903465539324403,1.3124393448123004,0.20629217272255645,8.015853310540615
exit_1530_crossed,daily_era,R6,2_mixed,164,0.06873852886340232,0.38620793879318693,2.8253958750193275,2.2792972178980664,1.6585620668543486,0.04707586802042209,1.9095738125641992
exit_1530_crossed,daily_era,R6,3_trend,169,-0.2703758331886989,0.815059711662724,-5.265974050022944,-4.312427397843907,1.9564349142929482,-0.2956949598629745,-5.725269284837979
exit_1530_crossed,whole,R7,1_choppy,289,0.16370105672101903,0.3758239777524113,6.914603289005014,7.404844099890506,1.4621041713115557,0.14417629559582304,6.022019908033982
exit_1530_crossed,whole,R7,2_mixed,287,0.07006308950849033,0.347579633046432,3.199891362441731,3.414883656667111,1.6781947087609277,0.04711003826997628,2.1240698264402478
exit_1530_crossed,whole,R7,3_trend,289,-0.13799211553378746,0.4890759184155226,-4.478971139362977,-4.796527237886453,1.9444934523536415,-0.16312245159922706,-5.236644263075897
exit_1530_crossed,daily_era,R7,1_choppy,156,0.18182486548462323,0.4107405720117618,7.027258698363636,5.5290175764668055,1.5072184528381212,0.16258765009902265,6.220152300811534
exit_1530_crossed,daily_era,R7,2_mixed,164,0.07766735724420999,0.3404675694734392,3.6212878525892243,2.921357463777786,1.7680431173384337,0.05456700702915265,2.5142761067960384
exit_1530_crossed,daily_era,R7,3_trend,169,-0.16994111268064818,0.5702742976099155,-4.730585862589462,-3.8739856839201403,2.0151555299496944,-0.1961048859295414,-5.403809433214049
