width,w_frac,sample,exit_mode,basis,n,mean,sd,Sharpe_ann,t,MaxDD,worst,wing_cost_pct_prem,net_credit_units,w_up_pts,w_dn_pts,width_pts,width_pct_spot,cap_units,cap_dollars,regt_margin_proxy_dollars,n_scored,n_no_listed_strike,n_dead_wing_quote_1100,n_tradeable_1100,n_dead_wing_quote_1530,n_dead_straddle_quote_1530,n_tradeable_exit1530
naked straddle (model mark),,era,exit1530,mid,489,0.08849821764958825,0.3323392967785849,4.227202939457479,5.888534950679428,-2.1971599629576346,-2.0860574626722044,,,,,,,,,,,,,,,,
naked straddle (model mark),,era,exit1530,crossed,489,0.0777850239607414,0.33216782977711357,3.7173948349558406,5.178367285560703,-2.279736751812628,-2.0959584667944617,,,,,,,,,,,,,,,,
0.5% of spot,0.005,all,hold,mid,864,0.11248692073682144,0.5822895592188903,3.066643527831358,5.678320433807354,-4.261394386665145,-2.3944748501918984,24.034710862828334,0.7596528913717167,25.0,25.0,25.0,0.5657382784067558,0.5845794582806987,1037.5000014901161,1037.5000014901161,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,all,hold,crossed,864,0.08916039076016657,0.5819407667230051,2.432167336312683,4.503498811937098,-4.459895888185791,-2.4164046789498435,24.76197898472204,0.7375782892596828,25.0,25.0,25.0,0.5657382784067558,0.6023732195992717,1075.000011920929,1075.000011920929,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,all,exit1530,mid,864,0.08128864233945841,0.4283653604861079,3.0124218979829136,5.5779214842951195,-5.432719066419548,-1.5895258108197974,24.034710862828334,0.7596528913717167,25.0,25.0,25.0,0.5657382784067558,0.5845794582806987,1037.5000014901161,1037.5000014901161,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,all,exit1530,crossed,864,0.02469282229675804,0.4216585382962492,0.9296299403234025,1.7213401682035272,-8.908174782514255,-1.6251458467752058,24.76197898472204,0.7375782892596828,25.0,25.0,25.0,0.5657382784067558,0.6023732195992717,1075.000011920929,1075.000011920929,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,era,hold,mid,488,0.09683062014078175,0.5637269105783145,2.726743059959847,3.79449388313165,-4.261394386665149,-2.3944748501918984,23.039765034048784,0.7696023496595121,25.0,25.0,25.0,0.560411252610969,0.5837899745827309,1108.7499797344208,1108.7499797344208,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,era,hold,crossed,488,0.08035212714768943,0.5636262182088294,2.263114158423275,3.149315004066501,-4.459895888185788,-2.4164046789498435,23.38237080944965,0.756151235749378,25.0,25.0,25.0,0.560411252610969,0.5982551369603735,1134.9999606609344,1134.9999606609344,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,era,exit1530,mid,488,0.09641428444651097,0.449911171692844,3.401847771682279,4.733959260973979,-4.6843543074915175,-1.5895258108197974,23.039765034048784,0.7696023496595121,25.0,25.0,25.0,0.560411252610969,0.5837899745827309,1108.7499797344208,1108.7499797344208,865.0,0.0,1.0,864.0,0.0,0.0,864.0
0.5% of spot,0.005,era,exit1530,crossed,488,0.05593905541268932,0.4408418406382391,2.0143391423586183,2.8031235016125744,-5.266308286590517,-1.6251458467752058,23.38237080944965,0.756151235749378,25.0,25.0,25.0,0.560411252610969,0.5982551369603735,1134.9999606609344,1134.9999606609344,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,all,hold,mid,864,0.09695337250284239,0.42943748497107237,3.5839607121694295,6.636205728243212,-4.096475367057131,-2.315527483034968,6.670711993023253,0.9332928800697675,45.0,45.0,45.0,1.0594216089509108,1.5691337141755106,2721.250005438924,2721.250005438924,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,all,hold,crossed,864,0.0758377207212867,0.4292095852970617,2.8048919115488564,5.193650618802769,-4.265381182915604,-2.3374573122830826,7.153983170993486,0.9114104820353333,45.0,45.0,45.0,1.0594216089509108,1.5946514484583425,2762.499985098839,2762.499985098839,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,all,exit1530,mid,864,0.0743833307039208,0.3201746938303153,3.6879828141985858,6.828817234001579,-4.56441525937862,-1.4656737394237223,6.670711993023253,0.9332928800697675,45.0,45.0,45.0,1.0594216089509108,1.5691337141755106,2721.250005438924,2721.250005438924,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,all,exit1530,crossed,864,0.023607108348529908,0.3218954163638703,1.1642018125470375,2.1556828764953666,-7.328068944028427,-1.5103546016158662,7.153983170993486,0.9114104820353333,45.0,45.0,45.0,1.0594216089509108,1.5946514484583425,2762.499985098839,2762.499985098839,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,era,hold,mid,488,0.08562294631524861,0.41202240774565235,3.2989034316399626,4.590703493927359,-4.096475367057121,-2.315527483034968,5.989130492949453,0.9401086950705055,45.0,45.0,45.0,1.0576311263792835,1.5474029319165825,2843.7499780207872,2843.7499780207872,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,era,hold,crossed,488,0.07066582626542947,0.4119218983256359,2.723295895399406,3.78969686172145,-4.265381182915593,-2.3374573122830826,6.37545159713539,0.9257477608123101,45.0,45.0,45.0,1.0576311263792835,1.5650825022404686,2869.9999935925007,2869.9999935925007,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,era,exit1530,mid,488,0.07844884418650988,0.3268322992814772,3.8103235111265503,5.302387844322712,-3.427535952197297,-1.4656737394237223,5.989130492949453,0.9401086950705055,45.0,45.0,45.0,1.0576311263792835,1.5474029319165825,2843.7499780207872,2843.7499780207872,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.0% of spot,0.01,era,exit1530,crossed,488,0.04230970682662152,0.3255451868808417,2.0631414651803603,2.871036066660945,-3.7767155378142943,-1.5103546016158662,6.37545159713539,0.9257477608123101,45.0,45.0,45.0,1.0576311263792835,1.5650825022404686,2869.9999935925007,2869.9999935925007,865.0,0.0,1.0,864.0,0.0,0.0,864.0
1.5% of spot,0.015,all,hold,mid,865,0.09236882453440315,0.389758789085976,3.7620951027659926,6.970076637935605,-4.039712473704334,-2.3067555528062313,2.459016435741337,0.9754098356425867,65.0,65.0,65.0,1.5653266178026204,2.694352171396226,4642.500019818544,4642.500019818544,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,all,hold,crossed,865,0.0722199323940238,0.3895304370040385,2.9431740782993585,5.452852286867886,-4.7223257601905395,-2.3286853818909563,2.9411764013029926,0.9529914352861867,65.0,65.0,65.0,1.5653266178026204,2.7215909457665464,4675.000014528632,4675.000014528632,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,all,exit1530,mid,865,0.07417983050703274,0.30260011196784814,3.8914998915674723,7.209826370630837,-3.841183159646917,-1.588137366494499,2.459016435741337,0.9754098356425867,65.0,65.0,65.0,1.5653266178026204,2.694352171396226,4642.500019818544,4642.500019818544,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,all,exit1530,crossed,865,0.025709238815124193,0.3088349931908096,1.3214872757549612,2.4483345945446056,-6.91566199203668,-1.6650603336427512,2.9411764013029926,0.9529914352861867,65.0,65.0,65.0,1.5653266178026204,2.7215909457665464,4675.000014528632,4675.000014528632,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,era,hold,mid,489,0.08378403077679292,0.39000136351865766,3.4103220656566413,4.750611921004602,-3.4814316994980086,-2.3067555528062313,1.8610422210342312,0.9813895777896577,65.0,65.0,65.0,1.5629688715822647,2.678873239898346,4860.0000485777855,4860.0000485777855,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,era,hold,crossed,489,0.0693752055143814,0.3900463421831481,2.823503585512874,3.933168051022188,-3.6334089356242245,-2.3286853818909563,2.2332506985191047,0.9650349615317457,65.0,65.0,65.0,1.5629688715822647,2.690140877811002,4880.000057816505,4880.000057816505,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,era,exit1530,mid,489,0.07549082979000604,0.3117505273275475,3.844034464398741,5.354777525332943,-2.729654982957893,-1.588137366494499,1.8610422210342312,0.9813895777896577,65.0,65.0,65.0,1.5629688715822647,2.678873239898346,4860.0000485777855,4860.0000485777855,865.0,0.0,0.0,865.0,0.0,0.0,865.0
1.5% of spot,0.015,era,exit1530,crossed,489,0.04069228854213304,0.31527105760391955,2.04893547626229,2.8541871153235783,-3.051171501143431,-1.6650603336427512,2.2332506985191047,0.9650349615317457,65.0,65.0,65.0,1.5629688715822647,2.690140877811002,4880.000057816505,4880.000057816505,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,all,hold,mid,865,0.09075022567262135,0.38954430896792985,3.698206181302663,6.851708902205838,-4.356028841473105,-2.3023695877735584,1.2357414908884123,0.9876425850911159,85.0,85.0,85.0,2.060501181876396,3.928961825957933,6640.000000223517,6640.000000223517,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,all,hold,crossed,865,0.07120551262254998,0.38933847627848245,2.9032642266990307,5.378910848210899,-5.144293110290093,-2.324299416858283,1.6949152520969317,0.9677419432626595,85.0,85.0,85.0,2.060501181876396,3.9371585421251503,6665.000000223517,6665.000000223517,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,all,exit1530,mid,865,0.07610417936186013,0.30808565060457566,3.921365346208287,7.265158440125896,-4.035769269173787,-1.7820754946015676,1.2357414908884123,0.9876425850911159,85.0,85.0,85.0,2.060501181876396,3.928961825957933,6640.000000223517,6640.000000223517,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,all,exit1530,crossed,865,0.028816479741111987,0.3157081501455763,1.44895668395303,2.684498625453768,-7.307608737300832,-1.9553428284700287,1.6949152520969317,0.9677419432626595,85.0,85.0,85.0,2.060501181876396,3.9371585421251503,6665.000000223517,6665.000000223517,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,era,hold,mid,489,0.08454366851128065,0.40144173997146687,3.343172862221494,4.657072425266813,-3.3580665029702956,-2.3023695877735584,0.9109311946972657,0.9908906880530274,85.0,85.0,85.0,2.060293312351845,3.884823898838421,7035.000000149012,7035.000000149012,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,era,hold,crossed,489,0.07040120747359406,0.40148708289993545,2.783612647685832,3.8775995853075838,-3.5083067264546584,-2.324299416858283,1.2919896771164399,0.9753086092562334,85.0,85.0,85.0,2.060293312351845,3.8970190003004204,7054.999962076545,7054.999962076545,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,era,exit1530,mid,489,0.07663425806028884,0.31999398960673237,3.80173119472627,5.295848657814145,-2.42230995486353,-1.7820754946015676,0.9109311946972657,0.9908906880530274,85.0,85.0,85.0,2.060293312351845,3.884823898838421,7035.000000149012,7035.000000149012,865.0,0.0,0.0,865.0,0.0,0.0,865.0
2.0% of spot,0.02,era,exit1530,crossed,489,0.0424415594604575,0.3251518413647219,2.0720745934852522,2.886420131444817,-2.7372249728936078,-1.9553428284700287,1.2919896771164399,0.9753086092562334,85.0,85.0,85.0,2.060293312351845,3.8970190003004204,7054.999962076545,7054.999962076545,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,all,hold,mid,865,0.09673353736981145,0.3878015103715694,3.9597506942385117,7.336275413577148,-3.6222257560153395,-2.3023695877735584,0.5277044853843877,0.9947229551461562,125.0,125.0,125.0,3.0662507185776526,6.326219363335871,10792.500019446015,10792.500019446015,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,all,hold,crossed,865,0.0776907926136566,0.3876981762811524,3.1810907916084803,5.893643303551943,-4.772601454231264,-2.324299416858283,0.9090909226374193,0.9772727433207238,125.0,125.0,125.0,3.0662507185776526,6.345514983389908,10829.999981075525,10829.999981075525,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,all,exit1530,mid,865,0.08086923794193927,0.31347951516704986,4.095193758271508,7.587212327875969,-3.816230562299161,-2.027125000286092,0.5277044853843877,0.9947229551461562,125.0,125.0,125.0,3.0662507185776526,6.326219363335871,10792.500019446015,10792.500019446015,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,all,exit1530,crossed,865,0.03443261877844509,0.32137846282839927,1.7008012075488979,3.1510938556001253,-7.110055904021868,-2.1979170912384824,0.9090909226374193,0.9772727433207238,125.0,125.0,125.0,3.0662507185776526,6.345514983389908,10829.999981075525,10829.999981075525,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,era,hold,mid,489,0.0908594587455806,0.4021329104283363,3.586747453860714,4.996374208622664,-3.093841669094413,-2.3023695877735584,0.4255319212345367,0.9957446807876547,130.0,130.0,130.0,3.062310276103233,6.339674065250463,11180.000000074506,11180.000000074506,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,era,hold,crossed,489,0.07697225249167589,0.40217899827607045,3.0381910366038616,4.232229765666011,-3.3654802412301343,-2.324299416858283,0.7692307806932009,0.9816849917273556,130.0,130.0,130.0,3.062310276103233,6.353261011728354,11200.00005736947,11200.00005736947,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,era,exit1530,mid,489,0.07937237276051541,0.3279690994920907,3.8418172861770854,5.351688974431296,-2.1804199168185097,-2.027125000286092,0.4255319212345367,0.9957446807876547,130.0,130.0,130.0,3.062310276103233,6.339674065250463,11180.000000074506,11180.000000074506,865.0,0.0,0.0,865.0,0.0,0.0,865.0
3.0% of spot,0.03,era,exit1530,crossed,489,0.0455825070090068,0.3334574933311273,2.1699913198999563,3.02281908697334,-2.5265673621663645,-2.1979170912384824,0.7692307806932009,0.9816849917273556,130.0,130.0,130.0,3.062310276103233,6.353261011728354,11200.00005736947,11200.00005736947,865.0,0.0,0.0,865.0,0.0,0.0,865.0
