window,forecast,n,QLIKE,corr,RV/f
12:30,lasso (fixed 1e-4),866,0.16429390881995418,0.9553726334330209,0.8993048802006574
12:30,elastic net (causally tuned),866,0.16094682199151436,0.9294903827961243,0.8408320388599206
12:30,naive clock mean,866,0.7808554671180851,-0.11089067257730031,1.0046909439958576
12:30,implied slice,866,0.19221702363846832,0.8996596585580882,0.8086670892756989
13:00,baseline (HAR + calendar OLS),866,0.16486911454535708,0.8523606920836402,0.8238075365848585
13:00,block-diagonal ridge,866,0.1684466854193121,0.7802952954859276,0.8350034272595551
13:00,"block-diagonal ridge, without the FOMC columns",866,0.16366064009328463,0.781961630060097,0.8290109859705656
13:00,LightGBM,866,0.16380293069512844,0.7902915880762525,0.7572963589396643
13:00,XGBoost,866,0.16494145535107999,0.800977212500178,0.7491107089101433
13:00,lasso (causally tuned),866,0.16440711092435215,0.7613797050518908,0.7829240571810735
13:00,lasso (fixed 1e-4),866,0.16757438314404588,0.7833569996022129,0.8528297697355608
13:00,elastic net (causally tuned),866,0.16539180257406752,0.7489327437144186,0.784770061127585
13:00,naive clock mean,866,0.7368490375462597,-0.0739562797860192,0.9886923883237559
13:00,implied slice,866,0.2236578687476715,0.8280904615730642,0.8075427578886816
13:30,baseline (HAR + calendar OLS),866,0.18472279893581992,0.7682884881627824,0.9781434241692658
13:30,block-diagonal ridge,866,0.1807971527200378,0.7708914039007401,1.01433314625195
13:30,"block-diagonal ridge, without the FOMC columns",866,0.179830538780164,0.770866170220638,1.0056592900225478
13:30,LightGBM,866,0.17380296508868368,0.8655640730405216,0.9184258728438591
13:30,XGBoost,866,0.17777929212524854,0.8207343173518636,0.897689200661288
13:30,lasso (causally tuned),866,0.17579019138284072,0.8069173482254305,0.9378617029705555
13:30,lasso (fixed 1e-4),866,0.18134563442161106,0.7742632867024923,1.02920581422591
13:30,elastic net (causally tuned),866,0.17531891654264092,0.8045348871077459,0.9491235807182905
13:30,naive clock mean,866,0.8681749468252332,0.00178123677766103,0.9372924389239538
13:30,implied slice,866,0.2225365181938169,0.8464423600434283,0.7725853679868301
14:00,baseline (HAR + calendar OLS),866,0.6192704085142482,0.7205856878560963,0.979454771994559
14:00,block-diagonal ridge,866,0.48359738292994064,0.7213409300349796,0.9768343694046306
14:00,"block-diagonal ridge, without the FOMC columns",866,0.5884440650262763,0.7137453247417633,0.9684610082908569
14:00,LightGBM,866,0.6155399661482034,0.7153772142489461,0.918970890117659
14:00,XGBoost,866,0.6258719179840454,0.7186937846588684,0.9065203923906735
14:00,lasso (causally tuned),866,0.6020548082960773,0.7016685034622103,0.9172247963607468
14:00,lasso (fixed 1e-4),866,0.4927956244969932,0.720863539041698,0.9887398997495147
14:00,elastic net (causally tuned),866,0.5920406419116241,0.6978274242557764,0.9220279126800452
14:00,naive clock mean,866,0.9108978935241969,0.012449580641750625,0.9534936541608644
14:00,implied slice,864,0.20153108080816418,0.8483993581126749,0.8271813319767249
14:30,baseline (HAR + calendar OLS),866,0.27676137940083695,0.7116038591042136,1.0245569642544181
14:30,block-diagonal ridge,866,0.2323516452239391,0.7174770437183998,0.9771827256876257
14:30,"block-diagonal ridge, without the FOMC columns",866,0.27263925916317033,0.6954966145574972,0.978372788690863
14:30,LightGBM,866,0.26501565374040426,0.7220702473032848,0.9321643666821614
14:30,XGBoost,866,0.2699271838633348,0.7201332161509856,0.9329771662568928
14:30,lasso (causally tuned),866,0.27905043019863857,0.6872788275158123,0.9448754387986302
14:30,lasso (fixed 1e-4),866,0.21948003815627576,0.7363139541186335,0.9713150887096899
14:30,elastic net (causally tuned),866,0.2786013827195718,0.6980710858689829,0.9547608174716551
14:30,naive clock mean,866,0.9994980864798393,-0.02437569281203816,0.9785328353960204
14:30,implied slice,865,0.2020569944256545,0.8120646036715952,0.8484353054734124
15:00,baseline (HAR + calendar OLS),866,0.1358407927860268,0.8920194070128242,0.9889392203750234
15:00,block-diagonal ridge,866,0.12694833852965567,0.8289758152809336,0.9408670371696495
15:00,"block-diagonal ridge, without the FOMC columns",866,0.13058055310191002,0.8319708784832033,0.9356266994670384
15:00,LightGBM,866,0.12122407042471167,0.8811502462763836,0.8970990560007047
15:00,XGBoost,866,0.12563061001672338,0.8794142752587585,0.888352077184947
15:00,lasso (causally tuned),866,0.13025399955517192,0.8492352342388748,0.9126841177202616
15:00,lasso (fixed 1e-4),866,0.1275530747491308,0.824456597902635,0.9505621144359256
15:00,elastic net (causally tuned),866,0.13203600181638023,0.8508355380873901,0.9212238510633309
15:00,naive clock mean,866,0.8113310007861172,0.06742656532644377,0.8448322583855578
15:00,implied slice,862,0.1520628797780878,0.880206670923297,0.7283109587594154
15:30,baseline (HAR + calendar OLS),866,0.10782001438443117,0.8935940860117094,0.994233633882362
15:30,block-diagonal ridge,866,0.10999130240054672,0.8427794925419614,0.897376310072768
15:30,"block-diagonal ridge, without the FOMC columns",866,0.11045034134560293,0.8412043624276009,0.8906097327555497
15:30,LightGBM,866,0.10124243899698605,0.8823370110389133,0.8873085083420413
15:30,XGBoost,866,0.10260004169123635,0.8914741106355013,0.8769796697051317
15:30,lasso (causally tuned),866,0.10408064627610193,0.8632451078365327,0.9215965125226958
15:30,lasso (fixed 1e-4),866,0.11128413528262304,0.8368195320320265,0.9022510142153581
15:30,elastic net (causally tuned),866,0.10449168641034369,0.8519174146207145,0.9225060272494638
15:30,naive clock mean,866,0.9011274756957888,-0.16978116311390262,1.1414744700277164
15:30,implied slice,861,0.10396552574705868,0.9360941256771541,0.8222451868261096
