day_type,period,n,mid_mean,mid_t,ask_mean,ask_t,hit,pts_per_contract_at_ask,short_at_bid_mean,short_at_bid_t,other_days_mid_mean
month-end ex MSCI,all sessions,48,0.29960992267547676,1.7352696494142763,0.2701341901312169,1.5977142403800617,0.4791666666666667,1.6178995817899704,-0.3308064432836101,-1.8742592292654237,-0.037202342735686574
first session,deck period,44,-0.2418663143913225,-1.6911390717042436,-0.26952610628899953,-1.9601745888130606,0.29545454545454547,-0.7172851860523224,0.21153344753429512,1.4178378310683855,-0.0023032436356024634
first session,holdout,20,0.22094527029218242,0.9012621391013454,0.1999296090341509,0.8300944767807019,0.55,2.4860058605670927,-0.24277122321654013,-0.9725492986924527,-0.059283279703225236
first session,all sessions,64,-0.09723769417772722,-0.7689043397107063,-0.12282119525051503,-0.999817270227373,0.375,0.2837432660162449,0.0695632379246591,0.5331897656002155,-0.02073382320315453
pre-holiday,deck period,38,-0.15725311334195785,-1.1615462458390773,-0.18748139104233608,-1.4457841659425317,0.3684210526315789,-1.4565429295364178,0.12409005027772829,0.874916266315482,-0.007922422457353894
pre-holiday,holdout,14,-0.32225365121861,-1.5808177960216439,-0.3339885511184044,-1.6659063889173766,0.21428571428571427,-3.1671526432037354,0.3100609979877533,1.4953990083651318,-0.03600970526431912
pre-holiday,all sessions,52,-0.20167633507797952,-1.791421821568958,-0.22692562644743144,-2.092906037659179,0.3269230769230769,-1.9170916986006956,0.17415915158427347,1.4853097466250849,-0.01705593984934992
CPI day,deck period,33,-0.20752140561384005,-1.2023132297925971,-0.23012589730558025,-1.3679921362184393,0.30303030303030304,-1.7448552612102393,0.18329572556273163,1.0338185652095229,-0.006827344197391001
CPI day,holdout,0,,,,,,,,,-0.04571288987293914
CPI day,all sessions,33,-0.20752140561384005,-1.2023132297925971,-0.23012589730558025,-1.3679921362184393,0.30303030303030304,-1.7448552612102393,0.18329572556273163,1.0338185652095229,-0.019716373381982795
employment day,deck period,46,-0.0958778841363217,-0.6540890005352883,-0.1257925950795355,-0.8871368604087679,0.391304347826087,-0.28390054858249164,0.06346014682621114,0.4180288519628479,-0.009908538330991003
employment day,holdout,0,,,,,,,,,-0.04571288987293914
employment day,all sessions,46,-0.0958778841363217,-0.6540890005352883,-0.1257925950795355,-0.8871368604087679,0.391304347826087,-0.28390054858249164,0.06346014682621114,0.4180288519628479,-0.021901398985349953
