hour,rule,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
12,unit-median VRP,1732.0,-0.0007758527516214849,0.09437824518937836,-1.1250001426123426,-0.023011836587887195,0.0010167634587713611,0.022046474709038148,0.9832844821228379,-0.41453158697481457,36.60713341678708,-0.3421222743770914,-0.13049914823124725,776.0,44.80369515011547
12,AS + UM 15:30,1732.0,0.010427514720203979,0.11376501982181171,-1.228070321713667,-0.01827827829442702,0.0356789174815047,0.07362557262582817,0.22972973901801108,-3.459474691548716,21.564482669902652,3.814573686433048,1.4550312979509827,0.0,0.0
13,always short,1732.0,0.005226637483777908,0.1646692180205415,-1.717105161821745,-0.028829057154104998,0.048202156146806674,0.09260738817074368,0.29190750274064226,-3.587517309223077,21.182120928631598,1.3209424576307596,0.5038603987336501,0.0,0.0
13,long-short volatility,1732.0,0.000192751752875367,0.16475207953060966,-1.717105161821745,-0.058739998910134344,0.03172318565538906,0.08484245478174762,1.00777200088331,-2.637843396784374,20.696306882724613,0.04869017943080828,0.018572386011743824,406.0,23.44110854503464
13,unit-median VRP,1732.0,-0.0025290953238310513,0.18132423529072283,-2.7136925707030777,-0.025009386999130145,0.008425341162469962,0.0465744455321973,1.9588814856087253,-4.4531430322102485,72.52224142918934,-0.5804746894657449,-0.2214163128752712,406.0,23.44110854503464
13,AS + UM 15:30,1732.0,0.005226637483777908,0.1646692180205415,-1.717105161821745,-0.028829057154104998,0.048202156146806674,0.09260738817074368,0.29190750274064226,-3.587517309223077,21.182120928631598,1.3209424576307596,0.5038603987336501,0.0,0.0
14,always short,1732.0,0.013242344513589108,0.27033282817207605,-5.148936170212766,-0.03956771017672811,0.07813752286752396,0.14460734820967497,0.37969924218982554,-6.647657033919041,91.10028309923608,2.038637638860502,0.7776181071748148,0.0,0.0
14,long-short volatility,1732.0,0.004901341047793784,0.27061275276471763,-5.148936170212766,-0.1079929285898914,0.048597711848160696,0.1321646568102602,1.9126984952949226,-5.331303498361895,89.81089572047428,0.7537730530707779,0.2875192548175983,478.0,27.598152424942263
14,unit-median VRP,1732.0,0.014535670067157634,0.31298130623683446,-3.0688325967813874,-0.044763286450832655,0.018227844063780592,0.09251828275278519,5.608946889339899,2.096262373308266,73.63349661077609,1.932816399353999,0.7372536449499663,478.0,27.598152424942263
14,AS + UM 15:30,1732.0,0.013242344513589108,0.27033282817207605,-5.148936170212766,-0.03956771017672811,0.07813752286752396,0.14460734820967497,0.37969924218982554,-6.647657033919041,91.10028309923608,2.038637638860502,0.7776181071748148,0.0,0.0
15,always short,1732.0,0.03715750446126601,0.8412858260876075,-10.31604850795286,-0.15716534342003835,0.20319867252384316,0.3965188493065799,1.0,-2.981108041930955,20.00201484955916,1.838132908653345,0.7011375665376688,0.0,0.0
15,long-short volatility,1732.0,0.0184238820759097,0.8419047947413582,-10.31604850795286,-0.2788557348225486,0.13618179823741466,0.38513136982893903,4.626674107142857,-2.3688951094247286,19.62475975160125,0.91073516592701,0.34739089594242645,350.0,20.207852193995382
15,unit-median VRP,1732.0,0.05030265899789572,1.0383599221193605,-8.185975064631315,-0.1555329785225281,0.06251381802961799,0.3951386147390399,3.178341480447077,-1.5377574892012422,9.771641751918496,2.016122744748864,0.7690300241292576,350.0,20.207852193995382
15,AS + UM 15:30,1732.0,0.0640425094578001,1.0207000439710485,-8.185975064631315,-0.15012859906403395,0.16046540482370109,0.3556434516630759,3.178341480447077,-1.63819507917963,10.51101514852536,2.611224136562657,0.996025547540667,114.0,6.581986143187067
