book,unit,reference,sample,n,mean_diff,sd_diff,t_hac,t_lag,d_Sharpe
q-selector expanding | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector expanding | hold | unconditional,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,6.950495530052374,-2.7257150497627745,11,-1.6013781614202522
q-selector expanding | hold | unconditional,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,6.884586804723783,-1.9371903450115666,16,-0.664188303114289
q-selector expanding | hold | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,3.922919527162202,0.5129998823435493,14,0.4003413965360063
q-selector expanding | hold | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | hold | unconditional,index points per contract,fixed 15:00,all,1279,0.054152815936548984,3.2276111177882014,0.5169705344942662,16,0.20871299994364512
q-selector expanding | hold | thresholded,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector expanding | hold | thresholded,premium,fixed 11:00,unseen,413,0.005556360065088347,0.7587147877825823,0.13823199210049011,11,-0.6564900314747595
q-selector expanding | hold | thresholded,premium,fixed 11:00,all,1279,-0.01082635399392072,0.6934931612655654,-0.519900413726596,16,-1.5744926514139417
q-selector expanding | hold | thresholded,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,0.6051014861452738,-0.012776548200355644,14,-0.4929242435589274
q-selector expanding | hold | thresholded,premium,fixed 13:30,unseen,413,-0.03280993408521144,0.6152583809903076,-0.9568598303755453,11,-1.4265030568539199
q-selector expanding | hold | thresholded,premium,fixed 13:30,all,1279,-0.010772652643751308,0.6083494061898728,-0.6004934232518916,16,-0.8012046817321345
q-selector expanding | hold | thresholded,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,0.24086200265314298,0.0407304290492077,14,0.0802315129377229
q-selector expanding | hold | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | hold | thresholded,premium,fixed 15:00,all,1279,0.00025645013414372307,0.19815776415356207,0.041780602743154156,16,0.048727915340520234
q-selector expanding | hold | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,7.750096638225502,-3.2179716078411427,14,-1.7463113105632806
q-selector expanding | hold | thresholded,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,10.36872505445733,-0.5678799520005801,11,-0.31487861172270765
q-selector expanding | hold | thresholded,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,8.682714374316285,-2.8073810471424263,16,-1.0801197985571676
q-selector expanding | hold | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,6.842630969451883,-0.5786419462803533,14,-0.07886479376008926
q-selector expanding | hold | thresholded,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,6.950495530052374,-2.7257150497627745,11,-1.6013781614202522
q-selector expanding | hold | thresholded,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,6.884586804723783,-1.9371903450115666,16,-0.664188303114289
q-selector expanding | hold | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,3.922919527162202,0.5129998823435493,14,0.4003413965360063
q-selector expanding | hold | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | hold | thresholded,index points per contract,fixed 15:00,all,1279,0.054152815936548984,3.2276111177882014,0.5169705344942662,16,0.20871299994364512
q-selector expanding | flatten | unconditional,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,0.4115593135263149,-2.62604728554902,14,-1.8030854783920613
q-selector expanding | flatten | unconditional,premium,fixed 11:00,unseen,413,-0.0017982838580875187,0.4077949017951248,-0.08808143031375837,11,0.32312605861445864
q-selector expanding | flatten | unconditional,premium,fixed 11:00,all,1279,-0.024834505678335613,0.4104966115403374,-2.186873868035909,16,-1.128722803565054
q-selector expanding | flatten | unconditional,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,0.3984337571954506,-1.4517947080092817,14,-0.7799376499593019
q-selector expanding | flatten | unconditional,premium,fixed 13:30,unseen,413,-0.034628054208464196,0.40275288948187915,-1.7281113467513565,11,-0.9536871400204361
q-selector expanding | flatten | unconditional,premium,fixed 13:30,all,1279,-0.024084734579724796,0.3997422496363872,-2.2058642784613767,16,-0.9060383707526634
q-selector expanding | flatten | unconditional,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,0.08044146706965802,0.8686811120340912,14,0.13717642645609968
q-selector expanding | flatten | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | flatten | unconditional,premium,fixed 15:00,all,1279,0.0019585751530859286,0.06619319810195094,0.8730356718899822,16,0.10607843460794042
q-selector expanding | flatten | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,6.145211977311946,-3.1897068765289904,14,-1.5079739007735773
q-selector expanding | flatten | unconditional,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,8.700806247372007,0.027548038704346554,11,-0.002386691509079421
q-selector expanding | flatten | unconditional,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,7.075220777078627,-2.1712906666717116,16,-0.8234833026967696
q-selector expanding | flatten | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,4.656318716009354,-1.718566650157183,14,-0.7443508579052776
q-selector expanding | flatten | unconditional,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,5.931520107467071,-2.3811148794647057,11,-1.5623581667475364
q-selector expanding | flatten | unconditional,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,5.103739885033364,-2.830222480557314,16,-1.0287793002083614
q-selector expanding | flatten | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,0.9681941767773757,1.0226915123550386,14,0.17889045397251999
q-selector expanding | flatten | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | flatten | unconditional,index points per contract,fixed 15:00,all,1279,0.025663046577873296,0.7967327082905594,1.0031491658123377,16,0.11915283438117934
q-selector expanding | flatten | thresholded,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,0.4115593135263149,-2.62604728554902,14,-1.8030854783920613
q-selector expanding | flatten | thresholded,premium,fixed 11:00,unseen,413,-0.0017982838580875187,0.4077949017951248,-0.08808143031375837,11,0.32312605861445864
q-selector expanding | flatten | thresholded,premium,fixed 11:00,all,1279,-0.024834505678335613,0.4104966115403374,-2.186873868035909,16,-1.128722803565054
q-selector expanding | flatten | thresholded,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,0.3984337571954506,-1.4517947080092817,14,-0.7799376499593019
q-selector expanding | flatten | thresholded,premium,fixed 13:30,unseen,413,-0.034628054208464196,0.40275288948187915,-1.7281113467513565,11,-0.9536871400204361
q-selector expanding | flatten | thresholded,premium,fixed 13:30,all,1279,-0.024084734579724796,0.3997422496363872,-2.2058642784613767,16,-0.9060383707526634
q-selector expanding | flatten | thresholded,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,0.08044146706965802,0.8686811120340912,14,0.13717642645609968
q-selector expanding | flatten | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | flatten | thresholded,premium,fixed 15:00,all,1279,0.0019585751530859286,0.06619319810195094,0.8730356718899822,16,0.10607843460794042
q-selector expanding | flatten | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,6.145211977311946,-3.1897068765289904,14,-1.5079739007735773
q-selector expanding | flatten | thresholded,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,8.700806247372007,0.027548038704346554,11,-0.002386691509079421
q-selector expanding | flatten | thresholded,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,7.075220777078627,-2.1712906666717116,16,-0.8234833026967696
q-selector expanding | flatten | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,4.656318716009354,-1.718566650157183,14,-0.7443508579052776
q-selector expanding | flatten | thresholded,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,5.931520107467071,-2.3811148794647057,11,-1.5623581667475364
q-selector expanding | flatten | thresholded,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,5.103739885033364,-2.830222480557314,16,-1.0287793002083614
q-selector expanding | flatten | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,0.9681941767773757,1.0226915123550386,14,0.17889045397251999
q-selector expanding | flatten | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector expanding | flatten | thresholded,index points per contract,fixed 15:00,all,1279,0.025663046577873296,0.7967327082905594,1.0031491658123377,16,0.11915283438117934
q-selector rolling 126 | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector rolling 126 | hold | unconditional,premium,fixed 11:00,unseen,413,0.005556360065088347,0.7587147877825823,0.13823199210049011,11,-0.6564900314747595
q-selector rolling 126 | hold | unconditional,premium,fixed 11:00,all,1279,-0.01082635399392072,0.6934931612655654,-0.519900413726596,16,-1.5744926514139417
q-selector rolling 126 | hold | unconditional,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,0.6051014861452738,-0.012776548200355644,14,-0.4929242435589274
q-selector rolling 126 | hold | unconditional,premium,fixed 13:30,unseen,413,-0.03280993408521144,0.6152583809903076,-0.9568598303755453,11,-1.4265030568539199
q-selector rolling 126 | hold | unconditional,premium,fixed 13:30,all,1279,-0.010772652643751308,0.6083494061898728,-0.6004934232518916,16,-0.8012046817321345
q-selector rolling 126 | hold | unconditional,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,0.24086200265314298,0.0407304290492077,14,0.0802315129377229
q-selector rolling 126 | hold | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | hold | unconditional,premium,fixed 15:00,all,1279,0.00025645013414372307,0.19815776415356207,0.041780602743154156,16,0.048727915340520234
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,7.750096638225502,-3.2179716078411427,14,-1.7463113105632806
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,10.36872505445733,-0.5678799520005801,11,-0.31487861172270765
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,8.682714374316285,-2.8073810471424263,16,-1.0801197985571676
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,6.842630969451883,-0.5786419462803533,14,-0.07886479376008926
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,6.950495530052374,-2.7257150497627745,11,-1.6013781614202522
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,6.884586804723783,-1.9371903450115666,16,-0.664188303114289
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,3.922919527162202,0.5129998823435493,14,0.4003413965360063
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | hold | unconditional,index points per contract,fixed 15:00,all,1279,0.054152815936548984,3.2276111177882014,0.5169705344942662,16,0.20871299994364512
q-selector rolling 126 | hold | thresholded,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector rolling 126 | hold | thresholded,premium,fixed 11:00,unseen,413,0.005556360065088347,0.7587147877825823,0.13823199210049011,11,-0.6564900314747595
q-selector rolling 126 | hold | thresholded,premium,fixed 11:00,all,1279,-0.01082635399392072,0.6934931612655654,-0.519900413726596,16,-1.5744926514139417
q-selector rolling 126 | hold | thresholded,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,0.6051014861452738,-0.012776548200355644,14,-0.4929242435589274
q-selector rolling 126 | hold | thresholded,premium,fixed 13:30,unseen,413,-0.03280993408521144,0.6152583809903076,-0.9568598303755453,11,-1.4265030568539199
q-selector rolling 126 | hold | thresholded,premium,fixed 13:30,all,1279,-0.010772652643751308,0.6083494061898728,-0.6004934232518916,16,-0.8012046817321345
q-selector rolling 126 | hold | thresholded,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,0.24086200265314298,0.0407304290492077,14,0.0802315129377229
q-selector rolling 126 | hold | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | hold | thresholded,premium,fixed 15:00,all,1279,0.00025645013414372307,0.19815776415356207,0.041780602743154156,16,0.048727915340520234
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,7.750096638225502,-3.2179716078411427,14,-1.7463113105632806
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,10.36872505445733,-0.5678799520005801,11,-0.31487861172270765
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,8.682714374316285,-2.8073810471424263,16,-1.0801197985571676
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,6.842630969451883,-0.5786419462803533,14,-0.07886479376008926
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,6.950495530052374,-2.7257150497627745,11,-1.6013781614202522
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,6.884586804723783,-1.9371903450115666,16,-0.664188303114289
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,3.922919527162202,0.5129998823435493,14,0.4003413965360063
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | hold | thresholded,index points per contract,fixed 15:00,all,1279,0.054152815936548984,3.2276111177882014,0.5169705344942662,16,0.20871299994364512
q-selector rolling 126 | flatten | unconditional,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,0.4115593135263149,-2.62604728554902,14,-1.8030854783920613
q-selector rolling 126 | flatten | unconditional,premium,fixed 11:00,unseen,413,-0.0017982838580875187,0.4077949017951248,-0.08808143031375837,11,0.32312605861445864
q-selector rolling 126 | flatten | unconditional,premium,fixed 11:00,all,1279,-0.024834505678335613,0.4104966115403374,-2.186873868035909,16,-1.128722803565054
q-selector rolling 126 | flatten | unconditional,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,0.3984337571954506,-1.4517947080092817,14,-0.7799376499593019
q-selector rolling 126 | flatten | unconditional,premium,fixed 13:30,unseen,413,-0.034628054208464196,0.40275288948187915,-1.7281113467513565,11,-0.9536871400204361
q-selector rolling 126 | flatten | unconditional,premium,fixed 13:30,all,1279,-0.024084734579724796,0.3997422496363872,-2.2058642784613767,16,-0.9060383707526634
q-selector rolling 126 | flatten | unconditional,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,0.08044146706965802,0.8686811120340912,14,0.13717642645609968
q-selector rolling 126 | flatten | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | flatten | unconditional,premium,fixed 15:00,all,1279,0.0019585751530859286,0.06619319810195094,0.8730356718899822,16,0.10607843460794042
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,6.145211977311946,-3.1897068765289904,14,-1.5079739007735773
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,8.700806247372007,0.027548038704346554,11,-0.002386691509079421
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,7.075220777078627,-2.1712906666717116,16,-0.8234833026967696
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,4.656318716009354,-1.718566650157183,14,-0.7443508579052776
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,5.931520107467071,-2.3811148794647057,11,-1.5623581667475364
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,5.103739885033364,-2.830222480557314,16,-1.0287793002083614
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,0.9681941767773757,1.0226915123550386,14,0.17889045397251999
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | flatten | unconditional,index points per contract,fixed 15:00,all,1279,0.025663046577873296,0.7967327082905594,1.0031491658123377,16,0.11915283438117934
q-selector rolling 126 | flatten | thresholded,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,0.4115593135263149,-2.62604728554902,14,-1.8030854783920613
q-selector rolling 126 | flatten | thresholded,premium,fixed 11:00,unseen,413,-0.0017982838580875187,0.4077949017951248,-0.08808143031375837,11,0.32312605861445864
q-selector rolling 126 | flatten | thresholded,premium,fixed 11:00,all,1279,-0.024834505678335613,0.4104966115403374,-2.186873868035909,16,-1.128722803565054
q-selector rolling 126 | flatten | thresholded,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,0.3984337571954506,-1.4517947080092817,14,-0.7799376499593019
q-selector rolling 126 | flatten | thresholded,premium,fixed 13:30,unseen,413,-0.034628054208464196,0.40275288948187915,-1.7281113467513565,11,-0.9536871400204361
q-selector rolling 126 | flatten | thresholded,premium,fixed 13:30,all,1279,-0.024084734579724796,0.3997422496363872,-2.2058642784613767,16,-0.9060383707526634
q-selector rolling 126 | flatten | thresholded,premium,fixed 15:00,deck in-sample,866,0.0028926300471095877,0.08044146706965802,0.8686811120340912,14,0.13717642645609968
q-selector rolling 126 | flatten | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | flatten | thresholded,premium,fixed 15:00,all,1279,0.0019585751530859286,0.06619319810195094,0.8730356718899822,16,0.10607843460794042
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.6413481712692582,6.145211977311946,-3.1897068765289904,14,-1.5079739007735773
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 11:00,unseen,413,0.012310105368400395,8.700806247372007,0.027548038704346554,11,-0.002386691509079421
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 11:00,all,1279,-0.43027634308211754,7.075220777078627,-2.1712906666717116,16,-0.8234833026967696
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.2719706535044624,4.656318716009354,-1.718566650157183,14,-0.7443508579052776
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 13:30,unseen,413,-0.6494887267479803,5.931520107467071,-2.3811148794647057,11,-1.5623581667475364
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 13:30,all,1279,-0.3938744566706649,5.103739885033364,-2.830222480557314,16,-1.0287793002083614
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.03790188980727477,0.9681941767773757,1.0226915123550386,14,0.17889045397251999
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 126 | flatten | thresholded,index points per contract,fixed 15:00,all,1279,0.025663046577873296,0.7967327082905594,1.0031491658123377,16,0.11915283438117934
q-selector rolling 252 | hold | unconditional,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector rolling 252 | hold | unconditional,premium,fixed 11:00,unseen,413,0.005556360065088347,0.7587147877825823,0.13823199210049011,11,-0.6564900314747595
q-selector rolling 252 | hold | unconditional,premium,fixed 11:00,all,1279,-0.01082635399392072,0.6934931612655654,-0.519900413726596,16,-1.5744926514139417
q-selector rolling 252 | hold | unconditional,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,0.6051014861452738,-0.012776548200355644,14,-0.4929242435589274
q-selector rolling 252 | hold | unconditional,premium,fixed 13:30,unseen,413,-0.03280993408521144,0.6152583809903076,-0.9568598303755453,11,-1.4265030568539199
q-selector rolling 252 | hold | unconditional,premium,fixed 13:30,all,1279,-0.010772652643751308,0.6083494061898728,-0.6004934232518916,16,-0.8012046817321345
q-selector rolling 252 | hold | unconditional,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,0.24086200265314298,0.0407304290492077,14,0.0802315129377229
q-selector rolling 252 | hold | unconditional,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 252 | hold | unconditional,premium,fixed 15:00,all,1279,0.00025645013414372307,0.19815776415356207,0.041780602743154156,16,0.048727915340520234
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,7.750096638225502,-3.2179716078411427,14,-1.7463113105632806
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,10.36872505445733,-0.5678799520005801,11,-0.31487861172270765
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,8.682714374316285,-2.8073810471424263,16,-1.0801197985571676
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,6.842630969451883,-0.5786419462803533,14,-0.07886479376008926
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,6.950495530052374,-2.7257150497627745,11,-1.6013781614202522
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,6.884586804723783,-1.9371903450115666,16,-0.664188303114289
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,3.922919527162202,0.5129998823435493,14,0.4003413965360063
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 252 | hold | unconditional,index points per contract,fixed 15:00,all,1279,0.054152815936548984,3.2276111177882014,0.5169705344942662,16,0.20871299994364512
q-selector rolling 252 | hold | thresholded,premium,fixed 11:00,deck in-sample,866,-0.018639357350007043,0.6604441791263829,-0.7802158653112365,14,-2.1024356910648514
q-selector rolling 252 | hold | thresholded,premium,fixed 11:00,unseen,413,0.005556360065088347,0.7587147877825823,0.13823199210049011,11,-0.6564900314747595
q-selector rolling 252 | hold | thresholded,premium,fixed 11:00,all,1279,-0.01082635399392072,0.6934931612655654,-0.519900413726596,16,-1.5744926514139417
q-selector rolling 252 | hold | thresholded,premium,fixed 13:30,deck in-sample,866,-0.0002629560671658192,0.6051014861452738,-0.012776548200355644,14,-0.4929242435589274
q-selector rolling 252 | hold | thresholded,premium,fixed 13:30,unseen,413,-0.03280993408521144,0.6152583809903076,-0.9568598303755453,11,-1.4265030568539199
q-selector rolling 252 | hold | thresholded,premium,fixed 13:30,all,1279,-0.010772652643751308,0.6083494061898728,-0.6004934232518916,16,-0.8012046817321345
q-selector rolling 252 | hold | thresholded,premium,fixed 15:00,deck in-sample,866,0.0003787525653231199,0.24086200265314298,0.0407304290492077,14,0.0802315129377229
q-selector rolling 252 | hold | thresholded,premium,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 252 | hold | thresholded,premium,fixed 15:00,all,1279,0.00025645013414372307,0.19815776415356207,0.041780602743154156,16,0.048727915340520234
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 11:00,deck in-sample,866,-0.8727347094408104,7.750096638225502,-3.2179716078411427,14,-1.7463113105632806
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 11:00,unseen,413,-0.280290232337575,10.36872505445733,-0.5678799520005801,11,-0.31487861172270765
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 11:00,all,1279,-0.6814293388046602,8.682714374316285,-2.8073810471424263,16,-1.0801197985571676
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 13:30,deck in-sample,866,-0.14563069163506903,6.842630969451883,-0.5786419462803533,14,-0.07886479376008926
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 13:30,unseen,413,-0.9250973606019238,6.950495530052374,-2.7257150497627745,11,-1.6013781614202522
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 13:30,all,1279,-0.39732712188003466,6.884586804723783,-1.9371903450115666,16,-0.664188303114289
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 15:00,deck in-sample,866,0.07997858150444129,3.922919527162202,0.5129998823435493,14,0.4003413965360063
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 15:00,unseen,413,0.0,0.0,,11,0.0
q-selector rolling 252 | hold | thresholded,index points per contract,fixed 15:00,all,1279,0.054152815936548984,3.2276111177882014,0.5169705344942662,16,0.20871299994364512
q-selector rolling 252 | flatten | unconditional,premium,fixed 11:00,deck in-sample,866,-0.0358206022277149,0.4115593135263149,-2.62604728554902,14,-1.8030854783920613
q-selector rolling 252 | flatten | unconditional,premium,fixed 11:00,unseen,413,-0.0017982838580875187,0.4077949017951248,-0.08808143031375837,11,0.32312605861445864
q-selector rolling 252 | flatten | unconditional,premium,fixed 11:00,all,1279,-0.024834505678335613,0.4104966115403374,-2.186873868035909,16,-1.128722803565054
q-selector rolling 252 | flatten | unconditional,premium,fixed 13:30,deck in-sample,866,-0.01905656944500265,0.3984337571954506,-1.4517947080092817,14,-0.7799376499593019
q-selector rolling 252 | flatten | unconditional,premium,fixed 13:30,unseen,413,-0.034628054208464196,0.40275288948187915,-1.7281113467513565,11,-0.9536871400204361
q-selector rolling 252 | flatten | unconditional,premium,fixed 13:30,all,1279,-0.024084734579724796,0.3997422496363872,-2.2058642784613767,16,-0.9060383707526634
