block,book,sample,selection,family,forecast,theta,rule,n_days,n_traded,n_satout,frac_satout,mean_traded,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_satout,mean_weight,mean_weight_traded,Sharpe_always_sell,delta_Sharpe,mean_always_sell,beats_always_sell,modal_pick,modal_pick_share,frac_null_chosen
fixed_cell_oos,hold_settle,whole,,margin,blk2_inc,0.0,"sell only when v >= 0.00, block-diagonal ridge, without the FOMC columns",797,446,351,0.44040150564617314,0.11483636947754194,0.06426225945669224,0.29102417493007104,3.505316159739037,6.233846229103412,-3.1512645066392793,-2.086057830199802,2024-04-04,0.07889027591952412,0.5595984943538268,1.0,3.9717911256867424,-0.4664749659477052,0.09900565575249269,False,"sell only when v >= 0.00, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,margin,blk2_inc,0.05,"sell only when v >= 0.05, block-diagonal ridge, without the FOMC columns",797,355,442,0.5545796737766625,0.11302621429891943,0.05034417324481355,0.27092148583873776,2.9498914481713574,5.246080194323028,-3.530917774261532,-2.086057830199802,2024-04-04,0.08774479990638073,0.4454203262233375,1.0,3.9717911256867424,-1.021899677515385,0.09900565575249269,False,"sell only when v >= 0.05, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,margin,blk2_inc,0.1,"sell only when v >= 0.10, block-diagonal ridge, without the FOMC columns",797,252,545,0.6838143036386449,0.1043495413247339,0.032993832388748985,0.24043212852036477,2.1784145697196413,3.874087480851288,-2.922638160261128,-2.086057830199802,2024-04-04,0.09653472150624538,0.3161856963613551,1.0,3.9717911256867424,-1.793376555967101,0.09900565575249269,False,"sell only when v >= 0.10, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,margin,blk2_inc,0.15,"sell only when v >= 0.15, block-diagonal ridge, without the FOMC columns",797,181,616,0.7728983688833124,0.10215534070706345,0.023199644501855066,0.1894956158628751,1.9434905523544868,3.456299146492706,-2.7666896702871275,-1.5903495409908224,2023-07-27,0.09808018014084122,0.22710163111668757,1.0,3.9717911256867424,-2.0283005733322557,0.09900565575249269,False,"sell only when v >= 0.15, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,margin,blk2_inc,0.2,"sell only when v >= 0.20, block-diagonal ridge, without the FOMC columns",797,127,670,0.8406524466750314,0.09901018933374942,0.015777031424574876,0.16698839494624892,1.4998204488298383,2.6672772506677784,-2.495319865364843,-1.5903495409908224,2023-07-27,0.09900479640201568,0.15934755332496864,1.0,3.9717911256867424,-2.471970676856904,0.09900565575249269,False,"sell only when v >= 0.20, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,margin,blk2_inc,0.3,"sell only when v >= 0.30, block-diagonal ridge, without the FOMC columns",797,50,747,0.9372647427854455,0.08804812215394046,0.005523721590585977,0.08234071913151222,1.0649210107266818,1.893853086138097,-1.7956210963390293,-0.8806021281398867,2023-02-07,0.09973909173633154,0.06273525721455459,1.0,3.9717911256867424,-2.9068701149600606,0.09900565575249269,False,"sell only when v >= 0.30, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lgbm,0.0,"sell only when v >= 0.00, LightGBM",797,455,342,0.42910915934755334,0.1119254014470247,0.0638971865224545,0.292113545353648,3.4724045023750176,6.1753162130356145,-3.6206989433140535,-2.086057830199802,2024-04-04,0.0818171051939779,0.5708908406524467,1.0,3.9717911256867424,-0.4993866233117248,0.09900565575249269,False,"sell only when v >= 0.00, LightGBM",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lgbm,0.05,"sell only when v >= 0.05, LightGBM",797,360,437,0.548306148055207,0.11394211126797311,0.051466951137352966,0.271827525839814,3.0056283599857085,5.345202590621122,-2.8867467549154107,-2.086057830199802,2024-04-04,0.08670102420655919,0.451693851944793,1.0,3.9717911256867424,-0.9661627657010339,0.09900565575249269,False,"sell only when v >= 0.05, LightGBM",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lgbm,0.1,"sell only when v >= 0.10, LightGBM",797,262,535,0.671267252195734,0.11126899258027836,0.03657776167632739,0.2336575588688965,2.485063904102108,4.419431954697414,-3.1059426908109184,-1.5903495409908224,2023-07-27,0.09300005902561449,0.328732747804266,1.0,3.9717911256867424,-1.4867272215846343,0.09900565575249269,False,"sell only when v >= 0.10, LightGBM",1.0,
fixed_cell_oos,hold_settle,whole,,margin,lgbm,0.15,"sell only when v >= 0.15, LightGBM",797,182,615,0.7716436637390214,0.11075270001280844,0.025291080805936183,0.2008289846193071,1.9991310615065447,3.5552501005169996,-2.886757108009405,-1.5903495409908224,2023-07-27,0.09552929468683828,0.22835633626097868,1.0,3.9717911256867424,-1.9726600641801977,0.09900565575249269,False,"sell only when v >= 0.15, LightGBM",1.0,
