split,n,series,target,corr,lo,hi
other,814,log(rv_hat / iv_var),pnl_mid,0.0177141320663873,-0.04940416225536978,0.07927016942636006
other,814,log(rv_hat / iv_var),pnl_crossed,0.015551304164281354,-0.05272709195939791,0.07769486877466994
other,814,log(rv_hat / iv_var),buy_decision,0.7649480653534352,0.7400165604598324,0.7896774632538811
all,866,log baseline (diurnal scale),pnl_mid,-0.05250343512004853,-0.12003530193958326,0.027093681700579644
all,866,log baseline (diurnal scale),pnl_crossed,-0.05518530111037574,-0.12284590276216974,0.025075038017280466
all,866,log baseline (diurnal scale),buy_decision,-0.047836933331747884,-0.1500251653329635,0.0515189234977599
all,866,log rv_hat - log baseline (the yhat part),pnl_mid,-0.000964371505008003,-0.06145035527036164,0.05535628240669488
all,866,log rv_hat - log baseline (the yhat part),pnl_crossed,-0.003120050784289178,-0.06398355789648495,0.05468403326535513
all,866,log rv_hat - log baseline (the yhat part),buy_decision,0.038991282070213774,-0.05226391885545097,0.12185697858297574
all,866,log baseline - log iv_var,pnl_mid,0.021128273915814382,-0.03675633499871001,0.08012170592463104
all,866,log baseline - log iv_var,pnl_crossed,0.022057360147779204,-0.03748408248244913,0.08030862499689426
all,866,log baseline - log iv_var,buy_decision,0.32805483986142886,0.24566771758535608,0.409758718531074
month_end,52,log baseline (diurnal scale),pnl_mid,0.019793709088408953,-0.25573454698723275,0.2534704235287914
month_end,52,log baseline (diurnal scale),pnl_crossed,0.022879762672001237,-0.2569587898139345,0.25704713356143655
month_end,52,log baseline (diurnal scale),buy_decision,0.12532555498854928,-0.17221705676715307,0.3566171734442902
month_end,52,log rv_hat - log baseline (the yhat part),pnl_mid,-0.05128829443549477,-0.2671078376640349,0.15444501636845892
month_end,52,log rv_hat - log baseline (the yhat part),pnl_crossed,-0.054715013359356,-0.27894395002687217,0.15666396917149764
month_end,52,log rv_hat - log baseline (the yhat part),buy_decision,-0.12670593122299803,-0.29584641122768607,0.06648489256810425
month_end,52,log baseline - log iv_var,pnl_mid,0.1249398420889687,-0.0911027064215223,0.34274809646449383
month_end,52,log baseline - log iv_var,pnl_crossed,0.12307088665677128,-0.095080585888992,0.34889637176642235
month_end,52,log baseline - log iv_var,buy_decision,0.4317122329997601,0.27835858392460094,0.5895192754887753
other,814,log baseline (diurnal scale),pnl_mid,-0.05794260139858292,-0.1324295412267453,0.03475622110462341
other,814,log baseline (diurnal scale),pnl_crossed,-0.061215849963993395,-0.13720990855564663,0.032235844839505014
other,814,log baseline (diurnal scale),buy_decision,-0.05642477653151568,-0.15867532876686083,0.03969001455129176
other,814,log rv_hat - log baseline (the yhat part),pnl_mid,0.010118744125711383,-0.053504486015633373,0.06846988055644505
other,814,log rv_hat - log baseline (the yhat part),pnl_crossed,0.00839872048433657,-0.0552926677577163,0.06744923836861459
other,814,log rv_hat - log baseline (the yhat part),buy_decision,0.05871953074223569,-0.03537116802291165,0.1482731865358809
other,814,log baseline - log iv_var,pnl_mid,-0.0008030983982794897,-0.061733481951162676,0.06171081840848189
other,814,log baseline - log iv_var,pnl_crossed,-0.0002620773453290314,-0.0640674792475557,0.06278113205922552
other,814,log baseline - log iv_var,buy_decision,0.31108717431357125,0.22420890443884847,0.3951777481166212
