split,n,feature,plain,target,corr_std_weight,lo_w,hi_w,corr_contribution,lo_c,hi_c
month_end,52,adj_vix3m_ma_3125,"VIX3M, mean of last 3125 bars",pnl_mid,-0.11519789366742923,-0.3152105510548404,0.09048225007759055,-0.11572600568220844,-0.31119565334398547,0.10247535945903392
month_end,52,adj_vix3m_ma_3125,"VIX3M, mean of last 3125 bars",pnl_crossed,-0.10989860788515675,-0.3023310735677395,0.09245015291697029,-0.11018834287306722,-0.3004072096007613,0.10293436679472943
month_end,52,adj_vix3m_ma_3125,"VIX3M, mean of last 3125 bars",buy_decision,-0.010292078404882603,-0.26799753604362775,0.2321952908046586,-0.1015962884838319,-0.31479678267320527,0.16570015910712058
month_end,52,adj_fomc_day_ma_1,"FOMC day flag, last bar",pnl_mid,0.20758664292424983,-0.0760953536881376,0.46363745303223486,-0.19954984833545486,-0.45814097159293826,0.07082172908655546
month_end,52,adj_fomc_day_ma_1,"FOMC day flag, last bar",pnl_crossed,0.2048511686823433,-0.07830512286989325,0.4648209417427097,-0.19677569917618323,-0.45861459993221015,0.07369374575695006
month_end,52,adj_fomc_day_ma_1,"FOMC day flag, last bar",buy_decision,0.18891795852879734,-0.12596556206707457,0.4456470889600594,-0.18561292490387318,-0.44775707140429766,0.1307474087270893
month_end,52,adj_fomc_day_ma_125,"FOMC day flag, mean of last 125 bars",pnl_mid,-0.06271526136288348,-0.2517429199633216,0.15577842869852948,0.13699033511069372,-0.0012865202744379123,0.3088712630100996
month_end,52,adj_fomc_day_ma_125,"FOMC day flag, mean of last 125 bars",pnl_crossed,-0.06154492699010089,-0.24735856569612927,0.1512906752157483,0.13851386805220117,0.00191114103949977,0.3059677778052968
month_end,52,adj_fomc_day_ma_125,"FOMC day flag, mean of last 125 bars",buy_decision,-0.07595278081186442,-0.3613923778763167,0.19557902670238858,-0.012847905212782637,-0.17685866753169918,0.33309594989553115
month_end,52,adj_fomc_day_ma_625,"FOMC day flag, mean of last 625 bars",pnl_mid,-0.12107546071747864,-0.31282843199052585,0.06856233196782098,0.24253426085645707,-0.02168736796590902,0.46065710831552575
month_end,52,adj_fomc_day_ma_625,"FOMC day flag, mean of last 625 bars",pnl_crossed,-0.11864686078264602,-0.308629921610027,0.0696356362834187,0.2446849510476999,-0.018573461698609635,0.461263572238824
month_end,52,adj_fomc_day_ma_625,"FOMC day flag, mean of last 625 bars",buy_decision,0.0833360977307644,-0.17200849069614396,0.2700662263674989,0.044637820006541165,-0.23081234226932934,0.3032121622605184
month_end,52,adj_fomc_day_ma_3125,"FOMC day flag, mean of last 3125 bars",pnl_mid,0.110796762185905,-0.1029298868407831,0.28779720847248547,0.014603023296453677,-0.24694432686640902,0.15884534611991608
month_end,52,adj_fomc_day_ma_3125,"FOMC day flag, mean of last 3125 bars",pnl_crossed,0.10422452777059685,-0.10272278074184826,0.2781644080922351,0.013913901945420897,-0.25057895110406136,0.15700452104536491
month_end,52,adj_fomc_day_ma_3125,"FOMC day flag, mean of last 3125 bars",buy_decision,0.21456408957231538,-0.09106764551934451,0.4155301554991539,-0.10640985342971976,-0.520788327801489,0.08252616553054912
month_end,52,adj_fomc_until_inv_ma_1,"1 / days to next FOMC, last bar",pnl_mid,-0.1329771128470737,-0.35098129110111653,0.11992889112426432,0.11190393275884775,-0.08684645128984002,0.304352925667596
month_end,52,adj_fomc_until_inv_ma_1,"1 / days to next FOMC, last bar",pnl_crossed,-0.126078933611083,-0.3430031414747649,0.12440121817350189,0.1089678061554082,-0.08530995758429963,0.2951310062938557
month_end,52,adj_fomc_until_inv_ma_1,"1 / days to next FOMC, last bar",buy_decision,-0.09838631399497538,-0.3504216283529955,0.19818623992585066,0.1698688138906948,-0.1446864669144438,0.46091896940662247
month_end,52,adj_fomc_until_inv_ma_5,"1 / days to next FOMC, mean of last 5 bars",pnl_mid,-0.12493950651418159,-0.34270661002581637,0.12278078814126193,0.10025632586292917,-0.11579866115687797,0.30398490572365705
month_end,52,adj_fomc_until_inv_ma_5,"1 / days to next FOMC, mean of last 5 bars",pnl_crossed,-0.11793603559380782,-0.33392805913116436,0.12814997643594706,0.09717026082524118,-0.11450484499263502,0.2943465958468147
month_end,52,adj_fomc_until_inv_ma_5,"1 / days to next FOMC, mean of last 5 bars",buy_decision,-0.09304202645176782,-0.34533959679959625,0.20536613088598046,0.18342014108549912,-0.1495574571022727,0.4837594995325002
month_end,52,adj_fomc_until_inv_ma_25,"1 / days to next FOMC, mean of last 25 bars",pnl_mid,-0.11006367967543115,-0.34733594963906483,0.15477439132731607,0.053409772106648566,-0.17970033133418578,0.26151224395797557
month_end,52,adj_fomc_until_inv_ma_25,"1 / days to next FOMC, mean of last 25 bars",pnl_crossed,-0.10376391789448457,-0.33809092406877683,0.15923128595125854,0.05157960877844044,-0.1748921077976977,0.2550052264747106
