reg,label,sample,penalty,date,candidate,kind,n,p,wald,pval,n_after,test
B1_actual,return (mid) on series contributions,deck,actual,2020-02-20,COVID crash start,data,866,8,,,845,one side < 15% of the sample
B1_actual,return (mid) on series contributions,deck,actual,2020-05-01,COVID crash end,data,866,8,,,813,one side < 15% of the sample
B1_actual,return (mid) on series contributions,deck,actual,2020-06-23,penalty 1000 to 100,penalty,866,8,,,790,one side < 15% of the sample
B1_actual,return (mid) on series contributions,deck,actual,2021-06-21,penalty 100 to 1000,penalty,866,8,19.835653651215363,0.01097603524892983,636,Chow (HAC Wald)
B1_actual,return (mid) on series contributions,deck,actual,2022-04-26,every-day expirations,data,866,8,23.273523363380203,0.0030302627865720346,500,Chow (HAC Wald)
B1_actual,return (mid) on series contributions,deck,actual,2020-02-20..2020-04-30,COVID episode (inside vs outside),data,866,8,0.9174063503095264,0.600426853750367,32,"Chow predictive F(32, 826)"
B1_1000.0,return (mid) on series contributions,deck,1000.0,2019-06-26,penalty 100 to 1000,penalty,866,8,,,0,before the sample
B1_1000.0,return (mid) on series contributions,deck,1000.0,2020-02-20,COVID crash start,data,866,8,,,845,one side < 15% of the sample
B1_1000.0,return (mid) on series contributions,deck,1000.0,2020-05-01,COVID crash end,data,866,8,,,813,one side < 15% of the sample
B1_1000.0,return (mid) on series contributions,deck,1000.0,2020-06-23,penalty 1000 to 100,penalty,866,8,,,790,one side < 15% of the sample
B1_1000.0,return (mid) on series contributions,deck,1000.0,2021-06-21,penalty 100 to 1000,penalty,866,8,21.178273104201708,0.0066886407421502874,636,Chow (HAC Wald)
B1_1000.0,return (mid) on series contributions,deck,1000.0,2022-04-26,every-day expirations,data,866,8,22.65065391408396,0.0038429492692854056,500,Chow (HAC Wald)
B1_1000.0,return (mid) on series contributions,deck,1000.0,2020-02-20..2020-04-30,COVID episode (inside vs outside),data,866,8,0.9567320486774195,0.537179296465939,32,"Chow predictive F(32, 826)"
