,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
"1530_deck | (a) ridge, deck MZ map | unit-median VRP mid",672.0,0.13508932437417065,1.3776955300668854,-10.652714021129912,-0.2771955000434795,0.0005745929504726468,0.5859946692342068,8.260566378261887,-0.38390404495283287,9.674474813042124,2.541864623309347,1.556567830584918,247.0,36.75595238095238
1530_dh | (c) (b) + causal recalibration | unit-median VRP mid,672.0,0.09408530520208462,1.2359676496004561,-11.848364445491379,-0.1261046961753485,0.09975825200310094,0.5265594639412695,3.006576950928183,-2.1956570837406324,16.46842338509123,1.973328239593916,1.2084118205074208,24.0,3.5714285714285716
1530_dh | (c) (b) + causal recalibration | unit-median VRP crossed,672.0,0.06752023285488062,1.234414096801557,-11.902516017837794,-0.1457782341123871,0.08299087521875079,0.5016031229479899,2.953649557465649,-2.2744882769079084,16.76497035604105,1.4179394812888158,0.8683070538260635,24.0,3.5714285714285716
"1500_unhedged | (a) ridge, deck MZ map | unit-median VRP mid",673.0,0.03949539058776226,0.46235470055992944,-3.615671659873931,-0.046460227824777656,0.027723289585109126,0.2175222331750276,1.8397213687612377,-2.5651485766784483,16.316904547867384,2.2160454737003175,1.356036583627669,165.0,24.517087667161963
"1500_unhedged | (a) ridge, deck MZ map | unit-median VRP crossed",673.0,-0.0036239427301182135,0.46721561396307065,-3.7238805900440095,-0.08061217744699407,0.0052670007264757936,0.16880778856430317,1.6515678754771155,-2.966052794174034,18.002945337655003,-0.2012201691849836,-0.12313010451133306,165.0,24.517087667161963
1500_unhedged | (b) p35 C2 combination | unit-median VRP mid,673.0,0.038214315723808547,0.451075660480785,-3.615671659873931,-0.042247436620309615,0.024621393685907104,0.20197947515984907,1.8397213687612377,-2.6615928542348737,17.68868581794262,2.197780044808512,1.3448596515263704,165.0,24.517087667161963
1500_unhedged | (b) p35 C2 combination | unit-median VRP crossed,673.0,-0.0032949027135022665,0.4560358706202049,-3.7238805900440095,-0.07475804800220476,0.004702578424651538,0.16307290529696383,1.6515678754771155,-3.089670301557434,19.528417103864786,-0.18743518689682082,-0.11469483524034875,165.0,24.517087667161963
1500_unhedged | (c) (b) + causal recalibration | unit-median VRP mid,673.0,0.04879383292056711,0.4486650480738476,-3.9837660812360514,-0.009215186676295815,0.05233658626656063,0.2185977200948784,1.5226337528235758,-3.48193295821496,24.187451326207313,2.82130623371351,1.72640611934017,29.0,4.3090638930163445
1500_unhedged | (c) (b) + causal recalibration | unit-median VRP crossed,673.0,0.006889707078871684,0.45788563560221773,-4.25649318665513,-0.030110928325196733,0.03393602177479915,0.18669638261838548,1.4485597882502876,-3.8464452918859773,26.362723160692184,0.39034738169731026,0.23886031951364575,29.0,4.3090638930163445
"1500_dh | (a) ridge, deck MZ map | unit-median VRP mid",673.0,0.07720851748623732,0.9325323949472126,-5.895952183722091,-0.15666297281532593,0.006738416005600817,0.3955468832453552,2.987276249931091,-0.8993488209644959,6.501602180779382,2.1478740845988127,1.3143213306351402,165.0,24.517087667161963
"1500_dh | (a) ridge, deck MZ map | unit-median VRP crossed",673.0,0.05668655860986331,0.9309714409107115,-5.941308666253199,-0.17229127513552633,0.002135950427523484,0.3723591353387468,2.9463672630591984,-0.9775216864644398,6.6192063339428,1.5796150605700818,0.9665937976469242,165.0,24.517087667161963
1500_dh | (b) p35 C2 combination | unit-median VRP mid,673.0,0.07300818070144484,0.9071809535485865,-5.895952183722091,-0.14647014262016878,0.00570545305061762,0.3579796535194427,2.987276249931091,-0.8938535096678347,6.769371830811166,2.0877819324989004,1.2775499026100945,165.0,24.517087667161963
1500_dh | (b) p35 C2 combination | unit-median VRP crossed,673.0,0.053254138374498196,0.9057701559259688,-5.941308666253199,-0.16055407227817603,0.0019643061855349614,0.34986892540814,2.9463672630591984,-0.9773052166679174,6.895825019448368,1.5252565104952251,0.9333308599458404,165.0,24.517087667161963
1500_dh | (c) (b) + causal recalibration | unit-median VRP mid,673.0,0.09786096346600398,0.87069729499577,-5.895952183722091,-0.08541363625051385,0.036813767117845606,0.42717791021690055,2.987276249931091,-0.997219507280536,7.27743195562963,2.915746910085934,1.784196003917632,29.0,4.3090638930163445
1500_dh | (c) (b) + causal recalibration | unit-median VRP crossed,673.0,0.07806445758958765,0.8698869667757677,-5.941308666253199,-0.089867188803953,0.03230465222778507,0.4043179311164987,2.9463672630591984,-1.085001226569833,7.432924837266259,2.3280808290309944,1.424592956811854,29.0,4.3090638930163445
