variant,family,book,sample,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero,verdict
V7_honest_blk2_R3,V7 honest,hold,daily_era,2000,21,0,2.5,97.5,489,-0.006894719342902315,-0.40654615788288634,0.34466566321022946,48.9,False,
V8_combination,V8 combination,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.0525063452851339,-0.02715060182335858,0.13094705685647579,90.25,False,
V8_combination,V8 combination,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.0355180259042634,-0.09152074361384813,0.1539118886894558,70.0,False,no evidence
V8_combination,V8 combination,exit_mid,whole,2000,21,0,2.5,97.5,865,0.06049353870989506,-0.03569349856675759,0.15654896810606028,89.45,False,
V8_combination,V8 combination,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.037797838504009966,-0.10678033206305831,0.17426188132515394,68.8,False,
V8_combination,V8 combination,hold,whole,2000,21,0,2.5,97.5,865,0.04389199110932554,-0.03589671536349502,0.12712749756235628,85.45,False,
V8_combination,V8 combination,hold,daily_era,2000,21,0,2.5,97.5,489,0.03024584001614359,-0.08813168846308687,0.1311126218433935,70.39999999999999,False,
V9_implied_bc,V9 bias-corrected implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.1309569244741494,0.05266980309665783,0.21936214098613388,100.0,True,
V9_implied_bc,V9 bias-corrected implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.17555194627816872,0.06328949647804978,0.3005113715778494,99.95,True,improves
V9_implied_bc,V9 bias-corrected implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.16196786061926757,0.0677973683579127,0.26386129996809016,100.0,True,
V9_implied_bc,V9 bias-corrected implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.19738697645369047,0.0735250928762355,0.3347261495474597,99.95,True,
V9_implied_bc,V9 bias-corrected implied,hold,whole,2000,21,0,2.5,97.5,865,0.13037508653384805,0.043234899394988306,0.23608384028922633,99.9,True,
V9_implied_bc,V9 bias-corrected implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.10001723818850239,-0.005041227109298298,0.2405291528189192,96.95,False,
V10_blend_0.50,V10 blend,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.08502446697915819,-0.03095522582799164,0.19987509949760643,93.2,False,
V10_blend_0.50,V10 blend,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.05349841439573353,-0.1357414853017915,0.23081779016411055,69.89999999999999,False,no evidence
V10_blend_0.50,V10 blend,exit_mid,whole,2000,21,0,2.5,97.5,865,0.09373373958881641,-0.045386601979389485,0.23112018716106172,90.5,False,
V10_blend_0.50,V10 blend,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.058085839037411956,-0.15815189598624124,0.2556233942544509,69.15,False,
V10_blend_0.50,V10 blend,hold,whole,2000,21,0,2.5,97.5,865,0.06931613969233469,-0.04211318222346191,0.18456059629055407,88.75,False,
V10_blend_0.50,V10 blend,hold,daily_era,2000,21,0,2.5,97.5,489,0.04429158523865308,-0.12284361181340823,0.19631579356236792,69.95,False,
