variant,family,book,sample,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
V7_honest_blk2_R3,V7 honest,hold,daily_era,489,-0.00023405607877564322,0.07949969191763073,-0.0651041853258409,-0.06820276693152874,11,0.5153374233128835,0.0
V8_combination,V8 combination,exit_crossed,whole,865,0.000881067954454127,0.023648523563072177,1.0957549156345288,1.222452564728403,14,0.484393063583815,0.07283236994219654
V8_combination,V8 combination,exit_crossed,daily_era,489,0.0006560121883267319,0.024416352237814482,0.5941355736340077,0.610287209306109,11,0.5337423312883436,0.0
V8_combination,V8 combination,exit_mid,whole,865,0.0008810679544541277,0.02364852356307218,1.0957549156345296,1.2224525647284041,14,0.484393063583815,0.07283236994219654
V8_combination,V8 combination,exit_mid,daily_era,489,0.0006560121883267322,0.024416352237814482,0.5941355736340079,0.6102872093061092,11,0.5337423312883436,0.0
V8_combination,V8 combination,hold,whole,865,0.0006467785686395498,0.02769941472566691,0.6867411665732562,0.7955854911211471,14,0.4797687861271676,0.07283236994219654
V8_combination,V8 combination,hold,daily_era,489,0.0005163418685956962,0.02648348422092085,0.43113834519251226,0.46198114388985767,11,0.5337423312883436,0.0
V9_implied_bc,V9 bias-corrected implied,exit_crossed,whole,865,0.0018886202927472482,0.02371722414947445,2.3420105516690617,2.7390318414673698,14,0.4485549132947977,0.07283236994219654
V9_implied_bc,V9 bias-corrected implied,exit_crossed,daily_era,489,0.0027396452173292793,0.02612845886238031,2.318648738888518,2.540921506042825,11,0.5071574642126789,0.0
V9_implied_bc,V9 bias-corrected implied,exit_mid,whole,865,0.0018886202927472467,0.023717224149474445,2.3420105516690604,2.739031841467368,14,0.4485549132947977,0.07283236994219654
V9_implied_bc,V9 bias-corrected implied,exit_mid,daily_era,489,0.002739645217329279,0.02612845886238031,2.3186487388885175,2.5409215060428245,11,0.5071574642126789,0.0
V9_implied_bc,V9 bias-corrected implied,hold,whole,865,0.0020708044087299126,0.02905826854075968,2.0959330294669583,2.5832296316410712,14,0.4936416184971098,0.07283236994219654
V9_implied_bc,V9 bias-corrected implied,hold,daily_era,489,0.001975406997180285,0.03085840139510538,1.415590350090064,1.6657472354680756,11,0.5337423312883436,0.0
V10_blend_0.50,V10 blend,exit_crossed,whole,865,0.0015128237913854766,0.0330256814819613,1.3472388920558036,1.4844308504704848,14,0.5202312138728323,0.0
V10_blend_0.50,V10 blend,exit_crossed,daily_era,489,0.0009293527666892873,0.03479213090778805,0.5906823540570247,0.6051633895899313,11,0.5276073619631901,0.0
V10_blend_0.50,V10 blend,exit_mid,whole,865,0.001512823791385477,0.0330256814819613,1.347238892055804,1.484430850470485,14,0.5202312138728323,0.0
V10_blend_0.50,V10 blend,exit_mid,daily_era,489,0.0009293527666892905,0.03479213090778805,0.5906823540570267,0.6051633895899332,11,0.5276073619631901,0.0
V10_blend_0.50,V10 blend,hold,whole,865,0.0012667001917065677,0.03629029655562108,1.0265766288480158,1.157522575042338,14,0.5179190751445086,0.0
V10_blend_0.50,V10 blend,hold,daily_era,489,0.0007919217490491692,0.03623600460583732,0.48327729712925915,0.5120617911616103,11,0.5316973415132924,0.0
