segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1100,11:00,reclasso,2000,common,package,1556,0.1477042909182923,0.1529564982336105,-0.005252207315318201,-3.433791552482134,-0.01035078331618229,0.00046921917630306296,False,False,False
bar1100,11:00,reclasso,2000,common,calibration,1556,0.14586514090012884,0.1529564982336105,-0.007091357333481638,-4.636192260789736,-0.009922594181408046,-0.004432547569543547,True,False,False
bar1100,11:00,reclasso,2000,common,as scored,1556,0.14576566545861924,0.14744843740198207,-0.0016827719433628108,-1.1412612931089565,-0.005788267573677079,0.00316800488387126,False,False,False
bar1100,11:00,reclasso,2000,deck period,coefficients,1116,0.1583557062326014,0.15405301290394102,0.0043026933286603565,2.7929952472550985,-0.0007172087902728157,0.010221122640449316,False,False,False
bar1100,11:00,reclasso,2000,deck period,package,1116,0.1583557062326014,0.15990716961146212,-0.0015514633788607328,-0.9702275280279392,-0.006761270355771609,0.004452613254430599,False,False,False
bar1100,11:00,reclasso,2000,deck period,calibration,1116,0.15405301290394102,0.15990716961146212,-0.005854156707521089,-3.66097200128384,-0.009333668771404303,-0.003096779956678492,True,False,False
bar1100,11:00,reclasso,2000,deck period,as scored,1116,0.15492697635099706,0.15410471682021426,0.0008222595307827871,0.5335719423449402,-0.003913163032300737,0.006195806041644386,False,False,False
bar1130,11:30,reclasso,500,common,coefficients,3058,0.13228022292787892,0.1332774426775606,-0.0009972197496816908,-0.7482284546037353,-0.003891977144120131,0.001920931842014,False,False,False
bar1130,11:30,reclasso,500,common,package,3058,0.13228022292787892,0.13863962218318593,-0.00635939925530703,-4.586999845472957,-0.009718914038608879,-0.0029902853445636615,True,False,False
bar1130,11:30,reclasso,500,common,calibration,3058,0.1332774426775606,0.13863962218318593,-0.00536217950562534,-3.8677107028899993,-0.007299036438754161,-0.00351486076887419,True,False,False
bar1130,11:30,reclasso,500,common,as scored,3058,0.1314882237877647,0.13624246770775483,-0.004754243919990106,-3.4895462479350683,-0.007884444373280576,-0.0015827951658939864,True,False,False
bar1130,11:30,reclasso,500,deck period,coefficients,1116,0.13984048083816256,0.14113187873329952,-0.0012913978951369642,-0.915029195903607,-0.005981300054591503,0.0031343279865251776,False,False,False
bar1130,11:30,reclasso,500,deck period,package,1116,0.13984048083816256,0.14858150246605306,-0.008741021627890514,-5.882981045966745,-0.013952077178970413,-0.003072906620252165,True,False,False
bar1130,11:30,reclasso,500,deck period,calibration,1116,0.14113187873329952,0.14858150246605306,-0.007449623732753548,-5.013829857088428,-0.012124625763894724,-0.003160748357981336,True,False,False
bar1130,11:30,reclasso,500,deck period,as scored,1116,0.1379839089251475,0.14355078610349364,-0.005566877178346141,-3.8779844607278386,-0.009780036167537103,-0.0011573615988920598,True,False,False
bar1130,11:30,reclasso,2000,common,coefficients,1558,0.1354584166848056,0.14155558082776884,-0.00609716414296325,-4.307258044726397,-0.009779178227513494,-0.002202499051601483,True,False,False
bar1130,11:30,reclasso,2000,common,package,1558,0.1354584166848056,0.1514141335637918,-0.01595571687898621,-10.53779888537549,-0.021140695541788466,-0.010656021124606828,True,False,False
bar1130,11:30,reclasso,2000,common,calibration,1558,0.14155558082776884,0.1514141335637918,-0.00985855273602296,-6.510985800324568,-0.013327180879225176,-0.0068008504544494,True,False,False
bar1130,11:30,reclasso,2000,common,as scored,1558,0.13480260371180477,0.14547097791342117,-0.010668374201616369,-7.333678754786251,-0.014921283035934305,-0.006416567453254432,True,False,False
bar1130,11:30,reclasso,2000,deck period,coefficients,1116,0.13998358844618553,0.1488449782944931,-0.008861389848307586,-5.953435547402297,-0.013179248793108209,-0.004505704318748485,True,False,False
bar1130,11:30,reclasso,2000,deck period,package,1116,0.13998358844618553,0.1585621261218428,-0.018578537675657304,-11.716882290907934,-0.025444888625904726,-0.012312662072292669,True,False,False
bar1130,11:30,reclasso,2000,deck period,calibration,1116,0.1488449782944931,0.1585621261218428,-0.009717147827349715,-6.128290572922083,-0.01459097878378424,-0.0057527934453049795,True,False,False
bar1130,11:30,reclasso,2000,deck period,as scored,1116,0.13910750712777795,0.15240092408051883,-0.013293416952740887,-8.72266164588182,-0.01844463694659782,-0.008286367099310283,True,False,False
bar1200,12:00,reclasso,500,common,coefficients,2997,0.13663599733618448,0.13686360545982487,-0.00022760812364037064,-0.1663028844488413,-0.0027623330705804764,0.002190774143524984,False,False,False
bar1200,12:00,reclasso,500,common,package,2997,0.13663599733618448,0.14263101253371271,-0.0059950151975281885,-4.203163877919739,-0.008827970905141895,-0.003126951673801831,True,False,False
bar1200,12:00,reclasso,500,common,calibration,2997,0.13686360545982487,0.14263101253371271,-0.005767407073887817,-4.043585592947126,-0.007259494829453084,-0.004400094029349059,True,False,False
bar1200,12:00,reclasso,500,common,as scored,2997,0.13554772499775117,0.1400651890991382,-0.004517464101387023,-3.225258274694906,-0.007111603831515383,-0.0018566555073881107,True,False,False
bar1200,12:00,reclasso,500,deck period,coefficients,1116,0.1338753533907727,0.1352334445244234,-0.0013580911336506895,-1.0042568526052857,-0.006477181920289239,0.003904008323200818,False,False,False
bar1200,12:00,reclasso,500,deck period,package,1116,0.1338753533907727,0.14274531521114142,-0.00886996182036873,-6.213837425941962,-0.014169184426344659,-0.0035123029579360787,True,False,False
bar1200,12:00,reclasso,500,deck period,calibration,1116,0.1352334445244234,0.14274531521114142,-0.00751187068671804,-5.262428875936751,-0.010427045904532943,-0.004849003516283835,True,False,False
bar1200,12:00,reclasso,500,deck period,as scored,1116,0.1310292553611589,0.1376869564743119,-0.006657701113152982,-4.835389846383235,-0.01172742685633363,-0.0014896347113947373,True,False,False
bar1200,12:00,reclasso,2000,common,coefficients,1497,0.15434390170309237,0.1597470734029404,-0.005403171699848024,-3.3823290685390237,-0.008172390094256684,-0.0025004729792111654,True,False,False
bar1200,12:00,reclasso,2000,common,package,1497,0.15434390170309237,0.1679316566779973,-0.013587754974904949,-8.091240951048892,-0.017281123560219144,-0.00961333033614538,True,False,False
bar1200,12:00,reclasso,2000,common,calibration,1497,0.1597470734029404,0.1679316566779973,-0.008184583275056924,-4.873758430639767,-0.010677745448566317,-0.005834365946306555,True,False,False
bar1200,12:00,reclasso,2000,common,as scored,1497,0.15311445704599938,0.16242374034044202,-0.009309283294442666,-5.731479446865527,-0.012240368095611829,-0.006074035530956619,True,False,False
bar1200,12:00,reclasso,2000,deck period,coefficients,1116,0.13717482310508963,0.14492061983954063,-0.00774579673445099,-5.344854819850556,-0.010625238160875697,-0.004993003165067324,True,False,False
bar1200,12:00,reclasso,2000,deck period,package,1116,0.13717482310508963,0.15396087579619747,-0.016786052691107844,-10.902804108056669,-0.020412207776746114,-0.01341079839289717,True,False,False
bar1200,12:00,reclasso,2000,deck period,calibration,1116,0.14492061983954063,0.15396087579619747,-0.009040255956656855,-5.871787822656782,-0.012181901324149966,-0.006298147815866985,True,False,False
bar1200,12:00,reclasso,2000,deck period,as scored,1116,0.1357651710934634,0.14780217371726048,-0.01203700262379708,-8.143995667359652,-0.015073338340128152,-0.009309842616543176,True,False,False
bar1230,12:30,reclasso,500,common,coefficients,2997,0.14397521702015761,0.14523845319471532,-0.001263236174557707,-0.8697670257229587,-0.004655952200372038,0.002585349223490996,False,False,False
bar1230,12:30,reclasso,500,common,package,2997,0.14397521702015761,0.14957861984065562,-0.0056034028204980085,-3.746125500066285,-0.009111933536912434,-0.0020384073668903544,True,False,False
bar1230,12:30,reclasso,500,common,calibration,2997,0.14523845319471532,0.14957861984065562,-0.004340166645940303,-2.901595596057667,-0.005949710881093461,-0.0029504306936194873,True,False,False
bar1230,12:30,reclasso,500,common,as scored,2997,0.14271778853299574,0.14712704387233383,-0.00440925533933809,-2.996903372274727,-0.00788208778181182,-0.0006798063112053039,True,False,False
bar1230,12:30,reclasso,500,deck period,coefficients,1116,0.14928342357806673,0.1478347955908628,0.0014486279872039218,0.9798964996123395,-0.005766590341985773,0.0104720150481491,False,False,False
bar1230,12:30,reclasso,500,deck period,package,1116,0.14928342357806673,0.1538340006727407,-0.00455057709467396,-2.9581087891971594,-0.011711342080741816,0.003373203370413988,False,False,False
