pair,root,n_common,complete,dqlike,dm_t
blk4_trailGShapedTrailMean-vs-blk4_trailGShapedWide,unification,248686,True,5.586781181e-05,0.398045
blk4_trailGShapedTrailMean-vs-blk4_trailGShapedFrozen,unification,248686,True,4.054584791e-06,0.0242791
blk4_trailGShapedTrailSd-vs-blk4_trailGShapedWide,unification,248686,True,-1.673905187e-05,-0.21042
blk4_trailGShapedTrailSd-vs-blk4_trailGShapedFrozen,unification,248686,True,-6.855227889e-05,-0.419933
blk3_trailGShapedTrailSd-vs-blk2_gated_tuned,unification,248686,True,-0.000155572382,-0.703821
blk3_trailGShapedTrailSd-vs-blk3_tuned,,0,False,,
blk4_trailGShapedTrailSd-vs-blk3_trailGShapedTrailSd,unification,248686,True,-0.001355811656,-3.2124
blk2_trailGShapedTrailSd-vs-blk2_gated_tuned,unification,248686,True,0.00233649273,2.14879
blk2_rotAllTrailSd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.01604108669,4.31406
blk2_rotAllTrailSd_tuned-vs-blk2_rotFullProd_tuned,unification,248686,True,0.01604108669,4.31406
blk2_rotAllTrailSd_tuned-vs-blk3_trailGShapedTrailSd,unification,248686,True,0.01619665908,4.35646
blk2_rotAllTrailSd_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.01755247073,4.69581
blk2_rotAllTrailSdNumRank_tuned-vs-blk2_rotAllTrailSd_tuned,unification,248686,True,-0.0158556845,-4.27819
blk2_rotAllTrailSdNumRank_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0001854021892,0.74603
blk2_rotAllTrailSdNumRank_tuned-vs-blk3_trailGShapedTrailSd,unification,248686,True,0.0003409745712,1.27687
blk2_rotAllTrailSdNumRank_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.001696786227,3.57877
blk2_frExogFrozen_tuned-vs-blk2_frExogRaw_tuned,unification,248686,True,-0.0003171401411,-1.26378
blk2_frExogTrailSd_tuned-vs-blk2_frExogFrozen_tuned,unification,248686,True,0.0003333388717,0.894549
blk2_frExogTrailSd_tuned-vs-blk2_frExogRaw_tuned,unification,248686,True,1.619873059e-05,0.0526027
blk2_frProdFrozen_tuned-vs-blk2_frProdRaw_tuned,unification,248686,True,0.0001632520778,0.969987
blk2_frProdTrailSd_tuned-vs-blk2_frProdFrozen_tuned,unification,248686,True,-0.001928022163,-0.871467
blk2_frProdTrailSd_tuned-vs-blk2_frProdRaw_tuned,unification,248686,True,-0.001764770085,-0.854415
blk2_frAllFrozen_tuned-vs-blk2_frAllRaw_tuned,unification,248686,True,-0.0002798969599,-1.106
blk2_rotAllTrailSdNumRank_tuned-vs-blk2_frAllFrozen_tuned,unification,248686,True,0.0003464538043,1.1964
blk2_rotAllTrailSdNumRank_tuned-vs-blk2_frAllRaw_tuned,unification,248686,True,6.655684443e-05,0.261978
blk2_frProdRaw_tuned-vs-blk2_frExogRaw_tuned,unification,248686,True,0.002298651287,0.999628
blk2_frAllRaw_tuned-vs-blk2_frExogRaw_tuned,unification,248686,True,-1.712243707e-05,-1.83913
blk2_frAllRaw_tuned-vs-blk2_frProdRaw_tuned,unification,248686,True,-0.002315773724,-1.00716
blk2_frProdFrozen_tuned-vs-blk2_frExogFrozen_tuned,unification,248686,True,0.002779043506,1.11709
blk2_frAllFrozen_tuned-vs-blk2_frExogFrozen_tuned,unification,248686,True,2.012074416e-05,0.80623
blk2_frAllFrozen_tuned-vs-blk2_frProdFrozen_tuned,unification,248686,True,-0.002758922762,-1.10884
blk2_frProdTrailSd_tuned-vs-blk2_frExogTrailSd_tuned,unification,248686,True,0.0005176824715,1.15175
blk2_rotAllTrailSdNumRank_tuned-vs-blk2_frExogTrailSd_tuned,unification,248686,True,3.323567678e-05,0.159621
blk2_rotAllTrailSdNumRank_tuned-vs-blk2_frProdTrailSd_tuned,unification,248686,True,-0.0004844467947,-1.04513
blk2_frExogRaw_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0001359677819,0.998186
blk2_frExogFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,-0.0001811723593,-1.17966
blk2_frExogTrailSd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0001521665124,0.475582
blk2_frProdRaw_tuned-vs-blk2_gated_tuned,unification,248686,True,0.002434619069,1.06525
blk2_frProdFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,0.002597871147,1.06832
blk2_frProdTrailSd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.000669848984,1.48231
blk2_frAllRaw_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0001188453448,0.874648
blk2_frAllFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,-0.0001610516151,-1.02282
blk2_frExogFrozen_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.001330211678,3.37423
blk2_frAllFrozen_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.001350332422,3.46572
blk2_frExogFrozen_tuned-vs-blk3_trailGShapedTrailSd,unification,248686,True,-2.559997731e-05,-0.0899414
blk2_frExogTrailSdShaped_tuned-vs-blk2_frExogTrailSd_tuned,unification,248686,True,0.001159189679,1.26623
blk2_frExogFrozenShaped_tuned-vs-blk2_frExogFrozen_tuned,unification,248686,True,0.0008406137815,3.23858
blk2_frExogTrailSdShaped_tuned-vs-blk2_frExogFrozenShaped_tuned,unification,248686,True,0.0006519147695,0.637892
blk2_frExogTrailSdShaped_tuned-vs-blk2_gated_tuned,unification,248686,True,0.001311356192,1.31255
blk2_frExogFrozenShaped_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0006594414222,2.55046
blk2_frExogTrailSdShaped_tuned-vs-blk3_trailGShapedTrailSd,unification,248686,True,0.001466928574,1.42807
blk2_frExogFrozenShaped_tuned-vs-blk3_trailGShapedTrailSd,unification,248686,True,0.0008150138042,2.52066
blk2_frExogTrailSdShaped_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.002822740229,2.45447
blk2_frExogFrozenShaped_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.00217082546,4.63652
blk3_exogSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,-4.139355515e-05,-0.541535
blk3_exogSpikeFrozen_tuned-vs-blk3_trailGShapedTrailSd,unification,248686,True,0.0001141788268,0.506922
blk3_exogSpikeFrozen_tuned-vs-blk2_frExogFrozen_tuned,unification,248686,True,0.0001397788041,0.977662
blk3_exogSpikeFrozen_tuned-vs-blk2_frExogFrozenShaped_tuned,unification,248686,True,-0.0007008349774,-2.71771
blk3_exogSpikeTrailSd_tuned-vs-blk3_exogSpikeFrozen_tuned,unification,248686,True,0.000559108732,0.985435
blk3_prodSpikeFrozen_tuned-vs-blk3_exogSpikeFrozen_tuned,unification,248686,True,8.701111539e-05,0.532915
blk3_trailGShapedTrailSd-vs-blk3_prodSpikeFrozen_tuned,unification,248686,True,-0.0002011899422,-1.17345
blk3_trailGShapedTrailSd-vs-blk3_exogSpikeTrailSd_tuned,unification,248686,True,-0.0006732875588,-1.17913
blk3_prodSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,4.561756024e-05,0.311797
blk3_prodSpikeFrozen_tuned-vs-blk3_prodNoCrossSpikeFrozen_tuned,unification,248686,True,-2.478795565e-05,-1.44681
blk3_prodSpikeFrozen_tuned-vs-blk3_prodNoHarSpikeFrozen_tuned,unification,248686,True,1.141580378e-05,0.241575
blk3_prodSpikeFrozen_tuned-vs-blk3_prodNoSessionSpikeFrozen_tuned,unification,248686,True,-5.34924167e-05,-1.56322
blk3_prodSpikeFrozen_tuned-vs-blk3_prodValuesSpikeFrozen_tuned,unification,248686,True,-3.622712888e-05,-0.526885
blk3_prodSpikeFrozen_tuned-vs-blk3_prodBlockPermSpikeFrozen_tuned,unification,248686,True,-3.677085522e-05,-0.984257
blk4_prodSpikeFrozen_tuned-vs-blk3_prodSpikeFrozen_tuned,unification,248686,True,-0.001459828832,-3.31355
blk3_prodNoCrossSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,7.04055159e-05,0.478527
blk3_prodNoHarSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,3.420175646e-05,0.21863
blk3_prodNoSessionSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,9.910997694e-05,0.665685
blk3_prodValuesSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,8.184468912e-05,0.719986
blk3_prodBlockPermSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,8.238841546e-05,0.542319
blk4_prodSpikeFrozen_tuned-vs-blk2_gated_tuned,unification,248686,True,-0.001414211271,-3.43741
blk4_prodSpikeFrozen_tuned-vs-blk4_trailGShapedTrailSd,unification,248686,True,9.717276603e-05,0.602194
blk3_exogSpikeTrailSd_tuned-vs-blk2_gated_tuned,unification,248686,True,0.0005177151769,0.932277
blk2_rotAllTrailSdWide_tuned-vs-blk2_rotAllTrailSd_tuned,unification,5526,False,0.4028453182,5.57703
blk2_rotAllTrailSdWide_tuned-vs-blk2_gated_tuned,unification,5526,False,0.5813686024,21.6134
blk2_rotAllTrailSdShaped_tuned-vs-blk2_rotAllTrailSd_tuned,unification,5526,False,0.01349589862,0.202251
blk2_rotAllTrailSdShaped_tuned-vs-blk2_rotAllTrailSdWide_tuned,unification,5526,False,-0.3893494195,-22.0529
blk2_rotAllTrailSdShaped_tuned-vs-blk3_trailGShapedTrailSd,unification,5526,False,0.1922714295,17.6392
blk2_rotAllTrailSdShaped_tuned-vs-blk4_trailGShapedTrailSd,unification,5526,False,0.1923253504,17.6473
blk3_prodBbExog_tuned-vs-blk2_gated_tuned,unification,248686,True,-0.000627237844,-1.35078
blk3_prodBbExog_tuned-vs-blk3_tuned,,0,False,,
blk4_prodBbExogTrailSd-vs-blk3_prodBbExog_tuned,unification,248686,True,-0.0003141831078,-1.88156
blk4_prodBbExogTrailSd-vs-blk3_trailGShapedTrailSd,unification,248686,True,-0.0007858485698,-1.56337
blk4_prodBbExogTrailSd-vs-blk4_trailGShapedTrailSd,unification,248686,True,0.0005699630857,1.38671
blk_pcladderWide_tuned-vs-blk_pcladder_tuned,unification,248686,True,6.149228e-05,0.724023
blk3_tikhonovStepWide_tuned-vs-blk3_tikhonovStep_tuned,unification,248686,True,0.0002155991368,0.778178
blk3_tikhonov_tuned-vs-blk3_tuned,,0,False,,
blk3_tikhonov_tuned-vs-blk4_trailG_tuned,,0,False,,
blk_pcladder_tuned-vs-blk4_trailG_tuned,,0,False,,
blk_pcladder_tuned-vs-blk3_tuned,,0,False,,
blk_pcladder_fortyK_tuned-vs-blk3_tuned,,0,False,,
blk_pcladder_fortyK_tuned-vs-blk_pcladder_tuned,unification,248686,True,0.001081944466,1.19511
blk_pcladder_eightyK_tuned-vs-blk3_tuned,,0,False,,
blk_pcladder_eightyK_tuned-vs-blk_pcladder_tuned,unification,248686,True,0.0002383979468,0.983575
blk_pcladder_fullK_tuned-vs-blk3_tuned,,0,False,,
blk_pcladder_fullK_tuned-vs-blk_pcladder_tuned,unification,248686,True,0.0003464293166,1.65839
blk_pcladderPerRung_tuned-vs-blk_pcladder_tuned,unification,248686,True,-0.0002409800053,-1.5133
blk_pcladderPerRung_tuned-vs-blk3_tuned,,0,False,,
blk4_trailGZoo-vs-blk4_trailGShaped,unification,248686,True,-8.332639337e-05,-1.20186
blk4_trailGZoo-vs-blk4_trailG_tuned,,0,False,,
blk3_tikhonovStep_tuned-vs-blk3_tikhonov_tuned,,0,False,,
blk3_tikhonovStep_tuned-vs-blk4_trailG_tuned,,0,False,,
b1_ridge_a30-vs-a0_ols_har,unification,273554,True,-0.0007450206413,-1.22078
b1_ridge_a100-vs-a0_ols_har,unification,273554,True,-0.001051407925,-1.52424
b1_ridge_a300-vs-a0_ols_har,unification,273554,True,-0.0009548240963,-1.13631
b2_lasso_a1em6-vs-a0_ols_har,unification,273554,True,0.02496124421,3.7345
b2_lasso_a1em5-vs-a0_ols_har,unification,273554,True,0.02007939851,3.02615
b2_lasso_a1em3-vs-a0_ols_har,unification,273554,True,0.0002042544499,0.133951
b2_lasso_a1em2-vs-a0_ols_har,unification,273554,True,0.002389134144,2.78689
be_tunedWide_moments-vs-br_tuned_moments,,0,False,,
be_tunedWide_liquidity-vs-br_tuned_liquidity,,0,False,,
be_tunedWide_market_ew-vs-br_tuned_market_ew,,0,False,,
be_tunedWide_market_vw-vs-br_tuned_market_vw,,0,False,,
be_tunedWide_sentiment-vs-br_tuned_sentiment,,0,False,,
be_tunedWide_implied_vol-vs-br_tuned_implied_vol,,0,False,,
be_tunedWide_vol_demand-vs-br_tuned_vol_demand,,0,False,,
be_tunedWide_all_features-vs-br_tuned_all_features,,0,False,,
be_tunedWide_moments-vs-be_tuned_moments,,0,False,,
be_tunedWide_liquidity-vs-be_tuned_liquidity,,0,False,,
be_tunedWide_market_ew-vs-be_tuned_market_ew,,0,False,,
be_tunedWide_market_vw-vs-be_tuned_market_vw,,0,False,,
be_tunedWide_sentiment-vs-be_tuned_sentiment,,0,False,,
be_tunedWide_implied_vol-vs-be_tuned_implied_vol,,0,False,,
be_tunedWide_vol_demand-vs-be_tuned_vol_demand,,0,False,,
be_tunedWide_all_features-vs-be_tuned_all_features,,0,False,,
blk2_pcr_tuned-vs-a0_ols_har,unification,248686,True,0.0001829086583,0.0947979
blk2_pcr_tuned-vs-blk3_tuned,,0,False,,
blk2_pcrForty_tuned-vs-blk2_pcr_tuned,unification,248686,True,-0.0002577295304,-0.6428
be_tuned_moments-vs-br_tuned_moments,,0,False,,
be_tuned_liquidity-vs-br_tuned_liquidity,,0,False,,
be_tuned_market_ew-vs-br_tuned_market_ew,,0,False,,
be_tuned_market_vw-vs-br_tuned_market_vw,,0,False,,
be_tuned_sentiment-vs-br_tuned_sentiment,,0,False,,
be_tuned_implied_vol-vs-br_tuned_implied_vol,,0,False,,
be_tuned_vol_demand-vs-br_tuned_vol_demand,,0,False,,
be_tuned_all_features-vs-br_tuned_all_features,,0,False,,
tree_tuned-vs-blk3_tuned,,0,False,,
tree_tuned-vs-blk4_trail_tuned,,0,False,,
tree_hedge-vs-tree_tuned,,0,False,,
blk4_trailSym-vs-blk3_user,,0,False,,
blk4_trailFullC-vs-blk3_user,,0,False,,
blk4_trailRefresh-vs-blk3_user,,0,False,,
blk4_trailKFive-vs-blk3_user,,0,False,,
blk4_trailKTen-vs-blk3_user,,0,False,,
blk4_trailKForty-vs-blk3_user,,0,False,,
blk4_trailLagTwo-vs-blk3_user,,0,False,,
blk4_trailSym-vs-blk4_trail,,0,False,,
blk4_trailRefresh-vs-blk4_trail,,0,False,,
blk4_trailDropHet-vs-blk3_user,,0,False,,
blk4_trailDropHet-vs-blk4_trail,,0,False,,
a0_ols_har_condvar-vs-a0_ols_har,,0,False,,
blk4_trail_tuned_condvar-vs-blk4_trail_tuned,,0,False,,
a0_ols_har_condvar_backbone-vs-a0_ols_har,,0,False,,
a0_ols_har_condvar_backbone-vs-a0_ols_har_condvar,,0,False,,
