block,metric,sample,n,mean,median,sum_prem,n_bars,share_of_bars,share,convexity_mean,convexity_sum,hedge_mean,hedge_sum,theta_mean,bar_pnl_mean,mean_abs_bar_ret,tercile_lo,tercile_hi,worst,Sharpe_ann,mean_convexity,mean_theta,p05,p25,p75,p90,p95,share_above_one,share_at_zero
A1_convexity_concentration,|bar return| > 1.00%,daily_era,,,,-5.120815371098133,13.0,0.002953874119518291,0.025882379277418578,,,,,,,,,,,,,,,,,,,,
A1_convexity_concentration,all bars,daily_era,,,,-197.84948347333182,4401.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
A1_worst_bar_share,"crossed book, losing days",whole,316.0,,,-86.78024351326897,,0.3653179190751445,1.130939277595689,,,,,,,,,,,,,,,,,,,,
A1_worst_bar_share,"crossed book, losing days",daily_era,177.0,,,-48.3324268791357,,0.3619631901840491,1.1632180657357343,,,,,,,,,,,,,,,,,,,,
A1_worst_bar_share,"mid book, losing days",whole,266.0,,,-73.31898458473881,,0.30751445086705204,1.234833890475353,,,,,,,,,,,,,,,,,,,,
A1_worst_bar_share,"mid book, losing days",daily_era,155.0,,,-42.9679127382144,,0.3169734151329243,1.2263002504238192,,,,,,,,,,,,,,,,,,,,
A2_by_clock,11:00-11:30,whole,,,,,865.0,,,-0.05639918467950188,-48.78529474776913,0.0006165420887496994,0.53330890676849,0.055626090555672573,0.008218793864799541,0.0017208630982312033,,,,,,,,,,,,,
A2_by_clock,11:30-12:00,whole,,,,,865.0,,,-0.044384672792563154,-38.392741965567126,0.005915813021504007,5.117178263600966,0.055600225165230756,0.018246800029952263,0.0014960798056181334,,,,,,,,,,,,,
A2_by_clock,12:00-12:30,whole,,,,,865.0,,,-0.03857196640163115,-33.364750937410946,-0.0004825867934264021,-0.4174375763138378,0.056082688118799004,0.010643714225359516,0.0014529853455305798,,,,,,,,,,,,,
A2_by_clock,12:30-13:00,whole,,,,,865.0,,,-0.0327513867553995,-28.329949543420568,0.0010405760905526887,0.9000983183280757,0.05808557879447649,0.012272417661582383,0.001345844293251406,,,,,,,,,,,,,
A2_by_clock,13:00-13:30,whole,,,,,865.0,,,-0.04071252467935579,-35.21633384764276,0.0038573651792951805,3.336620880090331,0.060487813074707124,0.004386421720343783,0.0013643774570296309,,,,,,,,,,,,,
A2_by_clock,13:30-14:00,whole,,,,,865.0,,,-0.03646203822258777,-31.539663062538423,0.009825081303096414,8.498695327178398,0.06415268451746858,0.005391958230441745,0.0013471006322899148,,,,,,,,,,,,,
A2_by_clock,14:00-14:30,whole,,,,,865.0,,,-0.050063285292315324,-43.304741777852755,0.007966234607068464,6.890792935114222,0.06893056190966981,0.006809371955216701,0.0016038083283452373,,,,,,,,,,,,,
A2_by_clock,14:30-15:00,whole,,,,,865.0,,,-0.04395791229224556,-38.02359413279241,0.008229117431700766,7.118186578421163,0.07428503340523662,0.011996132968958774,0.0015807021247711598,,,,,,,,,,,,,
A2_by_clock,15:00-15:30,whole,,,,,865.0,,,-0.04672665208433622,-40.41855405295083,0.04429037192548051,38.31117171554064,0.08106540470339112,0.005788420469542434,0.0015921386687580204,,,,,,,,,,,,,
A2_by_clock,11:00-11:30,daily_era,,,,,489.0,,,-0.059147691676869396,-28.923221229989135,0.0013909796232260858,0.680189035757556,0.05503634507926852,0.007392334156614729,0.001637279646916508,,,,,,,,,,,,,
A2_by_clock,11:30-12:00,daily_era,,,,,489.0,,,-0.04241879383800724,-20.74279018678554,0.006723351365440255,3.2877188177002847,0.05483618925461288,0.02029882904542845,0.0014340065737014499,,,,,,,,,,,,,
A2_by_clock,12:00-12:30,daily_era,,,,,489.0,,,-0.038959496290253776,-19.051193685934095,0.0016339575831275134,0.7990052581493541,0.0549394482328489,0.008850157819202327,0.0013389817591520118,,,,,,,,,,,,,
A2_by_clock,12:30-13:00,daily_era,,,,,489.0,,,-0.03355482715027139,-16.408310476482708,0.00445527939245139,2.1786316229087297,0.05675461656002026,0.009328741111502302,0.0012456315139617658,,,,,,,,,,,,,
A2_by_clock,13:00-13:30,daily_era,,,,,489.0,,,-0.048172627269328507,-23.55641473470164,-0.003342416072070283,-1.6344414592423684,0.05920885122708113,0.0003697311351045304,0.0014100791857469897,,,,,,,,,,,,,
A2_by_clock,13:30-14:00,daily_era,,,,,489.0,,,-0.03807790059832567,-18.620093392581254,0.02090032912166005,10.220260940491764,0.06124440556641769,0.00903120558221378,0.0013006869044625284,,,,,,,,,,,,,
A2_by_clock,14:00-14:30,daily_era,,,,,489.0,,,-0.0502329363969388,-24.563905898103073,0.013432465145084336,6.56847545594624,0.06385562507807782,0.007463618356506173,0.001518991343783454,,,,,,,,,,,,,
A2_by_clock,14:30-15:00,daily_era,,,,,489.0,,,-0.04850330706118519,-23.718117152919557,0.0154606225401773,7.5602444221467,0.06686920131927632,0.010599410786259776,0.0015251085995826663,,,,,,,,,,,,,
A2_by_clock,15:00-15:30,daily_era,,,,,489.0,,,-0.045532590420930115,-22.265436715834827,0.04622330294419302,22.603195139710387,0.06968480245585579,0.006531511397501502,0.0014427702312416369,,,,,,,,,,,,,
A2_late_share,"crossed book, 14:00-15:30 share of losing-day losses",whole,316.0,,,,,,0.33284238569068836,,,,,,,,,,,,,,,,,,,,
A2_late_share,"crossed book, 14:00-15:30 share of losing-day losses",daily_era,177.0,,,,,,0.36195163724238255,,,,,,,,,,,,,,,,,,,,
A2_late_share,"mid book, 14:00-15:30 share of losing-day losses",whole,266.0,,,,,,0.3816208097644056,,,,,,,,,,,,,,,,,,,,
A2_late_share,"mid book, 14:00-15:30 share of losing-day losses",daily_era,155.0,,,,,,0.38525600142053146,,,,,,,,,,,,,,,,,,,,
A3_shape_terciles,full-sample tercile cut points of |sum r| / sum |r|,whole,,,,,,,,,,,,,,,0.20764830344440213,0.47823364763966114,,,,,,,,,,,
A3_shape,"crossed book, 1_whipsaw",whole,289.0,0.12584545974759756,,,,,,,,,,,,,,,-1.3138002133730429,6.685120907537402,-0.4391599366729559,0.7201715964154294,,,,,,,
A3_shape,"crossed book, 2_mixed",whole,287.0,0.04910783154230193,,,,,,,,,,,,,,,-1.2008615279463397,2.5883355010733355,-0.4043183532850593,0.5891995002823379,,,,,,,
A3_shape,"crossed book, 3_trend",whole,289.0,-0.03720762561642831,,,,,,,,,,,,,,,-2.2028675866604797,-1.6960726358632812,-0.32670946358701963,0.4136801434828167,,,,,,,
A3_shape,"crossed book, 1_whipsaw",daily_era,156.0,0.138739040224809,,,,,,,,,,,,,,,-1.3138002133730429,6.956786089265507,-0.4613040767732714,0.6923246149373801,,,,,,,
A3_shape,"crossed book, 2_mixed",daily_era,164.0,0.07494116648757368,,,,,,,,,,,,,,,-1.0194797563454738,4.241960943581204,-0.4046373740221768,0.5579877862933881,,,,,,,
A3_shape,"crossed book, 3_trend",daily_era,169.0,-0.04658701949249328,,,,,,,,,,,,,,,-2.2028675866604797,-1.95485279284015,-0.3522220009293758,0.3889667524962998,,,,,,,
A3_shape,"mid book, 1_whipsaw",whole,289.0,0.15430804645601431,,,,,,,,,,,,,,,-1.2900535219497629,8.255378965673808,-0.4391599366729559,0.7201715964154294,,,,,,,
A3_shape,"mid book, 2_mixed",whole,287.0,0.08908021552408485,,,,,,,,,,,,,,,-1.1308614791003324,4.839646009892417,-0.4043183532850593,0.5891995002823379,,,,,,,
