book,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,exit_clock,variant,hours_held,mean_per_hour,sat_away_premium
"exit 14:00, mid",daily_era,489,0.044026447683009305,0.23861691431103593,2.9289549405622632,4.080062817774154,-3.1655873096777203,-1.2312335643675012,2022-10-13,14:00,mid,3.0,0.014675482561003102,0.03688916299743241
"exit 14:30, crossed",whole,865,0.017899823343418397,0.27993437912992203,1.0150624848410053,1.880617878700988,-8.344743497714346,-2.095626948838982,2024-04-04,14:30,crossed,3.5,0.005114235240976685,0.028008016791319822
"exit 14:30, crossed",daily_era,489,0.02441562734800927,0.2925487796272875,1.3248596315887962,1.8455423969676132,-3.2114228084372662,-2.095626948838982,2024-04-04,14:30,crossed,3.5,0.006975893528002648,0.028877696342790166
"exit 14:30, mid",whole,865,0.052332556959474426,0.2747012319656399,3.02420772261139,5.602984246767255,-4.01474637652645,-2.0386963556834856,2024-04-04,14:30,mid,3.5,0.014952159131278408,0.03254697399680825
"exit 14:30, mid",daily_era,489,0.049917224391992546,0.2890549577836649,2.741386542388856,3.8187782085169477,-2.7877670788821884,-2.0386963556834856,2024-04-04,14:30,mid,3.5,0.01426206411199787,0.03099838628844917
"exit 15:00, crossed",whole,865,0.029493946659587923,0.29987709783322564,1.5613125898624975,2.892661697763635,-7.235412938585284,-2.1209475361859194,2024-04-04,15:00,crossed,4.0,0.007373486664896981,0.016413893475150296
"exit 15:00, crossed",daily_era,489,0.036060613016007145,0.32033549494196395,1.7870154698063474,2.4893299900832315,-3.3298175083629666,-2.1209475361859194,2024-04-04,15:00,crossed,4.0,0.009015153254001786,0.01723271067479229
"exit 15:00, mid",whole,865,0.06513946172213046,0.2953933476834163,3.5006099684697247,6.485620138049182,-3.846042250349914,-2.059066334743197,2024-04-04,15:00,mid,4.0,0.016284865430532616,0.01974006923415221
"exit 15:00, mid",daily_era,489,0.06220725291795341,0.31682658859228596,3.1168770594036395,4.341840163374032,-2.4171380115945738,-2.059066334743197,2024-04-04,15:00,mid,4.0,0.015551813229488353,0.018708357762488304
"exit 15:30, crossed",whole,865,0.04590784013473822,0.3235290821279116,2.252546709416487,4.1733190592707805,-6.070172381929874,-2.2028675866604797,2024-04-04,15:30,crossed,4.5,0.010201742252164048,0.0
"exit 15:30, crossed",daily_era,489,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,15:30,crossed,4.5,0.011842960820177653,0.0
"exit 15:30, mid",whole,865,0.08487953095628267,0.31584457081058137,4.26608815343187,7.903830328942877,-3.4544058900805297,-2.041976485629983,2024-04-04,15:30,mid,4.5,0.01886211799028504,0.0
"exit 15:30, mid",daily_era,489,0.08091561068044172,0.3311635003389521,3.878735117081196,5.403115873185778,-2.1319712654000185,-2.041976485629983,2024-04-04,15:30,mid,4.5,0.017981246817875936,0.0
"hold to settlement, crossed",whole,865,0.08764943962539411,0.38839747325579227,3.5823912734402135,6.637137297404242,-3.8029384196495997,-2.3155274867929365,2023-11-30,16:00 settle,crossed,5.0,0.01752988792507882,-0.04174159949065589
"hold to settlement, crossed",daily_era,489,0.08463293146089607,0.40426444456403904,3.3233348969887193,4.629437946085989,-3.1176751311555844,-2.3155274867929365,2023-11-30,16:00 settle,crossed,5.0,0.016926586292179212,-0.03133960777009663
"hold to settlement, mid",whole,865,0.10280158963047407,0.38849110201440484,4.200674442231098,7.782637597821875,-3.475653002635873,-2.297983622740885,2023-11-30,16:00 settle,mid,5.0,0.020560317926094814,-0.017922058674191402
"hold to settlement, mid",daily_era,489,0.09534612514974292,0.4042389863021925,3.744252447208741,5.21578020154985,-2.995115867154505,-2.297983622740885,2023-11-30,16:00 settle,mid,5.0,0.019069225029948584,-0.0144305144693012
