,mean-s then sign,majority vote,EW unit-median q,trail-Sharpe um q,trail-IR um q,blk2 0.5 AS + 0.5 UM,blk2 EW 3 rules,blk2 unit-median (bench),blk2 long-short,always short,spectral PC1 sign,spectral PC1 unit-median,PCR k=1 sign,PCR k=2 sign
2022-08-05,-0.10424284119055272,-0.10424284119055272,-0.04350046862490665,-0.04412128894653031,-0.04406652927195498,-0.07912617538275545,-0.08749839731868787,-0.05400950957495819,-0.10424284119055272,-0.10424284119055272,-0.10424284119055272,-0.03667367174943901,-0.10424284119055272,-0.10424284119055272
2022-08-08,0.9906158445168103,0.9906158445168103,2.0428918879778437,1.9407446530956733,1.9345505539404175,1.6732118369229314,1.445679839454224,2.3558078293290525,0.9906158445168103,0.9906158445168103,0.9906158445168103,0.8592271963978328,0.9906158445168103,0.9906158445168103
2022-08-09,1.0,1.0,1.1536313199354964,1.1525635893331356,1.1539188754165384,1.0086948308483756,1.005796553898917,1.017389661696751,1.0,1.0,1.0,0.5834489769055914,1.0,1.0
2022-08-10,-0.05863319687281532,-0.05863319687281532,-0.07001774645581514,-0.0700410253763236,-0.07017052676020302,-0.05768175287781435,-0.05799890087614801,-0.05673030888281338,-0.05863319687281532,-0.05863319687281532,-0.05863319687281532,-0.03519489288266894,-0.05863319687281532,-0.05863319687281532
2022-08-11,1.0,1.0,0.5910073505503182,0.6451037844864375,0.6523033289951082,0.6121165979357249,0.7414110652904834,0.22423319587144988,1.0,1.0,1.0,0.4019310860136025,1.0,1.0
2022-08-12,-0.05639022435897445,-0.05639022435897445,-0.08145304140553165,-0.07949119474905562,-0.07938129013390981,-0.06501496801873666,-0.06214005346548259,-0.07363971167849888,-0.05639022435897445,-0.05639022435897445,-0.05639022435897445,-0.038158489815435535,-0.05639022435897445,-0.05639022435897445
2022-08-15,0.3387599422613602,0.3387599422613602,0.33024776026254726,0.32576504031369186,0.3257675586376005,0.3126249725493779,0.32133662912003863,0.2864900028373955,0.3387599422613602,0.3387599422613602,0.3387599422613602,0.17962603501038973,0.3387599422613602,0.3387599422613602
2022-08-16,0.9595565029148477,0.9595565029148477,0.7485681874234379,0.7421965004702561,0.7393231447419868,0.909930685536189,0.9264726246624085,0.8603048681575303,0.9595565029148477,0.9595565029148477,0.9595565029148477,0.4499212961627107,0.9595565029148477,0.9595565029148477
2022-08-17,0.8451675859625905,0.8451675859625905,0.5771215399721354,0.5376307219144467,0.5290618274294602,0.8178960032030371,0.8269865307895549,0.7906244204434838,0.8451675859625905,0.8451675859625905,0.8451675859625905,0.3558655543104911,0.8451675859625905,0.8451675859625905
2022-08-18,-0.3910590277777777,-0.3910590277777777,-0.3771867358381881,-0.37090195866258646,-0.36900059928063605,-0.4078895941568814,-0.4022794053638468,-0.42472016053598516,-0.3910590277777777,-0.3910590277777777,-0.3910590277777777,-0.20519557961306215,-0.3910590277777777,-0.3910590277777777
2022-08-19,1.0,1.0,2.4768732308173567,2.4635779457414126,2.4579633169146877,1.8026059169441544,1.5350706112961028,2.605211833888309,1.0,1.0,1.0,1.0010398746387081,1.0,1.0
2022-08-22,1.0,1.0,1.8892391436220062,1.9198870332038134,1.9235571855637297,1.4029402790979166,1.2686268527319444,1.8058805581958333,1.0,1.0,1.0,0.8101458840143029,1.0,1.0
2022-08-23,-0.15576392825908303,-0.15576392825908303,-0.22584575065730683,-0.21798939056172692,-0.21599828037859478,-0.2051557785082605,-0.18869182842520135,-0.25454762875743797,-0.15576392825908303,-0.15576392825908303,-0.15576392825908303,-0.10520190123415843,-0.15576392825908303,-0.15576392825908303
2022-08-24,1.0,1.0,1.0214353218012815,0.9791074716268306,0.9688104974054806,1.0819824854630844,1.054654990308723,1.163964970926169,1.0,1.0,1.0,0.5410080045428969,1.0,1.0
2022-08-25,-2.3223805147058822,-2.3223805147058822,-2.091046805387617,-2.016950754118271,-1.995991100287323,-2.3498337792329043,-2.34068269105723,-2.377287043759926,-2.3223805147058822,-2.3223805147058822,-2.3223805147058822,-1.1668407564332761,-2.3223805147058822,-2.3223805147058822
2022-08-26,-0.9817243303571428,-0.9817243303571428,-2.938796811521267,-2.9363547268683075,-2.935994788143477,-1.9634486607142856,-1.6362072172619047,-2.9451729910714284,-0.9817243303571428,-0.9817243303571428,-0.9817243303571428,-1.3213170984749463,-0.9817243303571428,-0.9817243303571428
2022-08-29,-1.10840915422538,-1.10840915422538,-1.2104359690111464,-1.1120731911425552,-1.0933166449542984,-1.3421268103282233,-1.2642209249606091,-1.575844466431067,-1.10840915422538,-1.10840915422538,-1.10840915422538,-0.6261694563866517,-1.10840915422538,-1.10840915422538
2022-08-30,1.0,1.0,2.6667865734722573,2.5141120701372626,2.4954498542000527,2.0,1.6666666666666667,3.0,1.0,1.0,1.0,1.2682620437303938,1.0,-1.0
2022-08-31,-0.7341040271240409,-0.7341040271240409,-0.877394989895714,-0.8738571996990867,-0.8681199048014661,-0.9290782175269021,-0.8640868207259483,-1.1240524079297636,-0.7341040271240409,-0.7341040271240409,-0.7341040271240409,-0.4322878357969801,-0.7341040271240409,-0.7341040271240409
2022-09-01,-1.4277886284722223,-1.4277886284722223,-3.3001818560414935,-3.077082622725279,-3.043640151160494,-2.8555772569444446,-2.3796477141203707,-4.283365885416667,-1.4277886284722223,-1.4277886284722223,-1.4277886284722223,-1.3631951692127329,-1.4277886284722223,-1.4277886284722223
