w,model,rule,n,n_fly_days,Sharpe_fly,Sharpe_plain,worst_fly,worst_plain,maxDD_fly,maxDD_plain,pct_beyond_wing,wing_cost_pts_day,t_wing_cost
25,lgbm,long-short volatility,870,588,1.024929391916321,1.3173651652292955,-5.436564787370249,-5.422480279928936,-19.486778744286312,-18.546869826716105,0.034013605442176874,0.06013590645767292,0.27172290228434937
25,xgb,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
25,xgb,long-short volatility,870,595,1.0327859358153133,1.3733671613053058,-5.436564787370249,-5.422480279928936,-17.61673889423711,-16.294385605827244,0.030252100840336135,0.12426052205577617,0.7043618051677764
25,lasso_t,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
25,lasso_t,long-short volatility,870,550,1.1827511791666157,1.428583856802841,-6.8688205640835145,-6.83603367783646,-17.608506721232303,-20.957947924765936,0.04,0.023727007064629685,0.09806314646011136
25,lasso_f,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
25,lasso_f,long-short volatility,870,505,1.6277750206568742,1.8265313852743752,-5.436564787370249,-5.422480279928936,-15.091261117925995,-19.24840997605014,0.04356435643564356,-0.07126730624770763,-0.2546303451073768
25,enet,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
25,enet,long-short volatility,870,567,0.8597353912569929,1.121456627713776,-6.8688205640835145,-6.83603367783646,-19.289418042469727,-22.701499877065064,0.03880070546737213,0.01607564925766391,0.06856418697459961
30,a0,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,a0,long-short volatility,870,590,0.7639521580828232,0.9815764590443038,-5.436564787370249,-5.422480279928936,-17.237481641978682,-14.648585381769394,0.01864406779661017,0.018025111599620117,0.10192872795638158
30,blk2,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,blk2,long-short volatility,870,531,1.4674409108781608,1.6165916717659885,-5.436564787370249,-5.422480279928936,-14.399069117615259,-18.550323958405052,0.02448210922787194,-0.09526366953038226,-0.4027297809654865
30,lgbm,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,lgbm,long-short volatility,870,588,1.099821834869174,1.3173651652292955,-5.436564787370249,-5.422480279928936,-19.29000006739819,-18.546869826716105,0.01870748299319728,0.01566303503021699,0.08056846093168596
30,xgb,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,xgb,long-short volatility,870,595,1.115942579583142,1.3733671613053058,-5.436564787370249,-5.422480279928936,-17.335498863780167,-16.294385605827244,0.015126050420168067,0.06976464237360393,0.43961030404099577
30,lasso_t,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,lasso_t,long-short volatility,870,550,1.2419207773364749,1.428583856802841,-6.8688205640835145,-6.83603367783646,-17.74226832599025,-20.957947924765936,0.02181818181818182,-0.022282047085464,-0.102678759149414
30,lasso_f,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,lasso_f,long-short volatility,870,505,1.692674194826754,1.8265313852743752,-5.436564787370249,-5.422480279928936,-15.440018425585626,-19.24840997605014,0.02574257425742574,-0.10927724472366937,-0.4396477490050402
30,enet,always short,870,870,0.0007256192020483537,0.267716199817292,-8.18320617406482,-10.31604850795286,-24.138648188002428,-19.294502474104473,0.022988505747126436,-0.027977447560720747,-0.1824497230383135
30,enet,long-short volatility,870,567,0.9327182574298688,1.121456627713776,-6.8688205640835145,-6.83603367783646,-19.44852556548242,-22.701499877065064,0.02292768959435626,-0.028624560779233248,-0.1361372998549514
50,a0,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,a0,long-short volatility,870,590,0.8708845269832205,0.9815764590443038,-5.436564787370249,-5.422480279928936,-15.284122049642399,-14.648585381769394,0.006779661016949152,-0.03576279260470706,-0.3143888478007676
50,blk2,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,blk2,long-short volatility,870,531,1.539482491816409,1.6165916717659885,-5.436564787370249,-5.422480279928936,-16.395609996208726,-18.550323958405052,0.011299435028248588,-0.08487734817347284,-0.5907686104129224
50,lgbm,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,lgbm,long-short volatility,870,588,1.1977739422728022,1.3173651652292955,-5.436564787370249,-5.422480279928936,-18.995785111138495,-18.546869826716105,0.006802721088435374,-0.026743195349109822,-0.23085254121405455
50,xgb,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,xgb,long-short volatility,870,595,1.2473579814148061,1.3733671613053058,-5.436564787370249,-5.422480279928936,-16.903109897935494,-16.294385605827244,0.005042016806722689,-0.021756333403852808,-0.1896209609210571
50,lasso_t,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,lasso_t,long-short volatility,870,550,1.3361549580258996,1.428583856802841,-6.8688205640835145,-6.83603367783646,-19.142280882385553,-20.957947924765936,0.00909090909090909,-0.06161816203797405,-0.4506832483016559
50,lasso_f,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,lasso_f,long-short volatility,870,505,1.7561942636529728,1.8265313852743752,-5.436564787370249,-5.422480279928936,-17.20717732729055,-19.24840997605014,0.011881188118811881,-0.09256410279707743,-0.6129513300801418
50,enet,always short,870,870,0.09965718913608694,0.267716199817292,-10.331315683864023,-10.31604850795286,-21.725856247769798,-19.294502474104473,0.010344827586206896,-0.027867892778467858,-0.3341567831359114
50,enet,long-short volatility,870,567,1.0244609708131365,1.121456627713776,-6.8688205640835145,-6.83603367783646,-20.888021506921255,-22.701499877065064,0.008818342151675485,-0.058447952535023134,-0.4408095339084852
