statistic,model,mean_R|s>0,mean_R|s<=0,diff,t_diff,n_pos,n_nonpos,mean_R_top,mean_R_bottom,n_top,n_bottom,spearman_rho,p_sp,kendall_tau,p_kt,n,b_rank,t,p,a,b,t_b,p_b,R2,b_absR,t_rank_alone,t_rank_with_iv,t_iv
assoc,block-diag ridge,,,,,,,,,,,0.00730934872168584,0.8294462936297743,0.002485066834218644,0.9143406842128228,871.0,,,,,,,,,,,,
assoc,LightGBM,,,,,,,,,,,0.013716363065525908,0.6860327757370408,0.007411840557893119,0.7483479570542695,871.0,,,,,,,,,,,,
assoc,XGBoost,,,,,,,,,,,0.014824670235820379,0.6621752551747594,0.00852835913553552,0.712018512571519,871.0,,,,,,,,,,,,
assoc,lasso (causally tuned),,,,,,,,,,,0.016040128928430403,0.6363999345730216,0.008647598983633254,0.7081753502786738,871.0,,,,,,,,,,,,
assoc,lasso (fixed 1e-4),,,,,,,,,,,0.013606772752275374,0.6884093749271865,0.006913201193120786,0.7647606880323248,871.0,,,,,,,,,,,,
assoc,elastic net (causally tuned),,,,,,,,,,,-0.00159218338670112,0.962575239326342,-0.0020297874142091213,0.9299891292704932,871.0,,,,,,,,,,,,
rank,HAR + calendar OLS,,,,,,,,,,,,,,,809.0,0.26373239830665646,2.077180235062096,0.037784927381627365,,,,,,,,,
rank,block-diag ridge,,,,,,,,,,,,,,,809.0,0.3423100973345177,2.561489938748836,0.010422426006771434,,,,,,,,,
rank,LightGBM,,,,,,,,,,,,,,,809.0,0.3634996094352276,2.7485534326706267,0.005985887760404767,,,,,,,,,
rank,XGBoost,,,,,,,,,,,,,,,809.0,0.33741618659407663,2.6181730886791996,0.008840195127821223,,,,,,,,,
rank,lasso (causally tuned),,,,,,,,,,,,,,,809.0,0.3641487494075708,2.740991620649294,0.006125406960727821,,,,,,,,,
rank,lasso (fixed 1e-4),,,,,,,,,,,,,,,809.0,0.3495781562031887,2.6044714924964176,0.009201607541409347,,,,,,,,,
rank,elastic net (causally tuned),,,,,,,,,,,,,,,809.0,0.32766383181966313,2.435687293923502,0.014863527608038123,,,,,,,,,
raw,HAR + calendar OLS,,,,,,,,,,,,,,,871.0,,,,-0.01952627553656732,655.5142585939643,0.26681913871855584,0.7896084177389598,3.758318125590687e-05,,,,
raw,block-diag ridge,,,,,,,,,,,,,,,871.0,,,,-0.020010478393140504,-498.61231731283533,-0.48447520282197754,0.6280486586364962,0.00010840245729326625,,,,
raw,LightGBM,,,,,,,,,,,,,,,871.0,,,,-0.020559506475618383,1019.28599651925,3.31118571548144,0.000929015306307771,0.0005289887380943714,,,,
raw,XGBoost,,,,,,,,,,,,,,,871.0,,,,-0.020855291976978423,1313.1586140449235,3.5925609803971534,0.00032744399446048885,0.0007750012780143312,,,,
raw,lasso (causally tuned),,,,,,,,,,,,,,,871.0,,,,-0.02012861086351609,39.47794077204972,0.049874624861273545,0.9602222985581582,7.249219329263923e-07,,,,
raw,lasso (fixed 1e-4),,,,,,,,,,,,,,,871.0,,,,-0.020007131641395764,-547.2932811732852,-0.5237198184808576,0.6004734291658425,0.0001308790551687311,,,,
raw,elastic net (causally tuned),,,,,,,,,,,,,,,871.0,,,,-0.020117010622991767,129.29113060143825,0.19468486891720277,0.8456396581114229,8.552916271997724e-06,,,,
mag,HAR + calendar OLS,,,,,,,,,,,,,,,809.0,,4.297784996165912,1.7251337576562913e-05,,,,,,0.3836384848187081,,,
mag,block-diag ridge,,,,,,,,,,,,,,,809.0,,4.29326989232403,1.7606077248792633e-05,,,,,,0.4091870597066097,,,
mag,LightGBM,,,,,,,,,,,,,,,809.0,,4.93484805529762,8.021318152985377e-07,,,,,,0.45783805103908604,,,
mag,XGBoost,,,,,,,,,,,,,,,809.0,,5.129837004554217,2.89993167720548e-07,,,,,,0.4567661266471105,,,
mag,lasso (causally tuned),,,,,,,,,,,,,,,809.0,,4.862900052244243,1.1567826603214448e-06,,,,,,0.4669079585381606,,,
mag,lasso (fixed 1e-4),,,,,,,,,,,,,,,809.0,,4.223818782062127,2.4019721347194286e-05,,,,,,0.40232294471759417,,,
mag,elastic net (causally tuned),,,,,,,,,,,,,,,809.0,,4.646299113867537,3.379429032572527e-06,,,,,,0.4506484925263447,,,
mag_iv,HAR + calendar OLS,,,,,,,,,,,,,,,809.0,,,,,,,,,,4.297784996165912,1.3228877039215692,-3.9811559077111025
mag_iv,block-diag ridge,,,,,,,,,,,,,,,809.0,,,,,,,,,,4.29326989232403,1.6884097867182222,-3.8321924696443936
mag_iv,LightGBM,,,,,,,,,,,,,,,809.0,,,,,,,,,,4.93484805529762,2.4024504279304018,-3.400633583067883
mag_iv,XGBoost,,,,,,,,,,,,,,,809.0,,,,,,,,,,5.129837004554217,2.499569376315573,-3.3782758285991967
mag_iv,lasso (causally tuned),,,,,,,,,,,,,,,809.0,,,,,,,,,,4.862900052244243,2.515964170717894,-3.5625658248130723
mag_iv,lasso (fixed 1e-4),,,,,,,,,,,,,,,809.0,,,,,,,,,,4.223818782062127,1.717012888092095,-3.9107918934311168
mag_iv,elastic net (causally tuned),,,,,,,,,,,,,,,809.0,,,,,,,,,,4.646299113867537,2.2487573445847024,-3.631792062127719
