,pc1_share
2021-01-06,0.9255244459937542
2021-01-08,0.9254988806312742
2021-01-11,0.9254971378138863
2021-01-13,0.9254982083151571
2021-01-15,0.9255011472467594
2021-01-19,0.9255064213612578
2021-01-20,0.9255106350883472
2021-01-22,0.9255138961200219
2021-01-25,0.9255161705538797
2021-01-27,0.9255200798103521
2021-01-29,0.9254872557155682
2021-02-01,0.9255116774045062
2021-02-03,0.9254972321237592
2021-02-05,0.9255010535573981
2021-02-08,0.9255062932934244
2021-02-10,0.9255095180415815
2021-02-12,0.925515327496635
2021-02-16,0.9255186545442214
2021-02-17,0.9255196264975899
2021-02-19,0.925522845445069
2021-02-22,0.9255235276504009
2021-02-24,0.9255263313013163
2021-02-26,0.9255231579756911
2021-03-01,0.9255278156023496
2021-03-03,0.9255236889126411
2021-03-05,0.9255280548642402
2021-03-08,0.9255230165573736
2021-03-10,0.9255190496265013
2021-03-12,0.9255202934850463
2021-03-15,0.925523319892904
2021-03-17,0.9255228731905952
2021-03-19,0.9255297041153037
2021-03-22,0.9255340948696986
2021-03-24,0.925535198166909
2021-03-26,0.9255366583900155
2021-03-29,0.9255377098152305
2021-03-31,0.9255429980653442
2021-04-01,0.9255496479627092
2021-04-05,0.9255527635080208
2021-04-07,0.9255565364408268
2021-04-09,0.925557317054625
2021-04-12,0.9255631125694838
2021-04-14,0.9255658520717681
2021-04-16,0.9255664453349288
2021-04-19,0.9255706499410535
2021-04-21,0.9255726702962442
2021-04-23,0.9255750161801433
2021-04-26,0.9255780623757179
2021-04-28,0.9255785540359639
2021-04-30,0.9255788208978775
2021-05-03,0.9255818209630557
2021-05-05,0.925583438716654
2021-05-07,0.9255847110958898
2021-05-10,0.9255861807974041
2021-05-12,0.925587371128017
2021-05-14,0.9255835455888434
2021-05-17,0.9255847662011879
2021-05-19,0.925585311690948
2021-05-21,0.9255847062776164
2021-05-24,0.9255868689704145
2021-05-26,0.9255882665241433
2021-05-28,0.9255895749984284
2021-06-01,0.9255900456069155
2021-06-02,0.9255905939471636
2021-06-04,0.9255908917159255
2021-06-07,0.9255919814045559
2021-06-09,0.9255929528639454
2021-06-11,0.9255927608749727
2021-06-14,0.9255936956927435
2021-06-16,0.9255942889192079
2021-06-18,0.9255985928289461
2021-06-21,0.9256024169770877
2021-06-23,0.9256034803984109
2021-06-25,0.9256045137989986
2021-06-28,0.9256061487212466
2021-06-30,0.9256069917241959
2021-07-02,0.9256099058431853
2021-07-06,0.9256109899486347
2021-07-07,0.9256125007870569
2021-07-09,0.925613036022595
2021-07-12,0.9256138860067665
2021-07-14,0.9256143214033554
2021-07-16,0.9256140597768947
2021-07-19,0.9256149922238834
2021-07-21,0.9256146385370801
2021-07-23,0.9256152505336557
