forecast,bar end,days,QLIKE per-bar,QLIKE pooled,difference (%),ci_lo (%),ci_hi (%),DM t,lag
ridge (all features),11:00,866,0.14814937154923577,0.12760574321937482,16.099297579845718,8.947965060305606,23.137222814095914,4.964711871590764,14
ridge (all features),11:30,866,0.15209595147210972,0.14819816909458633,2.630115069124539,-2.0686914015001117,7.357294913279965,1.0190990207046593,14
ridge (all features),12:00,866,0.12969209015886124,0.12416300535355818,4.4530855141262204,-0.6133280668940355,9.99046274026276,1.7845722132139672,14
ridge (all features),12:30,866,0.15351578664454638,0.13790019317272914,11.323837271393566,4.561307294043327,18.620642416556436,3.536338338041181,14
ridge (all features),13:00,866,0.16875569517031375,0.15889306881157314,6.2070840676105465,1.0776067105785891,11.309919743479542,2.159133508772655,14
ridge (all features),13:30,866,0.17374509736404725,0.1651318793996581,5.215963141522262,0.23712409299158688,10.15594228993383,1.968489238652498,14
ridge (all features),14:00,866,0.19232188061655517,0.1850219592014989,3.945435150811627,-7.5877906131151756,17.813308278958143,0.6246740796775239,14
ridge (all features),14:30,866,0.30622337119409476,0.4763829251869874,-35.71907072993904,-47.133258234704385,-23.469824058581196,-3.9927523694484033,14
ridge (all features),15:00,866,0.22028626176107172,0.2390692519144633,-7.856715158046324,-15.346278283422699,0.697967528533582,-1.8881373106352473,14
ridge (all features),15:30,866,0.13561914352713839,0.1272119235977227,6.608830125076559,-3.5376323804494523,18.103479603386496,1.2655711853047793,14
ridge (all features),16:00,866,0.1035327807997204,0.10626447411868643,-2.570655284018075,-9.429782952005617,4.381767361970889,-0.6592909394948894,14
ridge (all features),session mean,866,0.16668134560037315,0.17383328381193985,-4.114251341707364,-9.199725345164826,0.8057227508455735,-1.5852695069424698,14
lasso (all features),10:00,866,0.10362661707611405,0.09965537561795926,3.9849746524251994,-2.409767314157128,10.276675202496378,1.191446197514391,14
lasso (all features),10:30,866,0.16718935777841387,0.16124811751948678,3.6845330973920287,-1.2569250585498515,9.308150315347358,1.38446629142296,14
lasso (all features),11:00,866,0.1338846561955254,0.1272739482880706,5.1940778111889685,0.6574794950918317,9.900419299209991,2.3669932335191506,14
lasso (all features),11:30,866,0.14466794612175465,0.14813127216367472,-2.338011407944529,-6.237131768812112,1.5340945944915916,-1.0996224048103984,14
lasso (all features),12:00,866,0.1196490858235004,0.12285090165373626,-2.606261563517376,-6.441597683573794,1.7910287394300284,-1.1920635157773096,14
lasso (all features),12:30,866,0.14288193725545795,0.1382170132935935,3.3750721786727,-2.3464701966031662,9.145855461433149,1.1110544448687583,14
lasso (all features),13:00,866,0.15885035724783841,0.15849841041709892,0.2220507005801009,-5.136483628634542,4.5029539575422035,0.08694261067863689,14
lasso (all features),13:30,866,0.16786196162580125,0.16500069797269248,1.7340918482552814,-3.39319817011198,6.019365954963529,0.6739514685998391,14
lasso (all features),14:00,866,0.1829759696986079,0.18807914199166595,-2.7133111301008372,-8.888578228917122,5.095098909530855,-0.687030236958837,14
lasso (all features),14:30,866,0.3194936263095473,0.5002112987613102,-36.12826677431718,-49.69044462140201,-21.71251380114947,-3.5337705054664106,14
lasso (all features),15:00,866,0.2173809145719017,0.2490963081124127,-12.732181291983824,-21.43750871474786,-2.699753455508923,-2.641769727388573,14
lasso (all features),15:30,866,0.1300878803799098,0.1304393843419121,-0.26947686373690605,-7.316970216942777,7.458882251709859,-0.07114165939317219,14
lasso (all features),16:00,866,0.10154543181721787,0.10419054561966574,-2.5387272777162795,-6.670757467349271,1.6888637653656817,-1.1813633982513525,14
lasso (all features),session mean,866,0.16077659553089158,0.17637633967332922,-8.844578684040217,-14.059807387237887,-4.106928506609984,-3.301896998458835,14
elastic net (all features),10:00,866,0.10527689583113072,0.09981814599047965,5.468694881561609,-1.7295095349648846,12.359624577967786,1.3765458862030207,14
elastic net (all features),10:30,866,0.16780259827636226,0.16139794833163798,3.9682350432138858,-0.7303229121116369,9.137325548508056,1.5654013901132087,14
elastic net (all features),11:00,866,0.142745261435166,0.1276449057541026,11.82997127214227,4.925776094883986,19.934067063607134,3.616433133833625,14
elastic net (all features),11:30,866,0.1422442281712967,0.14937653181624416,-4.774714982485517,-8.846315178538573,-0.05579074126807155,-1.905914753058224,14
elastic net (all features),12:00,866,0.12029832437645874,0.12339161487872333,-2.506888742241409,-7.058326854980787,2.1938679030039134,-1.0827848882598867,14
elastic net (all features),12:30,866,0.13965816902751554,0.1373313120728544,1.6943382536291018,-3.7002860285863917,7.171699168727931,0.5858724439761276,14
elastic net (all features),13:00,866,0.15561327662752267,0.1580256072716626,-1.5265441378705669,-5.600500277551066,2.359599911254978,-0.7574979879886669,14
elastic net (all features),13:30,866,0.16997772308291462,0.1639343567843471,3.6864550037656096,-1.7660598391866724,8.524531010176212,1.314254963991849,14
elastic net (all features),14:00,866,0.1882942233927615,0.1872349002866817,0.5657722489011752,-7.411402682530283,10.579884897783344,0.1262408082658625,14
elastic net (all features),14:30,866,0.30916566266466394,0.4983711799114704,-37.9647790388715,-51.226268470022504,-24.252501095357353,-3.700762700711975,14
elastic net (all features),15:00,866,0.2095830110586488,0.24588690783501196,-14.764469200907104,-22.454029329073034,-6.604113797013674,-3.5751793725546204,14
elastic net (all features),15:30,866,0.1285132087479597,0.13099952627523648,-1.8979591743354063,-7.907121664316055,4.6751261652911165,-0.5844228158262685,14
elastic net (all features),16:00,866,0.10145718659192877,0.10214940668825262,-0.6776545442269799,-6.427048765528295,5.861149669182292,-0.2165962511736542,14
elastic net (all features),session mean,866,0.16004844379110228,0.1758124879920542,-8.966396176399238,-14.19680945069974,-4.2916125108535,-3.275544236881576,14
ridge (live-feasible set),10:00,866,0.11466567023261072,0.1022170670272107,12.1785955784528,0.923600602477619,23.341591731305048,1.9558867475344028,14
ridge (live-feasible set),10:30,866,0.16685668666112588,0.15842724736877845,5.320700468099293,-1.9318536384349903,15.506623855186932,1.2647371243329029,14
ridge (live-feasible set),11:00,866,0.1385846605627579,0.12889573423062592,7.516871205990516,2.07893017927978,13.6297147482288,2.700304999172153,14
ridge (live-feasible set),11:30,866,0.15192090998548244,0.14610796797129555,3.9785249873086403,-1.3770419828692664,9.924420233876587,1.4222143180827467,14
ridge (live-feasible set),12:00,866,0.1346308065990532,0.12272268886346258,9.70327316478472,3.2268268639762923,16.801534954813505,3.085063732789934,14
ridge (live-feasible set),12:30,866,0.14775079905932384,0.13612989132114275,8.53663190751126,2.3638564905764503,16.221267657444756,2.7097342639973467,14
ridge (live-feasible set),13:00,866,0.174721519777122,0.1529612799362256,14.225979182423764,7.134516273672839,20.66709980434706,3.050118523725894,14
ridge (live-feasible set),13:30,866,0.16955048378624038,0.16832056053155187,0.7307029223313277,-5.725911144159334,7.945839140568861,0.20914720286027066,14
ridge (live-feasible set),14:00,866,0.20157752653440736,0.18124077716948814,11.22084647976389,1.8196079551269735,24.166342537704146,2.205600660271153,14
ridge (live-feasible set),14:30,866,0.3028358878548811,0.48730609489283516,-37.85509948906374,-49.39646392019796,-26.053663784737957,-4.1666479095520454,14
ridge (live-feasible set),15:00,866,0.22304340293758632,0.2448119454366685,-8.891944574131738,-16.101466445094378,-0.9553825642502184,-2.3303863092929795,14
ridge (live-feasible set),15:30,866,0.1462599869857555,0.13103706632738862,11.61726302719055,-1.8938830223129535,33.98596041038094,1.3585910792614162,14
ridge (live-feasible set),16:00,866,0.10537997285191483,0.10372388447242682,1.596631660982828,-3.8760651948038087,7.882042969837539,0.4959014527840834,14
ridge (live-feasible set),session mean,866,0.16752140875602015,0.17414632350377696,-3.8042231466420384,-9.610866294462959,2.1682414225115156,-1.2774830696528325,14
lasso (live-feasible set),10:00,866,0.11145288257019866,0.10074154525145733,10.6324925749403,-0.13685909914099278,22.112764564564245,1.8215961692954228,14
lasso (live-feasible set),10:30,866,0.16131448148241986,0.15703066716588993,2.7280112820283975,-3.0699381623555824,9.253058008131317,0.9330530392823406,14
lasso (live-feasible set),11:00,866,0.14153738241025207,0.12902201986911865,9.700175639653708,2.726259454734676,18.26552836947181,2.709157004608398,14
lasso (live-feasible set),11:30,866,0.1531483719067293,0.14509402963033802,5.551119020480488,-1.3805615895726475,13.732403824835899,1.5450457004549403,14
lasso (live-feasible set),12:00,866,0.13906989611940862,0.12165799716632192,14.312169654808994,5.358045281078513,25.162485840713746,3.2480951694763127,14
lasso (live-feasible set),12:30,866,0.15542347432458598,0.13625135121228055,14.071143472504088,4.379147001094066,25.84429808947182,2.9466469086007243,14
lasso (live-feasible set),13:00,866,0.18149439130320183,0.1520788120261169,19.34232578831121,11.093961492142446,27.473216262829357,3.5538137172904114,14
lasso (live-feasible set),13:30,866,0.17025596235187618,0.16614395726308248,2.474965178710953,-4.644665824527545,11.63731053406573,0.5827708421497045,14
lasso (live-feasible set),14:00,866,0.20266677710833397,0.18419365911957247,10.029182370913947,-0.09730036105940142,23.259049325818918,1.713846436271744,14
lasso (live-feasible set),14:30,866,0.30467139270528965,0.4990238506555603,-38.94652684334681,-51.04667622307286,-26.35944159234059,-3.849060847583168,14
lasso (live-feasible set),15:00,866,0.23029114143190307,0.25499226911038014,-9.687010419827491,-18.433537296737132,0.5019819474448799,-1.949301469998483,14
lasso (live-feasible set),15:30,866,0.15071624821415386,0.1328127723480376,13.480236538696722,-1.3189772687199102,35.05470458897898,1.4973367159755844,14
lasso (live-feasible set),16:00,866,0.10468761297514674,0.10194479805240658,2.690490319408112,-3.692012649049329,10.60944716013313,0.7392053478119327,14
lasso (live-feasible set),session mean,866,0.1697484626848846,0.17546059452850482,-3.25550694671346,-10.96078392830506,4.262630530416392,-0.8753774246344149,14
elastic net (live-feasible set),10:00,866,0.11207800745412083,0.10063353067074535,11.372428957918345,0.2241935096804304,22.949195250515896,1.8282201869821433,14
elastic net (live-feasible set),10:30,866,0.1661245940617803,0.15819732708554296,5.010999314767672,-2.2815302152413173,14.521703119399126,1.2502743749015528,14
elastic net (live-feasible set),11:00,866,0.1402467587089169,0.12879034402944733,8.895398770617536,2.9262394765484467,15.974328772205899,2.98342565266417,14
elastic net (live-feasible set),11:30,866,0.15064791218930484,0.1469304155298617,2.5301069530342613,-3.5548154370566047,9.813443636394593,0.7689307196188117,14
elastic net (live-feasible set),12:00,866,0.1345839080055456,0.12276413310830778,9.628035972697258,2.3226379676800293,18.137838037521057,2.714761380346176,14
elastic net (live-feasible set),12:30,866,0.15262151893138207,0.136674674352144,11.667739217106753,4.302969354094724,20.730926709402173,3.1817714265394024,14
elastic net (live-feasible set),13:00,866,0.1856471638767498,0.15366882464292403,20.80990682926933,10.562697308936633,33.273701011967134,3.2480141687425825,14
elastic net (live-feasible set),13:30,866,0.16685928422943733,0.16479170381862351,1.2546629247122132,-4.303105341685892,8.421316284497117,0.37830833608049236,14
elastic net (live-feasible set),14:00,866,0.2013191761990939,0.18374971125769765,9.561628598564798,0.4446507944480338,21.617870937736047,1.877000660887397,14
elastic net (live-feasible set),14:30,866,0.3091822030364394,0.5065139595604524,-38.95879921952309,-50.91440541299898,-26.226774176094967,-3.83636472004281,14
elastic net (live-feasible set),15:00,866,0.22378189140818971,0.25691950269227065,-12.898052089012502,-20.854357190283483,-3.8872746508176506,-2.772674015887178,14
elastic net (live-feasible set),15:30,866,0.14743073989994998,0.1329424469750114,10.898169286489722,-1.9408510105020933,31.337206263298555,1.3289415228897599,14
elastic net (live-feasible set),16:00,866,0.1029392376382486,0.10197892280254384,0.9416797209793604,-3.7576172434681667,6.72298924669922,0.34633484617263455,14
elastic net (live-feasible set),session mean,866,0.16872787658762764,0.17650426896350557,-4.405781470070735,-11.293628642624189,2.49092009450751,-1.2868490813221953,14
