estimator,bucket,qlike,mse,rmse,mae,hmse,hmae,oos_r2,mz_beta,mz_r2,n,incumbent_qlike,dm,dm_p,dm_mean_diff,dm_better
lgbm,implied_vol,0.13000526740418628,4.4827990755573905e-11,6.695370845261217e-06,1.2616699806175697e-06,0.3998321125339134,0.39511186717750385,-0.033856957930956444,0.8403068903015616,0.7099400879895598,218934,0.13415250133747544,-7.840487646812495,4.4880008533953475e-15,-0.004147233933289138,a
reclasso,implied_vol,0.13274348192392516,4.1834219442136644e-11,6.467937804442514e-06,1.262648349341418e-06,0.3086142550925313,0.39787773867422366,0.03518765572856297,0.9237975781166501,0.7100321495611084,218934,0.13415250133747542,-9.813394812831634,9.859460096468731e-23,-0.0014090194135502722,a
reclasticnet,implied_vol,0.13262215490856802,4.202014805878205e-11,6.4822949685109245e-06,1.2643735388757906e-06,0.3089328503775009,0.39783779561995486,0.030899629636888748,0.9205071253299083,0.7091832255644032,218934,0.13415250133747544,-10.616242996721844,2.5043873914298217e-26,-0.0015303464289073943,a
ridge,implied_vol,0.1325210184233455,4.2399494148492176e-11,6.511489395560141e-06,1.2624629916422971e-06,0.3070611866990319,0.39787774022360045,0.022150863794380027,0.9218599006044703,0.7063031816397038,218934,0.13415250133747544,-11.27429619044501,1.7577866174443142e-29,-0.0016314829141299413,a
xgb,implied_vol,0.1307747133012018,4.636274653684421e-11,6.809019498932589e-06,1.2627102078327448e-06,0.4159359968040733,0.39576131300744455,-0.0692526541566183,0.8423492520794501,0.6978115039168744,218934,0.13415250133747544,-5.742018022779395,9.355486195158028e-09,-0.003377788036273597,a
lgbm,liquidity,0.12839778690631534,4.085916439589942e-11,6.392117364058596e-06,1.235808693838944e-06,0.3495672281923463,0.3929452072242728,0.0576751111537831,0.892171037104017,0.7226593996242515,218934,0.13415250133747544,-14.693714886335496,7.072758425776798e-49,-0.00575471443116007,a
reclasso,liquidity,0.1320605786736404,4.3355248177436635e-11,6.5844702275457695e-06,1.2782908061127045e-06,0.3159754297094452,0.39874020771757823,0.00010854299792617539,0.9013302476350965,0.7030200292238294,218934,0.13415250133747544,-11.203918190885998,3.9009018267942334e-29,-0.002091922663835028,a
reclasticnet,liquidity,0.13184206867158615,4.320134002707967e-11,6.572772628585266e-06,1.2757649821984695e-06,0.3182308418973135,0.3986821886923951,0.0036580889277544326,0.9038990925467077,0.7036404872474165,218934,0.13415250133747544,-11.455632746203028,2.2034822359392377e-30,-0.002310432665889259,a
ridge,liquidity,0.13120485527955517,4.344802754122563e-11,6.591511779647036e-06,1.2737691561079494e-06,0.3181073748474521,0.3984047932754453,-0.0020312047174837478,0.898038735546302,0.7029708329531712,218934,0.13415250133747542,-13.366354738306446,9.508786415379054e-41,-0.0029476460579202666,a
xgb,liquidity,0.12886325591166803,3.965979129423645e-11,6.29760202729868e-06,1.2399055689775328e-06,0.34780342440961975,0.39295562770136155,0.08533595888329748,0.8790398089781496,0.7346692714028438,218934,0.13415250133747542,-13.976210710817627,2.1777836238055943e-44,-0.0052892454258074454,a
lgbm,market_ew,0.13038641929557473,4.321136307428208e-11,6.573535051574768e-06,1.2495985655832388e-06,0.40225321558285276,0.3958614937504969,0.003426929848009297,0.8672512771821443,0.7121289256026772,218934,0.13415250133747544,-6.970527092830784,3.157557047911997e-12,-0.0037660820419006895,a
reclasso,market_ew,0.1335275569386667,4.22038853441284e-11,6.4964517503117345e-06,1.2684175795569105e-06,0.3118561416994688,0.3994766073668659,0.026662141681596974,0.934087066870698,0.7060478558585841,218934,0.13415250133747544,-4.609830769653605,4.029968795884779e-06,-0.00062494439880872,a
reclasticnet,market_ew,0.13344481300765368,4.214352622390503e-11,6.491804542952987e-06,1.266204255154745e-06,0.31270842780132885,0.3993128690255118,0.02805418926985015,0.9365198578932764,0.7062077625229491,218934,0.13415250133747544,-5.434038855810376,5.509257592573254e-08,-0.0007076883298217614,a
ridge,market_ew,0.13319433166889819,4.221012928600876e-11,6.496932298093367e-06,1.2638317565731729e-06,0.3111003281681963,0.39933393255857563,0.02651813918116508,0.9363618855191705,0.7057531752160586,218934,0.13415250133747544,-7.222899100190387,5.089077498028967e-13,-0.0009581696685772377,a
xgb,market_ew,0.13043018593169392,4.337249873593582e-11,6.585780040051127e-06,1.2501657384723182e-06,0.39562309612862584,0.39560637829516115,-0.00028930240250035766,0.8648256236708254,0.7117311771802242,218934,0.1341525013374754,-7.295908084242859,2.96651380956417e-13,-0.0037223154057814843,a
lgbm,market_vw,0.129632018996459,4.377856405368926e-11,6.6165371648385124e-06,1.2467527331288746e-06,0.3631040321653527,0.3950987296941514,-0.009654287249200033,0.8616102095180411,0.7098342324783686,218934,0.13415250133747544,-10.843800985279865,2.1341577163250004e-27,-0.004520482341016444,a
reclasso,market_vw,0.13321373299257053,4.2306986662569046e-11,6.504382112281615e-06,1.2671461318948385e-06,0.31324221673077524,0.3991924203224617,0.024284341257240438,0.9288478045658946,0.706018026449454,218934,0.13415250133747542,-6.449129258045155,1.1249459007665181e-10,-0.0009387683449049076,a
reclasticnet,market_vw,0.1331566497426658,4.22607638927538e-11,6.500827939020829e-06,1.2659896582694594e-06,0.31300536446100047,0.3992230091773904,0.02535036566259119,0.9343049323505747,0.7056364323530091,218934,0.13415250133747544,-7.33154415342243,2.2751583923770174e-13,-0.0009958515948096133,a
ridge,market_vw,0.13290530068992387,4.248447026995009e-11,6.518011220452914e-06,1.266573139600024e-06,0.31189115652463123,0.39917283565462286,0.020191080343314405,0.9280124177533284,0.7048500192862472,218934,0.13415250133747544,-9.10711100213486,8.4604813870538e-20,-0.0012472006475515674,a
xgb,market_vw,0.13011526188946954,4.495418369067879e-11,6.7047881167624375e-06,1.2512728722807036e-06,0.38634739603921525,0.3949608483977546,-0.03676731464784089,0.8548112104683341,0.7034680803007347,218934,0.13415250133747542,-8.068116687801616,7.139080105061754e-16,-0.00403723944800589,a
lgbm,moments,0.1281568997042267,4.2452807623841146e-11,6.515581909840528e-06,1.229507663995804e-06,0.38733188856941414,0.391686300151351,0.020921308186108267,0.8823271862199353,0.7133908313834305,218934,0.13415250133747542,-11.268650164527521,1.8742109879324017e-29,-0.0059956016332487205,a
reclasso,moments,0.13178942220005696,4.224062283320898e-11,6.499278639449841e-06,1.2559639255262567e-06,0.31162548747132945,0.39658507141341726,0.02581487397981752,0.9386928988535472,0.7052536209671363,218934,0.13415250133747544,-8.882333512082965,6.547219300791905e-19,-0.0023630791374184513,a
reclasticnet,moments,0.1311436458392587,4.2007479102228665e-11,6.4813176979861634e-06,1.2534214391244131e-06,0.3108333377016516,0.3959139752966475,0.031191810675164744,0.9334687166914681,0.7074753575107113,218934,0.13415250133747542,-17.688129604267726,5.176534758186502e-70,-0.003008855498216736,a
ridge,moments,0.13084521018853426,4.2597257581295495e-11,6.526657458553766e-06,1.2492345203351302e-06,0.3106093896848621,0.39579651425859,0.017589894239824377,0.9367186680322349,0.702950089547264,218934,0.13415250133747544,-19.20586155056143,3.3059336067792886e-82,-0.003307291148941141,a
xgb,moments,0.12862633860986597,4.151422105112335e-11,6.4431530364506595e-06,1.2352536569108572e-06,0.41562348637638397,0.3922130184281735,0.04256770014946676,0.8749412451108589,0.7221214988159876,218934,0.13415250133747544,-9.02968726531276,1.7216309856832519e-19,-0.005526162727609428,a
lgbm,sentiment,0.13037791314994646,4.6106518791336113e-11,6.790178111900756e-06,1.2537051171578442e-06,0.3775254866388341,0.39596074827775274,-0.06334333649496138,0.8674099756720968,0.6912547288789712,218934,0.13415250133747544,-8.060946193196978,7.570614956925853e-16,-0.00377458818752897,a
reclasso,sentiment,0.13390176147813262,4.243947558613387e-11,6.514558740707913e-06,1.2769101399090316e-06,0.30980932285037494,0.39954137482683877,0.021228781702425703,0.9394727668134255,0.7037811776165208,218934,0.13415250133747544,-2.0982555964613945,0.035882572735222884,-0.0002507398593428002,a
reclasticnet,sentiment,0.13377428465474905,4.247253563074815e-11,6.517095643823877e-06,1.2757347713890087e-06,0.31092956049531034,0.39956092252988495,0.020466326000577628,0.9406747829701406,0.7033959746108369,218934,0.13415250133747544,-3.545632851884252,0.0003916714996130377,-0.0003782166827263554,a
ridge,sentiment,0.1334732921683958,4.275739050696285e-11,6.538913557079865e-06,1.275528094331746e-06,0.30835813406568724,0.3994525599643336,0.013896787843471925,0.9342673207760184,0.7021135714182328,218934,0.13415250133747544,-5.685566892291299,1.3037943783195776e-08,-0.0006792091690796212,a
xgb,sentiment,0.13049909807654533,4.812684525296004e-11,6.9373514580825465e-06,1.259796464677557e-06,0.3684352322405803,0.39562248908775277,-0.1099376302484063,0.8536538277647755,0.68099340266469,218934,0.13415250133747544,-8.419140704238401,3.7925569509934433e-17,-0.0036534032609301017,a
lgbm,vol_demand,0.12979005587811762,4.4862591282504723e-11,6.69795426100423e-06,1.253467080482416e-06,0.3701504319083022,0.3956686634700186,-0.03465494139870895,0.8607582738990037,0.7023416665254992,218934,0.13415250133747544,-10.003517654724643,1.4707778860542323e-23,-0.0043624454593578065,a
reclasso,vol_demand,0.13359275772400145,4.260577662619127e-11,6.527310060521966e-06,1.2757369802241112e-06,0.31822881479658927,0.39933874272366665,0.017393421596460734,0.9307806354950536,0.7036026511808733,218934,0.13415250133747544,-3.3482246005211516,0.0008133106946403586,-0.00055974361347399,a
reclasticnet,vol_demand,0.13361145704816227,4.268392851964218e-11,6.5332938491730325e-06,1.2755055160220148e-06,0.3180267499859087,0.3993564096040226,0.015591023642462676,0.9329383104244664,0.7027593685755196,218934,0.13415250133747542,-3.4310100697546813,0.0006013382780981528,-0.0005410442893131568,a
ridge,vol_demand,0.1333704613860468,4.294983379632539e-11,6.553612270826326e-06,1.2777514913327577e-06,0.31802957145220484,0.39946003046645984,0.00945851545246934,0.9256106462893566,0.7018552781342495,218934,0.13415250133747542,-4.09344313164274,4.250143517803486e-05,-0.0007820399514286171,a
xgb,vol_demand,0.13026227740217938,4.810410886017841e-11,6.935712570470204e-06,1.2655748980529144e-06,0.3750304792695628,0.3958307448452762,-0.10941326639717275,0.845210777627977,0.6839743589458818,218934,0.13415250133747542,-8.56783169353511,1.0545176880094986e-17,-0.003890223935296028,a
