estimator,bucket,qlike,mse,rmse,mae,hmse,hmae,oos_r2,mz_beta,mz_r2,n,incumbent_qlike,dm,dm_p,dm_mean_diff,dm_better,family,arm_tag,view_window,embedding_dim,neighbor_k,residualizer,masked,omega
reclasticnet,baseline,0.1347092240510059,4.26569944171725e-11,6.53123222808472e-06,1.2808762448711477e-06,0.3128339615593697,0.4002868431271326,0.016212198242861,0.9376934062430938,0.7024070921132538,218934,0.1341525013374754,7.508739348750458,5.969945561752211e-14,0.0005567227135304,b,causal-tuned,,,,,,,
reclasso,baseline,0.1347463185508008,4.2616889545358476e-11,6.528161268332644e-06,1.2809993719469443e-06,0.3121930637335516,0.4002353299114961,0.0171371270668533,0.9371197262131846,0.7027704034544162,218934,0.1341525013374754,7.011338798022092,2.3604835644503397e-12,0.0005938172133254,b,causal-tuned,,,,,,,
spectral-kNN OLS W=12 spectral d=6 k=25,baseline,0.13675742564423,4.4252585929868166e-11,6.652261715376821e-06,1.2949171360662128e-06,0.3297350416155534,0.4045294253922552,-0.0205865375383169,0.9136146021433568,0.6943283283238912,218934,0.1341525013374755,13.157445984788389,1.5421102318514812e-39,0.0026049243067544,b,spectral-kNN,fac_W12_d6_k25_ols,12.0,6.0,25.0,OLS,no,1.0
spectral-kNN OLS W=24 spectral d=6 k=25,baseline,0.1370069609942358,4.3966657397932766e-11,6.630735811200199e-06,1.2861627943566928e-06,0.3256673867403699,0.4059781591433714,-0.0139922379226133,0.9244234717476418,0.6947603926074101,218934,0.1341525013374754,15.66380878105507,2.6739268115753167e-55,0.0028544596567603,b,spectral-kNN,fac_W24_d6_k25_ols,24.0,6.0,25.0,OLS,no,1.0
spectral-kNN identity W=12 passthrough k=25,baseline,0.1417266322970673,4.3772928087508295e-11,6.616111251143552e-06,1.297764540517269e-06,0.3481212475620698,0.4160857786105501,-0.0095243063432235,0.9465785149998636,0.6935991331990563,218934,0.1341525013374754,19.123331849141373,1.6145648846061643e-81,0.0075741309595918,b,spectral-kNN,fac_W12_d0_k25_id,12.0,0.0,25.0,identity,no,1.0
spectral-kNN identity W=12 passthrough k=100,baseline,0.1423612200393151,4.390552106905117e-11,6.626124136254253e-06,1.2971309492681172e-06,0.3485895797001291,0.4175465610111613,-0.0125822657616649,0.9711154127261932,0.6910048266285702,218934,0.1341525013374754,18.27979363397463,1.1987879537690813e-74,0.0082087187018397,b,spectral-kNN,fac_W12_d0_k100_id,12.0,0.0,100.0,identity,no,1.0
spectral-kNN identity W=24 passthrough k=25,baseline,0.1447493982147623,4.553838099368986e-11,6.748213170439258e-06,1.3148656520049816e-06,0.3550832263573453,0.4232053429241465,-0.050240513788418,0.957569441162492,0.6803487927410847,218934,0.1341525013374754,21.17438931485519,1.6450009309022194e-99,0.0105968968772869,b,spectral-kNN,fac_W24_d0_k25_id,24.0,0.0,25.0,identity,no,1.0
spectral-kNN identity W=24 passthrough k=100,baseline,0.1453858083051143,4.5430210778413155e-11,6.74019367514118e-06,1.3099450364716189e-06,0.3586730800853616,0.42495810022533,-0.0477458106393393,0.9825846783451893,0.6800162708393267,218934,0.1341525013374754,20.78951590115313,5.38513600646658e-96,0.0112333069676389,b,spectral-kNN,fac_W24_d0_k100_id,24.0,0.0,100.0,identity,no,1.0
spectral-kNN identity W=12 passthrough k=25,implied_vol,0.1493821201020338,5.3099876637790085e-11,7.2869662163200735e-06,1.3882117613265243e-06,0.3521755956026514,0.4280066721747823,-0.2246294335738845,0.8327971513368272,0.652833831295802,218934,0.1341525013374754,28.34720642470265,9.060687233655047e-177,0.0152296187645583,b,spectral-kNN,best_exog_id,12.0,0.0,25.0,identity,no,1.0
spectral-kNN identity W=12 passthrough k=25,sentiment,0.1521366762828638,4.387126358995175e-11,6.6235386003217154e-06,1.3328246019510492e-06,0.3747111356379516,0.4340630465889273,-0.0117921939219269,0.9468390837036644,0.6929305782597883,218934,0.1341525013374754,31.39691313281748,2.2295285255043272e-216,0.0179841749453883,b,spectral-kNN,best_exog_id,12.0,0.0,25.0,identity,no,1.0
