cluster,arm,bucket,chunks_ok,bars,chunks_blown,chunks_bad,qlike,mz_beta,dm,dm_p,dm_better,view_window,embedding_dim,neighbor_k,residualizer,masked,omega,status,verdict,knobs
carc,mask_exog,implied_vol,100,218934,2,0,1.1189853483024088,1.1628831745205213e-25,13.91406734658275,5.203425264319576e-44,b,12,0,100,OLS,dup,1.0,"complete, 2 blown",SINGULAR (rejected),W=12 d=0 k=100 OLS mask=dup
carc,mask_exog,market_vw,100,218934,0,0,0.1309642552906875,0.928051693911087,-17.56692417311115,4.4146791286145033e-69,a,12,0,100,OLS,dup,1.0,complete,beats incumbent: 0.130964,W=12 d=0 k=100 OLS mask=dup
carc,mask_exog,sentiment,100,218934,2,0,1.126304037089804,3.3898163216742044e-27,13.873093111545405,9.221293240574914e-44,b,12,0,100,OLS,dup,1.0,"complete, 2 blown",SINGULAR (rejected),W=12 d=0 k=100 OLS mask=dup
carc,mask_exog,vol_demand,100,218934,2,0,1.0580916542920853,1.259614080543091e-24,13.882743764380434,8.059858204588651e-44,b,12,0,100,OLS,dup,1.0,"complete, 2 blown",SINGULAR (rejected),W=12 d=0 k=100 OLS mask=dup
carc,mwide_af_d0,all_features,40,87560,7,28,4.674794634737986,5.121271444038162e-26,13.10775521656319,2.972674015139651e-39,b,12,0,100,OLS,dup,1.0,partial 40/100,SINGULAR (rejected),W=12 d=0 k=100 OLS mask=dup
carc,mwide_af_d32,all_features,35,76615,7,34,0.1402431725933372,0.8468161458330159,-3.3331610618192435,0.0008586522004657,a,12,32,100,OLS,dup,1.0,partial 35/100,partial: 0.140243,W=12 d=32 k=100 OLS mask=dup
carc,mwide_af_d8,all_features,43,94127,7,27,5.209393718903355,2.620930855053997e-24,13.770987305216725,3.809708135297642e-43,b,12,8,100,OLS,dup,1.0,partial 43/100,SINGULAR (rejected),W=12 d=8 k=100 OLS mask=dup
carc,mwide_liq_d0,liquidity,0,0,0,1,,,,,,,,,,,,no output,not pooled,
carc,mwide_liq_d32,liquidity,0,0,0,1,,,,,,,,,,,,no output,not pooled,
carc,mwide_liq_d8,liquidity,0,0,0,1,,,,,,,,,,,,no output,not pooled,
carc,omega025,market_vw,0,0,0,1,,,,,,12,0,100,OLS,dup,0.25,no output,not pooled,W=12 d=0 k=100 OLS mask=dup omega=0.25
carc,spectral_knn_fixed,all_features,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
carc,spectral_knn_fixed,implied_vol,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
carc,spectral_knn_fixed,market_vw,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
carc,spectral_knn_fixed,sentiment,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
carc,spectral_knn_fixed,vol_demand,100,218934,0,0,,,,,,,,,,,,complete,not pooled,
