window,views,representation,weighting,d,captured,null_mean,null_std
2013-11-06..2015-09-24,resid,recw,binary,57,0.013431336893304377,0.005028890577164213,0.0009010254410946597
2013-11-06..2015-09-24,resid,recw,binary,58,0.01349874437617904,0.005187492496198034,0.0008933481277066317
2013-11-06..2015-09-24,resid,recw,binary,59,0.013540359391464515,0.005260229802196664,0.000914681899228076
2013-11-06..2015-09-24,resid,recw,binary,60,0.013562834502958676,0.005384027280726409,0.0010118335411433675
2013-11-06..2015-09-24,resid,recw,binary,61,0.013649377420161068,0.005483603652271154,0.0009686907194641059
2013-11-06..2015-09-24,resid,recw,binary,62,0.01380347650684191,0.005589501060977642,0.000997799658624669
2013-11-06..2015-09-24,resid,recw,binary,63,0.013803991749473426,0.005616842433819791,0.0010083201101244706
2013-11-06..2015-09-24,resid,recw,binary,64,0.014134894469558276,0.005680254064911672,0.0010040841170080317
2013-11-06..2015-09-24,resid,recw,heat,1,0.00011092741372543152,0.00012063748371688617,0.00019673075543907885
2013-11-06..2015-09-24,resid,recw,heat,2,0.00011494110118522747,0.00028903545195917363,0.00023105835730170032
2013-11-06..2015-09-24,resid,recw,heat,3,0.00012516481534998816,0.0004080205760826523,0.00026290439120456744
2013-11-06..2015-09-24,resid,recw,heat,4,0.0002555120118062167,0.000535610579764,0.00029249327133912717
2013-11-06..2015-09-24,resid,recw,heat,5,0.0004440683211097185,0.0005978388749884504,0.0002740915904342821
2013-11-06..2015-09-24,resid,recw,heat,6,0.00044411881625644435,0.0006772407745454007,0.00027976009002501884
2013-11-06..2015-09-24,resid,recw,heat,7,0.0010946286869563558,0.0008411081694236052,0.00042822514246108927
2013-11-06..2015-09-24,resid,recw,heat,8,0.0011134874183160812,0.0009297047163683901,0.000426856062759288
2013-11-06..2015-09-24,resid,recw,heat,9,0.0047115993582960295,0.0009988320138285675,0.0004210706844051452
2013-11-06..2015-09-24,resid,recw,heat,10,0.004986373513119563,0.0010486478985290456,0.0004002465596906982
2013-11-06..2015-09-24,resid,recw,heat,11,0.006150483913761858,0.001120136751936804,0.00039828250178267506
2013-11-06..2015-09-24,resid,recw,heat,12,0.006471014080440068,0.001196566084639368,0.0004083284517855107
2013-11-06..2015-09-24,resid,recw,heat,13,0.006527890747360443,0.0012223927328620407,0.00042047322224145217
2013-11-06..2015-09-24,resid,recw,heat,14,0.006532955729185639,0.0012665049479491659,0.0004201626990630367
2013-11-06..2015-09-24,resid,recw,heat,15,0.006658689384625691,0.00135721287585814,0.0004637689840202629
2013-11-06..2015-09-24,resid,recw,heat,16,0.006663026101900987,0.0014277624140812471,0.0004669245302231165
2013-11-06..2015-09-24,resid,recw,heat,17,0.006856603397610966,0.0014709546030194486,0.00043006838186386575
2013-11-06..2015-09-24,resid,recw,heat,18,0.006991692415562448,0.0015745783616222119,0.0004807186378866228
2013-11-06..2015-09-24,resid,recw,heat,19,0.007076181580638472,0.0016763337379130158,0.0005654493241215859
2013-11-06..2015-09-24,resid,recw,heat,20,0.007732906800566189,0.001800723735426623,0.0005630832386768692
2013-11-06..2015-09-24,resid,recw,heat,21,0.007957817264303946,0.0018624096635791293,0.0005693916089415858
2013-11-06..2015-09-24,resid,recw,heat,22,0.00796372820995917,0.0020260414794573975,0.000646305984342674
2013-11-06..2015-09-24,resid,recw,heat,23,0.007977195295880854,0.002162752409189026,0.0006995858213756199
2013-11-06..2015-09-24,resid,recw,heat,24,0.00806696785234858,0.0022214497362131633,0.0006898566019322896
2013-11-06..2015-09-24,resid,recw,heat,25,0.00807495794103641,0.0024023818465528242,0.0007894446988137396
2013-11-06..2015-09-24,resid,recw,heat,26,0.008107056806787838,0.002474074734813978,0.0007966347198863534
2013-11-06..2015-09-24,resid,recw,heat,27,0.008122756328047374,0.0025928467227811437,0.0008236705962646143
2013-11-06..2015-09-24,resid,recw,heat,28,0.00853254784862596,0.002671331647572961,0.0008656714364285188
2013-11-06..2015-09-24,resid,recw,heat,29,0.008626513262128623,0.0027735688620321055,0.0009106356689612184
2013-11-06..2015-09-24,resid,recw,heat,30,0.008784733984437855,0.0028509410534467627,0.0009132538482186352
2013-11-06..2015-09-24,resid,recw,heat,31,0.009195493722502682,0.0029284012161902243,0.0008705404562607003
2013-11-06..2015-09-24,resid,recw,heat,32,0.009644046125299451,0.0029826900260708855,0.0008620682469184334
2013-11-06..2015-09-24,resid,recw,heat,33,0.010422277575960988,0.0032055228098979392,0.0007636745984077805
2013-11-06..2015-09-24,resid,recw,heat,34,0.010828460683415326,0.0033705302523955928,0.0007521875122081999
2013-11-06..2015-09-24,resid,recw,heat,35,0.010828472870940324,0.0034791123445352947,0.0007772576411760746
2013-11-06..2015-09-24,resid,recw,heat,36,0.010832925525835863,0.0036906709717550975,0.0008496771144859707
2013-11-06..2015-09-24,resid,recw,heat,37,0.01088142446845079,0.003749987901029389,0.0008539588307368015
2013-11-06..2015-09-24,resid,recw,heat,38,0.011246403605755084,0.003848194445657353,0.0008786832310274721
2013-11-06..2015-09-24,resid,recw,heat,39,0.01128438709949076,0.003965646082075656,0.0009174229811012093
2013-11-06..2015-09-24,resid,recw,heat,40,0.01136848323766932,0.004042214721499246,0.0009580368650048114
2013-11-06..2015-09-24,resid,recw,heat,41,0.01151003306812895,0.004144216779489817,0.0010084023087128106
2013-11-06..2015-09-24,resid,recw,heat,42,0.01153311065072451,0.0042148697632781165,0.0010567883351282777
2013-11-06..2015-09-24,resid,recw,heat,43,0.011579594384873344,0.004307361707637064,0.001039646695717307
2013-11-06..2015-09-24,resid,recw,heat,44,0.011609397005273877,0.004358278756350049,0.001070621590647491
