,quarter,pick_E1 ratio of sums | expanding,score_E1 ratio of sums | expanding,pick_E1 ratio of sums | rolling 126,score_E1 ratio of sums | rolling 126,pick_E1 ratio of sums | rolling 252,score_E1 ratio of sums | rolling 252,pick_E1 ratio of sums | ewma hl 63,score_E1 ratio of sums | ewma hl 63,pick_E2 relative ratio of sums | rolling 126,score_E2 relative ratio of sums | rolling 126,pick_E2 relative ratio of sums | rolling 252,score_E2 relative ratio of sums | rolling 252,pick_E2 relative ratio of sums | ewma hl 63,score_E2 relative ratio of sums | ewma hl 63,p26_pick_rolling 252,E1_expanding_score_10:00,E1_expanding_score_10:30,E1_expanding_score_11:00,E1_expanding_score_11:30,E1_expanding_score_12:00,E1_expanding_score_12:30,E1_expanding_score_13:00,E1_expanding_score_13:30,E1_expanding_score_14:00,E1_expanding_score_14:30,E1_expanding_score_15:00,I_10:00,R_10:00,I_10:30,R_10:30,I_11:00,R_11:00,I_11:30,R_11:30,I_12:00,R_12:00,I_12:30,R_12:30,I_13:00,R_13:00,I_13:30,R_13:30,I_14:00,R_14:00,I_14:30,R_14:30,I_15:00,R_15:00
2022-12-21,2022Q4,10:00,1.1242561005081535,15:00,1.3712812240417884,14:00,1.2018309805618395,15:00,1.2878632074821932,15:00,1.434084131664188,15:00,1.2480473116640882,15:00,1.3468456777674616,15:00,1.1242561005081535,1.0765783112854583,1.061191158581319,1.0746860995025131,1.035477570712667,1.05566761006775,1.0387103317932025,1.021022552834433,1.0179141971941439,0.9658148434939318,0.9562069572936982,6.146506588356286e-05,5.674214241678438e-05,4.2851830142721884e-05,3.073701556546495e-05,4.000598907293788e-05,1.6224340544850995e-05,3.426461519874179e-05,1.6122271155895533e-05,3.144748462103836e-05,1.4721543548415407e-05,2.9318494769021695e-05,1.397386285074505e-05,2.1448831151437834e-05,1.0485340841410385e-05,2.0139236171437836e-05,7.993474330967654e-06,1.6285256964051885e-05,5.468921313368627e-06,1.2131320644627657e-05,5.416300286488978e-06,9.82068863396188e-06,4.625221260769359e-06
2022-12-22,2022Q4,10:00,1.1242158971417018,15:00,1.3782003179131552,14:00,1.2018204843046663,15:00,1.2901340242801878,15:00,1.4408432355858727,15:00,1.2469863568638722,15:00,1.348774091634205,15:00,1.1242158971417018,1.0767688156312907,1.0616906857607535,1.0751018945066444,1.035907710903705,1.056092612300341,1.0390473513163119,1.0214399555829294,1.0183317778854273,0.9661347614850233,0.9565234328582278,5.6625571656420105e-05,0.00011765532944052751,4.834784928108814e-05,9.007901794670284e-05,4.37804576356238e-05,8.867126478687737e-05,3.685211432159238e-05,8.86679269445402e-05,3.283568326648968e-05,8.698246713750713e-05,4.3612200057872566e-05,6.170545455589879e-05,4.122106761490426e-05,6.135473897416124e-05,4.012707868738187e-05,5.4087319024533406e-05,3.483129661509859e-05,5.408528881628021e-05,3.3631503768833706e-05,3.397533575159056e-05,2.4891010458843338e-05,2.2275238838976597e-05
2022-12-23,2022Q4,10:00,1.1229120010481155,15:00,1.372535182729768,14:00,1.1971883458408181,15:00,1.2878780473416966,15:00,1.4346058510374855,15:00,1.2442511828372027,15:00,1.3461202345753598,15:00,1.1229120010481155,1.075821057456361,1.0605889244719433,1.0736695856778506,1.0343909277811774,1.0554648646398368,1.0383295736039917,1.0209140455596268,1.017544685623639,0.9661721066406335,0.9567332948887467,0.00012565337365183022,7.941154484077101e-05,7.652973820793433e-05,2.0745845745197547e-05,6.490134420657375e-05,1.884229290126919e-05,4.565865671991901e-05,1.8819308509027705e-05,3.733010484491994e-05,1.571965134174566e-05,3.2227963790378596e-05,1.307181182208271e-05,2.793299987257752e-05,1.2460307763588648e-05,2.2579621654957436e-05,1.2247370252836802e-05,1.888832846642425e-05,9.966619561276939e-06,1.41738780264613e-05,9.587379998848331e-06,1.0540087172756678e-05,5.208149691818872e-06
2022-12-27,2022Q4,10:00,1.1235399742284682,15:00,1.3782255746396288,14:00,1.1977046494151269,15:00,1.2901434445625557,15:00,1.4400639613450656,15:00,1.2437337097137287,15:00,1.3480297519264313,15:00,1.1235399742284682,1.0768767996133823,1.061571190142386,1.0742927529434243,1.0349487243299735,1.0560014443136647,1.0388071215029442,1.0212643706901152,1.0178846090227867,0.9663993316086058,0.9570585832537064,7.274849916304657e-05,4.0124637314714746e-05,5.7740531385903656e-05,1.627017224174404e-05,5.1333939624604535e-05,1.458624846272612e-05,4.210429231762636e-05,1.3671320810072804e-05,3.151155229612202e-05,1.3668872774257398e-05,2.739454135193372e-05,1.3472707459119894e-05,2.2418576303409533e-05,1.3437498529407866e-05,1.9326771215854908e-05,1.3350705054643428e-05,2.0587003029465372e-05,9.088834139580164e-06,1.4738578161569859e-05,7.883468109459922e-06,1.0469018095704765e-05,5.756718081260657e-06
2022-12-28,2022Q4,10:00,1.1240158922077568,15:00,1.3694699208349261,14:00,1.1987431752721946,15:00,1.2919551917527277,15:00,1.4304817053335843,15:00,1.2438987372532961,15:00,1.3495135875538438,15:00,1.1240158922077568,1.077659815933266,1.0623549084286907,1.0749637891097485,1.0354082729738854,1.0563846308051423,1.0390764188855526,1.0214621837128792,1.0183249826998368,0.9667286558713722,0.9573487837899819,5.019072990195511e-05,6.392184012366569e-05,4.170479099222826e-05,4.985782384211332e-05,4.124458669820584e-05,3.9585557543059526e-05,3.681628408364011e-05,3.894409923186174e-05,3.291635251200382e-05,3.342816904575906e-05,2.8455247649272194e-05,3.232875852601881e-05,2.4400372270653987e-05,1.5981780759959013e-05,1.937347235538967e-05,1.5959399302253105e-05,1.560313716921621e-05,1.333905772161809e-05,1.2042606626468346e-05,1.2823225415627444e-05,9.56294021747215e-06,1.282045639336311e-05
2022-12-29,2022Q4,10:00,1.12364373884985,15:00,1.3554137729640798,14:00,1.1987296992190852,15:00,1.2877720455205608,15:00,1.4160337706196287,15:00,1.2442478629236344,15:00,1.345366810999166,15:00,1.12364373884985,1.0774259340447352,1.0623372308497236,1.0748403765935104,1.0353634440325303,1.0562190153835507,1.0393244041903604,1.0215688663139215,1.0184034024408937,0.966712293125821,0.9571902881743967,5.069556531159679e-05,1.7894851921492083e-05,4.498844494521497e-05,1.3946200245050325e-05,3.507069814786304e-05,9.39227301180863e-06,3.444993784229297e-05,8.931627127920239e-06,2.828469079254942e-05,1.5473809951869342e-06,2.3655407014732203e-05,1.4598982388930562e-06,1.933689270139653e-05,1.4511774137964419e-06,1.6547601614420224e-05,1.0434445945706412e-06,1.403750867142906e-05,5.449982713795316e-07,1.0408197568657742e-05,1.1716435220021552e-07,7.020572870526832e-06,6.614189985973045e-08
2022-12-30,2022Q4,10:00,1.1241691681063528,15:00,1.362145928334981,14:00,1.1984516845253577,15:00,1.2919619613125528,15:00,1.4224624929752114,15:00,1.2434386140511184,15:00,1.3491707416137069,15:00,1.1241691681063528,1.0780085356029048,1.0628852079621476,1.0754478633479188,1.0360689222798138,1.0568619124183694,1.0398916344858988,1.0221065633155908,1.0189268964821625,0.9671881840468306,0.9575970790526275,7.611626073373925e-05,6.964885281074522e-05,5.541743214458345e-05,6.869607404405594e-05,5.0114861643379654e-05,6.760027823234229e-05,4.622927697102429e-05,6.547027114662837e-05,3.286924297891598e-05,6.034914262077416e-05,2.4736854205084276e-05,6.034612531362803e-05,2.2955344378564937e-05,6.017962185456015e-05,3.544276856050325e-05,4.24226062743437e-05,2.7061092506256098e-05,4.24017438802852e-05,2.3856866044891624e-05,4.207992060627201e-05,2.181233336686644e-05,4.2050740404019005e-05
2023-01-03,2023Q1,10:00,1.124131751504952,15:00,1.3133943977290947,14:00,1.1956941142017188,15:00,1.2725981813981777,15:00,1.3730957164857727,15:00,1.2386813243748902,15:00,1.330445077812679,15:00,1.124131751504952,1.0776466237490223,1.0624112286666216,1.0748576825414997,1.0352860606292336,1.0557288830142002,1.0386333498543205,1.0218319778535883,1.0183011236002093,0.9664111460651791,0.9565206430696075,9.200387835856032e-05,6.848441472607417e-05,8.555507005414066e-05,6.381654898931023e-05,6.352055659619818e-05,5.4829362046462905e-05,6.037449115628663e-05,2.841536824836215e-05,5.061463617496263e-05,2.177408644568669e-05,4.45478368521282e-05,2.163678113460339e-05,4.26962748829327e-05,2.0980727427377126e-05,3.6583101100972644e-05,1.5461982279937727e-05,2.581535848199685e-05,1.4743925177937314e-05,2.100065047351776e-05,9.973100974617618e-06,1.926839776736206e-05,2.959712361761615e-06
2023-01-04,2023Q1,10:00,1.1243891197678468,15:00,1.314876763549086,14:00,1.1961397658980815,15:00,1.2819154202091643,15:00,1.3732692531472097,15:00,1.2399447531634333,15:00,1.338844126317099,15:00,1.1243891197678468,1.077972127690579,1.0625259906978437,1.0755852943484965,1.036026672342518,1.0563584129101191,1.0392967430534645,1.0225523682338469,1.0187195967385165,0.9669351268446995,0.957479212860623,0.00012404193138684954,0.00015021110658569692,0.00010446415633742357,0.00013224624774464772,9.645786949723741e-05,0.00012021412888046542,8.233053081627163e-05,0.00011718119466951295,8.312874309772153e-05,9.153288177990905e-05,7.927133610639739e-05,9.081833219471755e-05,7.362916620909649e-05,8.617865350626852e-05,7.015855262842088e-05,8.464582657056082e-05,7.012014648002699e-05,8.234139020815198e-05,3.30804213790467e-05,2.9456526166722982e-05,1.9777773562549517e-05,8.167290739121903e-06
2023-01-05,2023Q1,10:00,1.1236224384865543,15:00,1.3157602787179419,14:00,1.193035464427801,15:00,1.2875438521341533,15:00,1.3731923807997712,15:00,1.2406210195136416,15:00,1.343744325082503,15:00,1.1236224384865543,1.0772352142492265,1.0618466587237982,1.0745222851722507,1.0357186958780102,1.0558763275799743,1.0387924128037822,1.0219857115956315,1.0181881032422813,0.9671468690511343,0.9581762155945113,8.361927697009788e-05,3.670688029429625e-05,6.801883243766127e-05,3.6576158099711244e-05,5.963452489259521e-05,3.0766106315898444e-05,5.3445073307689096e-05,3.070516521069863e-05,4.2908184153940527e-05,3.070293158431597e-05,3.936373529322455e-05,2.939292890591047e-05,3.580615187534514e-05,2.8619754335258633e-05,3.285790093084328e-05,1.5705901713517804e-05,2.51743322502915e-05,1.5287987128073876e-05,1.9576809971142237e-05,1.4270881301781919e-05,1.4792204011679073e-05,1.0940224572274914e-05
