,quarter,pick_E1 ratio of sums | expanding,score_E1 ratio of sums | expanding,pick_E1 ratio of sums | rolling 126,score_E1 ratio of sums | rolling 126,pick_E1 ratio of sums | rolling 252,score_E1 ratio of sums | rolling 252,pick_E1 ratio of sums | ewma hl 63,score_E1 ratio of sums | ewma hl 63,pick_E2 relative ratio of sums | rolling 126,score_E2 relative ratio of sums | rolling 126,pick_E2 relative ratio of sums | rolling 252,score_E2 relative ratio of sums | rolling 252,pick_E2 relative ratio of sums | ewma hl 63,score_E2 relative ratio of sums | ewma hl 63,p26_pick_rolling 252,E1_expanding_score_10:00,E1_expanding_score_10:30,E1_expanding_score_11:00,E1_expanding_score_11:30,E1_expanding_score_12:00,E1_expanding_score_12:30,E1_expanding_score_13:00,E1_expanding_score_13:30,E1_expanding_score_14:00,E1_expanding_score_14:30,E1_expanding_score_15:00,I_10:00,R_10:00,I_10:30,R_10:30,I_11:00,R_11:00,I_11:30,R_11:30,I_12:00,R_12:00,I_12:30,R_12:30,I_13:00,R_13:00,I_13:30,R_13:30,I_14:00,R_14:00,I_14:30,R_14:30,I_15:00,R_15:00
2022-07-26,2022Q3,10:00,1.1387325808036102,14:00,1.1940029810346862,14:00,1.1786970129972116,14:00,1.2447221802477995,15:00,1.250457009888451,14:30,1.2119564858381227,14:30,1.2808936258106796,10:30,1.1387325808036102,1.0777332211283537,1.0620556473404645,1.0631502113275177,1.0187020176590422,1.0327971038063726,1.0166862943856345,0.984217376100902,0.980171488664762,0.9298715907300948,0.915448958743067,7.28571590635325e-05,3.702163654565986e-05,6.410595252857806e-05,3.327133802097313e-05,5.2445464743525703e-05,3.2577533439824e-05,5.1360555011546985e-05,1.8639903901049708e-05,4.6675596726534596e-05,1.4682401616294008e-05,3.6211259121671124e-05,1.2148632352787993e-05,3.444539428113364e-05,1.1089300257256643e-05,3.033349778774483e-05,9.044523210883053e-06,2.6434559693767967e-05,3.654909593338694e-06,1.9767862618319317e-05,4.7572415148926423e-07,1.4177189419440324e-05,3.5699405228066834e-07
2022-07-27,2022Q3,10:00,1.1393906852034397,14:00,1.197825505271506,14:00,1.1820617930539792,14:00,1.2510115610979777,15:00,1.2528963672686146,15:00,1.2152386854248785,14:30,1.2869003035211057,10:30,1.1393906852034397,1.078408292495068,1.0625347545750217,1.0640904354707845,1.0197191788215216,1.033627787702667,1.01757762902317,0.9851084009385347,0.9812302451920863,0.9309151956337374,0.9163547127048873,0.00020779361645085383,0.0001409723961144052,0.00020153795914372544,0.00014020282458393927,0.00019096869636935692,0.0001390355644256732,0.00018749099169324408,0.00013903553903456706,0.00018999759195051895,0.00013718371303730542,0.0001939898787290595,0.00013704160834135775,0.0001976152162539992,0.0001332714107861761,0.00019531348794246168,0.0001331890466848828,0.00020445162538166304,0.00013311383092822098,0.0001388468813026731,0.00013239966269166525,4.81835382475936e-05,6.899483410850092e-05
2022-07-28,2022Q3,10:00,1.1403988444330104,14:00,1.2049228734696442,14:00,1.1871767995531146,14:00,1.2616206140497246,15:00,1.2441731498518482,14:30,1.2104657850109464,14:00,1.2813141948569995,10:30,1.1403988444330104,1.0796073371453885,1.0636912332549813,1.0652642841947177,1.021319041486035,1.0354562777585432,1.019950501327591,0.9877590101399466,0.9846301704247702,0.9317513173226923,0.915375567374659,8.955850303125319e-05,0.00010180756348581969,7.359824418950985e-05,9.934463484606206e-05,5.30755247773615e-05,4.939243419963336e-05,4.711682515805798e-05,1.8894259342653044e-05,3.950364772254737e-05,1.8809318864435648e-05,3.4072859911836895e-05,1.691169639194878e-05,2.8901653335598604e-05,1.677653347022732e-05,2.4881102842178984e-05,1.1024352672586096e-05,2.3228383547175985e-05,3.0863802018221288e-06,1.605824278898544e-05,2.2060010864118313e-06,9.606986856244942e-06,1.2066819347841858e-06
2022-07-29,2022Q3,10:00,1.1398327931535246,14:00,1.2066134634132921,14:00,1.1902484460104454,14:00,1.2670843268002543,15:00,1.2415705619960158,14:30,1.2125551571716935,14:00,1.2856494946493913,10:30,1.1398327931535246,1.078807637585391,1.063705583176467,1.0660649943719807,1.0219665745521471,1.0360345124705537,1.0204014475044398,0.9883372487793216,0.9855596973153248,0.9325020317750852,0.915929047305555,8.084453694078067e-05,5.8640400837334544e-05,6.767629943806104e-05,4.5708286455816245e-05,5.9450614694058195e-05,3.703196330837642e-05,5.7437747131412184e-05,2.8984033090163797e-05,4.363150893469906e-05,1.9146729699120537e-05,3.557266141049911e-05,1.912943811359928e-05,2.7560796523857404e-05,1.4443920268126064e-05,2.25084939598967e-05,1.3474877714445703e-05,2.2053347955859425e-05,1.0038247888130471e-05,1.7018184367600954e-05,7.163901427629976e-06,1.2784778243665632e-05,6.673725315988502e-06
2022-08-01,2022Q3,10:00,1.1401310761110293,14:00,1.2265157262730333,14:00,1.190997273462634,14:00,1.2697435704193891,15:00,1.2758621501346072,14:30,1.2125858264141969,14:00,1.2876166021839401,10:30,1.1401310761110293,1.079243568325775,1.0642408665987426,1.0668516610615284,1.0227339618474445,1.0365841820630206,1.0208915852178468,0.9887168667684145,0.9861192906846368,0.9330560481907019,0.9163631920160797,7.806690872863067e-05,7.652589435278189e-05,7.816666298668217e-05,7.198307493406438e-05,5.5695258485797275e-05,2.9146883748980942e-05,4.170040398245141e-05,2.9004963594407607e-05,3.459312763314658e-05,2.8866558872531913e-05,3.62414031896472e-05,2.6568055537438096e-05,3.319904529752292e-05,2.601934028802668e-05,2.953083819538345e-05,1.0184290948524724e-05,2.573451505698206e-05,9.950038410651172e-06,1.94963438444802e-05,9.336960473352627e-06,1.3571906596352245e-05,2.566112480988945e-06
2022-08-02,2022Q3,10:00,1.1399358095736236,14:00,1.2269912504514218,14:00,1.1919385111015233,14:00,1.2735063793525558,15:00,1.2784844367265302,14:30,1.2124453612242259,14:00,1.290473921859449,10:30,1.1399358095736236,1.079254927745084,1.0648988270610331,1.067170229125391,1.0228955014071082,1.036887500721974,1.0211450035747962,0.9895203699312967,0.9868516967143013,0.9336337096202869,0.917093165591322,9.24492074420162e-05,8.382798908954784e-05,8.471783426705642e-05,8.248525443722161e-05,5.46517488593417e-05,7.042267678419307e-05,4.646876902810267e-05,7.040145005065614e-05,3.781012936941948e-05,7.007279953710914e-05,2.9067686281631175e-05,5.032256948996233e-05,2.677937513918272e-05,5.0208044553929696e-05,2.495467552794965e-05,2.9155393613431645e-05,3.0435890653418306e-05,1.9450342971061875e-05,2.0207952351005875e-05,1.5061190894771274e-05,1.538394456170899e-05,1.1244049993962953e-05
2022-08-03,2022Q3,10:00,1.139869808344797,14:00,1.225783277108183,14:00,1.193471424525587,14:00,1.2751424933011535,15:00,1.273445303286587,14:30,1.2112905029400203,14:00,1.2914557617223381,10:30,1.139869808344797,1.0791531229340254,1.0643574631101662,1.0663231379592955,1.0218189066436785,1.0360832866582845,1.0202115635813895,0.9893597433829344,0.987368310317166,0.9339626677602085,0.9174229033636591,6.927473916251464e-05,1.959612718528244e-05,5.076614735807314e-05,1.9535029629674672e-05,4.898392895609211e-05,1.9498379139706144e-05,3.746650515041578e-05,1.4353554434641315e-05,3.20815822868967e-05,9.856353717500636e-06,3.128669633001814e-05,9.71831432047302e-06,2.650313255631149e-05,2.0216206818868784e-06,2.289661372577011e-05,1.6118857954516723e-06,1.873839349259106e-05,1.6118857954516723e-06,1.3419638293388022e-05,1.0308849918538925e-06,1.1036945739871683e-05,9.77630536842034e-07
2022-08-04,2022Q3,10:00,1.140865736382189,14:00,1.2275415881003588,14:00,1.1968096640731087,14:00,1.2800110931605477,15:00,1.2746308207756696,14:30,1.2140918931322702,14:00,1.295352906852063,10:30,1.140865736382189,1.0798548228632463,1.0651084065060283,1.0669778269143153,1.022518366299356,1.0368213637215429,1.0211430387634417,0.9902381160234658,0.9881562672146244,0.9346293352504537,0.9180820664932826,6.966556134211808e-05,3.583595542889774e-05,6.268291692763512e-05,3.058671754628581e-05,5.614882042926225e-05,2.9362476123752157e-05,4.482398667639353e-05,2.67913842155171e-05,3.6928911893276665e-05,2.145903510273621e-05,3.171946917906241e-05,2.0884333083846158e-05,2.978313003537452e-05,9.744617359171944e-06,2.1258696887731924e-05,2.5329969875402447e-06,1.7491078899472336e-05,2.4209639292173085e-06,1.2315949862581791e-05,2.41815172614385e-06,9.544191145029769e-06,2.3999973519522443e-06
2022-08-05,2022Q3,10:00,1.1414759615958114,14:00,1.2314514309743598,14:00,1.1983152346489192,14:00,1.2842546063782816,15:00,1.2782155720420234,14:30,1.2140999367335237,14:00,1.2987354669938402,10:30,1.1414759615958114,1.080555279858472,1.0657695608338664,1.0674571625051619,1.022994301500563,1.037171269396674,1.021898608075711,0.9910112000285474,0.9888500306770884,0.9351674381958724,0.9185591874159491,6.388754857568947e-05,8.272828521792336e-05,4.782338921929235e-05,7.234968768425148e-05,3.866946509800399e-05,7.151262260421227e-05,4.316256221066832e-05,2.4243705653323133e-05,3.555970058313937e-05,2.3058154474089907e-05,2.670870961935964e-05,1.7335495163492094e-05,2.193253430872709e-05,1.3071209241760814e-05,1.865621085072363e-05,1.2669982320155211e-05,1.6374401566551363e-05,1.2371426665592699e-05,1.3334475593046565e-05,8.037726531140741e-06,1.0756322350136674e-05,7.513097621699539e-06
2022-08-08,2022Q3,10:00,1.1408294858894221,14:00,1.2319392514420626,14:00,1.195601882617933,14:00,1.2843990562680334,15:00,1.2801400048758902,14:30,1.2130325739001784,14:00,1.2986318134538688,10:30,1.1408294858894221,1.0798394936654798,1.0647734868103778,1.0679669886592373,1.023374200366877,1.0374745064422044,1.022225135302683,0.991262577786739,0.9890401905772032,0.935478625382352,0.9188096302524097,5.0506152861035015e-05,4.900767663925596e-05,4.4201794498515947e-05,4.753622114029514e-05,3.912937572296628e-05,4.7350508077204196e-05,3.913388411587685e-05,4.313913782832981e-05,3.245656154483497e-05,3.9574534942946274e-05,3.931043281009246e-05,1.3803957115463058e-05,2.9004227323801166e-05,1.180146437839399e-05,2.410277465279048e-05,1.1644748316195248e-05,1.6917525428475483e-05,8.619963016931744e-06,1.7588259292717104e-05,1.19680726390637e-06,1.2572042718382147e-05,7.154342189412247e-07
2022-08-09,2022Q3,10:00,1.1407152454877383,14:00,1.2400393879974132,14:00,1.196085042931596,14:00,1.2861500943170787,15:00,1.3125831513780832,14:30,1.2133534921800613,14:30,1.3005613780346907,10:30,1.1407152454877383,1.0796715570678035,1.0644743973378221,1.067762612884109,1.0231192838103735,1.038342207036049,1.0228699151577025,0.9917799011648732,0.9894254186806211,0.9363594502137512,0.9195836213888947,5.6118878134364466e-05,2.097737745155962e-05,4.540932816917872e-05,1.927523113590467e-05,4.1148104772702687e-05,1.866958051395361e-05,3.6362823318150975e-05,1.6576233988949573e-05,2.8063744948429863e-05,1.4593778675369705e-05,2.2932624193166548e-05,1.0915396290937562e-05,1.9472712334551905e-05,1.0387816917858359e-05,1.6289277187827944e-05,9.81066769214345e-06,1.395664051967289e-05,9.736824416586108e-06,1.4828659785699341e-05,4.357763505525089e-06,8.81227878540869e-06,1.5151297554275396e-06
2022-08-10,2022Q3,10:00,1.1413955268138423,14:00,1.2384361764110987,14:00,1.1959602961099984,14:00,1.2865829740903179,15:00,1.3107366321897909,14:30,1.212665502603812,14:30,1.3035972522719932,10:30,1.1413955268138423,1.0802506980821371,1.06503781158149,1.0683121750781754,1.0235353179867204,1.0387447969837231,1.023206524610137,0.9920499606089718,0.9896237629265018,0.9369341838123731,0.9200655193862874,6.0034787364035375e-05,2.546085321845385e-05,4.927936042367381e-05,2.3890229753726478e-05,4.104601241388584e-05,1.6853607373879936e-05,3.467869447138654e-05,1.5279359112786736e-05,2.715342940907102e-05,1.476690100734596e-05,2.4955214335744934e-05,1.0902598007248197e-05,1.887186668947076e-05,1.0489223560663905e-05,1.6314366687569577e-05,1.0489082963445535e-05,1.556617101947164e-05,9.627800065251826e-06,1.1286676701447026e-05,9.058868516562492e-06,9.090811828497916e-06,6.8705496449009404e-06
2022-08-11,2022Q3,10:00,1.1420497623734747,14:00,1.234884958426952,14:00,1.1898113695084958,14:00,1.287550705530454,15:00,1.3059425610619648,14:30,1.2071369180452574,14:30,1.3034793079498699,10:30,1.1420497623734747,1.0808030066274856,1.0656491903420235,1.0688524315436183,1.0239165295577437,1.0392177207684867,1.023516069748553,0.9922931291025884,0.9899006976347275,0.9370837866722381,0.920245328217537,3.998390460705894e-05,2.778161375910432e-05,3.619562135601056e-05,2.5529938018217387e-05,3.273894115952353e-05,2.476244242829508e-05,3.512149955726039e-05,1.425043985616583e-05,3.279259092356716e-05,1.2439364657033804e-05,2.8023543958234053e-05,1.1714183843355764e-05,2.140068644451611e-05,1.0911648750831624e-05,1.6068678191602336e-05,1.088351784639591e-05,1.4376350931858708e-05,9.278427326398247e-06,1.3492720705599723e-05,6.485338759731893e-06,1.01124004299201e-05,3.052546941390584e-07
2022-08-12,2022Q3,10:00,1.1422240430144799,14:00,1.2363556375496918,14:00,1.190018021226528,14:00,1.2882964073677559,15:00,1.3093783913785937,14:30,1.2097662489257448,14:30,1.305206466751048,10:30,1.1422240430144799,1.08100531388936,1.0658171931389702,1.0694376017591611,1.0245513390850032,1.0397674395892327,1.0239050610668141,0.9925098766866461,0.9901387013128029,0.9374799774776986,0.9208836318810935,5.2257676859755694e-05,1.870087244831779e-05,3.451553811654867e-05,1.8612269696678866e-05,3.112659116312708e-05,1.8606904573001574e-05,2.156967573299243e-05,1.3138391967740958e-05,2.0753579629084007e-05,1.3135697899816051e-05,1.4854744973726486e-05,9.443370490241192e-06,1.1998266422630264e-05,9.431132514549852e-06,1.1504212987912077e-05,8.63668500118339e-06,1.0844239266411081e-05,8.352095898054503e-06,7.504483691215196e-06,7.521713478261302e-06,6.291705175132059e-06,5.923231897509212e-06
2022-08-15,2022Q3,10:00,1.1428760164319187,14:00,1.236094822993502,14:00,1.1887399817094075,14:00,1.2883224852808324,15:00,1.308653434559052,14:30,1.2083087770585292,14:30,1.3044723817245698,10:30,1.1428760164319187,1.0813436990131633,1.0661158396420793,1.0696587285684935,1.0247821587109762,1.0399420386390688,1.0239940493892572,0.9926304537986997,0.9902566811060024,0.9375041721308155,0.920937959065599,4.407386460987796e-05,2.5583383267782283e-05,3.827943081893784e-05,2.1206653989919202e-05,3.446337291045631e-05,2.0874416706270256e-05,2.8247701311959246e-05,1.964142649080802e-05,2.093699416022785e-05,3.6028243615371614e-06,1.9602931463636057e-05,2.933556184124259e-06,1.602126070873791e-05,1.9073214777327058e-06,1.5224395045883257e-05,1.7095609192144636e-06,1.2362295183731155e-05,1.687337787948213e-06,9.995684916792452e-06,1.6753463952016245e-06,7.564955534356204e-06,9.052670738364869e-07
2022-08-16,2022Q3,10:00,1.1431888923806424,14:00,1.2382074186691165,14:00,1.1889903975780716,14:00,1.2915087926703686,15:00,1.3106473719457965,14:30,1.207986589577803,14:30,1.3071549335382084,10:30,1.1431888923806424,1.0817042863584823,1.06643846926937,1.069871471250382,1.0253277097991091,1.0405158669209418,1.0245286277346477,0.9931866826409842,0.9907465892348732,0.9379540841468302,0.9213747884634045,3.653883641386604e-05,5.2626521326483116e-05,3.496096011293095e-05,5.029457045230984e-05,3.05152620080084e-05,4.9909140790815454e-05,2.313974885554189e-05,3.59215911517795e-05,1.6307420666669018e-05,2.976654828102852e-05,1.5736239527627035e-05,2.9586196375296156e-05,1.3364541851194496e-05,2.937270761199195e-05,9.799469464243802e-06,2.8121205047277596e-05,7.822037882619399e-06,2.5644957064080375e-05,7.2899574779524355e-06,2.5353928646185296e-05,1.2272543527337164e-05,1.1114420243027574e-06
2022-08-17,2022Q3,10:00,1.142691229534992,14:00,1.2334334278431398,14:00,1.1893437720499975,14:00,1.2835737860425094,15:00,1.3125611034154236,15:00,1.2125109707217347,15:00,1.3044518298732062,10:30,1.142691229534992,1.0812480249033283,1.0658391329973245,1.0694224882584256,1.0248784955342662,1.0399946974588472,1.0238936628251707,0.9924420581506155,0.9899417156102291,0.9370746337115605,0.9221047135746128,5.548291541804886e-05,5.577786236086889e-05,4.634807636246285e-05,5.478962323804522e-05,4.5985224810367636e-05,4.818232886652213e-05,4.127146814796613e-05,4.5611077698967724e-05,4.5640769325812857e-05,3.691557719867278e-05,3.682905127540715e-05,2.810909684205575e-05,3.688629011027959e-05,2.7452755035350255e-05,3.428490995182156e-05,2.662032632264823e-05,3.7206208828448934e-05,2.640585644280944e-05,1.657053382360226e-05,6.982267274438701e-06,1.2296094043429938e-05,3.7850224974757877e-06
2022-08-18,2022Q3,10:00,1.1425175500876472,14:00,1.235230775185586,14:00,1.1906845921429703,14:00,1.2846154844479356,15:00,1.3165561021974375,14:30,1.2103649260184595,15:00,1.3081790272434581,10:30,1.1425175500876472,1.080945854389766,1.0656976087973076,1.0692023969098825,1.025124947535996,1.040257499308332,1.0242264848342955,0.992764761430611,0.9904475801774122,0.9376092036279868,0.9226759969140184,4.8308099346088965e-05,1.974460049373897e-05,4.072395720723967e-05,1.9607544455495764e-05,3.370954475163236e-05,1.7961729193722158e-05,2.9915817965882043e-05,1.4813858613893224e-05,2.550394706396735e-05,1.4639168474411981e-05,2.27858514331827e-05,8.360655083787576e-06,1.9647940547549637e-05,8.097854756699448e-06,1.6471644221319637e-05,5.99328083358712e-06,1.2289536489278728e-05,5.985370822020283e-06,9.208186362820484e-06,5.0490820110119505e-06,6.248120578162321e-06,4.680379692821311e-06
2022-08-19,2022Q3,10:00,1.1430591459392865,14:00,1.2353019543924053,14:00,1.1912603397792967,14:00,1.2860755657096892,15:00,1.315434615369642,14:30,1.21063980059571,15:00,1.308355219466827,10:30,1.1430591459392865,1.0814033439785338,1.0660813987672535,1.0696149761274019,1.0254561726549731,1.0407448045826126,1.0246568614789848,0.9931963221329041,0.9907383004942826,0.937847653499913,0.9228011447634943,6.318128308150391e-05,1.2493517755195993e-05,5.300386796054754e-05,1.2490572711252545e-05,4.6810398902147155e-05,1.0227834314817549e-05,4.223893200251296e-05,9.858802749872058e-06,3.537588632120964e-05,9.531556440922989e-06,2.806008142788926e-05,9.463983437867576e-06,2.3388138263936057e-05,6.296079942642896e-06,2.062583952973383e-05,4.543284038621071e-06,1.710510745777805e-05,4.520469120074279e-06,1.3545392932162795e-05,3.2665571082757614e-06,1.087137784280758e-05,1.3252284812399832e-06
2022-08-22,2022Q3,10:00,1.1440874096690439,14:00,1.248122628495984,14:00,1.1927424197072487,14:00,1.2896934719124473,15:00,1.3241011184598206,14:30,1.211811783619602,15:00,1.3129965671274937,10:30,1.1440874096690439,1.0823283128952284,1.067027110733261,1.0705436264660297,1.0262637746499754,1.0413744734583714,1.0252987086930543,0.9938571113595608,0.9913152266217519,0.9384061907748508,0.923426844669127,5.633813955417323e-05,2.7542456896623178e-05,5.107312877260446e-05,1.7175033314939492e-05,4.299340467417658e-05,1.540767405911614e-05,3.7536166472246586e-05,1.2866350487648346e-05,3.237204715100861e-05,1.1605197312726769e-05,2.974004645393937e-05,1.096034247557118e-05,2.3047594555849325e-05,1.0959366479120938e-05,2.2001063896378163e-05,5.136776862391098e-06,2.035916579031355e-05,1.7284546224421154e-06,1.544576825060819e-05,1.7038058578102618e-06,1.0993038177077476e-05,4.99427661371684e-07
2022-08-23,2022Q3,10:00,1.1446091654243375,14:00,1.2508070829376463,14:00,1.198830416201796,14:00,1.295563505128417,15:00,1.325596972858844,15:00,1.216856554557053,15:00,1.3182816916948537,10:30,1.1446091654243375,1.0830887521732968,1.067726180985795,1.0712396121663712,1.026909011193908,1.042007904102622,1.0257461181019067,0.9945498386999898,0.9921671135410807,0.9391439712062609,0.9241098105786284,6.173060652625857e-05,3.615961445632731e-05,5.3751458614253115e-05,3.5880557200671686e-05,5.0945216790662754e-05,2.7718218352277287e-05,4.2785418601418154e-05,2.7682601456375264e-05,3.446665780373355e-05,2.7577519441476706e-05,3.22429710369777e-05,2.0483299055768122e-05,2.6139708405123067e-05,1.1223260248505267e-05,2.234745595400551e-05,1.091700848899195e-05,1.9588432885084413e-05,6.571065376001767e-06,1.3136410010929899e-05,4.4850581082968695e-06,9.25070122830507e-06,4.08972690877189e-06
2022-08-24,2022Q3,10:00,1.145036338145955,14:00,1.2577778466498828,14:00,1.2101786178146008,14:00,1.299181264370653,15:00,1.3348861782129768,15:00,1.2322412818004183,15:00,1.3203678696102492,10:30,1.145036338145955,1.0834370196692582,1.0682878535602351,1.0716238946782841,1.027102679835239,1.0423843596977607,1.026299984259644,0.9950207142870874,0.9927640242127316,0.9396193551540388,0.9244645203245152,4.561925043120472e-05,3.2869592893925375e-05,3.600407182089367e-05,2.6393083646558877e-05,3.1197139353108906e-05,2.6150150939444844e-05,2.5686038235306957e-05,1.58947884403777e-05,2.2508944319642957e-05,1.5481049862107942e-05,1.9813940723017118e-05,1.4972688737155554e-05,1.7545924049209453e-05,4.165841120216641e-06,1.4677937086994294e-05,2.9649873573822124e-06,1.0546749827469835e-05,1.8165859385607391e-06,9.689230494428707e-06,1.5234033409816946e-06,5.39704327783599e-06,1.4740039613610443e-06
2022-08-25,2022Q3,10:00,1.1452038488578529,14:00,1.256941193920265,14:00,1.2111685443755382,14:00,1.3018834390054923,15:00,1.3332051288428681,15:00,1.233754001555667,15:00,1.3222009122140728,10:30,1.1452038488578529,1.0836102047612821,1.0683735920742197,1.0718770091338772,1.0273107794610934,1.0425295808618469,1.0268023898043732,0.9955012755088153,0.9931633360175216,0.9400592008208446,0.9247260459495202,4.329740601408698e-05,4.88538812212666e-05,3.528088770575251e-05,4.370735483544539e-05,3.191098514558309e-05,4.3274082732028496e-05,3.271048184432422e-05,3.222381005379163e-05,2.4234869576591637e-05,3.123089625318166e-05,2.3138272521721502e-05,3.0160066595728368e-05,2.2311975160940113e-05,2.9915004564397235e-05,1.6845008902515354e-05,2.746284057784712e-05,1.2150809161184365e-05,2.5026015273900736e-05,1.1235123061966284e-05,2.49019573623708e-05,7.511327308427758e-06,2.441572335518635e-05
2022-08-26,2022Q3,10:00,1.1449386543048767,14:00,1.2519825744211515,14:00,1.208645853747545,14:00,1.2951219317866944,15:00,1.3248949325954884,15:00,1.2304679048278395,15:00,1.3099206253230486,10:30,1.1449386543048767,1.0833280970661987,1.0679974961257857,1.0718235430416665,1.0270638539021224,1.0422431926680256,1.0264845535522054,0.9950717393358732,0.9925837945092144,0.9394116112861978,0.9237509128038259,0.00019367534095841233,0.00019353321462521137,0.00010855031504599652,8.604431651549395e-05,7.905205370007304e-05,6.20203718888664e-05,5.6603804010475154e-05,4.5749286663449744e-05,4.8753451652673844e-05,4.5706640252945014e-05,4.669881091035246e-05,3.840155134832638e-05,3.502932416872139e-05,3.734080500334127e-05,2.8592882790317938e-05,3.694945433972825e-05,2.3168816833140402e-05,3.0357335100337026e-05,2.013083092652812e-05,2.809235908429189e-05,1.584638371624058e-05,2.2087521322906465e-05
2022-08-29,2022Q3,10:00,1.144355959936301,14:00,1.248790635741647,14:00,1.206650967498544,14:00,1.2897729658890273,15:00,1.3195245933833812,15:00,1.2287845475959007,15:00,1.3036861691287853,10:30,1.144355959936301,1.083685501882327,1.0683334589642368,1.0720444394264808,1.027120708208218,1.0424730838470333,1.0263599204893523,0.99473765932526,0.9922665753213393,0.9390791447810883,0.9234563975014548,0.00010434847582931555,7.660302880173451e-05,8.29587124328004e-05,7.421379262178012e-05,8.498432970281384e-05,4.702837721563123e-05,6.684810046645581e-05,4.3064226988542904e-05,5.6372103601535955e-05,3.444563895707692e-05,4.844411906106282e-05,3.3260058962189396e-05,4.339230558066674e-05,2.896334765652645e-05,3.145280117285181e-05,2.8681644792322083e-05,2.566019678099109e-05,2.5989476740288724e-05,2.1562323126480056e-05,1.9142560320095986e-05,1.4107772791430463e-05,1.7236083349836465e-05
2022-08-30,2022Q3,10:00,1.1447038165928962,14:00,1.2573954736077317,14:00,1.2049788136103816,14:00,1.2871631134594357,15:00,1.328783303562691,15:00,1.2264235807729131,14:30,1.3009453065396615,10:30,1.1447038165928962,1.0837444613482006,1.069243194470086,1.0726472817661217,1.0277794562378926,1.0429468329698324,1.0268754011601617,0.9948569414265926,0.9922607378342961,0.9392694161167068,0.9233396130404783,8.578249800366891e-05,5.959835600982495e-05,8.778724370848446e-05,4.085547054633644e-05,9.058771455245833e-05,2.0797771851978705e-05,7.880556994161809e-05,1.9721077664095983e-05,6.1432261745515e-05,1.972031688675771e-05,5.2179385629418585e-05,1.972029173652607e-05,4.5458990148897786e-05,1.6497539526380865e-05,3.5320469341184976e-05,1.1642987897954226e-05,3.496127586724069e-05,1.1168413951794663e-05,2.879249224562338e-05,1.0004562176768622e-05,1.9620049437530115e-05,9.332320481499216e-06
2022-08-31,2022Q3,10:00,1.145069410725213,14:00,1.253879257257966,14:00,1.2075040103009707,14:00,1.294047956902219,15:00,1.3167649389309768,15:00,1.227522644219828,14:30,1.3068833576916006,10:30,1.145069410725213,1.084755750408469,1.0710319752179507,1.07432681472023,1.0290704081036992,1.0440335838964607,1.0279504724906794,0.9958254599674995,0.99334672887151,0.9402980022323457,0.9240495212724728,9.487376048045652e-05,6.496741578054818e-05,9.90179132055912e-05,4.956442121782394e-05,8.009253348739348e-05,4.939919486923211e-05,6.822808230412555e-05,4.637211891018335e-05,5.3664575710572185e-05,3.359602565571833e-05,4.8610823147838646e-05,2.796007787844472e-05,3.9539531390940455e-05,2.6920795417543087e-05,3.542462675535351e-05,2.485991083207821e-05,3.1073035161915574e-05,2.4207039832452075e-05,2.412998499906947e-05,2.4115718730241486e-05,2.0344187036316343e-05,2.044443724130064e-05
2022-09-01,2022Q3,10:00,1.145495254109995,14:00,1.2971162293023377,14:00,1.2085568816672867,14:00,1.2939634236789856,15:00,1.388922087334466,15:00,1.2284466292374054,14:30,1.3043285402774125,10:30,1.145495254109995,1.0858063238691613,1.071742498848912,1.0748623966104918,1.029668520732318,1.044700541024273,1.0283973530224124,0.9962603088295763,0.9936659561356368,0.9403750137269616,0.9241431120970678,0.00010513283980730171,0.0001448557003935163,8.161781028061409e-05,0.000144504144340954,6.951110184993566e-05,0.00011041838721689402,6.364586614595236e-05,0.00010845979353789357,5.386675950520203e-05,0.00010784416047381419,5.0276467345981865e-05,0.00010559877105501091,4.1498827668026354e-05,9.882458625241865e-05,4.5462422037746255e-05,6.592952172152573e-05,3.562170647315336e-05,6.165699618496828e-05,3.2264052957511384e-05,3.566096405650797e-05,2.3563259253137012e-05,3.5592790639518246e-05
2022-09-02,2022Q3,10:00,1.144234951095734,14:00,1.2809361230495562,14:00,1.2024785861010385,14:00,1.2792948326334528,15:00,1.3552178097321799,14:30,1.2253469842849192,14:30,1.2993385208235317,10:30,1.144234951095734,1.0840643538849828,1.0704699204230244,1.073327243976329,1.027883307051281,1.0426458528587474,1.0261411937609821,0.9954383264429593,0.9925042117048176,0.9403078425808074,0.9235433490824528,0.00010380617700612807,0.00019084179853691847,8.321908286001761e-05,0.00015843936774052287,6.721131105652708e-05,0.00015843687686337152,5.415160502608422e-05,0.00015672200155042573,4.5302359605365194e-05,0.0001562592276001038,5.98188272454287e-05,0.00011384379112644112,7.394218986985792e-05,8.788218793802523e-05,8.717105885216658e-05,2.7952437407982802e-05,6.523182302875055e-05,1.9982765828635953e-05,4.004687320537312e-05,8.871140976466276e-06,2.5373193375268014e-05,1.5431585033070944e-06
