book,unit,reference,sample,n,mean_diff,sd_diff,t_hac,t_lag,d_Sharpe
E1 ratio of sums | expanding | hold,premium,fixed 11:00,deck in-sample,866,-0.04324193365567136,0.2932888603354211,-4.4230323544508385,14,-1.6385363315754309
E1 ratio of sums | ewma hl 63 | hold,index points per contract,fixed 13:30,unseen,413,-0.5747443617397775,8.553906662674851,-1.7140147165274846,11,-1.1036706959194413
E1 ratio of sums | ewma hl 63 | hold,index points per contract,fixed 13:30,all,1279,-0.13514211079644944,7.560847845526659,-0.6645755341539212,16,-0.2738290977836588
E1 ratio of sums | ewma hl 63 | hold,index points per contract,fixed 15:00,deck in-sample,866,0.30011581088762723,7.2314908568259515,1.1587797891896872,14,0.7625452250076741
E1 ratio of sums | ewma hl 63 | hold,index points per contract,fixed 15:00,unseen,413,0.35035299886214627,8.6593564747828,0.8616358581272379,11,0.4977074655008111
E1 ratio of sums | ewma hl 63 | hold,index points per contract,fixed 15:00,all,1279,0.3163378270201342,7.718086847163654,1.4751218569319104,16,0.5990722052742753
E1 ratio of sums | ewma hl 63 | hold,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.31165253717014,6.19660827742421,-1.5960784929611986,14,-0.764936668038944
E1 ratio of sums | ewma hl 63 | hold,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,-0.3999535715847183,9.785205121122031,-1.033456942754942,11,-0.31428089130597503
E1 ratio of sums | ewma hl 63 | hold,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.3401656937090148,7.5404755122117955,-1.8809149069633229,16,-0.4296350983803334
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 11:00,deck in-sample,866,-0.023442605938159583,0.3712667130666749,-1.9298194029753113,14,-1.413357597410236
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 11:00,unseen,413,0.02549708440121344,0.3550986638012929,1.5291405163644496,11,1.1032044969827408
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 11:00,all,1279,-0.0076395628496833835,0.3667004221469827,-0.7661277101502268,16,-0.5931535759109072
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 13:30,deck in-sample,866,-0.006678573155447335,0.3421884056519179,-0.5432664959373013,14,-0.3902097689774765
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 13:30,unseen,413,-0.007332685949163245,0.26313870322226135,-0.5395281311128248,11,-0.17360870165215392
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 13:30,all,1279,-0.006889791751072567,0.3187087320475005,-0.7271524475076058,16,-0.37046914309851653
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 15:00,deck in-sample,866,0.015270626336664907,0.41219070713963235,1.1270824622329103,14,0.5269043074379252
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 15:00,unseen,413,0.027295368259300956,0.3805161865187338,1.451807318887996,11,0.7800784383682822
E1 ratio of sums | ewma hl 63 | flatten,premium,fixed 15:00,all,1279,0.019153517981738158,0.40212609085609147,1.7602109810018634,16,0.6416476622620872
E1 ratio of sums | ewma hl 63 | flatten,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.02067422315597723,0.348092898313722,-1.7561507235429752,14,-1.2977038897919941
E1 ratio of sums | ewma hl 63 | flatten,premium,43 P&L-Sharpe rolling 252,unseen,413,0.0029069054817584357,0.3019896552793347,0.2517526254219801,11,0.06055409821318003
E1 ratio of sums | ewma hl 63 | flatten,premium,43 P&L-Sharpe rolling 252,all,1279,-0.01305967575379988,0.3339663805427551,-1.4914296087079906,16,-0.8947397670166009
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 11:00,deck in-sample,866,-0.4653091497970135,5.65038740603679,-2.6441034779441575,14,-1.0999368122223678
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 11:00,unseen,413,0.5598388692268254,8.014655405786966,1.4050697655083555,11,1.2524604263786963
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 11:00,all,1279,-0.13428011785264646,6.522821775770719,-0.7499894320073702,16,-0.11744763078142928
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 13:30,deck in-sample,866,-0.0959316320322177,4.940231297191941,-0.589466485896693,14,-0.3363137693540681
E1 ratio of sums | ewma hl 63 | flatten,index points per contract,fixed 13:30,unseen,413,-0.10195996288955524,5.881113190603488,-0.3733682214123404,11,-0.30751104885976077
