,sign(s),tail: p-hat > break-even p*,tail: p-hat > trailing top quintile,sign(s) AND p-hat > trailing median,sign(s) OR break-even
2022-09-19,-1.0,1.0,1.0,1.0,-0.6304985337243403
2022-09-20,1.0,1.0,1.0,1.0,1.0
2022-09-21,-0.8900974961011816,-0.8900974961011816,-0.8900974961011816,-0.8900974961011816,-0.8900974961011816
2022-09-22,-0.5605514092594606,-0.5605514092594606,-0.5605514092594606,-0.5605514092594606,-0.5605514092594606
2022-09-23,0.10608241228048976,0.10608241228048976,0.10608241228048976,0.10608241228048976,0.10608241228048976
2022-09-26,0.2279099820132583,0.2279099820132583,0.2279099820132583,0.2279099820132583,0.2279099820132583
2022-09-27,0.8059288961454344,0.8059288961454344,0.8059288961454344,0.8059288961454344,0.8059288961454344
2022-09-28,-0.8978764918662737,0.8933376736111112,0.8933376736111112,0.8933376736111112,-0.5661098115872402
2022-09-29,0.16240234374999996,0.16240234374999996,0.16240234374999996,0.16240234374999996,0.16240234374999996
2022-09-30,-0.43411075367647056,-0.43411075367647056,-0.43411075367647056,-0.43411075367647056,-0.43411075367647056
2022-10-03,0.39398410764983516,-0.5026062246072611,-0.5026062246072611,-0.5026062246072611,0.24840640218391372
2022-10-04,-0.2280822594495735,-0.2280822594495735,-0.2280822594495735,-0.2280822594495735,-0.2280822594495735
2022-10-05,0.5837798043356741,-0.6742815290178572,-0.6742815290178572,-0.6742815290178572,0.3680723106515248
2022-10-06,-0.037621789398881056,-0.037621789398881056,-0.037621789398881056,-0.037621789398881056,-0.037621789398881056
2022-10-07,0.21464124320681455,0.21464124320681455,0.21464124320681455,0.21464124320681455,0.21464124320681455
2022-10-10,-0.6929285386029411,0.6777645309935897,0.6777645309935897,-1.111788326862928,-0.4368904275649043
2022-10-11,-0.623520787996793,-0.5077915508307216,-1.1969372269581295,-1.0004251449202277,-0.39312894257862324
2022-10-12,0.04868036883354643,0.03964499734550183,-0.09177678012124724,0.07810656193442152,0.030692901170711096
2022-10-13,0.9915805708195441,0.9915805708195441,0.9915805708195441,0.9915805708195441,0.9915805708195441
2022-10-14,-0.06517248605272585,-0.06517248605272585,-0.06517248605272585,-0.06517248605272585,-0.06517248605272585
2022-10-17,0.7499940686115107,0.7499940686115107,0.7499940686115107,0.7499940686115107,0.7499940686115107
2022-10-18,0.24749755859375,-0.3306640624999999,-0.3306640624999999,-0.3306640624999999,0.15604684779371336
2022-10-19,-0.3298815276376682,0.283345521379723,0.283345521379723,-0.5292875256873035,-0.20798981947829523
2022-10-20,-0.9037000913408024,0.8986974914029974,0.8986974914029974,0.8986974914029974,-0.5697815825169283
2022-10-21,0.7,0.7,0.7,0.7,0.7
2022-10-24,0.14327049663231972,-0.21585902816957048,-0.21585902816957048,-0.21585902816957048,0.09033183805263562
2022-10-25,-1.0,1.0,1.0,1.0,-0.6304985337243403
2022-10-26,-1.0,1.0,1.0,-1.6044776119402986,-0.6304985337243403
2022-10-27,0.01315148269692834,-0.08450017961985878,-0.08450017961985878,0.02110125955104174,0.00829199055671435
2022-10-28,-1.0,1.0,1.0,1.0,-0.6304985337243403
2022-10-31,0.5685686383928572,-0.4820310243392465,-1.1362159859425096,0.5685686383928572,-0.3731853091658683
2022-11-01,-1.0,1.0,1.0,-1.6044776119402986,-0.6304985337243403
2022-11-02,0.43028583567291356,-0.527072052818355,-0.527072052818355,-0.527072052818355,0.2712945884741244
2022-11-03,-2.408492728273865,-2.408492728273865,-2.408492728273865,-2.408492728273865,-2.408492728273865
2022-11-04,0.943756103515625,-1.1013580580715518,-1.1013580580715518,1.5142355392228313,0.5950368394599983
2022-11-07,0.41285297543772337,0.41285297543772337,0.41285297543772337,0.41285297543772337,0.41285297543772337
2022-11-08,0.1597691782455718,0.1597691782455718,0.1597691782455718,0.1597691782455718,0.1597691782455718
2022-11-09,-0.3771001660197577,-0.3771001660197577,-0.3771001660197577,-0.3771001660197577,-0.3771001660197577
2022-11-10,-0.6014249774963081,-0.6014249774963081,-0.6014249774963081,-0.6014249774963081,-0.6014249774963081
2022-11-11,1.0,1.0,1.0,1.0,1.0
2022-11-14,-3.370078477629505,2.584016811596153,6.090896770190931,-3.370078477629505,2.000529144461538
2022-11-15,0.6483850038511009,0.6483850038511009,0.6483850038511009,0.6483850038511009,0.6483850038511009
2022-11-16,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2022-11-17,-1.4353026660665997,1.1122362541429924,2.621699741908482,-1.4353026660665997,0.8610861322397362
2022-11-18,0.9460177967732204,0.9460177967732204,0.9460177967732204,0.9460177967732204,0.9460177967732204
2022-11-21,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2022-11-22,0.3048392119020774,-0.2890617182484171,0.3048392119020774,0.3048392119020774,-0.22378971735361328
2022-11-23,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2022-11-28,0.010241361514327085,-0.0944281973952239,-0.0944281973952239,0.0164320352655248,0.006457163418124116
2022-11-29,-0.43443381536270853,-0.35380026629917555,-0.8339577705623423,-0.6970393306192711,-0.2739098835864585
2022-11-30,-2.408492728273865,-2.408492728273865,-2.408492728273865,-2.408492728273865,-2.408492728273865
2022-12-01,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2022-12-02,1.0,1.0,1.0,1.0,1.0
2022-12-05,-0.30001288862753217,-0.30001288862753217,-0.30001288862753217,-0.30001288862753217,-0.30001288862753217
2022-12-06,-1.5406264880206213,-1.5406264880206213,-1.5406264880206213,-1.5406264880206213,-1.5406264880206213
2022-12-07,-0.3466796875,-0.28233383641098486,-0.6655011858258929,-0.556239797108209,-0.2185810346407625
2022-12-08,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2022-12-09,-3.1240234375,2.3842533876713565,5.6200258423681975,-3.1240234375,1.845873590455244
2022-12-12,0.13124079294447855,-0.1385613796431901,0.13124079294447855,0.13124079294447855,-0.10727332617537298
2022-12-13,1.0,1.0,1.0,1.0,1.0
2022-12-14,0.6977233624651963,0.6977233624651963,0.6977233624651963,0.6977233624651963,0.6977233624651963
2022-12-15,-0.05113634085359697,-0.05113634085359697,-0.05113634085359697,-0.05113634085359697,-0.05113634085359697
2022-12-16,0.7509535393281779,0.7509535393281779,0.7509535393281779,0.7509535393281779,0.7509535393281779
2022-12-19,-0.8755425347222223,-0.8755425347222223,-0.8755425347222223,-0.8755425347222223,-0.8755425347222223
2022-12-20,-0.33071630003083863,-0.2693333504039027,0.2958577753759315,-0.5306268993032113,-0.20851614224818274
2022-12-21,-0.40174932065217395,-0.3271822118947629,0.3745561079545454,-0.6445977905986373,-0.2533023575959455
2022-12-22,0.7430222823458668,0.7430222823458668,0.7430222823458668,0.7430222823458668,0.7430222823458668
2022-12-23,0.15437394374291746,-0.15465703432262565,0.15437394374291746,0.15437394374291746,-0.11973447818525856
2022-12-27,-0.22340430496720276,0.11288625360615777,0.26608902635737186,-0.22340430496720276,0.087395809243477
2022-12-28,-0.6672842672983139,0.6475189644268162,0.6475189644268162,-1.0706426676801306,-0.42072175210890767
2022-12-29,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2022-12-30,-1.4375,1.0989413952977272,2.5903618603446423,-1.4375,0.8507933382950146
