,w0p5_K_c,w0p5_K_p,w0p5_entry,w0p5_ask,w0p5_pay,w1_K_c,w1_K_p,w1_entry,w1_ask,w1_pay,w2_K_c,w2_K_p,w2_entry,w2_ask,w2_pay
2021-01-22,3875.0,3830.0,0.1750000026077032,0.2500000037252903,0.0,3890.0,3810.0,0.10000000149011612,0.15000000223517418,0.0,3930.0,3770.0,0.05000000074505806,0.10000000149011612,0.0
2021-01-25,3865.0,3820.0,0.3499999977648258,0.44999999552965164,0.0,3885.0,3800.0,0.10000000149011612,0.15000000223517418,0.0,3920.0,3765.0,0.05000000074505806,0.10000000149011612,0.0
2021-01-27,3765.0,3725.0,3.799999952316284,4.049999952316284,0.0,3785.0,3705.0,0.8500000089406967,1.0,0.0,3825.0,3670.0,0.1750000026077032,0.2500000037252903,0.0
2021-01-29,3755.0,3710.0,3.074999988079071,3.25,0.0,3770.0,3690.0,0.75,0.9000000059604645,0.0,3810.0,3655.0,0.10000000149011612,0.15000000223517418,0.0
2021-02-01,3800.0,3755.0,0.4250000100582838,0.5000000074505806,0.0,3815.0,3735.0,0.1250000037252903,0.20000000670552254,0.0,3855.0,3700.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-03,3855.0,3815.0,0.3750000037252903,0.5000000074505806,0.0,3875.0,3795.0,0.1250000037252903,0.20000000670552254,0.0,3915.0,3755.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-05,3905.0,3860.0,0.3000000026077032,0.3500000014901161,0.0,3925.0,3840.0,0.1250000037252903,0.20000000670552254,0.0,3960.0,3800.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-08,3925.0,3885.0,0.10000000149011612,0.15000000223517418,0.0,3945.0,3865.0,0.05000000074505806,0.10000000149011612,0.0,3985.0,3825.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-10,3935.0,3890.0,0.2750000022351742,0.3500000014901161,0.0,3955.0,3870.0,0.07500000111758709,0.15000000223517418,0.0,3995.0,3835.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-12,3945.0,3900.0,0.15000000409781933,0.2500000074505806,0.0,3965.0,3880.0,0.07500000111758709,0.15000000223517418,0.0,4005.0,3840.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-16,3955.0,3915.0,0.35000001080334187,0.45000001788139343,0.0,3975.0,3895.0,0.10000000149011612,0.15000000223517418,0.0,4015.0,3855.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-17,3950.0,3905.0,0.17500000447034836,0.2500000074505806,0.0,3970.0,3885.0,0.05000000074505806,0.10000000149011612,0.0,4010.0,3850.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-19,3935.0,3890.0,0.2000000048428774,0.2500000074505806,0.0,3955.0,3870.0,0.07500000111758709,0.15000000223517418,0.0,3995.0,3835.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-22,3905.0,3860.0,0.2750000096857548,0.4000000134110451,0.0,3925.0,3840.0,0.05000000074505806,0.10000000149011612,0.0,3965.0,3805.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-24,3945.0,3905.0,0.30000000819563866,0.4000000134110451,0.0,3965.0,3885.0,0.15000000409781933,0.20000000670552254,0.0,4005.0,3845.0,0.05000000074505806,0.10000000149011612,0.0
2021-02-26,3855.0,3810.0,2.9000000059604645,3.100000023841858,0.0,3870.0,3790.0,0.625,0.75,0.0,3910.0,3750.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-01,3930.0,3885.0,0.35000001080334187,0.45000001788139343,0.0,3950.0,3865.0,0.10000000149011612,0.15000000223517418,0.0,3990.0,3830.0,0.05000000074505806,0.10000000149011612,0.0
2021-03-03,3855.0,3815.0,2.3249999582767487,2.549999952316284,0.0,3875.0,3795.0,0.40000000037252903,0.5,0.0,3915.0,3755.0,0.07500000111758709,0.15000000223517418,0.0
