entry,layer,rule,year,Sharpe
13:30,plain,R0 book alone,2022,3.041457455818846
13:30,plain,R0 book alone,2023,3.094815377502139
13:30,plain,R0 book alone,2024,1.1886557649012606
13:30,plain,R1 Sharpe-proportional share,2021,1.230700549400139
13:30,plain,R1 Sharpe-proportional share,2022,2.243621083133505
13:30,plain,R1 Sharpe-proportional share,2023,3.3225694392232317
13:30,plain,R1 Sharpe-proportional share,2024,1.8706009928153344
13:30,plain,R2 tangency share,2021,1.0338643713754991
13:30,plain,R2 tangency share,2022,2.3135592739563196
13:30,plain,R2 tangency share,2023,3.2395774985283805
13:30,plain,R2 tangency share,2024,1.8177615913972458
13:30,plain,R3 fixed 10% share,2021,0.6500427482853885
13:30,plain,R3 fixed 10% share,2022,2.9116789405002965
13:30,plain,R3 fixed 10% share,2023,3.3536376796731173
13:30,plain,R3 fixed 10% share,2024,1.4537334376411581
13:30,plain,R3 fixed 20% share,2021,1.0896808438292176
13:30,plain,R3 fixed 20% share,2022,2.7384724760011525
13:30,plain,R3 fixed 20% share,2023,3.548219713752598
13:30,plain,R3 fixed 20% share,2024,1.7301449710105195
13:30,plain,R3 fixed 30% share,2021,1.615840179531139
13:30,plain,R3 fixed 30% share,2022,2.5112782325392624
13:30,plain,R3 fixed 30% share,2023,3.616815187254309
13:30,plain,R3 fixed 30% share,2024,1.9773324511260928
13:30,plain,R3 fixed 50% share,2021,2.202206887765349
13:30,plain,R3 fixed 50% share,2022,1.8647403810986878
13:30,plain,R3 fixed 50% share,2023,3.2943344754522217
13:30,plain,R3 fixed 50% share,2024,2.211787728668528
13:30,with month-end,R0 book alone,2021,1.4180934023733607
13:30,with month-end,R0 book alone,2022,3.718960960142872
13:30,with month-end,R0 book alone,2023,3.3373282994451654
13:30,with month-end,R0 book alone,2024,1.7155056551225754
13:30,with month-end,R1 Sharpe-proportional share,2021,3.725631969243032
13:30,with month-end,R1 Sharpe-proportional share,2022,3.222081817467924
13:30,with month-end,R1 Sharpe-proportional share,2023,4.058025629320364
13:30,with month-end,R1 Sharpe-proportional share,2024,3.176938933858578
13:30,with month-end,R2 tangency share,2021,3.392701821759454
13:30,with month-end,R2 tangency share,2022,3.2824084277315624
13:30,with month-end,R2 tangency share,2023,4.008596972739028
13:30,with month-end,R2 tangency share,2024,3.123655525077908
13:30,with month-end,R3 fixed 10% share,2021,1.9847293733794311
13:30,with month-end,R3 fixed 10% share,2022,3.649204180123646
13:30,with month-end,R3 fixed 10% share,2023,3.695889403515608
13:30,with month-end,R3 fixed 10% share,2024,2.1286732409888063
13:30,with month-end,R3 fixed 20% share,2021,2.724242871765372
13:30,with month-end,R3 fixed 20% share,2022,3.5402218334455755
13:30,with month-end,R3 fixed 20% share,2023,3.999571938053702
13:30,with month-end,R3 fixed 20% share,2024,2.5616326190990453
13:30,with month-end,R3 fixed 30% share,2021,3.543728474455108
13:30,with month-end,R3 fixed 30% share,2022,3.3793937648131314
13:30,with month-end,R3 fixed 30% share,2023,4.1823181055061465
13:30,with month-end,R3 fixed 30% share,2024,2.9593141023405742
13:30,with month-end,R3 fixed 50% share,2021,4.151932037869378
13:30,with month-end,R3 fixed 50% share,2022,2.8555285904167853
13:30,with month-end,R3 fixed 50% share,2023,4.060330293694363
13:30,with month-end,R3 fixed 50% share,2024,3.4066178398278497
