era,hour_et,bucket,n_iv,iv_mid_med,vol_cost_abs_med,oneway_frac_med,theta_min_p25,theta_min_med,theta_min_p75,theta_min_p90
all,13,"[0.10,0.30)",18859,0.1290653299936004,0.001154144141534641,0.008679334350856226,0.012037055264033803,0.017427221344189277,0.024878010867871326,0.03526786147987002
all,13,"[0.30,0.50)",11809,0.12590210419696926,0.001360710988841149,0.010181010294934486,0.014083170080112083,0.02037082133349537,0.029807842531895213,0.04285964956301924
all,13,"[0.50,0.70)",11824,0.12603201473498737,0.0016278157985987751,0.0138466449383753,0.01912133463478359,0.027708381490344804,0.04048767870155351,0.06313686700773083
all,13,"[0.70,0.90]",19143,0.1297846618758068,0.005410825967806621,0.04378845698358381,0.058659920784776415,0.08930112150068298,0.13497536401162116,0.19309778846309936
all,14,"[0.10,0.30)",15949,0.1372988695189901,0.0014449222504050452,0.010557932202764008,0.014784213495745218,0.021200658461308277,0.030965504136909693,0.04600203046683589
all,14,"[0.30,0.50)",9885,0.13533132345072627,0.0017611680178541006,0.012571088845074309,0.017719808688680696,0.02514947561077437,0.037647043108676,0.056554342344399974
all,14,"[0.50,0.70)",9909,0.1357051912119391,0.0022339681642078446,0.017770816692372873,0.025159767444124126,0.03555785769368479,0.05518227675100316,0.09144317269388429
all,14,"[0.70,0.90]",16000,0.13802735455303394,0.006975960459521896,0.05434188289581839,0.0739670429952775,0.11185879354941627,0.17204336957741767,0.269105831369482
all,15,"[0.10,0.30)",11265,0.15100784030422482,0.0020423444966646553,0.013511459074180212,0.019164438676188562,0.02717939109022781,0.039771714792122694,0.05691778622451234
all,15,"[0.30,0.50)",7069,0.14853860975229605,0.0025105945626317516,0.01622710746745085,0.02231834783804519,0.032483733353530615,0.04603501117626425,0.0656612228950457
all,15,"[0.50,0.70)",7023,0.14921690226843612,0.0035886821457992574,0.024388332590952133,0.033974294316901514,0.04884194491396527,0.0715955031523442,0.10470905699875172
all,15,"[0.70,0.90]",11743,0.15358070776504298,0.010014258734843517,0.0680884328758791,0.09364228042585249,0.14131537238430208,0.21433400135869854,0.3172329668761813
daily_0dte,10,"[0.10,0.30)",19382,0.12008508063599618,0.00084993340257139,0.00690094489681441,0.009612785224721143,0.013843639020055865,0.019531627735371343,0.026612812702775997
daily_0dte,10,"[0.30,0.50)",12480,0.11753760014824069,0.0009283283569469641,0.007713910668057641,0.010810338670878102,0.015431781808050563,0.022303936520101937,0.03363574850784909
daily_0dte,10,"[0.50,0.70)",12454,0.11741608415634114,0.0012111118150474193,0.01085020695475538,0.015068391796665503,0.021708417439363886,0.03368770937194904,0.09889229455092961
daily_0dte,10,"[0.70,0.90]",19238,0.12077483670700531,0.004761894471138686,0.04030771071194078,0.04920075105289106,0.08232440933176002,0.13870806292382343,0.2999003583831296
daily_0dte,11,"[0.10,0.30)",17097,0.11598290455658934,0.0007501357324836422,0.006475024163528495,0.009426264389966552,0.012987116659615805,0.017614858449583905,0.021965029899791638
daily_0dte,11,"[0.30,0.50)",10802,0.11425140989141527,0.0008686969166028131,0.0073850368176079685,0.010599503736243257,0.014773550288927443,0.019806482744506877,0.025290708341951393
daily_0dte,11,"[0.50,0.70)",10797,0.11416932398363187,0.001114102032530373,0.010042539665320404,0.014478797928120402,0.02009196264612734,0.02710057502747369,0.03431135697935648
daily_0dte,11,"[0.70,0.90]",17382,0.11737352152794894,0.003948197606274954,0.03506411951200514,0.045831041326425896,0.07133771891234378,0.10562074382370391,0.14659230267477816
daily_0dte,12,"[0.10,0.30)",15278,0.11624805054181583,0.0007944042301831766,0.006736519273249036,0.009900398527564892,0.013508585671773769,0.018429708071671498,0.023219929562329922
daily_0dte,12,"[0.30,0.50)",9539,0.11358426623035361,0.000953798123619648,0.007991214793811294,0.011383543846351821,0.015989562207295176,0.021306284251672122,0.02707609457891792
daily_0dte,12,"[0.50,0.70)",9582,0.11361546609768133,0.0012026841363740048,0.010590719313325416,0.015430536628255019,0.021196276242050463,0.028380545305737557,0.035568550414463204
daily_0dte,12,"[0.70,0.90]",15505,0.11677490303164235,0.004094063254926339,0.03601549476794092,0.04755955195692169,0.07331052750349236,0.10932292845189151,0.15261759034558173
daily_0dte,13,"[0.10,0.30)",13541,0.11994667072178816,0.0008916110168790958,0.007365216283382017,0.010698042961157818,0.014778718232965109,0.020013113330184375,0.02510411793315781
daily_0dte,13,"[0.30,0.50)",8469,0.11748149981279882,0.0011003100343753291,0.008749557967245433,0.012435365026703005,0.0175071604595496,0.023587151772434787,0.030263411778115357
daily_0dte,13,"[0.50,0.70)",8484,0.11764815212160734,0.0014099321180700876,0.01183147505001689,0.017091327574158467,0.02369173569191718,0.031511301346995854,0.039686010745461756
daily_0dte,13,"[0.70,0.90]",13829,0.12104592070450569,0.0047413579645880916,0.03984820044284475,0.053095279610454044,0.08129805107232285,0.12105742062361585,0.16511516234011767
daily_0dte,14,"[0.10,0.30)",11243,0.12582199074034814,0.0011029250951216651,0.00889029139149292,0.01310933440556904,0.01785607097454162,0.024248522084055278,0.0319172903707324
daily_0dte,14,"[0.30,0.50)",6962,0.12363139158816011,0.001372906417489675,0.010665362900069732,0.015612350473203506,0.021344187688871617,0.029268587927306626,0.03889470111058767
daily_0dte,14,"[0.50,0.70)",6993,0.12314907604308156,0.0018385609561875071,0.015228038387273417,0.022541922124841456,0.03048252453877859,0.04141418688887394,0.057592769966542764
daily_0dte,14,"[0.70,0.90]",11467,0.1270121512519496,0.00603524102260794,0.04956240915412711,0.06751628257226382,0.10173299809323581,0.1526086590832129,0.22629559251546907
daily_0dte,15,"[0.10,0.30)",7798,0.13618645582009967,0.0015353040422210543,0.011417851692497559,0.016930010729999643,0.0229588636043395,0.030799570836824615,0.04006836669082374
daily_0dte,15,"[0.30,0.50)",4861,0.13289955515099955,0.0018077776765773323,0.013602873450267006,0.019244638362515287,0.027229424564451873,0.03632267704102108,0.04487640804943165
daily_0dte,15,"[0.50,0.70)",4833,0.13353622743556826,0.002644552312982759,0.020503884366123257,0.03006896382565398,0.04103563445573659,0.055744325863414226,0.0716620974883394
daily_0dte,15,"[0.70,0.90]",8323,0.14021112614491427,0.008456679870370451,0.060661881608006035,0.08368873809494107,0.12529382264365763,0.18809895540724625,0.2618251290339459
