panel,era,forecast,n_bars,n_days,qlike,dm_t_vs_A_blk2,nested_in,dm_t_vs_nested,dm_t_pooled_vs_perhour
fixed,daily_0dte,P_joint,5868,489,0.06065459127162396,-2.5220495378044503,P_direct_blk2,-4.470975105449328,0.06916034306006943
fixed,daily_0dte,P_joint_realized,5868,489,0.05502867676723209,-3.3855082216113366,P_joint,-3.361817748590771,4.307217746977532
fixed,daily_0dte,P_ft_blk2,5868,489,0.23360077890599468,6.252272767953346,,,3.8342525766662146
fixed,daily_0dte,P_ft_joint,5868,489,0.19993465865384366,6.156224515540732,P_ft_blk2,-4.312057991319115,3.532994012136226
asis,all,A_blk2,9600,800,0.10519136336943412,,,,
asis,all,A_a0,9600,800,0.10726592194966159,0.8358681213780832,,,
asis,all,B_direct_blk2,9600,800,0.10319257853433074,-1.827394281459023,,,
asis,all,B_direct_iv,9600,800,0.3976497044552543,11.967916239974338,,,
asis,all,B_joint,9600,800,0.10496031211933626,-0.16952930228432112,B_direct_blk2,2.2575269060613814,
asis,all,B_joint_realized,9600,800,0.10363913846053277,-0.9111671882283978,B_joint,-1.9869643071246612,
asis,all,B_ft_blk2,9600,800,0.23746673742317861,15.370559981189201,,,
asis,all,B_ft_joint,9600,800,0.17864893910574012,11.63629763134153,B_ft_blk2,-8.595267272828984,
asis,all,P_direct_blk2,9600,800,0.10565781762085844,0.5324753593114377,,,3.6579586434726745
asis,all,P_direct_iv,9600,800,0.40717627886693775,12.374622365541851,,,3.2255026427987694
asis,all,P_joint,9600,800,0.10716502971855905,1.8140464587500018,P_direct_blk2,2.60733869422731,2.7390301919195417
asis,all,P_joint_realized,9600,800,0.10589376185008163,0.5466134591673495,P_joint,-2.497733444986515,2.463901254931407
asis,all,P_ft_blk2,9600,800,0.2450325974230079,16.827114743662804,,,3.959529445363424
asis,all,P_ft_joint,9600,800,0.18889695973500104,12.318531346361608,P_ft_blk2,-10.53668095164121,3.493373062782669
asis,daily_0dte,A_blk2,5868,489,0.11067223709241919,,,,
asis,daily_0dte,A_a0,5868,489,0.1151270988579148,1.2852483863647866,,,
asis,daily_0dte,B_direct_blk2,5868,489,0.10867012467769982,-1.4554713361576121,,,
asis,daily_0dte,B_direct_iv,5868,489,0.3317173430618423,9.129961326395666,,,
asis,daily_0dte,B_joint,5868,489,0.10835032010520489,-1.5339715574393196,B_direct_blk2,-0.8860864732914171,
asis,daily_0dte,B_joint_realized,5868,489,0.10603990156454228,-2.493033011370561,B_joint,-3.0785186967795948,
asis,daily_0dte,B_ft_blk2,5868,489,0.24093683702346383,10.394194385382232,,,
asis,daily_0dte,B_ft_joint,5868,489,0.1803095580543087,7.98143611213174,B_ft_blk2,-6.329143645964792,
asis,daily_0dte,P_direct_blk2,5868,489,0.11234445970875986,1.7827226215598755,,,3.8714010921257502
asis,daily_0dte,P_direct_iv,5868,489,0.3389540298177222,10.006333373918823,,,2.437385366909894
asis,daily_0dte,P_joint,5868,489,0.11236397051073138,1.7262652349939624,P_direct_blk2,0.0782154314822251,3.861491538038925
asis,daily_0dte,P_joint_realized,5868,489,0.11018829974126539,-0.3799345848902715,P_joint,-3.1925287519451655,3.6453467426788633
asis,daily_0dte,P_ft_blk2,5868,489,0.24682672235863481,11.824756114736763,,,2.6857720439023978
asis,daily_0dte,P_ft_joint,5868,489,0.1915063486442405,8.501859725653768,P_ft_blk2,-8.40404058709832,2.91694305525285
