era,leg,theta,model,n_contracts,n_days,frac_traded,frac_long,sh_daily_mid,sh_daily_crossed,mean_per_trade_mid,hit_mid
all,put,0.1,b2_minus_a0_t,34889,633,,,0.7968711419509302,,0.0015204481142420776,
all,put,0.2,b2,12427,628,0.3561867637364212,0.1382097509243601,1.6071870100891197,-0.9491654071305998,0.02293908136795004,0.5430111853222821
all,put,0.2,a0,13123,628,0.3761357447906217,0.14964602023560433,0.8941923616283116,-1.7181675555968754,0.005540340445885038,0.5314333612740989
all,put,0.2,b2_minus_a0_t,34889,633,,,2.0955494407690924,,0.00608667707552999,
all,put,,always_short,34889,633,1.0,0.0,3.560107676401798,,0.07314256378781689,0.6540456877525868
all,put,,always_long,34889,633,1.0,1.0,-3.560107676401798,,-0.07314256378781689,0.34595431224741324
all,both,0.0,b2,69850,633,1.0,0.4735576234788833,0.7453376122207859,-3.58937582308311,0.004873950242529093,0.5154473872584109
all,both,0.0,a0,69850,633,1.0,0.4650966356478167,0.5046238165318395,-3.950154889450024,0.0029943070110954803,0.5164065855404438
all,both,0.0,b2_minus_a0_t,69850,633,,,0.9129739933117597,,0.0018796432314336143,
all,both,0.05,b2,56567,633,0.8098353614889048,0.3777380100214746,0.8638867360248963,-3.0472771114163866,0.007345708229328737,0.5197730125338095
all,both,0.05,a0,57288,633,0.8201574803149606,0.37487473156764495,0.478591096867782,-3.520502501287947,0.0031338703990424327,0.5209642508029605
all,both,0.05,b2_minus_a0_t,69850,633,,,1.43818926489937,,0.003378547029178176,
all,both,0.1,b2,43900,633,0.6284896206156049,0.2838081603435934,1.0246785443418898,-2.6047385485126133,0.009223332675701967,0.5258997722095672
all,both,0.1,a0,45199,633,0.6470866141732283,0.28846098783106655,0.6259080354017662,-3.0460307302294294,0.0038665756710364726,0.5227328038230934
all,both,0.1,b2_minus_a0_t,69850,633,,,1.1842010844977247,,0.003294759494747868,
all,both,0.2,b2,24907,630,0.3565783822476736,0.1359627773801002,1.5382561534286066,-0.9814284020557215,0.018089740750424785,0.54322078130646
all,both,0.2,a0,26321,632,0.3768217609162491,0.14806012884753042,1.254859514630862,-1.7107427740089476,0.004200806470666932,0.5332244215645302
all,both,0.2,b2_minus_a0_t,69850,633,,,1.7157668591449535,,0.004867455200521201,
all,both,,always_short,69850,633,1.0,0.0,3.7691760994481163,,0.07392938073275407,0.6542591267000716
all,both,,always_long,69850,633,1.0,1.0,-3.7691760994481163,,-0.07392938073275407,0.3457408732999284
daily_0dte,call,0.0,b2,23803,433,1.0,0.5151871612821913,-0.4103384653041415,-4.470755872377506,-0.004738926266083237,0.5062387094063774
daily_0dte,call,0.0,a0,23803,433,1.0,0.5229172793345377,-0.381433862376168,-4.46420161268183,-0.002447131093312968,0.5102718144771667
daily_0dte,call,0.0,b2_minus_a0_t,23803,433,,,-0.08453082153458889,,-0.002291795172770272,
daily_0dte,call,0.05,b2,19258,433,0.8090576818048145,0.417048271226316,-0.21995262489193643,-3.8849401298329935,-0.002655650144415384,0.5112680444490602
daily_0dte,call,0.05,a0,19518,433,0.8199806747048691,0.4317523001302357,-0.5489658714726001,-4.259067414584331,-0.005090572593390708,0.5128599241725587
daily_0dte,call,0.05,b2_minus_a0_t,23803,433,,,0.7144413011924196,,0.0020255970002372946,
daily_0dte,call,0.1,b2,14854,433,0.6240389866823509,0.31827920850312985,0.12731203343462943,-3.2748462246661023,-0.00036710016563210247,0.5160226201696513
daily_0dte,call,0.1,a0,15288,433,0.6422719825232114,0.33621812376591187,-0.2444026260414583,-3.6255999477967404,-0.006127734459903574,0.5129513343799058
daily_0dte,call,0.1,b2_minus_a0_t,23803,433,,,1.0415484242384223,,0.0037065873445660895,
daily_0dte,call,0.2,b2,8367,424,0.3515103138259883,0.156198798470781,0.7201472820880475,-1.9482584870950066,0.0012294270114640426,0.5386637982550496
daily_0dte,call,0.2,a0,8694,427,0.3652480779733647,0.17628030080241985,0.8166110202211168,-1.9477177382091466,-0.007331969823491068,0.5268000920174833
daily_0dte,call,0.2,b2_minus_a0_t,23803,433,,,0.7466523032273499,,0.003110144160414694,
daily_0dte,call,,always_short,23803,433,1.0,0.0,5.150128375242674,,0.09560334139228237,0.6723102129983616
daily_0dte,call,,always_long,23803,433,1.0,1.0,-5.150128375242674,,-0.09560334139228237,0.3276897870016384
daily_0dte,put,0.0,b2,23701,433,1.0,0.5221298679380617,0.3488001667099213,-3.8248748181856516,0.0018880817821250832,0.5041981350997848
daily_0dte,put,0.0,a0,23701,433,1.0,0.5309058689506772,-0.009546091704219026,-4.2590338496349185,-0.0001336743104637197,0.5047044428505126
daily_0dte,put,0.0,b2_minus_a0_t,23701,433,,,0.968870869205274,,0.002021756092588806,
daily_0dte,put,0.05,b2,19168,433,0.8087422471625669,0.42302012573309145,0.6823842181801012,-3.123103227614995,0.004740805747564673,0.5077733722871453
daily_0dte,put,0.05,a0,19532,433,0.8241002489346441,0.43846251213028986,0.24600336188248587,-3.5896968464353587,0.0012773514109956242,0.5084476756092566
daily_0dte,put,0.05,b2_minus_a0_t,23701,433,,,1.2859734424050357,,0.0027814242778681545,
