era,k,entry_et,model,n_days,n_obs,qlike_path
all,6,13:00,M1,737,3685,0.2524708574588693
all,6,13:00,M2,737,3685,0.2568497176927943
all,6,13:00,M3,737,3685,0.33802359843418434
all,6,13:00,M3k,737,3685,0.32689184978888736
all,6,13:00,M4,737,3685,0.2473815983068688
daily_0dte,6,13:00,M0,489,2445,0.34717471050611176
daily_0dte,6,13:00,M1,489,2445,0.25640282458542524
daily_0dte,6,13:00,M2,489,2445,0.25365841975907594
daily_0dte,6,13:00,M3,489,2445,0.31942399985811165
daily_0dte,6,13:00,M3k,489,2445,0.31163123629255224
daily_0dte,6,13:00,M4,489,2445,0.24575261754368125
all,7,13:30,M0,737,2948,0.2981056786169037
all,7,13:30,M1,737,2948,0.23727311956928357
all,7,13:30,M2,737,2948,0.2382122628836143
all,7,13:30,M3,737,2948,0.30033871177280314
all,7,13:30,M3k,737,2948,0.2911994288321675
all,7,13:30,M4,737,2948,0.2306668612862144
daily_0dte,7,13:30,M0,489,1956,0.31570530683238746
daily_0dte,7,13:30,M1,489,1956,0.24824587448497212
daily_0dte,7,13:30,M2,489,1956,0.2379625771963716
daily_0dte,7,13:30,M3,489,1956,0.28227802039037025
daily_0dte,7,13:30,M3k,489,1956,0.27740352615428726
daily_0dte,7,13:30,M4,489,1956,0.2346318727965544
all,8,14:00,M0,737,2211,0.3159872674624862
all,8,14:00,M1,737,2211,0.2499502078182489
all,8,14:00,M2,737,2211,0.24482646180795345
all,8,14:00,M3,737,2211,0.297764909182994
all,8,14:00,M3k,737,2211,0.2910444493596872
all,8,14:00,M4,737,2211,0.24567140889259742
daily_0dte,8,14:00,M0,489,1467,0.33479278010515406
daily_0dte,8,14:00,M1,489,1467,0.2677358927653305
daily_0dte,8,14:00,M2,489,1467,0.24897422989451315
daily_0dte,8,14:00,M3,489,1467,0.28406123704635117
daily_0dte,8,14:00,M3k,489,1467,0.28056590366410866
daily_0dte,8,14:00,M4,489,1467,0.2620112797759391
all,9,14:30,M0,737,1474,0.2845427470918546
all,9,14:30,M1,737,1474,0.23280368461332493
all,9,14:30,M2,737,1474,0.22001518848360985
all,9,14:30,M3,737,1474,0.26364042821783085
all,9,14:30,M3k,737,1474,0.25703139574952083
all,9,14:30,M4,737,1474,0.23668437639780102
daily_0dte,9,14:30,M0,489,978,0.2964325602657227
daily_0dte,9,14:30,M1,489,978,0.24692241212055993
daily_0dte,9,14:30,M2,489,978,0.22373349661021763
daily_0dte,9,14:30,M3,489,978,0.24818928724397368
daily_0dte,9,14:30,M3k,489,978,0.24354732092859674
daily_0dte,9,14:30,M4,489,978,0.250935450624237
all,10,15:00,M0,737,737,0.26536251083668844
all,10,15:00,M1,737,737,0.26536251083668844
all,10,15:00,M2,737,737,0.22657712651169187
all,10,15:00,M3,737,737,0.2509915824775876
all,10,15:00,M3k,737,737,0.24519781826690565
all,10,15:00,M4,737,737,0.26536251083668844
daily_0dte,10,15:00,M0,489,489,0.29467268271016867
daily_0dte,10,15:00,M1,489,489,0.29467268271016867
daily_0dte,10,15:00,M2,489,489,0.2365183665428002
daily_0dte,10,15:00,M3,489,489,0.24425363260131094
daily_0dte,10,15:00,M3k,489,489,0.24171540198352476
daily_0dte,10,15:00,M4,489,489,0.29467268271016867
