era,k,entry_et,target_et,model,n_days,qlike
all,1,10:30,14:00,M2,737,0.3721334523052882
all,1,10:30,14:30,M2,737,0.356682825499211
all,1,10:30,15:00,M2,737,0.33023782891678644
all,1,10:30,15:30,M2,737,0.3416542745128471
all,1,10:30,11:00,M3,737,0.1805409837827652
all,1,10:30,11:30,M3,737,0.314957635404922
all,1,10:30,12:00,M3,737,0.7482646312101874
all,1,10:30,12:30,M3,737,0.6848427124446219
all,1,10:30,13:00,M3,737,0.7100717390710354
all,1,10:30,13:30,M3,737,0.6338388229198978
all,1,10:30,14:00,M3,737,0.4818195826898633
all,1,10:30,14:30,M3,737,0.5064405054494029
all,1,10:30,15:00,M3,737,0.4059474925654859
all,1,10:30,15:30,M3,737,0.40396263213770733
all,1,10:30,11:00,M3k,737,0.18017292479745775
all,1,10:30,11:30,M3k,737,0.2998973132182435
all,1,10:30,12:00,M3k,737,0.7069616701243466
all,1,10:30,12:30,M3k,737,0.6412858686767066
all,1,10:30,13:00,M3k,737,0.6696192764045305
all,1,10:30,13:30,M3k,737,0.6335156695217018
all,1,10:30,14:00,M3k,737,0.47401527433590496
all,1,10:30,14:30,M3k,737,0.4896576203412258
all,1,10:30,15:00,M3k,737,0.401067220241249
all,1,10:30,15:30,M3k,737,0.39531490619988396
all,1,10:30,11:00,M4,737,0.21993625330695976
all,1,10:30,11:30,M4,737,0.22509283862381688
all,1,10:30,12:00,M4,737,0.5761480559664542
all,1,10:30,12:30,M4,737,0.4868105622429881
all,1,10:30,13:00,M4,737,0.48767586269439706
all,1,10:30,13:30,M4,737,0.538281538123649
all,1,10:30,14:00,M4,737,0.41599463903923567
all,1,10:30,14:30,M4,737,0.3654400734277755
all,1,10:30,15:00,M4,737,0.3338277480503005
all,1,10:30,15:30,M4,737,0.37890199279223524
daily_0dte,1,10:30,11:00,M0,489,0.22699394490110789
daily_0dte,1,10:30,11:30,M0,489,0.29642696701777893
daily_0dte,1,10:30,12:00,M0,489,0.25840585905190355
daily_0dte,1,10:30,12:30,M0,489,0.5341570849394851
daily_0dte,1,10:30,13:00,M0,489,0.4342955061018339
daily_0dte,1,10:30,13:30,M0,489,0.4730523252010088
daily_0dte,1,10:30,14:00,M0,489,0.25844288701408763
daily_0dte,1,10:30,14:30,M0,489,0.41151321978401684
daily_0dte,1,10:30,15:00,M0,489,0.29819243782127663
daily_0dte,1,10:30,15:30,M0,489,0.29467268271016867
daily_0dte,1,10:30,11:00,M1,489,0.24619030443767773
daily_0dte,1,10:30,11:30,M1,489,0.24983209036783313
daily_0dte,1,10:30,12:00,M1,489,0.5514174546295525
daily_0dte,1,10:30,12:30,M1,489,0.528063867844504
daily_0dte,1,10:30,13:00,M1,489,0.5310995766895511
daily_0dte,1,10:30,13:30,M1,489,0.5345156563002592
daily_0dte,1,10:30,14:00,M1,489,0.4160309843827188
daily_0dte,1,10:30,14:30,M1,489,0.3994798830188391
daily_0dte,1,10:30,15:00,M1,489,0.34885650939211243
daily_0dte,1,10:30,15:30,M1,489,0.39504829415497467
daily_0dte,1,10:30,11:00,M2,489,0.16155147274603
daily_0dte,1,10:30,11:30,M2,489,0.23631642069919095
daily_0dte,1,10:30,12:00,M2,489,0.3079070785192787
daily_0dte,1,10:30,12:30,M2,489,0.40994642650179164
daily_0dte,1,10:30,13:00,M2,489,0.5114387969342686
daily_0dte,1,10:30,13:30,M2,489,0.4821862164250908
daily_0dte,1,10:30,14:00,M2,489,0.3460555524731497
daily_0dte,1,10:30,14:30,M2,489,0.35883808575989246
daily_0dte,1,10:30,15:00,M2,489,0.3068544724543338
daily_0dte,1,10:30,15:30,M2,489,0.312296457997759
daily_0dte,1,10:30,11:00,M3,489,0.15628620107916527
daily_0dte,1,10:30,11:30,M3,489,0.31422385235365474
daily_0dte,1,10:30,12:00,M3,489,0.6734420139722604
daily_0dte,1,10:30,12:30,M3,489,0.670708331816814
daily_0dte,1,10:30,13:00,M3,489,0.8512950175586411
daily_0dte,1,10:30,13:30,M3,489,0.674452240322524
daily_0dte,1,10:30,14:00,M3,489,0.48682155008081285
daily_0dte,1,10:30,14:30,M3,489,0.5702683612970827
daily_0dte,1,10:30,15:00,M3,489,0.4020460113388613
daily_0dte,1,10:30,15:30,M3,489,0.3872923265088849
daily_0dte,1,10:30,11:00,M3k,489,0.1558689844558736
daily_0dte,1,10:30,11:30,M3k,489,0.30008186801195985
daily_0dte,1,10:30,12:00,M3k,489,0.6326789332548075
daily_0dte,1,10:30,12:30,M3k,489,0.6290153936800937
daily_0dte,1,10:30,13:00,M3k,489,0.806627970399379
daily_0dte,1,10:30,13:30,M3k,489,0.6772445572777086
daily_0dte,1,10:30,14:00,M3k,489,0.4796291993274082
daily_0dte,1,10:30,14:30,M3k,489,0.5514459603842794
daily_0dte,1,10:30,15:00,M3k,489,0.3917170260396181
daily_0dte,1,10:30,15:30,M3k,489,0.374462650825896
daily_0dte,1,10:30,11:00,M4,489,0.20410166150130357
