era,entry_et,n_universe,zt,n_contracts,n_days,frac_flagged,frac_long,sh_daily_mid,sh_daily_crossed,hit_daily_mid,mean_per_trade_mid,mean_per_trade_crossed,hit_per_trade_mid,r2_pool_med,pn_n_snap,sh_pn_mid,sh_pn_crossed,mean_pn_mid
all,15:00,11305.0,1.5,693.0,423.0,0.06130030959752322,0.7070707070707071,-0.2548359941517649,-1.0823070076116883,0.4160756501182033,-0.01969844179847673,-0.09997289402689953,0.46320346320346323,0.8178155735129791,111.0,-0.9750597496438335,-2.532132911129333,-0.07474283469723135
all,15:30,8676.0,1.5,429.0,302.0,0.04944674965421853,0.696969696969697,0.9389125465983738,0.5562514200889891,0.4337748344370861,0.22630010210662757,0.13376162855376467,0.46853146853146854,0.7700448531686274,63.0,-1.4694264589448949,-3.1748391140056387,-0.12547079968479
daily_0dte,10:00,14591.0,1.5,1251.0,417.0,0.08573778356521143,0.6762589928057554,-2.3567758099029033,-4.609116432034948,0.45083932853717024,-0.041213637555785325,-0.11064988893715792,0.504396482813749,0.7726635796526912,213.0,-0.9333802747706266,-4.945017487983313,-0.02869825648767075
daily_0dte,10:30,13398.0,1.5,1039.0,412.0,0.07754888789371547,0.6737247353224254,-1.8091079518113904,-3.480584284381705,0.4538834951456311,-0.04455970070315018,-0.09292052420307678,0.48604427333974976,0.8520157291932715,188.0,-0.5866133954007311,-2.787614500210153,-0.020923193024136907
daily_0dte,11:00,12580.0,1.5,952.0,399.0,0.07567567567567568,0.6323529411764706,-0.3923796359487228,-1.5457241857870272,0.45614035087719296,-0.007444938223734478,-0.05525855913315962,0.47689075630252103,0.882914918595065,193.0,0.5501491208312737,-1.0202617560284488,0.026050055070099075
daily_0dte,11:30,11852.0,1.5,924.0,399.0,0.07796152548093149,0.6515151515151515,-0.2798797209204981,-1.855480126831711,0.43609022556390975,-0.013973854996933642,-0.06144223015042856,0.4751082251082251,0.8853824337335943,178.0,-0.8263609346975208,-2.8898631018046115,-0.03074544081801333
daily_0dte,12:00,11127.0,1.5,847.0,384.0,0.07612114676013301,0.6387249114521841,-0.827815666364636,-2.2985866277502005,0.40625,-0.03536900434930781,-0.08447738392390469,0.46635182998819363,0.8662944648628635,179.0,-1.5056722540319805,-3.5207178841525497,-0.053824585913244294
daily_0dte,12:30,10556.0,1.5,816.0,389.0,0.07730200833649109,0.6580882352941176,-1.929990448006222,-3.288791187628726,0.4318766066838046,-0.03672076473793956,-0.08716751131889573,0.4522058823529412,0.8930474222740494,158.0,0.16616541227095935,-1.7884046857337836,0.007003774309398891
daily_0dte,13:00,10004.0,1.5,742.0,372.0,0.0741703318672531,0.6495956873315364,-0.8479562593853588,-1.658231847092985,0.3924731182795699,-0.08971933933249057,-0.14528306033446287,0.46226415094339623,0.8731650646212656,151.0,-3.0029579064248586,-4.295213749150218,-0.2341687757039021
daily_0dte,13:30,9375.0,1.5,673.0,362.0,0.07178666666666667,0.6820208023774146,-1.7454424186657858,-2.7912415305196214,0.39779005524861877,-0.09366662157474112,-0.15148493271101424,0.4294205052005943,0.8532424079687926,123.0,-1.9790203457676319,-3.735514548162602,-0.08945626418616881
daily_0dte,14:00,8712.0,1.5,656.0,333.0,0.07529843893480258,0.6783536585365854,-0.766462788901132,-1.871167584628358,0.4084084084084084,-0.0440613003785832,-0.1168351721812079,0.4634146341463415,0.8040395984909992,100.0,0.5901986268122864,-0.984811192110144,0.04243934056909421
daily_0dte,14:30,7654.0,1.5,524.0,325.0,0.06846093545858374,0.7137404580152672,-0.9089091457875351,-1.9180457136354312,0.38153846153846155,-0.0738960910302045,-0.14256012885564387,0.43320610687022904,0.8127150300727908,74.0,-1.1195816995319994,-2.833753927198687,-0.0637387153314198
daily_0dte,15:00,6461.0,1.5,366.0,255.0,0.05664757777433834,0.7240437158469946,-2.001091878193978,-3.19125821874125,0.3843137254901961,-0.15608198890543024,-0.2309912318756518,0.41530054644808745,0.8011442195146389,51.0,0.5653368011531303,-1.5139595589831392,0.027422405523392125
daily_0dte,15:30,4849.0,1.5,210.0,168.0,0.04330789853578057,0.6952380952380952,-0.5167701694332039,-1.3045001901709778,0.4166666666666667,-0.017899050344332763,-0.09844620056507272,0.45714285714285713,0.7326564350581136,22.0,-3.9644196194665633,-5.572353074048527,-0.2715678040346493
