bucket,estimator,arm,qlike_pct_vs_incumbent_16,d_ci,qlike_pct_mean_13_bars,bars_better,trade_deck_days,trade_pct_buy,trade_Sharpe_mid,trade_Sharpe_crossed,trade_ridge_Sharpe_mid_same_days,qlike_pct_vs_incumbent_16_deck,d_ci_deck,qlike_pct_mean_13_bars_deck
ivrep_term,enet,bar1600,-0.724802209926223,"[-0.0021, +0.0006]",-0.08712837709923174,7/13,866,38.91454965357968,1.7457112080391524,1.2780057668704228,1.3383216004229939,-0.6859548744882704,"[-0.0024, +0.0012]",-0.02710656274745956
ivrep_innovations,enet,bar1600,-1.364846289049848,"[-0.0050, +0.0019]",-1.772016126994416,13/13,866,36.83602771362587,1.6107934010027642,1.141372165338291,1.3383216004229939,-1.6161746938150534,"[-0.0056, +0.0017]",-2.1971181348716637
ivrep_vrp,enet,bar1600,-0.0228198444053751,"[-0.0021, +0.0019]",-0.12600133164543378,6/13,866,38.33718244803695,1.4596409805178552,0.9936354797245018,1.3383216004229939,0.9077874179982404,"[-0.0013, +0.0030]",0.35563102380509193
ivrep_all,enet,bar1600,-1.2121887944744336,"[-0.0051, +0.0023]",-1.2166445332252613,9/13,866,37.06697459584296,1.687901012327227,1.2204230375975236,1.3383216004229939,-0.43335924902296874,"[-0.0044, +0.0031]",-0.9647630520703806
"live_feasible (incumbent, tw 500)",enet,bar1600,0.0,,0.0,,550,35.81818181818181,2.0201078915161212,1.6536393230750097,1.4775743986894427,,,
ivrep_slice_slope,enet,bar1600,-0.7721155159143511,"[-0.0035, +0.0024]",-1.0362509948273155,9/13,550,34.72727272727273,2.118205687004956,1.749820125993752,1.4775743986894427,,,
"live_feasible (incumbent, tw 2000)",lasso,bar1600,0.0,,0.0,,866,38.91454965357968,1.8262315571390573,1.3631530115787844,1.3383216004229939,,,
ivrep_target_scale,lasso,bar1600,-0.6230996961958724,"[-0.0038, +0.0023]",-0.2911762076824394,8/13,866,39.607390300230946,1.8701575857959734,1.4095972348222776,1.3383216004229939,1.2943869017131737,"[-0.0016, +0.0044]",0.41868911396568265
ivrep_term,lasso,bar1600,-1.2516401282416934,"[-0.0042, +0.0008]",0.6719131423383935,6/13,866,38.91454965357968,1.7451027446254306,1.2790439188694191,1.3383216004229939,-0.6538518552433592,"[-0.0018, +0.0006]",1.0846882076626154
ivrep_innovations,lasso,bar1600,0.6600879083774602,"[-0.0034, +0.0051]",-0.4658161875032582,8/13,866,38.56812933025404,1.5975138497029673,1.13012827986999,1.3383216004229939,0.8574486342408427,"[-0.0036, +0.0060]",-0.45325645763194966
ivrep_vrp,lasso,bar1600,-0.3753037878671761,"[-0.0047, +0.0036]",-0.139148892310359,8/13,866,39.4919168591224,1.2464999848524394,0.7796054413463352,1.3383216004229939,0.6755013009949851,"[-0.0036, +0.0054]",0.3988829851900795
ivrep_all,lasso,bar1600,1.1409574880479,"[-0.0032, +0.0060]",-1.331565665518473,8/13,866,38.33718244803695,1.6874685362852289,1.2230462458808606,1.3383216004229939,2.750980953312343,"[-0.0019, +0.0080]",-1.358015074524436
"live_feasible (incumbent, tw 500)",lasso,bar1600,0.0,,0.0,,550,34.72727272727273,2.019938738239704,1.6510900980302123,1.4775743986894427,,,
ivrep_slice_slope,lasso,bar1600,-0.6841215675588486,"[-0.0023, +0.0010]",-1.727007390482993,9/13,550,34.54545454545455,1.9318830176238453,1.5631718030728068,1.4775743986894427,,,
