variant,family,lam,reference,book,sample,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero,verdict
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.27574638121211537,0.036882900423386836,0.53748027100509,98.7,True,
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.21244755573437527,0.025799345542473928,0.42151903375017524,98.7,True,
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.2854775116512487,0.017331480871238893,0.569511893626082,98.15,True,
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,hold,whole,2000,21,0,2.5,97.5,865,0.1636904165719992,0.01548700683417823,0.33953298989660635,98.55000000000001,True,
V11_shrunk_1.00,V11 shrunk richness,1.0,V0_implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.1676815162832753,-0.0379349027680297,0.40244846848403565,94.65,False,
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.06413396319721246,-0.0676254675704443,0.206794018351429,82.39999999999999,False,
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.10019443493394664,-0.08729334222752963,0.29963523521210017,83.7,False,no evidence
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_mid,whole,2000,21,0,2.5,97.5,865,0.050479695115107706,-0.10391667208764586,0.21148447448058186,73.2,False,
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.08809053519755822,-0.12350169481179946,0.30816180251886455,78.64999999999999,False,
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,0.03331533003815117,-0.08260924065072948,0.1547495888266547,70.15,False,
V11_shrunk_1.00,V11 shrunk richness,1.0,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,0.06766427809477289,-0.09033316710057424,0.23094668259207157,79.7,False,
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.1630665301966347,0.056345693870284916,0.28593559441166316,99.75,True,
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.22341544494095705,0.06934049145213324,0.400104995796958,99.75,True,
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.18918256752814183,0.062282587776163946,0.33076323605757535,99.75,True,
V12_power_0.50,V12 bounded power,0.5,V0_implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.24022633968898222,0.0657129834139679,0.4375485331818881,99.7,True,
V12_power_0.50,V12 bounded power,0.5,V0_implied,hold,whole,2000,21,0,2.5,97.5,865,0.14800082193359312,0.0393541486686952,0.27687532566971496,99.6,True,
V12_power_0.50,V12 bounded power,0.5,V0_implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.13234604588525173,-0.01221527740041459,0.309415291742992,96.55,False,
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.03210960572248529,-0.03138536896544761,0.10078534436688506,82.95,False,
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.04786349866278832,-0.04456047950336201,0.14458011631062642,84.39999999999999,False,no evidence
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_mid,whole,2000,21,0,2.5,97.5,865,0.027214706908874266,-0.04717528635252738,0.10628097359971445,75.64999999999999,False,
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.042839363235291764,-0.05809437578194524,0.14543036297320805,79.35,False,
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,0.017625735399745095,-0.039674895961277525,0.07623384080257128,71.5,False,
V12_power_0.50,V12 bounded power,0.5,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,0.032328807696749326,-0.04245431318369983,0.11032940002178795,79.5,False,
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.19022785526533317,0.028974792148659143,0.3675655336764554,99.1,True,
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.2656965815607215,0.03139108787701679,0.5182614015990156,98.75,True,
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.20555791577245835,0.02321795889336922,0.4127952958486158,98.5,True,
V12_power_1.00,V12 bounded power,1.0,V0_implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.27328192670708396,0.01053944456844042,0.5548343964722083,97.85000000000001,True,
V12_power_1.00,V12 bounded power,1.0,V0_implied,hold,whole,2000,21,0,2.5,97.5,865,0.15891912356168844,0.012690578309502987,0.3340233211890556,98.45,True,
V12_power_1.00,V12 bounded power,1.0,V0_implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.15919709052648745,-0.040809388432210124,0.3910249615569312,94.0,False,
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.05927093079118378,-0.06792184036015995,0.19399744743256284,81.25,False,
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.0901446352825528,-0.09549820083686258,0.28196785034319993,82.6,False,no evidence
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_mid,whole,2000,21,0,2.5,97.5,865,0.043590055153190796,-0.10379007957106086,0.19765006370808014,71.3,False,
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.07589495025339352,-0.13180195941111153,0.2827951054233569,76.5,False,
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,0.028544037027840398,-0.08250459844882135,0.14446203511470643,67.7,False,
V12_power_1.00,V12 bounded power,1.0,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,0.05917985233798506,-0.09376418287984102,0.22024498028566142,77.3,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.07936455531659581,-0.04949949231945069,0.2177215723670875,88.0,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.12074742924031649,-0.06584596348215777,0.3128835066807371,88.75,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.07140457118163636,-0.0775086383849377,0.22690872871781362,81.89999999999999,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.11201080240978524,-0.09473414312369031,0.32655483456685264,84.55,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,hold,whole,2000,21,0,2.5,97.5,865,0.05079959998451265,-0.06163261242329577,0.1704765224146146,79.35,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V0_implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.0860545605739094,-0.07315894748227078,0.2475576675509155,85.39999999999999,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_crossed,whole,2000,21,0,2.5,97.5,865,-0.05159236915755358,-0.1843338333615202,0.08641729882817113,21.7,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,-0.05480451703785224,-0.26249949165477393,0.153281796292598,29.65,False,no evidence
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_mid,whole,2000,21,0,2.5,97.5,865,-0.0905632894376312,-0.24907215727159152,0.07048916272913983,13.05,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.08537617404390523,-0.31736685526092495,0.1423099692138962,22.85,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,-0.07957548654933538,-0.22600867174484396,0.057607057224057415,12.2,False,
V13_raw_implied_x_r,V13 raw implied x richness,1.0,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,-0.013962677614593006,-0.22551924549620925,0.1570061790431918,43.75,False,
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.19478539665710387,0.06654253967085158,0.34262954703329546,99.85000000000001,True,
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.2612855976850932,0.0875232443601036,0.47220249005128,99.9,True,
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_mid,whole,2000,21,0,2.5,97.5,865,0.22748380420003442,0.07313972222241132,0.39902618821043945,99.8,True,
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.28125883843270266,0.08882484113288305,0.5080844455757294,99.9,True,
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,hold,whole,2000,21,0,2.5,97.5,865,0.18413476426615616,0.05661046427775817,0.3346799778582642,99.9,True,
V14_smoothed_r,V14 smoothed richness,1.0,V0_implied,hold,daily_era,2000,21,0,2.5,97.5,489,0.1645278125942691,0.015423336990857699,0.3670666661021349,98.65,True,
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.06382847218295448,0.004303297947261669,0.13512715377994497,98.25,True,
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.08573365140692447,0.01324185740046947,0.17981907652523138,98.75,True,improves on V9
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_mid,whole,2000,21,0,2.5,97.5,865,0.06551594358076686,-0.00379022326655122,0.1461762978883394,96.6,False,
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.08387186197901218,0.006107639719701818,0.18412801275392757,98.3,True,
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,hold,whole,2000,21,0,2.5,97.5,865,0.05375967773230811,0.0015677854563531514,0.11776333492850026,97.7,True,
V14_smoothed_r,V14 smoothed richness,1.0,V9_implied_bc,hold,daily_era,2000,21,0,2.5,97.5,489,0.06451057440576671,0.007026488567984446,0.14352831418189527,98.5,True,
