day_role,rep_date,entry_clock,terminal,convention,era,n_sessions,mean_premium_pts,total_mean_pts,total_sd_pts,total_p1_pts,total_min_pts,total_mean_dollars,total_p1_dollars,option_mean_pts,option_sd_pts,option_p1_pts,option_min_pts,option_mean_dollars,option_p1_dollars,hedge_mean_pts,hedge_sd_pts,hedge_p1_pts,hedge_min_pts,hedge_mean_dollars,hedge_p1_dollars,total_mean_units,total_p1_units
p25 premium,2021-05-26,13:30,flatten at 15:30,49 frozen (reproduced),1998-2007,2493,7.6000001430511475,-6.798494579285949,11.034161631833074,-50.61622478408312,-168.41909785164682,-679.8494579285949,-5061.622478408312,-7.683436468437551,15.176591306184248,-61.35304345615601,-155.63892500599013,-768.3436468437551,-6135.304345615601,0.8849418891516022,14.144911939148535,-34.10616008208796,-100.95789320905375,88.49418891516022,-3410.616008208796,-0.866050262246841,-6.447926704503512
p25 premium,2021-05-26,13:30,flatten at 15:30,49 frozen (reproduced),2008-2009,501,7.6000001430511475,-16.63979612483057,34.33729589349237,-143.5216920833218,-467.655048360077,-1663.979612483057,-14352.16920833218,-15.802481877753097,30.9783133271091,-156.42129858762019,-247.7188563823902,-1580.2481877753098,-15642.129858762019,-0.8373142470774725,30.906270104412155,-100.30447664122768,-279.2418474278204,-83.73142470774725,-10030.447664122768,-2.1197192451328055,-18.28301804425741
p25 premium,2021-05-26,13:30,flatten at 15:30,49 frozen (reproduced),2010-2019,2511,7.6000001430511475,-1.501679776666089,7.20363489009106,-28.652119523929517,-89.89917091976578,-150.1679776666089,-2865.211952392952,-1.9371118238080929,10.49343955308291,-46.51748771258226,-110.75420465925117,-193.71118238080928,-4651.748771258226,0.43543204714200373,8.137262720588334,-20.028875715520712,-51.13751171299755,43.54320471420037,-2002.8875715520712,-0.1912967862554418,-3.6499515206252093
p25 premium,2021-05-26,13:30,flatten at 15:30,49 frozen (reproduced),2020-2024,1088,7.6000001430511475,-5.039695463741498,13.568987688378565,-67.453042776563,-197.3716495390635,-503.9695463741498,-6745.3042776563,-5.413213142134926,13.974154145244592,-61.6876957118432,-112.9059661266615,-541.3213142134925,-6168.76957118432,0.3735176783934284,14.254856230798408,-46.115761777567016,-160.42126096882012,37.35176783934284,-4611.576177756701,-0.6419994201828073,-8.592744276649173
median premium,2023-01-23,13:30,hold to cash settlement,repriced premium + repriced implied,1998-2007,2493,13.554748769669946,-1.6608118053057466,10.444033291803235,-39.15052932250982,-132.39671078664378,-166.08118053057467,-3915.052932250982,-2.5616319716049527,17.46356408421201,-67.54009998421135,-160.10545683193902,-256.16319716049526,-6754.009998421136,0.9008201662992066,14.503751078921024,-35.878282080688834,-134.35102647943881,90.08201662992066,-3587.828208068883,-0.10015764466018365,-2.4832308367905886
median premium,2023-01-23,13:30,hold to cash settlement,repriced premium + repriced implied,2008-2009,501,23.577907702781886,-4.386231278100268,27.735427983876114,-115.04820052212133,-359.791818334588,-438.62312781002674,-11504.820052212133,-4.886908791350994,36.27667970356219,-146.95142616650818,-299.8923520813722,-488.69087913509935,-14695.142616650819,0.5006775132507255,32.49029302495865,-83.6678786708605,-230.16908110460403,50.06775132507255,-8366.78786708605,-0.12061124289084753,-3.219809095947746
median premium,2023-01-23,13:30,hold to cash settlement,repriced premium + repriced implied,2010-2019,2511,10.145375500926502,1.3243494607217443,8.245573852368102,-24.69292823994545,-130.29065039343527,132.43494607217443,-2469.292823994545,0.7784031106586436,12.772035289279659,-52.61455719997508,-104.02819107038674,77.84031106586437,-5261.455719997508,0.5459463500631008,9.186025377177186,-19.124790068482525,-59.749402762245865,54.59463500631008,-1912.4790068482525,0.16436335187086956,-2.3627808540621578
median premium,2023-01-23,13:30,hold to cash settlement,repriced premium + repriced implied,2020-2024,1088,13.41526420825276,-0.5140586077187037,15.448689313495304,-50.69059924024187,-241.811193365863,-51.40586077187037,-5069.059924024187,-1.3154967728650395,18.71070668055396,-83.5409210785667,-152.53896009877386,-131.54967728650396,-8354.09210785667,0.801438165146336,15.085196327438844,-34.453422186805966,-155.0225162757655,80.1438165146336,-3445.3422186805965,-0.022284558201633522,-3.412259689228
median premium,2023-01-23,13:30,flatten at 15:30,repriced premium + repriced implied,1998-2007,2493,13.554748769669946,-2.192367016594036,7.75674791538617,-32.490228919224414,-105.54467233971292,-219.2367016594036,-3249.0228919224414,-2.854056253167887,12.281845759386934,-47.460110961291036,-129.73625849910076,-285.4056253167887,-4746.011096129104,0.6616892365738511,9.950941966631667,-22.653325035350424,-69.72859358433325,66.16892365738511,-2265.332503535042,-0.1511055645220523,-1.9784657605744085
median premium,2023-01-23,13:30,flatten at 15:30,repriced premium + repriced implied,2008-2009,501,23.577907702781886,-3.5746259332431185,22.044284388645245,-69.69729996856651,-359.79182040247224,-357.46259332431185,-6969.729996856651,-2.914251766003624,22.958900645556938,-114.35030390769109,-195.81748110058737,-291.42517660036236,-11435.030390769109,-0.6603741672394949,20.105698856687997,-42.885049173121295,-218.78741780332308,-66.03741672394949,-4288.50491731213,-0.11254797307407674,-2.1825224523820186
median premium,2023-01-23,13:30,flatten at 15:30,repriced premium + repriced implied,2010-2019,2511,10.145375500926502,0.28971394558612973,5.492002211763194,-21.630923214450913,-75.2579927207211,28.97139455861297,-2163.0923214450913,0.05050188465362389,8.603978871999276,-35.00670597233166,-106.50658119027945,5.050188465362389,-3500.670597233166,0.2392120609325059,6.243989056939101,-14.821015046377568,-36.90741434892751,23.92120609325059,-1482.1015046377568,0.04555374004757554,-1.9027085636504006
median premium,2023-01-23,13:30,flatten at 15:30,repriced premium + repriced implied,2020-2024,1088,13.41526420825276,-0.5553501707587142,9.16388202560787,-35.671871964845124,-139.9772450239757,-55.535017075871416,-3567.1871964845122,-0.8664259713517396,11.328839376214745,-47.43539584317926,-89.33335947636752,-86.64259713517396,-4743.539584317926,0.3110758005930253,9.900223676614033,-31.570651225712627,-110.71124590292564,31.10758005930253,-3157.0651225712627,-0.03989058887996716,-2.3527454342619807
median premium,2023-01-23,13:30,hold to cash settlement,"repriced premium, frozen implied",1998-2007,2493,13.554748769669946,-1.6550282630119746,10.935699786188867,-44.59510476326455,-133.9591100702658,-165.50282630119744,-4459.510476326455,-2.5616319716049527,17.46356408421201,-67.54009998421135,-160.10545683193902,-256.16319716049526,-6754.009998421136,0.9066037085929782,16.231494624491937,-39.780211071326626,-135.91342576306084,90.66037085929783,-3978.0211071326626,-0.10193450038466885,-2.5534806469579436
median premium,2023-01-23,13:30,hold to cash settlement,"repriced premium, frozen implied",2008-2009,501,23.577907702781886,-4.1450068661432935,32.409095338579924,-122.72476294626252,-398.86135340880946,-414.50068661432937,-12272.47629462625,-4.886908791350994,36.27667970356219,-146.95142616650818,-299.8923520813722,-488.69087913509935,-14695.142616650819,0.7419019252077,39.71818649301506,-112.78339098957778,-269.23861617882545,74.19019252077,-11278.339098957778,-0.11726397138409995,-3.7008769126323644
median premium,2023-01-23,13:30,hold to cash settlement,"repriced premium, frozen implied",2010-2019,2511,10.145375500926502,1.3915752329974647,8.605786415530982,-24.349792599218112,-147.6729581523415,139.15752329974646,-2434.9792599218113,0.7784031106586436,12.772035289279659,-52.61455719997508,-104.02819107038674,77.84031106586437,-5261.455719997508,0.6131721223388212,9.633742385473562,-20.070710203769128,-73.40690110440224,61.317212233882124,-2007.0710203769129,0.1661619497561105,-2.33030985714092
median premium,2023-01-23,13:30,hold to cash settlement,"repriced premium, frozen implied",2020-2024,1088,13.41526420825276,-0.4417102406082334,17.63637962078955,-52.823676737255546,-357.43006402381167,-44.17102406082334,-5282.367673725555,-1.3154967728650395,18.71070668055396,-83.5409210785667,-152.53896009877386,-131.54967728650396,-8354.09210785667,0.8737865322568062,17.751150298340008,-42.759111817319216,-270.64138693371416,87.37865322568062,-4275.911181731922,-0.021081029113136633,-3.477756991158178
median premium,2023-01-23,13:30,flatten at 15:30,"repriced premium, frozen implied",1998-2007,2493,13.554748769669946,-1.688601512621169,8.518779844382104,-33.86568202947652,-126.02525898352211,-168.86015126211691,-3386.5682029476516,-2.373519717517667,12.915774152373368,-47.45991558010521,-129.73625849910076,-237.3519717517667,-4745.991558010521,0.6849182048964977,11.644243777732862,-27.270348882079308,-89.18749542626827,68.49182048964977,-2727.0348882079306,-0.15990859679970573,-2.113793718070023
median premium,2023-01-23,13:30,flatten at 15:30,"repriced premium, frozen implied",2008-2009,501,23.577907702781886,-0.5558429890223813,27.13100278897653,-94.62278054472648,-398.86135340880946,-55.584298902238125,-9462.278054472648,0.13778104398304827,25.02559201525824,-114.34691501091072,-195.81748110058737,13.778104398304828,-11434.691501091072,-0.6936240330054295,27.469359751983397,-89.82558689209611,-257.8569515574837,-69.36240330054295,-8982.55868920961,-0.002325200819283953,-2.4570106821355076
median premium,2023-01-23,13:30,flatten at 15:30,"repriced premium, frozen implied",2010-2019,2511,10.145375500926502,-0.4988463932618375,5.846923619877917,-20.801056674077756,-74.29287843558332,-49.88463932618375,-2080.1056674077754,-0.7972164794098257,8.745899642223048,-35.00636907696053,-106.50658119027945,-79.72164794098256,-3500.636907696053,0.2983700861479882,6.597011821558144,-16.433357224544572,-44.4963356585416,29.837008614798822,-1643.3357224544573,-0.11429159730857731,-1.8764578472436027
