forecast,sample,clock,h_rem,n,QLIKE,bias_log_f_over_realized,mean_f_over_mean_realized,median_forecast,median_realized
a0,daily_era,13:30,2.5,489,0.4600167297281643,0.07171136501752011,0.9160386312391078,1.558401328756407e-05,1.4318275337177107e-05
a0,daily_era,14:00,2.0,489,0.42680253059780277,0.2504298034483834,1.10013544785699,1.6604256609279336e-05,1.1944934583089042e-05
a0,daily_era,14:30,1.5,489,0.19178351714376518,0.2180333364187125,1.109957750562846,1.1621897357798733e-05,9.457938937683372e-06
a0,daily_era,15:00,1.0,489,0.11680584573643389,0.01094416296562894,0.9315696321016492,6.841043897637929e-06,6.908561569404025e-06
a0,daily_era,15:30,0.5,489,0.10110352680924899,0.07015309796373895,1.0019115897308932,4.0556411663546106e-06,3.727515800670388e-06
a0,daily_era,pooled,,4890,0.27216661794764896,0.10570267606717312,0.9967260385465827,1.7184741468105552e-05,1.4540396071966e-05
xgb,whole,11:00,5.0,865,0.1987357149789362,0.07101051472525659,1.0226640572092542,3.0164617683423945e-05,2.938320483815628e-05
xgb,whole,11:30,4.5,865,0.21515963192081902,0.0450080552894977,1.0047869900233795,2.617991452358174e-05,2.545178716617309e-05
xgb,whole,12:00,4.0,865,0.25361988549928277,0.06790611505510072,1.0115435392178214,2.371146244778565e-05,2.2426958602680932e-05
xgb,whole,12:30,3.5,865,0.2838836898567429,0.06737800951197338,1.1035070999758663,2.1301477913367973e-05,1.956155500642812e-05
xgb,whole,13:00,3.0,865,0.29384709223408545,0.13549081112464526,1.1825286848205991,2.0912927634533297e-05,1.726412396688223e-05
xgb,whole,13:30,2.5,865,0.36260608726815846,0.006961366856202908,0.9546091717695258,1.4998003460520364e-05,1.467090514814524e-05
xgb,whole,14:00,2.0,865,0.3678248949598396,0.15149133280124527,1.011920593593836,1.5404168631608125e-05,1.2667522000638138e-05
xgb,whole,14:30,1.5,865,0.1575267243265283,0.1222450406975367,1.027734695828793,1.149278215302478e-05,1.0065850541811473e-05
xgb,whole,15:00,1.0,865,0.12054597256076371,-0.027786585110817618,0.9231351231876884,7.421137229171606e-06,7.284856548096873e-06
xgb,whole,15:30,0.5,865,0.10268882742567849,0.09206287451163343,1.1399778079025684,4.4459038935574795e-06,4.252795236725389e-06
xgb,whole,pooled,,8650,0.2356438521030835,0.07317675354622742,1.037188484653803,1.666568553078303e-05,1.4817016046441703e-05
xgb,daily_era,11:00,5.0,489,0.19832287083517827,0.04159641470218182,0.9849878353794786,2.9912847550512545e-05,3.040411506171111e-05
xgb,daily_era,11:30,4.5,489,0.2258642886955601,0.020052257322482957,0.940248229393291,2.5866508156130248e-05,2.6334723999582805e-05
xgb,daily_era,12:00,4.0,489,0.27657373197473517,0.06870291483572537,1.0137661060223262,2.363560443888278e-05,2.2572597709698186e-05
xgb,daily_era,12:30,3.5,489,0.3349551848956844,0.06938255380734488,0.9503007143761684,2.1385792085317423e-05,1.958402647851113e-05
xgb,daily_era,13:00,3.0,489,0.3395079517224785,0.23128099010208247,1.062226496405933,2.287332627923684e-05,1.697958391024903e-05
xgb,daily_era,13:30,2.5,489,0.42172978536921163,0.08058730015767875,0.9241787994623315,1.5614636320818052e-05,1.4318275337177107e-05
xgb,daily_era,14:00,2.0,489,0.42321481633758884,0.25294470769580224,1.100758501587919,1.6264464825904833e-05,1.1944934583089042e-05
xgb,daily_era,14:30,1.5,489,0.18093758931296475,0.25614946939797817,1.1506219546972452,1.2270435348331721e-05,9.457938937683372e-06
xgb,daily_era,15:00,1.0,489,0.10141916858801531,0.06417017448821655,0.989668183760277,7.341125949510299e-06,6.908561569404025e-06
xgb,daily_era,15:30,0.5,489,0.09516044699213348,0.07516226660163193,1.0401756506873894,4.002043690350513e-06,3.727515800670388e-06
xgb,daily_era,pooled,,4890,0.25976858347235504,0.11600290491111251,1.002068005498623,1.719234842202941e-05,1.4540396071966e-05
lgbm,whole,11:00,5.0,865,0.19677514179912475,0.07192137971870612,1.0188541309502805,3.0353408983799232e-05,2.938320483815628e-05
lgbm,whole,11:30,4.5,865,0.21528791463695882,0.04242927890387673,0.988593811759535,2.5999300288393892e-05,2.545178716617309e-05
lgbm,whole,12:00,4.0,865,0.2528308424550185,0.06342016260364144,0.9961619587998807,2.369044540079345e-05,2.2426958602680932e-05
lgbm,whole,12:30,3.5,865,0.2837355130969368,0.061269994763903185,1.0975841767200385,2.111078487768321e-05,1.956155500642812e-05
lgbm,whole,13:00,3.0,865,0.29080639453299206,0.12627557450823232,1.169812047421067,2.05209466122133e-05,1.726412396688223e-05
lgbm,whole,13:30,2.5,865,0.3609031584885084,-0.0026350920726410793,0.9331286592693264,1.476072543783992e-05,1.467090514814524e-05
lgbm,whole,14:00,2.0,865,0.35991354033148987,0.14051325296968203,0.9982944691333081,1.5359401022203542e-05,1.2667522000638138e-05
lgbm,whole,14:30,1.5,865,0.15581535009108363,0.11237755027872516,1.0284599565383301,1.1444461860156254e-05,1.0065850541811473e-05
lgbm,whole,15:00,1.0,865,0.11965272714009707,-0.03593111626928491,0.9143010449507151,7.243591677160347e-06,7.284856548096873e-06
lgbm,whole,15:30,0.5,865,0.10133876637032399,0.10129609465110499,1.1267924882698783,4.556538562597913e-06,4.252795236725389e-06
lgbm,whole,pooled,,8650,0.23370593489425343,0.06809370800559461,1.0260385534495051,1.648966724070073e-05,1.4817016046441703e-05
lgbm,daily_era,11:00,5.0,489,0.19651039347668367,0.04495431826005511,0.9911984938774435,3.0319770531676867e-05,3.040411506171111e-05
lgbm,daily_era,11:30,4.5,489,0.22661446526387682,0.01899019082621419,0.940554593570463,2.571836198493585e-05,2.6334723999582805e-05
lgbm,daily_era,12:00,4.0,489,0.2764725113111731,0.06509105370900253,1.0151144454875263,2.3627845946065767e-05,2.2572597709698186e-05
lgbm,daily_era,12:30,3.5,489,0.33760498772362063,0.06264388517293507,0.9431488299316866,2.1175599489519678e-05,1.958402647851113e-05
lgbm,daily_era,13:00,3.0,489,0.3342327394760279,0.221157032455633,1.0481201257007344,2.2480732883909774e-05,1.697958391024903e-05
lgbm,daily_era,13:30,2.5,489,0.4243365424179942,0.07004652140199306,0.9154057598094406,1.5366208905565747e-05,1.4318275337177107e-05
lgbm,daily_era,14:00,2.0,489,0.41612558414121115,0.2350486715460857,1.0863176254282894,1.5634141187929945e-05,1.1944934583089042e-05
lgbm,daily_era,14:30,1.5,489,0.1787932824766843,0.24122764939090338,1.1370192570548612,1.2093509995126819e-05,9.457938937683372e-06
lgbm,daily_era,15:00,1.0,489,0.09968563206470273,0.05170654429097706,0.9761703307179894,7.190141243444367e-06,6.908561569404025e-06
lgbm,daily_era,15:30,0.5,489,0.09420066308898539,0.08403988000280509,1.0383374259908025,3.9795009961807e-06,3.727515800670388e-06
lgbm,daily_era,pooled,,4890,0.25845768014409604,0.10949057470566041,0.9974413270305036,1.701559545244286e-05,1.4540396071966e-05
implied,whole,11:00,5.0,865,0.08944832842262503,0.1651593820638319,1.0799265106411107,3.674382835520724e-05,2.938320483815628e-05
implied,whole,11:30,4.5,865,0.0918162305915555,0.17381341253873145,1.0874864856136355,3.2710759868848674e-05,2.545178716617309e-05
implied,whole,12:00,4.0,865,0.09498930560109241,0.16576692701440518,1.0761260123705174,2.8067736423054157e-05,2.2426958602680932e-05
implied,whole,12:30,3.5,865,0.09778158815266924,0.17210310723328243,1.1016041897806335,2.489912899008683e-05,1.956155500642812e-05
implied,whole,13:00,3.0,865,0.09966542753988687,0.17145646852734694,1.097800475142538,2.1145045596190365e-05,1.726412396688223e-05
implied,whole,13:30,2.5,865,0.09865336244723012,0.18935123696257616,1.1114479071225871,1.858861044758075e-05,1.467090514814524e-05
implied,whole,14:00,2.0,865,0.09339986303396004,0.19491508309033023,1.1304222437743003,1.5898815749369505e-05,1.2667522000638138e-05
implied,whole,14:30,1.5,865,0.08719028350248571,0.2163865611564799,1.131313147408814,1.315044871068936e-05,1.0065850541811473e-05
implied,whole,15:00,1.0,865,0.08647447879179422,0.22701246816143228,1.1965661612420238,9.698480696096468e-06,7.284856548096873e-06
implied,whole,15:30,0.5,865,0.10375912467315762,0.24840855215173574,1.1947392305941695,5.665301740007758e-06,4.252795236725389e-06
implied,whole,pooled,,8650,0.09431779927564567,0.19243731989001522,1.1047888644545656,1.8011935294800058e-05,1.4817016046441703e-05
implied,daily_era,11:00,5.0,489,0.06854064689429853,0.1352480978311958,1.1014876724095677,3.580911076617033e-05,3.040411506171111e-05
implied,daily_era,11:30,4.5,489,0.07204436952690955,0.14112459013311512,1.115143844680171,3.2710759868848674e-05,2.6334723999582805e-05
implied,daily_era,12:00,4.0,489,0.07848278870821733,0.13211150059606605,1.1111582874662618,2.7630781011349673e-05,2.2572597709698186e-05
implied,daily_era,12:30,3.5,489,0.08706702946081214,0.14589768321608254,1.1383177122908053,2.4225824919809324e-05,1.958402647851113e-05
implied,daily_era,13:00,3.0,489,0.09466677177630257,0.15796346165471944,1.1471971450455538,2.1145045596190365e-05,1.697958391024903e-05
implied,daily_era,13:30,2.5,489,0.09434277545500953,0.18493883241878417,1.1881418486290998,1.8124936164032072e-05,1.4318275337177107e-05
implied,daily_era,14:00,2.0,489,0.08732538451460684,0.1775083019744674,1.210093779621193,1.5327174834922267e-05,1.1944934583089042e-05
implied,daily_era,14:30,1.5,489,0.08387445758113236,0.1938448257450969,1.1849873493769971,1.2317783705382968e-05,9.457938937683372e-06
implied,daily_era,15:00,1.0,489,0.0770500733473092,0.1934037170213639,1.1963576571217776,9.09775478325285e-06,6.908561569404025e-06
implied,daily_era,15:30,0.5,489,0.09331438918521724,0.20198599593174654,1.229434469108193,4.735446623815936e-06,3.727515800670388e-06
implied,daily_era,pooled,,4890,0.08367086864498154,0.16640270065226376,1.143846172934445,1.7304304360873756e-05,1.4540396071966e-05
