variant,family,causal,book,sample,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero,verdict
V1_forecast_xgb,V1 forecast,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.04128339319634493,-0.5472932352883699,0.4242826772216135,45.85,False,
V1_forecast_xgb,V1 forecast,True,hold,whole,2000,21,0,2.5,97.5,865,-0.011212010163503034,-0.3064082151686282,0.26488165447343437,48.0,False,
V1_forecast_xgb,V1 forecast,True,hold,daily_era,2000,21,0,2.5,97.5,489,-0.020236268116834304,-0.4465386884829425,0.370284618800047,47.349999999999994,False,
V1_forecast_lgbm,V1 forecast,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.06654052485850555,-0.2235673089457121,0.3403557412668037,68.75,False,
V1_forecast_lgbm,V1 forecast,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.004350705220217426,-0.4212368958249392,0.41990949311649817,51.9,False,no evidence
V1_forecast_lgbm,V1 forecast,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.013945474995594415,-0.3267712638062418,0.33514766113385175,53.6,False,
V1_forecast_lgbm,V1 forecast,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.033029970766329464,-0.5280362968299631,0.4358392194745032,46.400000000000006,False,
V1_forecast_lgbm,V1 forecast,True,hold,whole,2000,21,0,2.5,97.5,865,-0.006447456665349908,-0.2969652626393338,0.26478277104835085,48.449999999999996,False,
V1_forecast_lgbm,V1 forecast,True,hold,daily_era,2000,21,0,2.5,97.5,489,-0.017297815105783605,-0.4363561699134926,0.36214906620794934,48.35,False,
V2_blend_0.25,V2 blend,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.048431285827800194,-0.009042052881939372,0.10970141024347321,94.69999999999999,False,
V2_blend_0.25,V2 blend,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.04861668904519609,-0.03427555987008687,0.12916345508702437,86.95,False,no evidence
V2_blend_0.25,V2 blend,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.04812875549451437,-0.01895565249522947,0.11800664647036602,91.85,False,
V2_blend_0.25,V2 blend,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.04806191263734492,-0.04531510669674136,0.13619701574763676,84.15,False,
V2_blend_0.25,V2 blend,True,hold,whole,2000,21,0,2.5,97.5,865,0.0328635618094861,-0.022961963435045425,0.09019630518784102,87.3,False,
V2_blend_0.25,V2 blend,True,hold,daily_era,2000,21,0,2.5,97.5,489,0.04061057440835558,-0.031020327403293448,0.1079143666804712,87.0,False,
V2_blend_0.50,V2 blend,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.09666503303114951,-0.019484287176872696,0.21993287198198996,94.69999999999999,False,
V2_blend_0.50,V2 blend,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.09219057229748057,-0.0701087294925483,0.25247712520232796,85.5,False,no evidence
V2_blend_0.50,V2 blend,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.09288831944875842,-0.04187820657359538,0.23163786012405008,90.95,False,
V2_blend_0.50,V2 blend,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.08915563962850154,-0.09569037000223109,0.2684440403808443,81.39999999999999,False,
V2_blend_0.50,V2 blend,True,hold,whole,2000,21,0,2.5,97.5,865,0.0624984861116307,-0.049931661845450025,0.1812053808752097,85.45,False,
V2_blend_0.50,V2 blend,True,hold,daily_era,2000,21,0,2.5,97.5,489,0.07521083666081106,-0.06736795132270401,0.21292320228954192,84.75,False,
V2_blend_0.75,V2 blend,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.1434255979889695,-0.0367855576807011,0.3341465334987363,93.7,False,
V2_blend_0.75,V2 blend,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.12542768952763508,-0.12459470444865399,0.37562553043404706,82.3,False,no evidence
V2_blend_0.75,V2 blend,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.13134177334440264,-0.0800714144747759,0.34908331992434205,89.35,False,
V2_blend_0.75,V2 blend,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.11683997882517609,-0.1688541212153807,0.38858466554776067,77.35,False,
V2_blend_0.75,V2 blend,True,hold,whole,2000,21,0,2.5,97.5,865,0.08586434409617882,-0.08298542280494503,0.262437022233804,82.95,False,
V2_blend_0.75,V2 blend,True,hold,daily_era,2000,21,0,2.5,97.5,489,0.09853050219273064,-0.12456602022261183,0.3079376302448266,80.30000000000001,False,
V3_max,V3 max,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,-0.05254608409461938,-0.19120597995820213,0.07981857562167123,20.95,False,
V3_max,V3 max,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,-0.04584067671917567,-0.26000574444458535,0.14620206451908108,30.7,False,no evidence
V3_max,V3 max,True,exit_mid,whole,2000,21,0,2.5,97.5,865,-0.09331815796775324,-0.25501717659627554,0.059928015670853964,11.4,False,
V3_max,V3 max,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.07580970385515132,-0.3063213039883194,0.13505093796039147,23.45,False,
V3_max,V3 max,True,hold,whole,2000,21,0,2.5,97.5,865,-0.08918991287078587,-0.23377678760181425,0.03583252318220819,7.3999999999999995,False,
V3_max,V3 max,True,hold,daily_era,2000,21,0,2.5,97.5,489,-0.02341908455105436,-0.22294717105040113,0.14073623207785177,38.5,False,
V4_min,V4 min,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.21125012359679807,-0.036362466892726465,0.46624335013779045,95.3,False,
V4_min,V4 min,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.1322448206217166,-0.21907136033858057,0.4865638361386456,78.10000000000001,False,no evidence
V4_min,V4 min,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.21267049180707207,-0.07500653910860812,0.5065177740952309,92.95,False,
V4_min,V4 min,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.1322178086044984,-0.2703204790413365,0.5316579680231069,75.75,False,
V4_min,V4 min,True,hold,whole,2000,21,0,2.5,97.5,865,0.15806398036166647,-0.07188608733135067,0.4034089596337102,91.35,False,
V4_min,V4 min,True,hold,daily_era,2000,21,0,2.5,97.5,489,0.07517066765755684,-0.23877947890072349,0.4006528007555602,69.55,False,
V5_calibrated,V5 calibrated,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.03898836960812537,-0.20673870594522206,0.2844215464239343,62.050000000000004,False,
V5_calibrated,V5 calibrated,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,-0.036399288738544526,-0.4078808598956784,0.2877995965443722,42.1,False,no evidence
V5_calibrated,V5 calibrated,True,exit_mid,whole,2000,21,0,2.5,97.5,865,-0.019409212455128916,-0.3010526289758088,0.25699109874479287,45.800000000000004,False,
V5_calibrated,V5 calibrated,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.0788922954203238,-0.4986782316223897,0.27390501756017716,34.75,False,
V5_calibrated,V5 calibrated,True,hold,whole,2000,21,0,2.5,97.5,865,-0.03631282004184326,-0.28165545729178065,0.19538575410445125,38.800000000000004,False,
V5_calibrated,V5 calibrated,True,hold,daily_era,2000,21,0,2.5,97.5,489,-0.05645589477627264,-0.39611020295658594,0.2422259140781592,36.5,False,
V6_realized,V6 realized (non-causal),False,exit_crossed,whole,2000,21,0,2.5,97.5,865,-0.6403070721650804,-1.0585793916017816,-0.1663003599847141,0.25,True,
V6_realized,V6 realized (non-causal),False,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,-0.46474424306318485,-1.0685037908318924,0.2838499652920412,12.75,False,reference only (non-causal)
V6_realized,V6 realized (non-causal),False,exit_mid,whole,2000,21,0,2.5,97.5,865,-0.8626861661127762,-1.412936071780056,-0.2438755588954769,0.15,True,
V6_realized,V6 realized (non-causal),False,exit_mid,daily_era,2000,21,0,2.5,97.5,489,-0.5900584872544555,-1.3175631274274269,0.3291595373935357,11.899999999999999,False,
V6_realized,V6 realized (non-causal),False,hold,whole,2000,21,0,2.5,97.5,865,-0.6745515913125559,-1.2070740925474839,-0.11732766361499374,0.75,True,
V6_realized,V6 realized (non-causal),False,hold,daily_era,2000,21,0,2.5,97.5,489,-0.33409421385449084,-0.9670525135660525,0.39777367871309843,20.349999999999998,False,
