variant,family,causal,book,sample,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
V1_forecast_lgbm,V1 forecast,True,hold,whole,865,0.0019808661010472474,0.08603982996798083,0.6771168637861379,0.693014829045395,14,0.5179190751445086,0.0
V1_forecast_lgbm,V1 forecast,True,hold,daily_era,489,0.0016228608765279525,0.08567588377893966,0.4188679459467416,0.4060188978989939,11,0.5296523517382413,0.0
V2_blend_0.25,V2 blend,True,exit_crossed,whole,865,0.000985755213553539,0.016548994510410416,1.751884719239984,1.745977913867053,14,0.5179190751445086,0.0
V2_blend_0.25,V2 blend,True,exit_crossed,daily_era,489,0.0010582221397095806,0.017046604759022102,1.372756096869419,1.3549080213182634,11,0.5316973415132924,0.0
V2_blend_0.25,V2 blend,True,exit_mid,whole,865,0.0009857552135535375,0.016548994510410416,1.7518847192399813,1.74597791386705,14,0.5179190751445086,0.0
V2_blend_0.25,V2 blend,True,exit_mid,daily_era,489,0.0010582221397095791,0.017046604759022102,1.372756096869417,1.3549080213182614,11,0.5316973415132924,0.0
V2_blend_0.25,V2 blend,True,hold,whole,865,0.0008199759189594108,0.018042776312616717,1.3366133269104177,1.3921318462441001,14,0.5144508670520231,0.0
V2_blend_0.25,V2 blend,True,hold,daily_era,489,0.001058093625200845,0.018056536620554706,1.2958181970314961,1.3443605470642632,11,0.5316973415132924,0.0
V2_blend_0.50,V2 blend,True,exit_crossed,whole,865,0.002017665610836569,0.033133904838288736,1.790954799043514,1.7730037289194174,14,0.5179190751445086,0.0
V2_blend_0.50,V2 blend,True,exit_crossed,daily_era,489,0.0020691794133031087,0.03361310279977283,1.3612690633902969,1.3276668111494068,11,0.5316973415132924,0.0
V2_blend_0.50,V2 blend,True,exit_mid,whole,865,0.0020176656108365676,0.033133904838288736,1.790954799043513,1.7730037289194165,14,0.5179190751445086,0.0
V2_blend_0.50,V2 blend,True,exit_mid,daily_era,489,0.0020691794133031083,0.03361310279977283,1.3612690633902966,1.3276668111494063,11,0.5316973415132924,0.0
V2_blend_0.50,V2 blend,True,hold,whole,865,0.0016710873655760433,0.036155028544458706,1.3593725649501138,1.4058313240865086,14,0.5156069364161849,0.0
V2_blend_0.50,V2 blend,True,hold,daily_era,489,0.0020606358307752592,0.03555166434988179,1.2817276101251984,1.3073559406605397,11,0.5337423312883436,0.0
V2_blend_0.75,V2 blend,True,exit_crossed,whole,865,0.003107871900833175,0.05129126069709051,1.7820824358771568,1.764080732881792,14,0.5190751445086705,0.0
V2_blend_0.75,V2 blend,True,exit_crossed,daily_era,489,0.002963723058333918,0.05126916203915626,1.2783089493065436,1.242600560305838,11,0.5337423312883436,0.0
V2_blend_0.75,V2 blend,True,exit_mid,whole,865,0.0031078719008331744,0.05129126069709051,1.7820824358771568,1.764080732881792,14,0.5190751445086705,0.0
V2_blend_0.75,V2 blend,True,exit_mid,daily_era,489,0.002963723058333916,0.05126916203915626,1.278308949306543,1.2426005603058374,11,0.5337423312883436,0.0
V2_blend_0.75,V2 blend,True,hold,whole,865,0.0025438586972400153,0.05574388100780785,1.3421585917723096,1.383589550526371,14,0.5190751445086705,0.0
V2_blend_0.75,V2 blend,True,hold,daily_era,489,0.002932385082620207,0.05396905167590461,1.2015190038569377,1.2102918480517362,11,0.5337423312883436,0.0
V3_max,V3 max,True,exit_crossed,whole,865,-6.866379063333795e-05,0.03814015287579256,-0.05294846808537626,-0.05465736030812004,14,0.446242774566474,0.14566473988439307
V3_max,V3 max,True,exit_crossed,daily_era,489,0.00024508385000758905,0.04337820081658052,0.12493887429650323,0.12900275319115442,11,0.47443762781186094,0.10020449897750511
V3_max,V3 max,True,exit_mid,whole,865,-6.866379063333917e-05,0.03814015287579256,-0.052948468085377204,-0.054657360308120996,14,0.446242774566474,0.14566473988439307
V3_max,V3 max,True,exit_mid,daily_era,489,0.00024508385000758856,0.04337820081658052,0.12493887429650297,0.12900275319115417,11,0.47443762781186094,0.10020449897750511
V3_max,V3 max,True,hold,whole,865,-0.0005647456277771234,0.041031030903579575,-0.4048074553488015,-0.42902868966027324,14,0.4601156069364162,0.11676300578034682
V3_max,V3 max,True,hold,daily_era,489,0.0006679053165737871,0.046485618036148264,0.317724511528501,0.3410367838490226,11,0.49284253578732107,0.08384458077709611
V4_min,V4 min,True,exit_crossed,whole,865,0.0038947318123448253,0.06695336959698883,1.7108548795538625,1.722434829930564,14,0.49710982658959535,0.03815028901734104
V4_min,V4 min,True,exit_crossed,daily_era,489,0.002550138526215964,0.06510025423015416,0.8662345813069727,0.8314996918117803,11,0.4948875255623722,0.05930470347648262
V4_min,V4 min,True,exit_mid,whole,865,0.0038947318123448258,0.06695336959698883,1.7108548795538625,1.7224348299305643,14,0.49710982658959535,0.03815028901734104
V4_min,V4 min,True,exit_mid,daily_era,489,0.002550138526215965,0.06510025423015414,0.8662345813069732,0.8314996918117806,11,0.4948875255623722,0.05930470347648262
V4_min,V4 min,True,hold,whole,865,0.003544094787549781,0.07092117222965932,1.4697297227385493,1.513197467850536,14,0.49942196531791905,0.03236994219653179
V4_min,V4 min,True,hold,daily_era,489,0.0020504883276286894,0.06594593155238129,0.6875807723692178,0.645565438553328,11,0.4948875255623722,0.053169734151329244
V5_calibrated,V5 calibrated,True,exit_crossed,whole,865,0.002035171125787177,0.0744384971769477,0.8041024576222775,0.8440937316221555,14,0.5132947976878612,0.0
V5_calibrated,V5 calibrated,True,exit_crossed,daily_era,489,0.0007962935888144382,0.07776385812164223,0.22643828107736544,0.2409405616559614,11,0.523517382413088,0.0
V5_calibrated,V5 calibrated,True,exit_mid,whole,865,0.0020351711257871764,0.0744384971769477,0.8041024576222773,0.8440937316221554,14,0.5132947976878612,0.0
V5_calibrated,V5 calibrated,True,exit_mid,daily_era,489,0.0007962935888144396,0.07776385812164223,0.22643828107736585,0.2409405616559618,11,0.523517382413088,0.0
V5_calibrated,V5 calibrated,True,hold,whole,865,0.0012001288381517817,0.07958729884461692,0.443498504959713,0.4678487066174584,14,0.5063583815028901,0.0
V5_calibrated,V5 calibrated,True,hold,daily_era,489,0.000657820424483726,0.08058273943070932,0.18051768523264985,0.19109379742364935,11,0.5173824130879345,0.0
V6_realized,V6 realized (non-causal),False,exit_crossed,whole,865,-0.009270989019545647,0.10604369967094252,-2.5712792751729445,-2.2971701283949475,14,0.4705202312138728,0.0
V6_realized,V6 realized (non-causal),False,exit_crossed,daily_era,489,-0.0056503399742042285,0.10994140130190816,-1.1364955537804724,-0.9687733853998705,11,0.48466257668711654,0.0
V6_realized,V6 realized (non-causal),False,exit_mid,whole,865,-0.009270989019545648,0.10604369967094252,-2.5712792751729454,-2.2971701283949475,14,0.4705202312138728,0.0
V6_realized,V6 realized (non-causal),False,exit_mid,daily_era,489,-0.0056503399742042285,0.10994140130190816,-1.1364955537804724,-0.9687733853998707,11,0.48466257668711654,0.0
V6_realized,V6 realized (non-causal),False,hold,whole,865,-0.009685587111232113,0.1213885933358919,-2.346692181621882,-2.1166283567103847,14,0.4890173410404624,0.0
V6_realized,V6 realized (non-causal),False,hold,daily_era,489,-0.004410175711315497,0.11500469196353016,-0.8479978742486087,-0.7410161868685644,11,0.49693251533742333,0.0
