sample,clock,h_rem,n_sessions,n_fitted,n_no_slope,slope_p10,slope_median,slope_p90,slope_mean,share_slope_negative,dsigma_dS_median_per_point,fit_r2_median,strikes_left_median,strikes_right_median
unseen,10:30,5.5,413,413,0,-0.18220162142823554,-0.10676445165392959,-0.037134056114817855,-0.1155523687475104,0.9491525423728814,1.7828944492339647e-05,0.9390504695889426,5.0,5.0
unseen,11:00,5.0,413,413,0,-0.16994991056387784,-0.09958075318804009,-0.0280648293940886,-0.09837310944778571,0.9418886198547215,1.6745894143550026e-05,0.9316110525620189,5.0,5.0
unseen,11:30,4.5,413,413,0,-0.17303715127747815,-0.09924557164076006,-0.032080193537742926,-0.09713311868677887,0.9491525423728814,1.60621150689598e-05,0.9162176005076276,5.0,5.0
unseen,12:00,4.0,413,413,0,-0.16110112767295545,-0.09151575931468024,-0.014381263065565305,-0.0916802046158404,0.927360774818402,1.58992324689128e-05,0.8917020760841201,5.0,5.0
unseen,12:30,3.5,413,413,0,-0.15774198556974126,-0.09034116537976515,-0.02444783153397467,-0.08933653715309674,0.9418886198547215,1.5198248904034095e-05,0.8747363201396019,5.0,5.0
unseen,13:00,3.0,413,413,0,-0.14444254487178762,-0.08305573383429089,-0.016428871747843722,-0.08369475903702617,0.9418886198547215,1.414505804773896e-05,0.8312719214937639,5.0,5.0
unseen,13:30,2.5,413,413,0,-0.13771947595653028,-0.0772345461725133,-0.01241502410736552,-0.0751581937086993,0.927360774818402,1.2753291384605787e-05,0.7718526211088611,5.0,5.0
unseen,14:00,2.0,413,413,0,-0.12141975486371151,-0.06547851383081453,-0.008594132664031617,-0.0635107020807447,0.9152542372881356,1.0967460412312054e-05,0.6299477289753279,5.0,5.0
unseen,14:30,1.5,413,413,0,-0.11235987182954203,-0.053404865083542676,-0.005309795261338761,-0.05491932645163082,0.9055690072639225,8.878886339730601e-06,0.5097208827431996,5.0,5.0
unseen,15:00,1.0,413,413,0,-0.09454420883263924,-0.047760852445033024,0.0062957351763527495,-0.04599589336029564,0.8837772397094431,7.846094547191457e-06,0.35008402893323665,5.0,5.0
unseen,15:30,0.5,413,413,0,-0.07545739842842984,-0.028580787052129804,0.01718521404936892,-0.029031534311599785,0.801452784503632,4.779957070022463e-06,0.18606936830824805,5.0,5.0
all,10:00,6.0,1279,1277,2,-0.17696368135696558,-0.09307863475124036,-0.015188471084215,-0.09458733355347834,0.9310884886452623,1.945641836675031e-05,0.9077159016190103,5.0,5.0
all,10:30,5.5,1279,1278,1,-0.15910602973788374,-0.08612855134973509,-0.013293200101917023,-0.0898081234406638,0.9413145539906104,1.7918065900132312e-05,0.9205471667712037,5.0,5.0
all,11:00,5.0,1279,1278,1,-0.15166687205453688,-0.08270793928629977,-0.016159053832432914,-0.08172293056597325,0.9444444444444444,1.7054138864965957e-05,0.9114862527311942,5.0,5.0
all,11:30,4.5,1279,1278,1,-0.14770864858539162,-0.07593650923288969,-0.013902213272045997,-0.07933774184140771,0.9405320813771518,1.6260455960448695e-05,0.8960028383606784,5.0,5.0
all,12:00,4.0,1279,1279,0,-0.14198854127066443,-0.07590594356243198,-0.01042064899049742,-0.07608473053180997,0.9421422986708365,1.5990328320200214e-05,0.8816131308989019,5.0,5.0
all,12:30,3.5,1279,1279,0,-0.1369649542477201,-0.07065137691956327,-0.012526323069719635,-0.07269929059351775,0.9382329945269742,1.5089384854073981e-05,0.8518421386007031,5.0,5.0
all,13:00,3.0,1279,1279,0,-0.13106175589290625,-0.06819568214996491,-0.01144753177333288,-0.06939304447797785,0.9397967161845192,1.4222148186420041e-05,0.8089867138054118,5.0,5.0
all,13:30,2.5,1279,1279,0,-0.12319398825121894,-0.06135181037344828,-0.01209804675446101,-0.06415295203971239,0.9390148553557467,1.2941466212868578e-05,0.7579007501615768,5.0,5.0
all,14:00,2.0,1279,1278,1,-0.11559139479387798,-0.055541654785652816,-0.007045078528698064,-0.05783839305279533,0.918622848200313,1.1656126644246747e-05,0.6414745464163417,5.0,5.0
all,14:30,1.5,1279,1277,2,-0.105084878192436,-0.04895357680755612,-0.001605271223259047,-0.05159959956609812,0.9060297572435395,1.0463456965521004e-05,0.5550957823330827,5.0,5.0
all,15:00,1.0,1279,1275,4,-0.09009022282328226,-0.04306216427122108,0.0006420169925324742,-0.04406119540137062,0.8949019607843137,9.293914557309628e-06,0.40723726402902516,5.0,5.0
all,15:30,0.5,1279,1274,5,-0.0744050992707848,-0.03263306068044489,0.007611582279886959,-0.033394171023460366,0.8508634222919937,7.095441171534597e-06,0.22946397449016498,5.0,5.0
