book,variant,causal,note,sample,unit,n,mean,sd,Sharpe_ann,t,hac_t,hac_lag,MaxDD,worst,worst_date,mean_cost_reported,mean_charged,Sharpe_ann_charged,mean_turnover,mean_abs_diff_vs_D0,sd_diff_vs_D0,mean_abs_diff_vs_D9,sd_diff_vs_D9,mean_choppy,Sharpe_choppy,n_choppy,mean_trend,Sharpe_trend,n_trend,n_cells,n_fallback_leg_vol_c,n_fallback_leg_vol_p,n_fallback_vendor_delta_c,n_fallback_vendor_delta_p,n_fallback_slope,n_fallback_v9
1100_exit_crossed,D1v_vendor_delta,True,"the chain's own per-leg delta column, summed",whole,index points per contract,865,0.6277179374415782,6.216839984410661,1.60285826252186,2.9696338408116496,3.0455424402382785,14,-162.25063702643675,-42.91942511633164,2022-10-13,0.4115943628008038,0.2161235746407745,0.54742225366404,2.002895987189611,0.4117478678502593,0.671893657463715,0.6340980340255664,0.9690775568698727,2.126369953779733,5.5838938889669,289,-1.0609327430776996,-2.7430751729073637,288,8650,56,109,70,119,12,0
1100_exit_crossed,D2_skew_sticky_delta,True,"D1 - b (phi(d1c) + phi(d1p)), b the local smile slope d(total vol)/d ln(K/S)",whole,index points per contract,865,0.7124746391718578,6.542538028252714,1.7287150973054173,3.202810238506761,3.307718932340415,14,-170.7968954978583,-36.93214982062514,2022-10-13,0.41850686071245397,0.2939677784594038,0.707564002357056,2.03725149632863,0.888398140652294,1.3737847576883557,0.9629207785670878,1.4754490284587831,1.9591403269877683,4.994541187786425,289,-0.5681237630160761,-1.3280192884602797,288,8650,56,109,70,119,12,0
1100_exit_crossed,D3_charm_half,True,D0's hourly volatility at a horizon 15 minutes shorter,whole,index points per contract,865,0.7512092232252904,6.185555811632612,1.927890893970489,3.571825515700773,3.513379721601862,14,-170.59723313500922,-39.0420022375986,2022-10-13,0.44101595237071867,0.31019327085457155,0.7898817773828336,2.1463569887018146,0.4230341461056949,0.5909848296687095,0.14585944378304683,0.24855754512467107,1.5186380016936087,3.8331096625062284,289,-0.006551311585446491,-0.01747513640175107,288,8650,56,109,70,119,12,0
1100_exit_crossed,D3_charm_full,True,D0's hourly volatility at a horizon 30 minutes shorter (control),whole,index points per contract,865,0.8020884492825495,6.2359159406178994,2.0418426930259046,3.782945317500289,3.661226432845796,14,-174.8391953550999,-42.69082504696487,2022-09-21,0.46345360780844,0.33863484147410955,0.8558417035207847,2.2561303335709972,0.9352949141108691,1.3288554287987742,0.605258582187897,0.9178954713925608,0.9519455000302837,2.344124967962343,289,0.6225384222331425,1.6787995888532903,288,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D1,True,"per-leg volatilities, each variance times V9's per-clock factor",whole,index points per contract,865,0.6593455412638562,6.167162928301223,1.6971800653146958,3.1443849239543784,3.1616454848451516,14,-164.84001605552652,-41.64026854329358,2022-10-13,0.4282876449042377,0.23105789635961854,0.5900378988008634,2.082550226177913,0.4306093825104349,0.6377014598489399,0.39200461533437503,0.6325901900255333,1.7428298972829086,4.4842991955490215,289,-0.5561516177415464,-1.475288937945349,288,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D3,True,V9's volatility at a horizon 15 minutes shorter,whole,index points per contract,865,0.7693234523346933,6.214796440551386,1.9650894945160888,3.640743788510027,3.544736124042026,14,-173.2216797694999,-40.01302538097718,2022-09-21,0.4557645611797478,0.3135588911549456,0.7949090674731124,2.216873971482196,0.7526969648095515,1.0449272964269503,0.4129492359323256,0.5811943141212756,1.1491200651571085,2.8527816950936438,289,0.4240913682342882,1.1459838267612792,288,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D1_D3,True,per-leg V9 volatilities at a horizon 15 minutes shorter,whole,index points per contract,865,0.7102414419927368,6.159089579792673,1.8305844089261747,3.3915446776038443,3.34847440008727,14,-167.8521887798821,-40.881653250199506,2022-10-13,0.4480011366642252,0.26224030532851167,0.670751070533899,2.178882462186088,0.6749696118831143,0.999528197379495,0.44708317462247427,0.6718945857981051,1.2771334002338592,3.2141299991777874,289,0.03342898656196872,0.09045395785680452,288,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D2_D3,True,D4_D9_D1_D3 plus the sticky-delta skew term at those volatilities,whole,index points per contract,865,0.7844527811668703,6.527356551095521,1.9077863677223286,3.534577629910741,3.5153437286882356,14,-176.82989144938688,-38.95888294860238,2022-09-21,0.4542409373192555,0.33021184384761487,0.7969363819496122,2.2100495709136245,1.176435869284899,1.6932864644973595,0.9770420851592799,1.457075285913608,1.099400953440012,2.6803790945845356,289,0.5058449618223043,1.2312669388411457,288,8650,56,109,70,119,12,0
1100_exit_crossed,D5_lastbar_1.25,False,"ALPHA, not a hedge: D0 with the last held interval's delta scaled by 1.25",whole,index points per contract,865,0.876717308229328,6.297968699835328,2.2098324824079354,4.09418192221093,3.9513154992453274,14,-169.56225028871125,-41.203309457892445,2022-10-13,0.47974281690840315,0.3969744913209249,0.9914908792971571,2.3349061900553414,0.948721792256668,1.527321847693665,0.8483551150170054,1.3382099444553783,1.400485953067412,3.352977973166048,289,0.4479529391752334,1.1593062967515788,288,8650,56,109,70,119,12,0
1100_exit_crossed,D5_lastbar_0.75,False,"ALPHA, not a hedge: D0 with the last held interval's delta scaled by 0.75",whole,index points per contract,865,0.5381870794225371,6.485182574400258,1.3173808027557794,2.440726485038052,2.5782874622253233,14,-174.26695999060135,-37.76336807019676,2022-10-13,0.3926549160763898,0.14553216334614727,0.35348333561826817,1.9098281149979086,0.948721792256668,1.527321847693665,1.1858235598223572,1.8305036739941687,2.5591590780483764,6.88631945755684,289,-1.5776218915207347,-3.894668253649399,288,8650,56,109,70,119,12,0
