book,variant,reference,sample,unit,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
1100_hold,D3_charm_full,D0_book,unseen,index points per contract,413,0.8727717022280618,11.68301676095562,1.5181709702952368,1.5348819255993489,11,0.4745762711864407,0.0
1100_hold,D4_D9_D1,D0_book,unseen,index points per contract,413,-0.013013946254603271,1.3517123995541027,-0.19565895829578644,-0.22302696354135196,11,0.47699757869249393,0.0
1100_hold,D4_D9_D3,D0_book,unseen,index points per contract,413,0.05638358370170133,1.5877641998804684,0.7216750587384726,0.8603576501617544,11,0.6246973365617433,0.0
1100_hold,D4_D9_D1_D3,D0_book,unseen,index points per contract,413,0.009130215115794293,1.626255363959075,0.11409517893930643,0.1217968922979598,11,0.5157384987893463,0.0
1100_hold,D4_D9_D2_D3,D0_book,unseen,index points per contract,413,0.09656034372294002,2.299389619211,0.853416946498128,0.996059906150144,11,0.5472154963680388,0.0
1100_hold,D5_lastbar_1.25,D0_book,unseen,index points per contract,413,-0.21325413833472467,2.9039478011078854,-1.4923946652251798,-1.5800800568449207,11,0.48426150121065376,0.0
1100_hold,D5_lastbar_0.75,D0_book,unseen,index points per contract,413,0.21325413833472454,2.903947801107885,1.492394665225179,1.5800800568449198,11,0.5157384987893463,0.0
1100_hold,D9_implied_bc,D0_book,unseen,premium units,413,0.0006405136060445638,0.012183563900282534,1.0683880949621927,1.1061953398688031,11,0.5157384987893463,0.0
1100_hold,D1_leg_vol,D0_book,unseen,premium units,413,-0.0028140003716130794,0.053333060054826,-1.0722663414675089,-1.2484468125239085,11,0.48426150121065376,0.0
1100_hold,D1v_vendor_delta,D0_book,unseen,premium units,413,-0.002403922380231255,0.05313120551717009,-0.9194874302034827,-1.0496100501732968,11,0.48668280871670705,0.0
1100_hold,D2_skew_sticky_delta,D0_book,unseen,premium units,413,-0.0008717695227715527,0.08474644192821423,-0.20905243684141353,-0.2460323930039548,11,0.5108958837772397,0.0
1100_hold,D3_charm_half,D0_book,unseen,premium units,413,0.004367622201005752,0.05299116326361195,1.6750070428637347,1.8024212716127874,11,0.6295399515738499,0.0
1100_hold,D3_charm_full,D0_book,unseen,premium units,413,0.03290752162672263,0.49057528236655257,1.3632155730187345,1.5413416394625017,11,0.4745762711864407,0.0
1100_hold,D4_D9_D1,D0_book,unseen,premium units,413,-0.0020366694819170233,0.0548070791529722,-0.7551946835578235,-0.8529115198320623,11,0.47699757869249393,0.0
1100_hold,D4_D9_D3,D0_book,unseen,premium units,413,0.005007576709696171,0.056787441961688966,1.7920508581659542,1.928361986403552,11,0.6246973365617433,0.0
1100_hold,D4_D9_D1_D3,D0_book,unseen,premium units,413,0.001815955948707185,0.0650938895729021,0.5669439330824075,0.5824397139992706,11,0.5157384987893463,0.0
1100_hold,D4_D9_D2_D3,D0_book,unseen,premium units,413,0.0035710697501406285,0.0930187471213949,0.7801944796411603,0.8699401411574526,11,0.5472154963680388,0.0
1100_hold,D5_lastbar_1.25,D0_book,unseen,premium units,413,-0.007380423055265926,0.12127450221289661,-1.2367638484341354,-1.4414382826024952,11,0.48426150121065376,0.0
1100_hold,D5_lastbar_0.75,D0_book,unseen,premium units,413,0.0073804230552659165,0.12127450221289658,1.2367638484341341,1.4414382826024932,11,0.5157384987893463,0.0
1100_hold,D0_book,D9_implied_bc,all,index points per contract,1278,-0.00957233541010965,0.3356664602091475,-1.01947219620883,-0.9642329791491328,16,0.48513302034428796,0.04929577464788732
1100_hold,D1_leg_vol,D9_implied_bc,all,index points per contract,1278,-0.08567613859867412,1.1997851361775063,-2.552829644160801,-3.407732804079783,16,0.5234741784037559,0.0
1100_hold,D1v_vendor_delta,D9_implied_bc,all,index points per contract,1278,-0.07263925552699825,1.130633566965136,-2.2967564066150166,-2.9372180245935096,16,0.525039123630673,0.0
1100_hold,D2_skew_sticky_delta,D9_implied_bc,all,index points per contract,1278,0.013264931097479846,1.7388718530377194,0.2727111204573428,0.3222172516269337,16,0.5211267605633803,0.0
1100_hold,D3_charm_half,D9_implied_bc,all,index points per contract,1278,0.05088772335947072,1.5153650495094506,1.2004972847106936,1.2411608484088543,16,0.5625978090766823,0.0
1100_hold,D3_charm_full,D9_implied_bc,all,index points per contract,1278,-0.006963627837412363,10.811750770667663,-0.023025281779634352,-0.02366135073835903,16,0.46557120500782473,0.0
1100_hold,D4_D9_D1,D9_implied_bc,all,index points per contract,1278,-0.07449945523727367,1.0686853875699585,-2.4921182913250868,-3.2861135099388266,16,0.49139280125195617,0.0
1100_hold,D4_D9_D3,D9_implied_bc,all,index points per contract,1278,0.062439582368118356,1.5143586436400407,1.4739972583859111,1.6318544187104078,16,0.5985915492957746,0.0
1100_hold,D4_D9_D1_D3,D9_implied_bc,all,index points per contract,1278,-0.006896387291012042,1.4977243330429422,-0.1646096092787067,-0.17473782144809605,16,0.4812206572769953,0.0
1100_hold,D4_D9_D2_D3,D9_implied_bc,all,index points per contract,1278,0.08122436480312319,2.0612780583181443,1.4086891522504943,1.474392131111373,16,0.554773082942097,0.0
1100_hold,D5_lastbar_1.25,D9_implied_bc,all,index points per contract,1278,0.007381962028190635,2.7791084667303183,0.09495803881861319,0.09518661473698935,16,0.5219092331768388,0.0
1100_hold,D5_lastbar_0.75,D9_implied_bc,all,index points per contract,1278,-0.026526632848409937,2.663030704292792,-0.35609951282288255,-0.39031728979697417,16,0.5391236306729265,0.0
1100_hold,D0_book,D9_implied_bc,all,premium units,1278,-0.0007124880379387156,0.016246637481902425,-1.5677597640027643,-1.663241445952684,16,0.48513302034428796,0.04929577464788732
1100_hold,D1_leg_vol,D9_implied_bc,all,premium units,1278,-0.005739761359400261,0.053073954239427214,-3.8661421445563255,-4.5505485841507625,16,0.5234741784037559,0.0
1100_hold,D1v_vendor_delta,D9_implied_bc,all,premium units,1278,-0.005496065458418003,0.05289907172423489,-3.7142340956556037,-4.320162306776889,16,0.525039123630673,0.0
