sample,day_set,block,family,param,rule,adoptable,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
whole,oos,walk_forward_selected,all_adoptable,,"all_adoptable: cell chosen on an expanding window, 5-day embargo",True,2000,3.3601343499169376,3.3725214506295966,0.012477235736178649,3.3601343499169376,3.3601343499169376,3.385083193245554,0.0,1.0
daily_era,full,fixed_rule,sign_model,0.0,exit if s>0 (block-diagonal ridge),True,2000,3.3493682064019694,2.97289662254237,0.26885458481352137,2.543895451443123,2.9609562690625726,3.421282674280896,0.911,0.08945527236381809
daily_era,full,fixed_rule,sign_model,0.0,exit if s>0 (baseline (HAR + calendar OLS)),True,2000,3.184321752561498,3.0464263252074657,0.26016767443289734,2.6566702807498745,3.021470489897478,3.5051951073681367,0.709,0.2913543228385807
daily_era,full,fixed_rule,sign_model,0.0,exit if s>0 (XGBoost),True,2000,3.5401788442007027,3.040385864348021,0.26106311783652014,2.6249740088896725,3.0361736068486214,3.487419552416731,0.966,0.034482758620689655
daily_era,full,fixed_rule,sign_model,0.0,exit if s>0 (LightGBM),True,2000,3.506313429057554,3.016667393832711,0.2590378126313403,2.6127963974131028,3.0037635824600253,3.470780812427854,0.9655,0.03498250874562719
daily_era,full,fixed_rule,margin_combined,-0.5,exit if s_comb > -0.50 x slice (combined C2_log_fit_weight),True,0,2.5131321677178398,,,,,,,
daily_era,full,fixed_rule,margin_combined,-0.25,exit if s_comb > -0.25 x slice (combined C2_log_fit_weight),True,0,2.5131321677178398,,,,,,,
daily_era,full,fixed_rule,margin_combined,0.0,"exit if s_comb > +0.00 x slice (combined C2_log_fit_weight) (= exit if s>0, combined)",True,2000,3.3493682064019694,2.9707208112448384,0.2593581886441849,2.560350265070376,2.965708106382265,3.4139941999186947,0.92,0.08045977011494253
daily_era,full,fixed_rule,margin_combined,0.25,exit if s_comb > +0.25 x slice (combined C2_log_fit_weight),True,2000,3.327297324650662,3.3340899554525376,0.008515523026069123,3.327297324650662,3.329292455881311,3.3482459054420364,0.0,1.0
daily_era,full,fixed_rule,margin_combined,0.5,exit if s_comb > +0.50 x slice (combined C2_log_fit_weight),True,0,3.3233348969887193,,,,,,,
daily_era,full,fixed_rule,sizing_combined,,"hold clip(1 - s_comb / slice, 0, 1) of the straddle into the last half hour (fractional straddle)",False,2000,3.3346773702952905,3.3254901831046193,0.039772682628212895,3.2700755934393313,3.3203404452701637,3.397512808510994,0.6275,0.3728135932033983
daily_era,oos,fixed_rule,sign_model,0.0,exit if s>0 (block-diagonal ridge),True,2000,3.3493682064019694,2.9639186441424794,0.2693144779857485,2.5330651358501695,2.9465520266346577,3.42837985496742,0.916,0.08445777111444278
daily_era,oos,fixed_rule,sign_model,0.0,exit if s>0 (baseline (HAR + calendar OLS)),True,2000,3.184321752561498,3.064177771880478,0.26014972522644536,2.6566860792825695,3.0546249779074612,3.5050422939638177,0.6885,0.3118440779610195
daily_era,oos,fixed_rule,sign_model,0.0,exit if s>0 (XGBoost),True,2000,3.5401788442007027,3.036450580747143,0.25520030633158297,2.642393560828297,3.025416854540202,3.4565348687523563,0.967,0.033483258370814596
daily_era,oos,fixed_rule,sign_model,0.0,exit if s>0 (LightGBM),True,2000,3.506313429057554,3.0150093955854818,0.26301652168756606,2.613620945852863,2.996818476963873,3.4763418540082935,0.9635,0.03698150924537731
daily_era,oos,fixed_rule,margin_combined,-0.5,exit if s_comb > -0.50 x slice (combined C2_log_fit_weight),True,0,2.5131321677178398,,,,,,,
daily_era,oos,fixed_rule,margin_combined,-0.25,exit if s_comb > -0.25 x slice (combined C2_log_fit_weight),True,0,2.5131321677178398,,,,,,,
daily_era,oos,fixed_rule,margin_combined,0.0,"exit if s_comb > +0.00 x slice (combined C2_log_fit_weight) (= exit if s>0, combined)",True,2000,3.3493682064019694,2.9752429802935447,0.2633932695856,2.571932877572875,2.956750283232504,3.4448029947686916,0.9115,0.08895552223888056
daily_era,oos,fixed_rule,margin_combined,0.25,exit if s_comb > +0.25 x slice (combined C2_log_fit_weight),True,2000,3.327297324650662,3.334181644408775,0.008598518753876126,3.327297324650662,3.327453383013401,3.3482459054420364,0.0,1.0
daily_era,oos,fixed_rule,margin_combined,0.5,exit if s_comb > +0.50 x slice (combined C2_log_fit_weight),True,0,3.3233348969887193,,,,,,,
daily_era,oos,fixed_rule,sizing_combined,,"hold clip(1 - s_comb / slice, 0, 1) of the straddle into the last half hour (fractional straddle)",False,2000,3.3346773702952905,3.325468329265291,0.04008968802525388,3.2683699257370455,3.320309997472251,3.3987808397832073,0.623,0.3773113443278361
daily_era,oos,walk_forward_selected,sign_model,,"sign_model: cell chosen on an expanding window, 5-day embargo",True,2000,3.2439489417064924,3.253791434690135,0.009864664168415091,3.2439489417064924,3.2439489417064924,3.263673376543452,0.0,1.0
daily_era,oos,walk_forward_selected,margin_combined,,"margin_combined: cell chosen on an expanding window, 5-day embargo",True,0,3.3233348969887193,,,,,,,
daily_era,oos,walk_forward_selected,all_adoptable,,"all_adoptable: cell chosen on an expanding window, 5-day embargo",True,2000,3.2439489417064924,3.2536040525591843,0.00986250849513856,3.2439489417064924,3.2439489417064924,3.263673376543452,0.0,1.0
