clock,treatment,period,unit,n,mean,sd,Sharpe_ann,t_hac,t_lag,MaxDD,worst,worst_date,max_abs_diff_vs_43
13:30,hold,deck in-sample,index points per contract,866,0.7983451428262665,7.5481790630095436,1.6789925284092098,2.7816746504886214,14,-192.19885736752235,-75.84721307472019,2020-03-13,8.881784197001252e-16
13:30,hold,unseen,index points per contract,413,1.1732598810196162,9.04236381787241,2.0597405264484365,3.2104319367411995,11,-92.66270041290448,-39.48886167739127,2025-04-16,0.0
13:30,hold,all,index points per contract,1279,0.9194083069184115,8.059326045936114,1.8109646287307026,4.121129763037136,16,-192.19885736752235,-75.84721307472019,2020-03-13,2.220446049250313e-16
11:00,hold,2020,premium,158,0.11481683478808742,0.3292222982298746,5.536261537681652,4.730386583832162,8,-1.6110674809272476,-1.2691628258951666,2020-07-13,2.7755575615628914e-17
11:00,hold,2021,premium,158,0.11798821505125595,0.4084725578547425,4.5853872235849185,3.851285013660071,8,-3.2999012412674986,-2.01918079038099,2021-06-14,8.881784197001252e-16
11:00,hold,2022,premium,218,0.06475986791001194,0.3553615762704944,2.8929155575930507,2.5605692130028403,9,-3.737086688112598,-1.2193181176819186,2022-11-08,4.163336342344337e-17
11:00,hold,2023,premium,248,0.0813374030491218,0.4131497985716648,3.125237502229712,3.5241321625829447,9,-3.1033215371942404,-2.3155480511407167,2023-11-30,0.0
11:00,hold,2024H1,premium,83,0.05704023868604953,0.4568123368690622,1.9821831519008628,1.4439122541805076,6,-2.0958885664165834,-2.0958885664165834,2024-04-04,2.7755575615628914e-17
11:00,hold,2024H2,premium,166,0.07282934470057081,0.44646609024198675,2.5895135837224132,2.0878851626520802,8,-4.333931655276377,-2.2661612535539413,2024-07-12,4.440892098500626e-16
11:00,hold,2025,premium,247,0.03357774604722527,0.4505299762733375,1.1831181538048208,1.0661196971584663,9,-6.199624623734404,-2.8723397757018025,2025-05-21,6.938893903907228e-17
11:00,hold,deck in-sample,premium,865,0.0876379940417609,0.3884203048544226,3.5817129239208407,7.117342213009679,14,-3.802020660136243,-2.3155480511407167,2023-11-30,0.0
11:00,hold,unseen,premium,413,0.04935441766091863,0.44877161890587364,1.745825846361192,2.1074460249074303,11,-6.319335687222404,-2.8723397757018025,2025-05-21,5.551115123125783e-17
11:00,hold,all,premium,1278,0.07526622796563581,0.4091138699712226,2.920493328661402,6.6484447966758164,16,-6.319335687222377,-2.8723397757018025,2025-05-21,8.881784197001252e-16
11:00,hold,2020,index points per contract,158,2.0526617270367127,6.866659418992823,4.745392591155539,3.699745355882967,8,-61.0009012562137,-27.661704688675655,2020-02-28,3.552713678800501e-15
11:00,hold,2021,index points per contract,158,1.493738879400143,5.379219700233577,4.408142985930997,4.396828022498813,8,-34.39719357455206,-15.758224862330788,2021-03-08,0.0
11:00,hold,2022,index points per contract,218,1.5849195873347983,9.578975071438682,2.6265668580510417,2.3406660146509273,9,-108.56379419456478,-38.65324899225731,2022-10-13,4.440892098500626e-16
11:00,hold,2023,index points per contract,248,1.2681577393838093,6.315917240605265,3.1874040211045105,3.447901912485817,9,-41.6096622894231,-29.963389980672364,2023-02-07,0.0
11:00,hold,2024H1,index points per contract,83,1.2131576853509045,6.545330098393979,2.9422933495740455,2.3047885698131294,6,-22.325974733822413,-22.325974733822413,2024-02-21,4.440892098500626e-16
11:00,hold,2024H2,index points per contract,166,1.1319713753535925,9.090878306648035,1.9766504287528843,1.6730497039279872,8,-86.21757168477052,-48.00720656939626,2024-07-25,1.7763568394002505e-15
11:00,hold,2025,index points per contract,247,0.12284914404546124,11.886279788460065,0.1640689718091607,0.1585609265436463,9,-187.56449549877462,-62.84087158842818,2025-04-09,2.842170943040401e-14
11:00,hold,deck in-sample,index points per contract,865,1.527212685673201,7.240275690494102,3.3484567202594455,6.22569478645877,14,-108.56379419456471,-38.65324899225731,2022-10-13,1.4210854715202004e-14
11:00,hold,unseen,index points per contract,413,0.528452752755267,10.849046588137846,0.7732409767508919,0.968293273087926,11,-215.68836455998223,-62.84087158842818,2025-04-09,0.0
11:00,hold,all,index points per contract,1278,1.2044522378679532,8.582559742286636,2.2277836797939696,4.912085259673719,16,-215.68836455998144,-62.84087158842818,2025-04-09,0.0
