construction,fill,n,mean_prem,t_prem,Sharpe_prem,mean_pts,t_pts,Sharpe_pts,maxDD_pts,worst_pts,crossings_per_day,premium_crossed_pts,half_spread_paid_pts,be_half_spread_pct_prem,realized_half_spread_pct_prem,be_half_spread_pts_per_crossing
12:00 hold+flat,crossed,866.0,-0.027194335999191358,-0.814946502051306,-0.43961289646029533,-0.325729670674125,-0.6059672660218562,-0.32688161039462144,-423.49132127314806,-113.82002258300781,1.3995381062355658,23.20291571116277,0.4064376488280661,-1.4038307716534892,1.7516662728405792,-0.2327408372968583
12:00 hold+flip,mid,866.0,0.012434487447360629,0.36516920722147467,0.1969860505943195,0.18413857656034188,0.33191691681899715,0.17904851032514035,-397.78291453421116,-111.62001991271973,1.7990762124711317,25.449566981621842,0.4950057779896927,0.7235430633979579,1.9450459740519606,0.10235173767731455
12:00 hold+flip,crossed,866.0,-0.019411815218206858,-0.5603114140571934,-0.3022531209514158,-0.3108671959231481,-0.5574988825457562,-0.3007359353189644,-452.56080151349306,-113.82002258300781,1.7990762124711317,25.449566981621842,0.4950057779896927,-1.2215028890182604,1.9450459740519606,-0.17279267757987563
12:00 (a) hold uncond,mid,866.0,0.00498961520179264,0.14080517115779437,0.0759556228212004,0.21674285942632662,0.37753452074610383,0.20365636733353987,-477.12900483608246,-111.62001991271973,1.0,16.936662817386775,0.25121247038830236,1.2797258926582842,1.483246570454326,0.21674285942632662
12:00 (a) hold uncond,crossed,866.0,-0.011338177476347555,-0.31479991540006336,-0.16981495382351522,-0.03446961096197573,-0.06000926535603722,-0.03237126227454025,-502.47900772094727,-113.82002258300781,1.0,16.936662817386775,0.25121247038830236,-0.2035206777960417,1.483246570454326,-0.03446961096197573
12:00 (b) close uncond,mid,866.0,0.009869911179835022,0.3663936063744685,0.1976465377020208,0.27759815413100475,0.6788158489027958,0.36617888505339585,-264.0999867990613,-85.8250000718981,2.0,33.59572748064255,0.6718822275836872,0.8262900521828361,1.9999037912508892,0.13879907706550237
12:00 (b) close uncond,crossed,866.0,-0.03131006569941038,-1.1323328726914728,-0.6108230818441703,-0.39428407345268246,-0.9516787057823596,-0.5133714069518508,-435.2500101737678,-87.45000009611249,2.0,33.59572748064255,0.6718822275836872,-1.173613739068053,1.9999037912508892,-0.19714203672634123
13:00 hold+flat,mid,866.0,-0.014849085163461884,-0.41793851956547634,-0.22545180900345757,-0.04809642578614983,-0.09995711926372912,-0.05392064216577089,-459.51683552376926,-96.07001972198486,1.3995381062355658,20.46333718593028,0.38972286305951676,-0.23503705846776002,1.9044931895442434,-0.034365927995714314
13:00 hold+flat,crossed,866.0,-0.044506665869102395,-1.2272648735883238,-0.6620329855323129,-0.43781928884566657,-0.9068439912286731,-0.4891858700150031,-633.8011058308184,-98.12001991271973,1.3995381062355658,20.46333718593028,0.38972286305951676,-2.139530248012003,1.9044931895442434,-0.3128312740431908
13:00 hold+flip,mid,866.0,0.00032044572242731387,0.008549806885715083,0.004612088474206073,0.055334172620250914,0.1098116567903977,0.059236551583715366,-477.5996961761266,-96.07001972198486,1.7990762124711317,22.709988456389354,0.4782909922211433,0.24365566158921975,2.1060820578558164,0.030756991969921238
13:00 hold+flip,crossed,866.0,-0.035251131668008966,-0.9212078226636425,-0.49693426273219377,-0.42295681409468966,-0.8363248047205387,-0.4511451596630578,-668.2010566107929,-98.12001991271973,1.7990762124711317,22.709988456389354,0.4782909922211433,-1.8624263720208658,2.1060820578558164,-0.23509666303337692
13:00 (a) hold uncond,mid,866.0,-0.027181460760402974,-0.6964771870166573,-0.3757060773096435,-0.11257752043132693,-0.21421182826320176,-0.11555394377643806,-542.5685538053513,-96.07001972198486,1.0,14.979734417988851,0.24445727457212796,-0.7515321519728343,1.6319199509876778,-0.11257752043132693
13:00 (a) hold uncond,crossed,866.0,-0.04639906317953239,-1.1662557024208515,-0.6291223363301081,-0.3570347950034549,-0.6792275428686333,-0.36640096831447067,-598.088231086731,-98.12001991271973,1.0,14.979734417988851,0.24445727457212796,-2.3834521029605122,1.6319199509876778,-0.3570347950034549
13:00 (b) close uncond,mid,866.0,-0.011011583484593688,-0.3836214298806022,-0.20693987581952267,0.07179562063719948,0.2008119125021966,0.1083255235486173,-389.3249976430088,-86.52500000037253,2.0,29.887673215340506,0.6262990621910118,0.24021816659969636,2.0955096024991002,0.03589781031859974
13:00 (b) close uncond,crossed,866.0,-0.05571421878648485,-1.8874533445064008,-1.0181635599681274,-0.5545034415538124,-1.5365884738843532,-0.8288938083315782,-665.099977619946,-88.14999990537763,2.0,29.887673215340506,0.6262990621910118,-1.8552914358994037,2.0955096024991002,-0.2772517207769062
14:00 hold+flat,mid,866.0,0.032026510217377666,0.9773320349583414,0.5272097807770234,0.48603182581767407,1.2074786930228736,0.6513595730734957,-289.8940514344722,-77.64003896713257,1.3995381062355658,17.343966512996747,0.5010681177401274,2.802310679356218,2.8890053343025697,0.3472801659720344
14:00 hold+flat,crossed,866.0,-0.00755135912217586,-0.22360952401218429,-0.12062341549987485,-0.01503629192245337,-0.037124535915014405,-0.020026375623753853,-375.8489788286388,-77.7900390625,1.3995381062355658,17.343966512996747,0.5010681177401274,-0.08669465494635199,2.8890053343025697,-0.01074375313931074
14:00 hold+flip,mid,866.0,0.05220040624766515,1.4678915891085627,0.7918361163014048,0.5894624242240748,1.3684046618155783,0.7381691134280675,-297.08789915032685,-77.64003896713257,1.7990762124711317,19.59061778345582,0.589636246901754,3.008901662722821,3.009788937844007,0.32764727816306083
14:00 hold+flip,crossed,866.0,0.005141148456441822,0.14015138248718462,0.07560294454055716,-0.00017381717147645445,-0.0004002880512379515,-0.000215930480320148,-385.0375962369144,-77.7900390625,1.7990762124711317,19.59061778345582,0.589636246901754,-0.0008872470148605636,3.009788937844007,-9.661467939576993e-05
14:00 (a) hold uncond,mid,866.0,0.0021002742021874387,0.05595217801196846,0.03018271626074781,0.12996682218398564,0.2912021628125191,0.1570854355804752,-447.929452419281,-77.64003896713257,1.0,12.918446880461987,0.37352770205595753,1.0060560947194745,2.8914288653451465,0.12996682218398564
14:00 (a) hold uncond,crossed,866.0,-0.02586010484353115,-0.670971445822785,-0.3619473180114792,-0.2435608798719719,-0.5441797946995163,-0.2935511167185331,-622.129441857338,-77.7900390625,1.0,12.918446880461987,0.37352770205595753,-1.8853727706256722,2.8914288653451465,-0.2435608798719719
14:00 (b) close uncond,mid,866.0,0.030607074123298668,1.2965118300242249,0.6993874069737462,0.5474018537230773,2.040822067104965,1.1008964365413259,-137.57500060647726,-69.72500219382346,2.0,25.289491907200897,0.7086604864188141,2.1645427109874467,2.802193452597721,0.27370092686153863
14:00 (b) close uncond,crossed,866.0,-0.025005579932982167,-1.0140924526418715,-0.5470397372861557,-0.16125863269573684,-0.5959376366277465,-0.3214712498160195,-279.9999772720039,-70.45000152662396,2.0,25.289491907200897,0.7086604864188141,-0.6376507416102744,2.802193452597721,-0.08062931634786842
15:00 hold+flat,mid,866.0,0.08980875667134658,3.366837882439837,1.816199406569687,0.536014233887901,1.696244413181459,0.9150182468497168,-224.97021782398224,-88.07001876831055,1.3995381062355658,12.411778291353986,0.35334873364003716,4.318593365958585,2.8468824156017916,0.3829936687680877
15:00 hold+flat,crossed,866.0,0.05128803788151277,1.8583333652011877,1.0024551442438978,0.18266550024786393,0.5694901736846864,0.30720449026903146,-328.3996647372842,-97.02001953125,1.3995381062355658,12.411778291353986,0.35334873364003716,1.4717109503567936,2.8468824156017916,0.13051841849393578
15:00 hold+flip,mid,866.0,0.11990019571318584,3.599654155921433,1.9417892901641478,0.6394448322943018,1.8434985879816597,0.9944527055986562,-267.489115357399,-88.07001876831055,1.7990762124711317,14.658429561813058,0.44191686280166376,4.3623010882429805,3.0147626724823877,0.3554295409286684
15:00 hold+flip,crossed,866.0,0.07172567464113737,2.0845075439948797,1.1244620313140923,0.19752797499884084,0.5617384848746964,0.30302293680307885,-360.72837302833796,-97.02001953125,1.7990762124711317,14.658429561813058,0.44191686280166376,1.3475384533239807,3.0147626724823877,0.10979411190564581
15:00 (a) hold uncond,mid,866.0,0.050896805548658434,1.388494109367285,0.7490061195435154,0.2986192222142605,0.8146663142053492,0.43946175256286896,-338.645120203495,-88.07001876831055,1.0,9.397661660959209,0.2454676710017559,3.17759069210607,2.6120079638694005,0.2986192222142605
15:00 (a) hold uncond,crossed,866.0,0.024380057945615173,0.6454172262973032,0.3481624076718407,0.05315155121250461,0.14370553342951423,0.07752018768017646,-464.96968430280685,-97.02001953125,1.0,9.397661660959209,0.2454676710017559,0.5655827282366696,2.6120079638694005,0.05315155121250461
15:00 (b) close uncond,mid,866.0,0.05983996973164023,4.643784380902331,2.5050325353712974,0.540675519735447,4.537090124489412,2.4474776271910694,-53.100003108382225,-26.300000563263893,2.0,18.25464780218297,0.523123551022442,2.961851280805268,2.865700596863253,0.2703377598677235
15:00 (b) close uncond,crossed,866.0,0.0040550341627110485,0.29867684008919754,0.16111755857190524,0.017551968713004924,0.14302575933343029,0.07715349188043263,-134.0999939739704,-27.84999829530716,2.0,18.25464780218297,0.523123551022442,0.09615068394201494,2.865700596863253,0.008775984356502462
(c) close sign(s),mid,866.0,0.0947363520468904,2.480956577175688,1.3383216004229939,0.2271478125012499,0.8455553503282951,0.45612446429265074,-273.10981446504593,-78.3700180053711,1.0,6.8056004576161335,0.23204388071978616,3.3376601214819956,3.409601873705447,0.2271478125012499
(c) close sign(s),crossed,866.0,0.06136656537073233,1.6120260449056047,0.8695876808926679,-0.004896060079680304,-0.01795071856513384,-0.009683294991878219,-326.66972303390503,-85.22001838684082,1.0,6.8056004576161335,0.23204388071978616,-0.07194163263288741,3.409601873705447,-0.004896060079680304
(d) close always short,mid,866.0,0.014475039184953117,0.37776209246887144,0.20377912810856805,0.020286615688448414,0.07548577306217465,0.04071987456094137,-329.2190940082073,-78.3700180053711,1.0,6.8056004576161335,0.23204388071978616,0.29808708011569657,3.409601873705447,0.020286615688448414
(d) close always short,crossed,866.0,-0.020279857116367168,-0.5096893780366657,-0.27494568442191886,-0.2117572679048873,-0.7758468986666884,-0.41852109491124306,-439.1690952181816,-85.22001838684082,1.0,6.8056004576161335,0.23204388071978616,-3.111514835813057,3.409601873705447,-0.2117572679048873
