arm,bar_end,sample,n,QLIKE_clock,QLIKE_pooled,diff,pct,ci_lo,ci_hi,improves,worse
blk2_clockhar_a1000,12:30,whole,5622,0.1491181324911151,0.1488677548035939,0.0002503776875212157,0.16818799198761827,-0.0004045345434627995,0.000940537524170499,False,False
blk2_clockhar_a1000,12:30,deck period,1082,0.15156837415743216,0.15101278767288273,0.0005555864845494336,0.36790691246155965,-0.0005698740110170261,0.0018956291977904724,False,False
blk2_clockhar_a1000,13:00,whole,5622,0.16010273397238797,0.16119160198905394,-0.0010888680166659533,-0.6755116291603673,-0.0020493296580583746,-0.000175536326399188,True,False
blk2_clockhar_a1000,13:00,deck period,1082,0.19585791722821663,0.19686883148308124,-0.0010109142548646226,-0.513496345383398,-0.002900340120877514,0.0013771480959976457,False,False
blk2_clockhar_a1000,13:30,whole,5622,0.18403188016646518,0.18409138505197287,-5.950488550771097e-05,-0.032323557938852755,-0.0016530903044469733,0.0021235932144910556,False,False
blk2_clockhar_a1000,13:30,deck period,1082,0.20314146610197537,0.2024496582743302,0.0006918078276451906,0.3417184467200995,-0.0020878375880417576,0.004807327838292265,False,False
blk2_clockhar_a1000,14:00,whole,5622,0.1452094669888484,0.14617905328346037,-0.0009695862946120053,-0.663286751988912,-0.0015624778545896712,-0.00041157577054134163,True,False
blk2_clockhar_a1000,14:00,deck period,1082,0.19793936932890077,0.19979325599274578,-0.0018538866638449969,-0.9279025233525946,-0.003703213757074825,9.65747638330207e-05,False,False
blk2_clockhar_a1000,14:30,whole,5622,0.39918224715635126,0.4059279805138225,-0.006745733357471239,-1.6618054633564574,-0.012602932164594193,-0.0017347225526278232,True,False
blk2_clockhar_a1000,14:30,deck period,1082,0.5036307418301403,0.5133870662614362,-0.009756324431295775,-1.9003837596343895,-0.01933792205575686,-0.0016050786232743475,True,False
blk2_clockhar_a1000,15:00,whole,5622,0.18312431567291876,0.18956252833370155,-0.0064382126607828195,-3.3963530226021974,-0.009528025793790501,-0.004236527493972082,True,False
blk2_clockhar_a1000,15:00,deck period,1082,0.2592093707449343,0.27153545836288573,-0.012326087617951436,-4.539402585675787,-0.018735423481324114,-0.006880905704641269,True,False
blk2_clockhar_a1000,15:30,whole,5622,0.12395996448588004,0.12493957503590758,-0.0009796105500275336,-0.7840674580059952,-0.0019244363942113225,-0.0001221004399438088,True,False
blk2_clockhar_a1000,15:30,deck period,1082,0.12758867978337837,0.1282477371507129,-0.0006590573673344815,-0.5138939539806282,-0.0021769780268669444,0.0008075348723949013,False,False
blk2_clockhar_a1000,16:00,whole,5622,0.10973548779587777,0.11463094242132627,-0.0048954546254484825,-4.270622331146183,-0.006318179633070044,-0.003511197178840832,True,False
blk2_clockhar_a1000,16:00,deck period,1082,0.11253952911533677,0.11477190605551237,-0.002232376940175626,-1.9450552115914848,-0.0052512621899362625,-7.67247507351241e-05,True,False
