sample,window,model,n_days,QLIKE,d_vs_P,ci_lo,ci_hi,t_hac,improves,bias_mean_y_over_mean_f
deck,250,C,1087,0.18055235116687363,-0.0019093547301445397,-0.004767572186087653,0.0008896321575917961,-1.3108718840583624,False,0.9266087842685258
deck,250,S10,1087,0.17878996426061944,-0.0036717416363987072,-0.0063214137524109735,-0.0011371732050237614,-2.7419383988067305,True,0.9311893436475285
deck,250,S30,1087,0.17864183085615606,-0.0038198750408621027,-0.006452759383642706,-0.001257784906702579,-2.9249073577657763,True,0.9337873863921672
deck,250,S100,1087,0.17905495102016208,-0.0034067548768560935,-0.005958242793400132,-0.0009997051844972053,-2.689530907699431,True,0.936157444507016
deck,250,S300,1087,0.17981059346821057,-0.0026511124288075417,-0.005096430614715395,-0.0003043675015869215,-2.162093057952427,True,0.9366253373805669
deck,250,S1000,1087,0.18054483463661886,-0.0019168712603992847,-0.004112129125873274,0.0004091808352724365,-1.670269420510714,False,0.9371990708339146
deck,250,CP0,1087,0.18144540384543145,-0.0010163020515867234,-0.004454047734534854,0.0025674566998319824,-0.5644566301939126,False,0.9165422703420532
deck,250,CP10,1087,0.1801540989359353,-0.0023076069610828576,-0.005839991812872343,0.0011318889131422135,-1.2635129613878773,False,0.9339965684520678
deck,250,CP30,1087,0.18162569457057906,-0.0008360113264390939,-0.004925944890666455,0.0032690164004349335,-0.38923084161041416,False,0.9533677373965532
deck,250,CP100,1087,0.19179253397066431,0.00933082807364617,0.0033285281042546608,0.015424103654384848,2.873066707244107,False,0.9911258311506614
deck,250,CP300,1087,0.2174350744549668,0.034973368557948636,0.024820681481217785,0.04544575864085701,6.43321645742034,False,1.0580158198877618
deck,250,CP1000,1087,0.28806361820271537,0.10560191230569725,0.07717981369840843,0.14089989315553897,6.414670565438906,False,1.1683867938151182
deck,250,C+clock smear,1087,0.17990193150891737,-0.0025597743881007606,-0.006275050004351946,0.0008845970044894211,-1.4196388151073545,False,0.9351861193294703
deck,250,D+clock smear,1087,0.17945353433755712,-0.003008171559460992,-0.006022381832141863,-7.45327241906464e-05,-2.1468128072583483,True,0.9271036726734442
deck,250,Ssel,1087,0.17939444028281445,-0.0030672656142037183,-0.005729640980601309,-0.0005418250488828034,-2.369191302032515,True,0.9313506268297017
deck,250,CPsel,1087,0.17986299376796738,-0.002598712129050756,-0.005409433889245428,6.055846030228749e-05,-1.843574453896475,False,0.9361355048935057
deck,250,Csel+clock smear,1087,0.1795540744697121,-0.002907631427306049,-0.0060736677906285666,0.0001045392871651954,-1.8834889818603022,False,0.9429843389205183
deck,1000,P,1087,0.18279527453603794,0.0,0.0,0.0,,False,0.9354176106568713
deck,1000,D,1087,0.18315946743087805,0.0003641928948400769,-0.0023502676546185643,0.0032738036798022714,0.2608669729700543,False,0.9207021425625606
deck,1000,C,1087,0.18023527435501793,-0.002560000181019992,-0.005005455335530998,-0.00012145444803843757,-2.0704567533838945,True,0.9351694057650061
deck,1000,S10,1087,0.1799659524021086,-0.002829322133929362,-0.005208052819326538,-0.00048411879874991003,-2.364265358054816,True,0.936165351443983
deck,1000,S30,1087,0.17989922510474923,-0.002896049431288707,-0.005238205704071961,-0.0005896608310434268,-2.4598756586758257,True,0.9365804028183284
deck,1000,S100,1087,0.18005447146344594,-0.002740803072591997,-0.004996318678378937,-0.0004808184876501022,-2.383795661686523,True,0.9366942217431973
deck,1000,S300,1087,0.18043549689136842,-0.0023597776446695282,-0.0044875446771899105,-0.00019502062313593723,-2.1535576208015135,True,0.9363362861102369
deck,1000,S1000,1087,0.1810432526323243,-0.001752021903713616,-0.003821406894192862,0.0003431115563065001,-1.6791532503953566,False,0.9352518697966646
deck,1000,CP0,1087,0.17967382207883204,-0.0031214524572059045,-0.00600882005514187,-0.00032970729568990804,-2.1873907135874227,True,0.9305811993256892
deck,1000,CP10,1087,0.17985853488039621,-0.0029367396556417413,-0.005858768359016705,-0.00015318974334156693,-2.024618903643525,True,0.9335327942079876
deck,1000,CP30,1087,0.18043418609372447,-0.0023610884423134536,-0.005301901981204201,0.0005648320285916429,-1.5410832682671496,False,0.9387512828741104
deck,1000,CP100,1087,0.18318401335524387,0.0003887388192059601,-0.0031485428288703437,0.004098399414814884,0.20015507006086233,False,0.9535399720670477
deck,1000,CP300,1087,0.1916356103557559,0.008840335819717968,0.003380427793257455,0.01444626160395506,2.932712448571982,False,0.9843940930105276
deck,1000,CP1000,1087,0.21306158357599178,0.030266309039953868,0.0211537762500549,0.03989464568126655,5.930350079904757,False,1.0623094399782613
deck,1000,C+clock smear,1087,0.17729041678319435,-0.005504857752843594,-0.008563227054297254,-0.0022727912434139645,-3.5796195456408304,True,0.9381558949509513
deck,1000,D+clock smear,1087,0.17912510448288887,-0.003670170053149062,-0.0066819488082079555,-0.0007846645279784502,-2.5310988326205126,True,0.9253454406587022
