stage,forecast,window,n_days,hit_10:00,hit_13:00,hit_15:00,hit_15:30,hit_all_clocks,pct_buy_1530,Sharpe_mid_1530
second,a0 | production,-,738,0.6436314363143631,0.6436314363143631,0.7073170731707317,0.6991869918699187,0.6479223125564589,31.16531165311653,1.0992792789246517
second,a0 | pooled,250,738,0.6327913279132791,0.6178861788617886,0.7032520325203252,0.6666666666666666,0.625903342366757,33.06233062330624,0.5071553234551048
second,a0 | per clock,250,738,0.5867208672086721,0.6327913279132791,0.6761517615176151,0.6260162601626016,0.6264679313459801,44.986449864498645,0.8830574989903255
second,a0 | clock intercept,250,738,0.5826558265582655,0.6233062330623306,0.6544715447154471,0.6233062330623306,0.6227416440831075,46.883468834688344,0.8787439757231453
second,a0 | per clock+clock smear,250,738,0.6029810298102981,0.6531165311653117,0.7140921409214093,0.6639566395663956,0.6266937669376694,36.856368563685635,1.045129016195156
second,a0 | pooled,expanding,738,0.6178861788617886,0.6192411924119241,0.6951219512195121,0.6720867208672087,0.6279358626919602,34.417344173441734,0.5766956738345661
second,a0 | per clock,expanding,738,0.5677506775067751,0.6368563685636857,0.6341463414634146,0.6246612466124661,0.6233062330623306,46.476964769647694,0.919439093531107
second,a0 | clock intercept,expanding,738,0.5785907859078591,0.6314363143631436,0.6355013550135501,0.6287262872628726,0.6244354110207768,46.070460704607044,0.814982171550965
second,a0 | per clock+clock smear,expanding,738,0.6097560975609756,0.6571815718157181,0.7005420054200542,0.6775067750677507,0.6290650406504065,36.58536585365854,0.7461116141817393
second,xgb | production,-,738,0.6436314363143631,0.6355013550135501,0.7073170731707317,0.6897018970189702,0.6411472448057814,31.300813008130078,1.5200724462949478
second,xgb | pooled,250,738,0.6449864498644986,0.6233062330623306,0.6951219512195121,0.6639566395663956,0.6299683830171635,33.06233062330624,1.3509709074328233
second,xgb | per clock,250,738,0.5677506775067751,0.6436314363143631,0.6964769647696477,0.6355013550135501,0.631323396567299,47.018970189701896,0.842038514005902
second,xgb | clock intercept,250,738,0.5785907859078591,0.6327913279132791,0.6720867208672087,0.6327913279132791,0.628613369467028,46.7479674796748,0.7700826752498722
second,xgb | per clock+clock smear,250,738,0.6097560975609756,0.6571815718157181,0.7317073170731707,0.6883468834688347,0.63403342366757,34.959349593495936,1.157088766954669
second,xgb | pooled,expanding,738,0.6422764227642277,0.6233062330623306,0.7046070460704607,0.6788617886178862,0.6342592592592593,34.010840108401084,1.2791943022657055
second,xgb | per clock,expanding,738,0.575880758807588,0.6422764227642277,0.6598915989159891,0.6341463414634146,0.6306458897922312,47.96747967479675,0.8911582433054491
second,xgb | clock intercept,expanding,738,0.575880758807588,0.6449864498644986,0.6612466124661247,0.6368563685636857,0.6324525745257452,46.883468834688344,0.9173475740319601
second,xgb | per clock+clock smear,expanding,738,0.6016260162601627,0.6544715447154471,0.7127371273712737,0.6842818428184282,0.633130081300813,37.262872628726285,1.1809981577086186
second,lgbm | production,-,738,0.6436314363143631,0.6382113821138211,0.7140921409214093,0.6910569105691057,0.644873532068654,32.52032520325203,1.524740463137798
second,lgbm | pooled,250,738,0.6314363143631436,0.6409214092140921,0.7046070460704607,0.6775067750677507,0.6364046973803071,33.87533875338754,1.428961759304537
second,lgbm | per clock,250,738,0.5745257452574526,0.6449864498644986,0.7046070460704607,0.6355013550135501,0.635840108401084,45.66395663956639,0.8562959720751319
second,lgbm | clock intercept,250,738,0.5799457994579946,0.6395663956639567,0.6775067750677507,0.6138211382113821,0.6335817524841915,47.5609756097561,0.7820446181975019
second,lgbm | per clock+clock smear,250,738,0.6029810298102981,0.6626016260162602,0.7439024390243902,0.6693766937669376,0.6369692863595302,34.68834688346883,1.4618057149455466
second,lgbm | pooled,expanding,738,0.6273712737127372,0.6355013550135501,0.7140921409214093,0.6869918699186992,0.6387759710930443,33.739837398373986,1.3662322877827464
second,lgbm | per clock,expanding,738,0.5813008130081301,0.6490514905149052,0.6666666666666666,0.6260162601626016,0.6370822041553749,47.425474254742554,0.9037255020598886
second,lgbm | clock intercept,expanding,738,0.5785907859078591,0.6517615176151762,0.6585365853658537,0.6300813008130082,0.6352755194218609,47.289972899729,1.1580022530967118
second,lgbm | per clock+clock smear,expanding,738,0.5948509485094851,0.6558265582655827,0.7303523035230353,0.6775067750677507,0.6360659439927733,36.856368563685635,1.2494828858154028
