tag,measure,edges,bins,bin,n_buys,hit,mean_crossed,share_long_pnl,rho_hit,rho_mean
sub_live_ridge,qlike_ewm42,trailing252,5,3,38,0.39473684210526316,-0.02591104330600451,-0.03611058210513975,,
sub_live_ridge,qlike_ewm42,trailing252,5,4,33,0.42424242424242425,0.2686501790567054,0.32513750352050974,,
sub_live_ridge,qlike_ewm42,trailing252,5,5,97,0.422680412371134,0.07987919224038537,0.28416552710635495,,
sub_live_ridge,qlike_ewm63,expanding,3,1,173,0.3988439306358382,0.08535022268340291,0.573577569953905,0.5,0.5
sub_live_ridge,qlike_ewm63,expanding,3,2,77,0.37662337662337664,-0.0313568215363407,-0.093791645967655,,
sub_live_ridge,qlike_ewm63,expanding,3,3,47,0.48936170212765956,0.284933060729922,0.5202140760137499,,
sub_live_ridge,qlike_ewm63,expanding,5,1,144,0.4027777777777778,0.06958897243402545,0.38926406515984724,0.6,0.7
sub_live_ridge,qlike_ewm63,expanding,5,2,54,0.4074074074074074,0.12717698942988712,0.26677412114686844,,
sub_live_ridge,qlike_ewm63,expanding,5,3,47,0.3404255319148936,-0.08182807269165163,-0.14939689735626124,,
sub_live_ridge,qlike_ewm63,expanding,5,4,43,0.4883720930232558,0.15862179926845318,0.2649553696233266,,
sub_live_ridge,qlike_ewm63,expanding,5,5,9,0.4444444444444444,0.6533088564985979,0.22840334142621918,,
sub_live_ridge,qlike_ewm63,trailing252,3,1,151,0.3973509933774834,0.05773607831040564,0.2891616676888009,0.5,0.5
sub_live_ridge,qlike_ewm63,trailing252,3,2,38,0.39473684210526316,0.13259537140359812,0.16712000997654233,,
sub_live_ridge,qlike_ewm63,trailing252,3,3,125,0.44,0.13114370925003818,0.5437183223346567,,
sub_live_ridge,qlike_ewm63,trailing252,5,1,120,0.4083333333333333,0.11024307837016663,0.43878226934930864,0.49999999999999994,0.09999999999999999
sub_live_ridge,qlike_ewm63,trailing252,5,2,40,0.4,-0.054397109516569606,-0.07216926907519558,,
sub_live_ridge,qlike_ewm63,trailing252,5,3,19,0.2631578947368421,-0.07475619730177034,-0.04711045456048705,,
sub_live_ridge,qlike_ewm63,trailing252,5,4,46,0.4782608695652174,0.29567318092901074,0.45111395024082473,,
sub_live_ridge,qlike_ewm63,trailing252,5,5,89,0.42696629213483145,0.077706202210165,0.22938350404554916,,
blk2,qlike_box63,expanding,3,1,123,0.3902439024390244,0.04954749489327496,0.2849047706767031,1.0,0.5
blk2,qlike_box63,expanding,3,2,73,0.410958904109589,0.12574495821262158,0.42912750289779467,,
blk2,qlike_box63,expanding,3,3,89,0.42696629213483145,0.06873122864128421,0.285967726425502,,
blk2,qlike_box63,expanding,5,1,85,0.36470588235294116,-0.14444222851264385,-0.5739657985598597,0.49999999999999994,0.39999999999999997
blk2,qlike_box63,expanding,5,2,48,0.4791666666666667,0.4939975576097389,1.1085082956587338,,
blk2,qlike_box63,expanding,5,3,39,0.3076923076923077,-0.09219439962749118,-0.1680900692142364,,
blk2,qlike_box63,expanding,5,4,90,0.4222222222222222,0.046271641906576316,0.19468403025376724,,
blk2,qlike_box63,expanding,5,5,23,0.5217391304347826,0.4081584192459147,0.438863541861595,,
blk2,qlike_box63,trailing252,3,1,123,0.3902439024390244,0.028568958288713885,0.14011506731333012,0.5,0.5
blk2,qlike_box63,trailing252,3,2,55,0.45454545454545453,0.1978104884084368,0.4338077716480869,,
blk2,qlike_box63,trailing252,3,3,126,0.42063492063492064,0.08480713402724557,0.426077161038583,,
blk2,qlike_box63,trailing252,5,1,82,0.3902439024390244,-0.051517259920288785,-0.16844259816504362,0.39999999999999997,0.39999999999999997
blk2,qlike_box63,trailing252,5,2,52,0.40384615384615385,0.2159455605775172,0.44774727069036807,,
blk2,qlike_box63,trailing252,5,3,35,0.42857142857142855,0.09757514278396366,0.13617348843674573,,
blk2,qlike_box63,trailing252,5,4,30,0.36666666666666664,0.10762120976883803,0.1287373151973409,,
blk2,qlike_box63,trailing252,5,5,105,0.44761904761904764,0.10886416659369223,0.45578452384058876,,
blk2,qlike_ewm21,expanding,3,1,130,0.4461538461538462,0.18451946899341312,0.9426987534496855,0.5,0.5
blk2,qlike_ewm21,expanding,3,2,104,0.3269230769230769,-0.13806811888272805,-0.5643053029446425,,
blk2,qlike_ewm21,expanding,3,3,69,0.4927536231884058,0.22923403903841608,0.6216065494949572,,
blk2,qlike_ewm21,expanding,5,1,100,0.42,0.056471646240852706,0.2219309298025842,0.35909242322980395,0.19999999999999998
blk2,qlike_ewm21,expanding,5,2,44,0.5,0.3791482447282155,0.6556153460753656,,
blk2,qlike_ewm21,expanding,5,3,57,0.2982456140350877,-0.10666611942765714,-0.23893993187959015,,
blk2,qlike_ewm21,expanding,5,4,84,0.42857142857142855,0.008659664171312254,0.028586943313489002,,
blk2,qlike_ewm21,expanding,5,5,18,0.5,0.470470273547232,0.33280671268815154,,
blk2,qlike_ewm21,trailing252,3,1,113,0.45132743362831856,0.1937587524130903,1.0205657385480813,-0.5,-0.5
blk2,qlike_ewm21,trailing252,3,2,64,0.328125,-0.09952597149830116,-0.29690506820413276,,
blk2,qlike_ewm21,trailing252,3,3,155,0.4129032258064516,0.03824809329097239,0.27633932965605124,,
blk2,qlike_ewm21,trailing252,5,1,87,0.41379310344827586,0.019940463650631818,0.0917256257311463,-0.49999999999999994,-0.49999999999999994
blk2,qlike_ewm21,trailing252,5,2,38,0.5263157894736842,0.5136132819997248,1.0319437401403373,,
