,cell  sign(c * rv_hat - iv) | mid,cell  sign(c * rv_hat - iv) | crossed,T0    sign(rv_hat - iv) | mid,T0    sign(rv_hat - iv) | crossed,always short | mid,always short | crossed,c
2021-04-14,-0.26015615463256836,-0.41015625,-0.26015615463256836,-0.41015625,0.26015615463256836,0.11015629768371582,1.0761665433370677
2021-04-16,4.174999952316284,4.049999952316284,4.174999952316284,4.049999952316284,4.174999952316284,4.049999952316284,1.0886542913312756
2021-04-19,1.7652344703674316,1.5902342796325684,1.7652344703674316,1.5902342796325684,1.7652344703674316,1.5902342796325684,1.0967911903525467
2021-04-21,-4.969921827316284,-5.0199220180511475,-4.969921827316284,-5.0199220180511475,-4.969921827316284,-5.0199220180511475,1.0951976702035795
2021-04-23,-0.6800780296325684,-0.7800780534744263,-0.6800780296325684,-0.7800780534744263,-0.6800780296325684,-0.7800780534744263,1.1054750261365573
2021-04-26,-3.975000023841858,-4.199999928474426,3.975000023841858,3.7499999403953552,3.975000023841858,3.7499999403953552,1.1177991799892812
2021-04-28,2.019824266433716,1.8698241710662842,2.019824266433716,1.8698241710662842,-2.019824266433716,-2.1698243618011475,1.125546127581399
2021-04-30,1.7699217796325684,1.6199219226837158,1.7699217796325684,1.6199219226837158,1.7699217796325684,1.6199219226837158,1.1047818175849982
2021-05-03,0.9601562023162842,0.8101562261581421,0.9601562023162842,0.8101562261581421,0.9601562023162842,0.8101562261581421,1.1100805663527158
2021-05-05,5.9750001430511475,5.75,5.9750001430511475,5.75,5.9750001430511475,5.75,1.1262921278613387
2021-05-07,2.2000977993011475,2.050097703933716,2.2000977993011475,2.050097703933716,2.2000977993011475,2.050097703933716,1.1298334268960224
2021-05-10,-5.9198243618011475,-6.119824171066284,-5.9198243618011475,-6.119824171066284,-5.9198243618011475,-6.119824171066284,1.134474348221234
2021-05-12,8.590039253234863,8.340039253234863,8.590039253234863,8.340039253234863,8.590039253234863,8.340039253234863,1.131388303232244
2021-05-14,5.000097751617432,4.800097703933716,5.000097751617432,4.800097703933716,5.000097751617432,4.800097703933716,1.0807303906112353
2021-05-17,1.9599609375,1.8099608421325684,1.9599609375,1.8099608421325684,1.9599609375,1.8099608421325684,1.084490327052145
2021-05-19,1.6698243618011475,1.31982421875,1.6698243618011475,1.31982421875,1.6698243618011475,1.31982421875,1.0985590866943353
2021-05-21,-3.9901368618011475,-4.14013671875,-3.9901368618011475,-4.14013671875,-3.9901368618011475,-4.14013671875,1.065468285868313
2021-05-24,-4.725195288658142,-4.850195407867432,-4.725195288658142,-4.850195407867432,-4.725195288658142,-4.850195407867432,1.0681878710868236
2021-05-26,3.3249999284744263,3.200000047683716,3.3249999284744263,3.200000047683716,3.3249999284744263,3.200000047683716,1.0597356642711826
2021-05-28,3.540136694908142,3.39013671875,3.540136694908142,3.39013671875,-3.540136694908142,-3.6901367902755737,1.0500742952860813
2021-06-01,-2.950000047683716,-3.0999999046325684,-2.950000047683716,-3.0999999046325684,2.950000047683716,2.799999952316284,1.058162959247906
2021-06-02,0.8451172113418579,0.7701171636581421,0.8451172113418579,0.7701171636581421,-0.8451172113418579,-0.9201172590255737,1.0587068054043254
2021-06-04,2.324999988079071,2.1999999284744263,2.324999988079071,2.1999999284744263,2.324999988079071,2.1999999284744263,1.0483151866280456
2021-06-07,2.200000047683716,2.049999952316284,2.200000047683716,2.049999952316284,2.200000047683716,2.049999952316284,1.0460142466676259
2021-06-09,-2.4248046875,-2.649804711341858,-2.4248046875,-2.649804711341858,2.4248046875,2.199804663658142,1.0423124416353127
