entry,flatten,forecast,signal,form,direction,sample,n_days,n_active,mean_fraction,mean_pts,Sharpe_pts,Sharpe_units,hold_Sharpe_pts,flat_Sharpe_pts,G_on_active_pts,G_mid_on_active_pts,G_on_idle_pts,d_hold_mean,d_hold_t_hac,d_hold_ci_lo,d_hold_ci_hi,d_flat_mean,d_flat_t_hac,d_flat_ci_lo,d_flat_ci_hi,d_hold_costed_mean,d_hold_units_mean,placebo_p_sharpe,placebo_p_mean,placebo_q50_sharpe,passes
11:00,15:00,a0,fresh,sign,reverse,whole,865,665,0.7687861271676301,0.6681875964226645,1.7791690693690685,2.088307955517184,3.3484567202594455,1.1540018418093854,-1.11737849955145,-0.690198066311746,-1.1000394803872553,-0.8590250892505363,-5.497770072851444,-1.1797078047609266,-0.5611619679838556,0.25434438852884517,3.8756269523288567,0.1328070520887752,0.3808276468223365,-0.7733789826048275,-0.04522515888528325,0.42478760619690153,0.5177411294352824,1.745940817678777,False
11:00,15:00,a0,fresh,sign,reverse,era,489,328,0.6707566462167689,1.0000779458197715,2.453688132629973,2.4349720014898897,3.5157903705787863,1.7265022302998174,-1.0015274988240424,-0.6846067908222921,-1.0123014602563742,-0.6717812262050836,-3.629720090522765,-1.0823585681721857,-0.29246361097413476,0.33329352781447086,3.8241266994544376,0.17251328209945924,0.4868991040872413,-0.592501971590917,-0.030722517302810684,0.3823088455772114,0.47976011994003,2.375415239944935,False
11:00,15:00,a0,fresh,scaled,rule,whole,865,196,0.0989714258743882,1.4088018430508018,3.119413367428997,3.413415047535977,3.3484567202594455,1.1540018418093854,-1.0525098100526407,-0.7249587917865193,-1.1311998139145703,-0.11841084262239916,-2.8381587264169923,-0.20500605076856138,-0.04683459240206576,0.9949586351569826,6.341606764218895,0.688084617912604,1.3211210223481042,-0.10571128194960126,-0.005352596778368329,0.7606196901549226,0.5867066466766616,3.1808583161019732,False
11:00,15:00,a0,fresh,scaled,rule,era,489,161,0.1350780194941779,1.5175444908071136,3.238679825543018,3.077642933943412,3.5157903705787863,1.7265022302998174,-1.0123014602563742,-0.7536058021567044,-1.0015274988240424,-0.1543146812177416,-3.2791321264616045,-0.24603563926427427,-0.07304755676798114,0.8507600728018128,4.483278871169528,0.4689012740760064,1.2551123808420055,-0.1363042536786711,-0.007911066033411646,0.7631184407796102,0.6451774112943528,3.335787350191331,False
11:00,15:00,a0,fresh,scaled,reverse,whole,865,606,0.47474529390744413,0.9654349048649019,2.407293209709533,2.6778214342334317,3.3484567202594455,1.1540018418093854,-1.0437420992939228,-0.6998889851211063,-1.276281413540726,-0.5617777808082991,-4.958538030003333,-0.7885380355919867,-0.3378077941880616,0.5515916969710827,4.366458857090541,0.33256113177051816,0.8453302650285124,-0.5076377272890343,-0.029563396803127653,0.6031984007996002,0.6676661669165417,2.4574598542543904,False
11:00,15:00,a0,fresh,scaled,reverse,era,489,328,0.44025785787288896,1.1114107804711404,2.643134272397297,2.529315476800334,3.5157903705787863,1.7265022302998174,-1.0015274988240424,-0.6846067908222921,-1.0123014602563742,-0.5604483915537148,-3.4469682739554575,-0.9259196714939122,-0.225621589340159,0.44462636246583964,3.8000246255362673,0.2369747820177504,0.6540226600740543,-0.5096199200290009,-0.02577889769913233,0.7741129435282359,0.8725637181409296,2.828069250139257,False
11:00,15:00,a0,fresh,margin,rule,whole,865,33,0.03815028901734104,1.4544699762104893,3.179060314713165,3.4589652245122955,3.3484567202594455,1.1540018418093854,-1.9067407177347155,-1.2544679521253643,-1.0819016281176916,-0.07274270946271169,-2.004046940002272,-0.15161649227008955,-0.012103880097041686,1.04062676831667,6.540923119309341,0.7306448440166587,1.369080666400365,-0.06727721614441265,-0.0028695629484951166,0.9065467266366817,0.8170914542728636,3.2668317912766893,False
11:00,15:00,a0,fresh,margin,rule,era,489,21,0.04294478527607362,1.613000760073461,3.3956291257502405,3.2148382713105708,3.5157903705787863,1.7265022302998174,-1.3705601640110343,-0.969369569817553,-0.9886747676737829,-0.058858411951394116,-1.5097211428627981,-0.14228999098948167,0.015911570771807066,0.9462163420681603,4.8105732158868575,0.5530945156512983,1.35838020019346,-0.052550543992426584,-0.002775596414024414,0.6081959020489756,0.551224387806097,3.420217402471037,False
11:00,15:00,a0,fresh,margin,reverse,whole,865,262,0.30289017341040464,1.130478937524139,2.712485273137788,2.909088271519012,3.3484567202594455,1.1540018418093854,-1.309827069270758,-0.8687011549513751,-1.0280097945774902,-0.3967337481490619,-3.8712658075907687,-0.6153475499067411,-0.19427553116521162,0.7166357296303197,5.106557325233999,0.466716802234978,1.0148560658258075,-0.3613321519904477,-0.019202196992189845,0.6141929035482259,0.7886056971514243,2.7689630132324843,False
11:00,15:00,a0,fresh,margin,reverse,era,489,143,0.29243353783231085,1.1940915459352404,2.726719803850683,2.497050440048483,3.5157903705787863,1.7265022302998174,-1.6337648192854655,-1.2321914330728239,-0.7452404206871116,-0.47776762608961454,-3.1698022400694303,-0.8225939059946885,-0.1735567860661306,0.52730712792994,3.3983955527687724,0.24683290248807657,0.8117359288593009,-0.44436946798687005,-0.022792907591532775,0.9145427286356822,0.9685157421289355,3.0380888679692255,False
