forecast,c,mean_ES
LightGBM,2.5936791093020193,0.00688770010901949
LightGBM,2.8284271247461903,0.006368586122717166
LightGBM,3.0844216508158815,0.0017161023253362412
LightGBM,3.363585661014858,0.0010713817475095056
LightGBM,3.668016172818685,0.0006383084416799179
LightGBM,4.0,0.000254955292509808
XGBoost,0.25,0.0009691543680972117
XGBoost,0.2726269331663144,0.0014710110172980748
XGBoost,0.29730177875068026,0.002502399378082204
XGBoost,0.3242098886627524,0.0027281983922433388
XGBoost,0.3535533905932738,0.003284525134938828
XGBoost,0.3855527063519852,0.004784969907797398
XGBoost,0.42044820762685725,0.009302083331820678
XGBoost,0.4585020216023356,0.014689635600880454
XGBoost,0.5,0.020291731730884794
XGBoost,0.5452538663326288,0.026253996397464553
XGBoost,0.5946035575013605,0.03964600209835434
XGBoost,0.6484197773255048,0.05439285456581743
XGBoost,0.7071067811865476,0.07448740888739727
XGBoost,0.7711054127039704,0.08394113610331295
XGBoost,0.8408964152537145,0.09098811275998994
XGBoost,0.9170040432046712,0.10078654295362621
XGBoost,1.0,0.09697738207871874
XGBoost,1.0905077326652577,0.09039775128550841
XGBoost,1.189207115002721,0.07936763857519258
XGBoost,1.2968395546510096,0.06363707708366062
XGBoost,1.4142135623730951,0.05077776532589914
XGBoost,1.5422108254079407,0.04054370941809362
XGBoost,1.681792830507429,0.030510320966694662
XGBoost,1.8340080864093424,0.020581761734684
XGBoost,2.0,0.01436766143777223
XGBoost,2.1810154653305154,0.010845517242548598
XGBoost,2.378414230005442,0.007864657634773805
XGBoost,2.5936791093020193,0.00688770010901949
XGBoost,2.8284271247461903,0.004431810537333174
XGBoost,3.0844216508158815,0.0017161023253362412
XGBoost,3.363585661014858,0.0010713817475095056
XGBoost,3.668016172818685,0.0006383084416799179
XGBoost,4.0,0.000254955292509808
lasso (causally tuned),0.25,0.0006393404805964116
lasso (causally tuned),0.2726269331663144,0.0007653867536349391
lasso (causally tuned),0.29730177875068026,0.001659968960147716
lasso (causally tuned),0.3242098886627524,0.001967321518262708
lasso (causally tuned),0.3535533905932738,0.0032510169051048316
lasso (causally tuned),0.3855527063519852,0.004906926212876034
lasso (causally tuned),0.42044820762685725,0.006330751675318855
lasso (causally tuned),0.4585020216023356,0.010419939067431154
lasso (causally tuned),0.5,0.018075798988823756
lasso (causally tuned),0.5452538663326288,0.025983941990856272
lasso (causally tuned),0.5946035575013605,0.038288806968876724
lasso (causally tuned),0.6484197773255048,0.052582961018442745
lasso (causally tuned),0.7071067811865476,0.0740007961101977
lasso (causally tuned),0.7711054127039704,0.08521067747978227
lasso (causally tuned),0.8408964152537145,0.10301123605184714
lasso (causally tuned),0.9170040432046712,0.10927669314855845
lasso (causally tuned),1.0,0.106014280061194
lasso (causally tuned),1.0905077326652577,0.09846619308677618
lasso (causally tuned),1.189207115002721,0.08534627817738283
lasso (causally tuned),1.2968395546510096,0.07293164166946155
lasso (causally tuned),1.4142135623730951,0.05421948265591835
lasso (causally tuned),1.5422108254079407,0.044971954715680496
lasso (causally tuned),1.681792830507429,0.03167137723776481
lasso (causally tuned),1.8340080864093424,0.01914797684131714
lasso (causally tuned),2.0,0.012973141811177744
lasso (causally tuned),2.1810154653305154,0.00897666796541048
lasso (causally tuned),2.378414230005442,0.006134193702204879
lasso (causally tuned),2.5936791093020193,0.0034150379443055306
lasso (causally tuned),2.8284271247461903,0.0023537807352684006
lasso (causally tuned),3.0844216508158815,0.0017161023253362412
lasso (causally tuned),3.363585661014858,0.0010713817475095056
lasso (causally tuned),3.668016172818685,0.0006383084416799179
lasso (causally tuned),4.0,0.000254955292509808
lasso (fixed 1e-4),0.25,0.0006393404805964116
lasso (fixed 1e-4),0.2726269331663144,0.0007653867536349391
lasso (fixed 1e-4),0.29730177875068026,0.0009888043230186485
lasso (fixed 1e-4),0.3242098886627524,0.0024650428353627882
lasso (fixed 1e-4),0.3535533905932738,0.0029741103622043076
lasso (fixed 1e-4),0.3855527063519852,0.0056215720128900545
lasso (fixed 1e-4),0.42044820762685725,0.007640063545230801
lasso (fixed 1e-4),0.4585020216023356,0.012838253465030819
lasso (fixed 1e-4),0.5,0.018719026760059883
lasso (fixed 1e-4),0.5452538663326288,0.02758017024597471
lasso (fixed 1e-4),0.5946035575013605,0.04127859823101335
lasso (fixed 1e-4),0.6484197773255048,0.055882068731748856
lasso (fixed 1e-4),0.7071067811865476,0.07315099211418413
lasso (fixed 1e-4),0.7711054127039704,0.08922706838635192
lasso (fixed 1e-4),0.8408964152537145,0.1066412494720332
lasso (fixed 1e-4),0.9170040432046712,0.11041552693151721
lasso (fixed 1e-4),1.0,0.10657363014730642
lasso (fixed 1e-4),1.0905077326652577,0.10591308731708517
lasso (fixed 1e-4),1.189207115002721,0.09650186320903373
lasso (fixed 1e-4),1.2968395546510096,0.07211556920114962
lasso (fixed 1e-4),1.4142135623730951,0.06082351099461898
lasso (fixed 1e-4),1.5422108254079407,0.05105816396026301
lasso (fixed 1e-4),1.681792830507429,0.03956688567206671
lasso (fixed 1e-4),1.8340080864093424,0.030744211356569757
lasso (fixed 1e-4),2.0,0.019921921583496652
lasso (fixed 1e-4),2.1810154653305154,0.012957280281943137
lasso (fixed 1e-4),2.378414230005442,0.004889142997303674
lasso (fixed 1e-4),2.5936791093020193,0.0034150379443055306
lasso (fixed 1e-4),2.8284271247461903,0.0023537807352684006
lasso (fixed 1e-4),3.0844216508158815,0.0017161023253362412
lasso (fixed 1e-4),3.363585661014858,0.0010713817475095056
lasso (fixed 1e-4),3.668016172818685,0.0006383084416799179
lasso (fixed 1e-4),4.0,0.000254955292509808
elastic net (causally tuned),0.25,0.0006393404805964116
elastic net (causally tuned),0.2726269331663144,0.0007653867536349391
elastic net (causally tuned),0.29730177875068026,0.001362249904240971
elastic net (causally tuned),0.3242098886627524,0.002263530087923485
elastic net (causally tuned),0.3535533905932738,0.003532751626393062
elastic net (causally tuned),0.3855527063519852,0.005164671708614672
elastic net (causally tuned),0.42044820762685725,0.007611309937927887
elastic net (causally tuned),0.4585020216023356,0.012733189917387658
elastic net (causally tuned),0.5,0.017066688480042762
elastic net (causally tuned),0.5452538663326288,0.025790109373487993
elastic net (causally tuned),0.5946035575013605,0.038494113352306354
elastic net (causally tuned),0.6484197773255048,0.051778033562234496
elastic net (causally tuned),0.7071067811865476,0.07140618524004702
elastic net (causally tuned),0.7711054127039704,0.08484703568206775
elastic net (causally tuned),0.8408964152537145,0.10173450979181242
elastic net (causally tuned),0.9170040432046712,0.11341347733170533
elastic net (causally tuned),1.0,0.109432393979319
elastic net (causally tuned),1.0905077326652577,0.0976982539694699
elastic net (causally tuned),1.189207115002721,0.08678843011280639
elastic net (causally tuned),1.2968395546510096,0.0702374259711371
elastic net (causally tuned),1.4142135623730951,0.053859192777093313
elastic net (causally tuned),1.5422108254079407,0.04346032849501957
elastic net (causally tuned),1.681792830507429,0.030722137711224836
elastic net (causally tuned),1.8340080864093424,0.01874897869204677
elastic net (causally tuned),2.0,0.012165059039308226
elastic net (causally tuned),2.1810154653305154,0.00795956040678517
elastic net (causally tuned),2.378414230005442,0.0063062732076983475
elastic net (causally tuned),2.5936791093020193,0.0034150379443055306
elastic net (causally tuned),2.8284271247461903,0.0023537807352684006
elastic net (causally tuned),3.0844216508158815,0.0017161023253362412
elastic net (causally tuned),3.363585661014858,0.0010713817475095056
elastic net (causally tuned),3.668016172818685,0.0006383084416799179
elastic net (causally tuned),4.0,0.000254955292509808
