forecast,rule,2020,2021,2022,2023,2024
xgb,month-ends and FOMC days forced long,0.4224056794068537,1.912729221755451,1.9332114318936382,2.4756109288293024,1.3105424520191506
lasso_t,sign(s),-0.37802006399982485,0.5378865958367113,0.5945942748855927,1.3056546624722984,3.630739671419609
lasso_t,month-ends forced long,-0.20015709044676325,1.053365426593203,1.6297395940374584,2.2620027293695606,3.6561783726755848
lasso_t,month-ends forced flat,-0.24906240586470885,0.8507693944430693,1.1989100748793167,1.8927190048501348,3.1058220472697817
lasso_t,FOMC days forced long,-0.2598968922928731,0.2802828592747379,0.6326763128699541,1.8478330217845873,3.320373143402169
lasso_t,FOMC days forced flat,-0.2999310617508243,0.40062922284071084,0.57593628232012,1.688865982643328,3.3595617131049758
lasso_t,month-ends and FOMC days forced long,-0.08167605285112509,0.7937749068238017,1.6690736167521338,2.8243308899400583,3.345474608258419
lasso_f,sign(s),0.1477758094816863,1.0124705719307985,-0.24174874962493997,1.4567475013766447,3.8575336184869657
lasso_f,month-ends forced long,0.33275444253404246,1.3019068438718302,0.7761128097443428,2.3110263449034,3.883342251703081
lasso_f,month-ends forced flat,0.2957168789734438,1.1011486516944726,0.3157639409812163,1.9447198141788995,3.339391130148881
lasso_f,FOMC days forced long,0.27009911812389503,0.7458050641902552,-0.024003374344163653,2.0020408960395426,3.5430268943123604
lasso_f,FOMC days forced flat,0.23171024980320132,0.8698332554328848,-0.08689148628062697,1.8473599091777904,3.584234318361703
lasso_f,month-ends and FOMC days forced long,0.45562093773621254,1.0337631276432249,0.9974008302728125,2.8753638026146806,3.568470391861906
enet,sign(s),-1.3677362155981898,1.420706156181316,-0.1563001623060477,0.8170662362025928,2.580176270423381
enet,month-ends forced long,-1.1920198257500119,1.7127148142144768,0.8623191347345901,1.7564812240010774,2.6043631240291663
enet,month-ends forced flat,-1.2645331318553974,1.5180211124034164,0.40535570007073035,1.3532656092533908,2.018976484745501
enet,FOMC days forced long,-1.2501268095827685,1.1528951266177958,0.061511996413687514,1.3514355704351095,2.283516619056312
enet,FOMC days forced flat,-1.2954051776719857,1.2790449554954628,-0.0005255151938190226,1.1784342112277773,2.3145361116438603
enet,month-ends and FOMC days forced long,-1.0743067381565563,1.4430352485548623,1.083907672787775,2.3073637098125785,2.3074766439231444
