book,sample,family,param,rule,n_trend_days,n_stopped,frac_stopped,mean_rule,mean_book,mean_difference,Sharpe_rule,Sharpe_book,worst_rule,worst_book
crossed,whole,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),289,156,0.5397923875432526,-0.04531811917686362,-0.03720762561642831,-0.008110493560435313,-2.135495342108558,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),289,119,0.4117647058823529,-0.045477494731588054,-0.03720762561642831,-0.008269869115159742,-2.1182542076594344,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),289,61,0.21107266435986158,-0.03995306535124743,-0.03720762561642831,-0.002745439734819105,-1.825083838527178,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,289,44,0.1522491349480969,-0.023597907454585877,-0.03720762561642831,0.013609718161842439,-1.2255133553428317,-1.6960726358632812,-1.76917761821963,-2.2028675866604797
crossed,whole,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,289,22,0.07612456747404844,-0.031130663828404265,-0.03720762561642831,0.006076961788024053,-1.550236585070893,-1.6960726358632812,-1.76917761821963,-2.2028675866604797
crossed,whole,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,289,10,0.03460207612456748,-0.03450747227656862,-0.03720762561642831,0.0027001533398596923,-1.6264117578483865,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,289,6,0.020761245674740483,-0.037125377164176764,-0.03720762561642831,8.224845225155768e-05,-1.7084120879853602,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,289,3,0.010380622837370242,-0.03674836660440517,-0.03720762561642831,0.00045925901202314913,-1.6878955043969281,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,289,219,0.7577854671280276,-0.01616369060295712,-0.03720762561642831,0.02104393501347119,-0.9732584076356281,-1.6960726358632812,-2.2028675866604797,-2.2028675866604797
crossed,daily_era,reference,,"never stop (the book of record, buy back at 15:30)",169,0,0.0,-0.04658701949249328,-0.04658701949249328,0.0,-1.95485279284015,-1.95485279284015,-2.2028675866604797,-2.2028675866604797
crossed,daily_era,reference,,always stop at 15:00 (the exit-clock ladder rung),169,169,1.0,-0.045700264021972616,-0.04658701949249328,0.0008867554705206702,-1.9328335072403415,-1.95485279284015,-2.1209475361859194,-2.2028675866604797
crossed,daily_era,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,169,162,0.9585798816568047,-0.022207402374532684,-0.04658701949249328,0.0243796171179606,-1.489214169907516,-1.95485279284015,-1.3022020886906793,-2.2028675866604797
crossed,daily_era,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,169,130,0.7692307692307693,-0.05311893355282677,-0.04658701949249328,-0.006531914060333496,-2.4689492947896565,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,169,98,0.5798816568047337,-0.05622694693242464,-0.04658701949249328,-0.009639927439931351,-2.409227675388552,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,169,68,0.40236686390532544,-0.05132853287493933,-0.04658701949249328,-0.0047415133824460515,-2.167404675700749,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,169,51,0.30177514792899407,-0.049028286719185465,-0.04658701949249328,-0.0024412672266921785,-2.0754314637069036,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,169,18,0.10650887573964497,-0.04658821929425539,-0.04658701949249328,-1.1998017621140163e-06,-1.96124479044368,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),169,167,0.9881656804733728,-0.019567684534802374,-0.04658701949249328,0.027019334957690908,-1.4353461247775121,-1.95485279284015,-1.3022020886906793,-2.2028675866604797
crossed,daily_era,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),169,147,0.8698224852071006,-0.03109740962199448,-0.04658701949249328,0.015489609870498806,-1.8638787792763736,-1.95485279284015,-1.76917761821963,-2.2028675866604797
crossed,daily_era,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),169,126,0.7455621301775148,-0.05042320948880322,-0.04658701949249328,-0.0038361899963099294,-2.3959683731038286,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),169,99,0.5857988165680473,-0.05867252635697792,-0.04658701949249328,-0.012085506864484645,-2.5258446417543152,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),169,76,0.44970414201183434,-0.05772707354464091,-0.04658701949249328,-0.011140054052147633,-2.4709783826677754,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),169,42,0.2485207100591716,-0.049100482511976275,-0.04658701949249328,-0.0025134630194829977,-2.081711470561227,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,169,27,0.15976331360946747,-0.032898339038154555,-0.04658701949249328,0.013688680454338726,-1.59114788480537,-1.95485279284015,-1.76917761821963,-2.2028675866604797
crossed,daily_era,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,169,13,0.07692307692307693,-0.0349059423855704,-0.04658701949249328,0.011681077106922884,-1.6690558312184913,-1.95485279284015,-1.76917761821963,-2.2028675866604797
crossed,daily_era,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,169,7,0.04142011834319527,-0.043463208684159614,-0.04658701949249328,0.003123810808333668,-1.8852101398655654,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,169,5,0.029585798816568046,-0.04404350765605174,-0.04658701949249328,0.0025435118364415432,-1.9020711794143677,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,169,3,0.01775147928994083,-0.045801659406844226,-0.04658701949249328,0.0007853600856490539,-1.9431701243305348,-1.95485279284015,-2.095626948838982,-2.2028675866604797
crossed,daily_era,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,169,137,0.8106508875739645,-0.016101248131467332,-0.04658701949249328,0.030485771361025954,-0.8848863968089473,-1.95485279284015,-2.2028675866604797,-2.2028675866604797
mid,whole,reference,,"never stop (the book of record, buy back at 15:30)",289,0,0.0,0.011279401370186933,0.011279401370186933,0.0,0.5253724511744439,0.5253724511744439,-2.041976485629983,-2.041976485629983
mid,whole,reference,,always stop at 15:00 (the exit-clock ladder rung),289,289,1.0,0.00867297906943856,0.011279401370186933,-0.002606422300748365,0.41614611305380916,0.5253724511744439,-2.059066334743197,-2.041976485629983
mid,whole,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,289,276,0.9550173010380623,0.008724503666689918,0.011279401370186933,-0.0025548977034970137,0.602558978305567,0.5253724511744439,-1.2717808633875898,-2.041976485629983
mid,whole,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,289,212,0.7335640138408305,-5.8002081889484144e-05,0.011279401370186933,-0.011337403452076416,-0.002926501852367836,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,289,149,0.5155709342560554,-0.0008735679018372378,0.011279401370186933,-0.01215296927202416,-0.040252119505095156,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,289,99,0.34256055363321797,0.0059567784519048384,0.011279401370186933,-0.005322622918282087,0.2753935121272414,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,289,72,0.2491349480968858,0.008227822236355821,0.011279401370186933,-0.003051579133831109,0.3808262711804552,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,289,26,0.08996539792387544,0.01068720951536534,0.011279401370186933,-0.0005921918548215905,0.49518364404349763,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),289,285,0.986159169550173,0.00922146605036684,0.011279401370186933,-0.0020579353198200883,0.7133956965013476,0.5253724511744439,-1.2717808633875898,-2.041976485629983
mid,whole,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),289,256,0.8858131487889274,0.004264883607785946,0.011279401370186933,-0.007014517762400982,0.2745302527105942,0.5253724511744439,-1.7224741807304127,-2.041976485629983
mid,whole,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),289,205,0.7093425605536332,0.0020118353000927363,0.011279401370186933,-0.009267566070094194,0.10669696470873898,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),289,156,0.5397923875432526,-0.0030818699861073825,0.011279401370186933,-0.014361271356294307,-0.14589549575509983,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),289,119,0.4117647058823529,-0.0013487708680164517,0.011279401370186933,-0.012628172238203379,-0.06312719566489168,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),289,61,0.21107266435986158,0.0064891419934726986,0.011279401370186933,-0.004790259376714234,0.29895061401781486,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,289,44,0.1522491349480969,0.022419953772815016,0.011279401370186933,0.011140552402628085,1.169728104147883,0.5253724511744439,-1.7224741807304127,-2.041976485629983
mid,whole,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,289,22,0.07612456747404844,0.01645064054719111,0.011279401370186933,0.005171239177004181,0.8297123009672458,0.5253724511744439,-1.7224741807304127,-2.041976485629983
mid,whole,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,289,10,0.03460207612456748,0.013243473035284493,0.011279401370186933,0.0019640716650975573,0.6317817211839136,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,289,6,0.020761245674740483,0.010905925701580894,0.011279401370186933,-0.0003734756686060389,0.5092019462844227,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,289,3,0.010380622837370242,0.011329262067967156,0.011279401370186933,4.986069778022633e-05,0.5279942163091653,0.5253724511744439,-2.0386963556834856,-2.041976485629983
mid,whole,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,289,219,0.7577854671280276,0.0210218111786562,0.011279401370186933,0.009742409808469275,1.2957450989573707,0.5253724511744439,-2.041976485629983,-2.041976485629983
mid,daily_era,reference,,"never stop (the book of record, buy back at 15:30)",169,0,0.0,-0.013160367570841833,-0.013160367570841833,0.0,-0.5635732268122375,-0.5635732268122375,-2.041976485629983,-2.041976485629983
mid,daily_era,reference,,always stop at 15:00 (the exit-clock ladder rung),169,169,1.0,-0.014706728037637964,-0.013160367570841833,-0.001546360466796137,-0.6280811310055279,-0.5635732268122375,-2.059066334743197,-2.041976485629983
mid,daily_era,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,169,162,0.9585798816568047,0.0044823093433813055,-0.013160367570841833,0.01764267691422313,0.3025850463917187,-0.5635732268122375,-1.2717808633875898,-2.041976485629983
mid,daily_era,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,169,130,0.7692307692307693,-0.021974493882403676,-0.013160367570841833,-0.008814126311561846,-1.0288294556042632,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,169,98,0.5798816568047337,-0.0242744726449805,-0.013160367570841833,-0.011114105074138677,-1.0478474755417675,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,169,68,0.40236686390532544,-0.018994266382294487,-0.013160367570841833,-0.005833898811452658,-0.8090385943003686,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,169,51,0.30177514792899407,-0.017101335844381962,-0.013160367570841833,-0.003940968273540141,-0.7293708356909486,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,169,18,0.10650887573964497,-0.014207799443254102,-0.013160367570841833,-0.0010474318724122697,-0.6034483493322961,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),169,167,0.9881656804733728,0.004834866690365501,-0.013160367570841833,0.017995234261207332,0.35870984078664986,-0.5635732268122375,-1.2717808633875898,-2.041976485629983
mid,daily_era,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),169,147,0.8698224852071006,-0.004548313232933763,-0.013160367570841833,0.008612054337908069,-0.27478438557445994,-0.5635732268122375,-1.7224741807304127,-2.041976485629983
mid,daily_era,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),169,126,0.7455621301775148,-0.02120073304008281,-0.013160367570841833,-0.008040365469240985,-1.0145660132624523,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),169,99,0.5857988165680473,-0.02807824128630506,-0.013160367570841833,-0.014917873715463227,-1.2179230872912095,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),169,76,0.44970414201183434,-0.026145202563594486,-0.013160367570841833,-0.012984834992752653,-1.1279594626458629,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),169,42,0.2485207100591716,-0.01730555102639169,-0.013160367570841833,-0.004145183455549863,-0.7389556485637764,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,169,27,0.15976331360946747,-0.0011397308167177876,-0.013160367570841833,0.012020636754124042,-0.0554281021434057,-0.5635732268122375,-1.7224741807304127,-2.041976485629983
mid,daily_era,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,169,13,0.07692307692307693,-0.002689443278739467,-0.013160367570841833,0.010470924292102368,-0.12955762939659934,-0.5635732268122375,-1.7224741807304127,-2.041976485629983
mid,daily_era,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,169,7,0.04142011834319527,-0.010864425146776735,-0.013160367570841833,0.0022959424240651008,-0.4757193154877222,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,169,5,0.029585798816568046,-0.011359869110635187,-0.013160367570841833,0.001800498460206649,-0.4955476593893693,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,169,3,0.01775147928994083,-0.013075102827300499,-0.013160367570841833,8.526474354133378e-05,-0.5603737788199444,-0.5635732268122375,-2.0386963556834856,-2.041976485629983
mid,daily_era,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,169,137,0.8106508875739645,0.01077240403988209,-0.013160367570841833,0.023932771610723925,0.6094966241290255,-0.5635732268122375,-2.041976485629983,-2.041976485629983
