book,sample,family,param,rule,n_days,n_stopped,frac_stopped,mean_stop_clock_et,mean_hours_held,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_stopped_under_rule,mean_stopped_under_book,saved_per_stopped_day,mean_not_stopped
crossed,daily_era,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,489,148,0.30265848670756645,13.64864864864865,2.6486486486486487,0.044804765055581924,0.33658168021429846,2.113167879112233,2.9436634793792282,-3.0252739541946596,-2.095626948838982,2024-04-04,-0.24829340183881585,-0.22024674526704993,-0.028046656571765968,0.17201452664024725
crossed,daily_era,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,489,85,0.1738241308793456,13.882352941176471,2.8823529411764706,0.053303803525437114,0.33289997795470694,2.541819478546359,3.5407793408799386,-2.5858189888829273,-2.095626948838982,2024-04-04,-0.33030288151035336,-0.3303631713825631,6.0289872209746395e-05,0.13401313082257127
crossed,daily_era,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,489,61,0.12474437627811862,14.081967213114755,3.081967213114754,0.052958374642471516,0.33435374243967353,2.5143673545233183,3.5025382641927587,-2.565381478878539,-2.095626948838982,2024-04-04,-0.4252086880519492,-0.42252360469732053,-0.002685083354628654,0.12110835320405952
crossed,daily_era,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,489,18,0.03680981595092025,14.305555555555555,3.3055555555555554,0.05329290903538472,0.3361611130287179,2.516646545112486,3.505713198927569,-2.4792445046314953,-2.095626948838982,2024-04-04,-0.7449106448266947,-0.7448993800212613,-1.1264805433181597e-05,0.08379750345049602
crossed,daily_era,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),489,452,0.9243353783231084,12.527654867256636,1.5276548672566372,0.011674354692596933,0.21035721408704916,0.8809996662436215,1.2272411333245052,-4.148037430197075,-1.3022020886906793,2022-10-13,-0.015264838087183001,0.029760993417509526,-0.04502583150469253,0.3407693583807193
crossed,daily_era,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),489,364,0.7443762781186094,12.604395604395604,1.6043956043956045,0.018408079303439382,0.2650928725547222,1.1023276366934853,1.5355531562443776,-3.40148227786062,-1.76917761821963,2023-12-20,-0.07110844669337316,-0.02424337937079331,-0.046865067322579834,0.27908020300615743
crossed,daily_era,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),489,269,0.5501022494887525,12.676579925650557,1.6765799256505576,0.02799668376973044,0.3106345761762037,1.4307279704859732,1.993018026289164,-3.5897203412569443,-2.095626948838982,2024-04-04,-0.14195172864086497,-0.09596638692561317,-0.045985341715251815,0.23579724258086757
crossed,daily_era,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),489,193,0.3946830265848671,12.7720207253886,1.7720207253886011,0.02962326648631759,0.3339243471892782,1.408267413931901,1.9617302518022024,-3.370738874884479,-2.095626948838982,2024-04-04,-0.21585761989700214,-0.1558852987934186,-0.05997232110358353,0.18968343902679297
crossed,daily_era,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),489,133,0.2719836400817996,12.81203007518797,1.8120300751879699,0.03895804595924262,0.3358900764696506,1.8411970176051442,2.5648054149598214,-2.919331786986403,-2.095626948838982,2024-04-04,-0.28524983839063833,-0.23254344131747082,-0.052706397073167544,0.16008065443827116
crossed,daily_era,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),489,66,0.13496932515337423,13.075757575757576,2.0757575757575757,0.049923522281443984,0.3362427961571966,2.3569615653685263,3.283270463674948,-2.6390420538231325,-2.095626948838982,2024-04-04,-0.4240405574034708,-0.3990733924159737,-0.02496716498749717,0.1238753645017853
