,s,r_mid,r_ask,r_bid,sign_crossed,"size_(i) rank of s, trailing 252","crossed_(i) rank of s, trailing 252",size_(ii) top trailing quintile x2,crossed_(ii) top trailing quintile x2,"size_(iii) Kelly by s-quintile, expanding","crossed_(iii) Kelly by s-quintile, expanding",size_(iv) month-end x2,crossed_(iv) month-end x2,tag
2021-08-31,-1.7533324151930026e-07,-0.059587472710223355,-0.09146577812232182,-0.025390625,0.025390625,-1.0,0.025390625,-1.0,0.025390625,-1.0,0.025390625,-1.0,0.025390625,blk2
2021-09-01,7.88826595682285e-07,-0.4872359086054937,-0.5209703887258127,-0.44839018339734027,-0.5209703887258127,0.8297872340425532,-0.4322945778788658,0.8333333333333334,-0.43414199060484393,2.011398582570283,-1.047879101444189,0.9545454545454545,-0.497289916511003,blk2
2021-09-03,-1.2496063466321727e-07,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-09-07,2.5355023666332495e-07,-1.0,-1.0,-1.0,-1.0,0.40425531914893614,-0.40425531914893614,0.8333333333333334,-0.8333333333333334,0.0,0.0,0.9545454545454545,-0.9545454545454545,blk2
2021-09-08,4.969583791030902e-08,-1.0,-1.0,-1.0,-1.0,0.10526315789473684,-0.10526315789473684,0.8333333333333334,-0.8333333333333334,0.0,0.0,0.9545454545454545,-0.9545454545454545,blk2
2021-09-10,-3.2416001070795924e-07,1.2392003048391818,1.154702163023241,1.3305964824595926,-1.3305964824595926,-1.0,-1.3305964824595926,-1.0,-1.3305964824595926,-1.0,-1.3305964824595926,-1.0,-1.3305964824595926,blk2
2021-09-13,5.247790356518824e-07,-0.3279314412978872,-0.3456174397256898,-0.3092628883562638,-0.3456174397256898,0.723404255319149,-0.2500211266100735,0.8333333333333334,-0.2880145331047415,2.7141948540336616,-0.9380730763677565,0.9545454545454545,-0.3299075561017948,blk2
2021-09-15,1.234497821626421e-07,-1.0,-1.0,-1.0,-1.0,0.29473684210526313,-0.29473684210526313,0.8333333333333334,-0.8333333333333334,0.0,0.0,0.9545454545454545,-0.9545454545454545,blk2
2021-09-17,-2.9074085629687853e-06,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-09-20,1.33266246685911e-07,2.0472506328965347,1.9817182688206851,2.1157282761017995,1.9817182688206851,0.3191489361702128,0.6324632772831974,0.8333333333333334,1.6514318906839043,0.0,0.0,0.9545454545454545,1.891640165692472,blk2
2021-09-22,-2.129636663734527e-06,0.08835617739062784,0.051670076677561516,0.12769434532040647,-0.12769434532040647,-1.0,-0.12769434532040647,-1.0,-0.12769434532040647,-1.0,-0.12769434532040647,-1.0,-0.12769434532040647,blk2
2021-09-24,-7.266883718424692e-07,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-09-27,-1.380417503226476e-07,-0.39995659268058736,-0.42723128907219987,-0.36995442708333337,0.36995442708333337,-1.0,0.36995442708333337,-1.0,0.36995442708333337,-1.0,0.36995442708333337,-1.0,0.36995442708333337,blk2
2021-09-29,-8.92104559745835e-07,1.3907752403846154,1.3194088813271843,1.4666727923840481,-1.4666727923840481,-1.0,-1.4666727923840481,-1.0,-1.4666727923840481,-1.0,-1.4666727923840481,-1.0,-1.4666727923840481,blk2
2021-09-30,-6.565326754163656e-06,1.507759033407952,1.4300849976989443,1.590562259365936,-1.590562259365936,-1.0,-1.590562259365936,-1.0,-1.590562259365936,-1.0,-1.590562259365936,-1.0,-1.590562259365936,blk2
2021-10-01,-3.6537635935955125e-06,-0.6253214048395108,-0.6345727409752391,-0.6155894791142222,0.6155894791142222,-1.0,0.6155894791142222,-1.0,0.6155894791142222,-1.0,0.6155894791142222,-1.0,0.6155894791142222,blk2
2021-10-04,-2.5569472596356606e-06,-0.4282763530416368,-0.4428611396699801,-0.41290737791224474,0.41290737791224474,-1.0,0.41290737791224474,-1.0,0.41290737791224474,-1.0,0.41290737791224474,-1.0,0.41290737791224474,blk2
2021-10-06,-3.939965243333359e-08,0.10320060483870974,0.0687255859375,0.13997395833333326,-0.13997395833333326,-1.0,-0.13997395833333326,-1.0,-0.13997395833333326,-1.0,-0.13997395833333326,-1.0,-0.13997395833333326,blk2
2021-10-08,-7.234976772726022e-07,0.618720823247336,0.5745738636363635,0.6654147245485864,-0.6654147245485864,-1.0,-0.6654147245485864,-1.0,-0.6654147245485864,-1.0,-0.6654147245485864,-1.0,-0.6654147245485864,blk2
2021-10-11,-3.777421923334544e-07,0.45620804350205124,0.3984219566701872,0.5189755696600693,-0.5189755696600693,-1.0,-0.5189755696600693,-1.0,-0.5189755696600693,-1.0,-0.5189755696600693,-1.0,-0.5189755696600693,blk2
2021-10-13,-1.2005998164378722e-06,-0.3770811890317759,-0.39685641706992203,-0.35596526556275354,0.35596526556275354,-1.0,0.35596526556275354,-1.0,0.35596526556275354,-1.0,0.35596526556275354,-1.0,0.35596526556275354,blk2
2021-10-15,-1.4673101185459839e-07,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,blk2
2021-10-18,1.6304133631995228e-08,-0.5252159442409099,-0.5437622138297228,-0.5050979952877175,-0.5437622138297228,0.043478260869565216,-0.02364183538390099,0.8333333333333334,-0.4531351781914357,0.0,0.0,0.9545454545454545,-0.5190457495647354,blk2
2021-10-20,-1.360412417291745e-07,-0.5711922823518657,-0.589675390648829,-0.5509655232351942,0.5509655232351942,-1.0,0.5509655232351942,-1.0,0.5509655232351942,-1.0,0.5509655232351942,-1.0,0.5509655232351942,blk2
