day_role,date,placement,jump_pct,K_c,K_p,S_1100,iv_hourly_1100,entry_premium_pts,premium_over_spot_pct,S_settle_stressed,r_hold_units,r_mark_units,r_hold_base_units,r_mark_base_units,d_hold_units,d_mark_units,hold_dollars,mark_dollars,X_source,S_1530,S_settle_actual,r_hold_actual,r_hold_stressed,residual
representative (median premium),2021-06-16,mid-day bar,2.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4308.17419921875,-3.788355792015667,-3.7883557941592905,-0.04211148773548339,-0.004099129626511169,-3.7462443042801836,-3.784256664532779,-6781.15690383662,-6781.156907673706,,,,,,
representative (median premium),2021-06-16,mid-day bar,-2.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4139.22619140625,-3.42168212607211,-3.421682126072102,-0.04211148773548339,-0.004099129626511169,-3.379570638336627,-3.417582996445591,-6124.811038300781,-6124.811038300766,,,,,,
representative (median premium),2021-06-16,mid-day bar,3.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4350.411201171875,-6.495448227147843,-6.495448227147843,-0.04211148773548339,-0.004099129626511169,-6.45333673941236,-6.491349097521332,-11626.852388540061,-11626.852388540061,,,,,,
representative (median premium),2021-06-16,mid-day bar,-3.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4096.989189453125,-5.447803435319965,-5.447803435319965,-0.04211148773548339,-0.004099129626511169,-5.405691947584482,-5.443704305693454,-9751.56820117704,-9751.56820117704,,,,,,
representative (median premium),2021-06-16,mid-day bar,5.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4434.885205078125,-11.90317984927871,-11.90317984927871,-0.04211148773548339,-0.004099129626511169,-11.861068361543225,-11.899080719652199,-21306.69204372646,-21306.69204372646,,,,,,
representative (median premium),2021-06-16,mid-day bar,-5.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4012.515185546875,-9.500842713770949,-9.500842713770949,-0.04211148773548339,-0.004099129626511169,-9.458731226035464,-9.496743584144438,-17006.508548257094,-17006.508548257094,,,,,,
high premium (95th pct),2020-09-08,last bar,1.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3383.7019506835936,-0.24041136145977188,0.3604605710961933,0.23799754447139965,0.3604605710961933,-0.4784089059311715,0.0,-824.6109743925003,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,-1.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3316.6979516601564,-0.06839681644831928,0.3604605710961933,0.23799754447139965,0.3604605710961933,-0.30639436091971894,0.0,-234.6010817223009,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,2.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3417.2039501953127,-1.5159827188912378,0.3604605710961933,0.23799754447139965,0.3604605710961933,-1.7539802633626373,0.0,-5199.820754712022,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,-2.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3283.1959521484373,-0.746294807437945,0.3604605710961933,0.23799754447139965,0.3604605710961933,-0.9842923519093446,0.0,-2559.791203746595,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,3.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3450.7059497070313,-2.791554076322687,0.3604605710961933,0.23799754447139965,0.3604605710961933,-3.0295516207940865,0.0,-9575.030535031485,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,-3.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3249.6939526367187,-1.4241927984275615,0.3604605710961933,0.23799754447139965,0.3604605710961933,-1.662190342898961,0.0,-4884.981325770857,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,5.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3517.709948730469,-5.342696791185602,0.3604605710961933,0.23799754447139965,0.3604605710961933,-5.580694335657001,0.0,-18325.45009567047,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,last bar,-5.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3182.689953613281,-2.779988780406803,0.3604605710961933,0.23799754447139965,0.3604605710961933,-3.0179863248782026,0.0,-9535.361569819412,1236.379765735183,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,1.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3365.1584887695312,0.1237380502504807,0.0009107125370760578,0.23799754447139965,0.3604605710961933,-0.11425949422091895,-0.35954985855911725,424.4215147192648,3.1237440195413417,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,-1.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3298.5216870117188,-0.10570017523780384,-0.09665381286885345,0.23799754447139965,0.3604605710961933,-0.3436977197092035,-0.4571143839650467,-362.55160308173805,-331.52257998369254,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,2.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3398.4768896484375,-0.6997112676369263,-0.7006269998371953,0.23799754447139965,0.3604605710961933,-0.9377088121083259,-1.0610875709333887,-2400.0096613405904,-2403.15062280498,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,-2.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3265.2032861328125,-1.1403054026916621,-1.140286375023067,0.23799754447139965,0.3604605710961933,-1.378302947163062,-1.5007469461192602,-3911.247552982001,-3911.1822880783566,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,3.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3431.7952905273437,-1.4098998231440454,-1.4099002199586206,0.23799754447139965,0.3604605710961933,-1.6478973676154451,-1.7703607910548138,-4835.956420275781,-4835.957781349782,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,-3.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3231.8848852539063,-2.3823850763840793,-2.3823850751543967,0.23799754447139965,0.3604605710961933,-2.620382620855479,-2.74284564625059,-8171.580857437782,-8171.58085321997,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,5.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3498.4320922851566,-2.8263537862750714,-2.8263537862750714,0.23799754447139965,0.3604605710961933,-3.064351330746471,-3.1868143573712646,-9694.393540831916,-9694.393540831916,,,,,,
high premium (95th pct),2020-09-08,mid-day bar,-5.0,3360.0,3355.0,3359.68994140625,0.006125830812379718,34.30000019073486,1.0209275495338737,3165.2480834960934,-4.894723328175841,-4.894723328175841,0.23799754447139965,0.3604605710961933,-5.132720872647241,-5.255183899272034,-16788.901109002574,-16788.901109002574,,,,,,
validation,2023-11-30,last bar,0.5096040010215575,,,,,,,4567.7998046875,,,,,,,,,exact vendor ratio,4544.64013671875,4567.7998046875,-2.297983622740885,-2.297983622740885,0.0
validation,2023-11-30,last bar,0.51,,,,,,,4567.817801416016,,,,,,,,,printed +0.51%,4544.64013671875,4567.7998046875,-2.297983622740885,-2.300697632320553,-0.002714009579667831
